Time frequency,Classification of activities for time use,Income quantile,Degree of urbanisation,Household composition,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2022.0
Annual,Active citizenship,Total,Total,Total,Percentage,Finland,23.9,:
Annual,Active citizenship,Total,Total,Total,Percentage,France,24.8,11.9
Annual,Active citizenship,Total,Total,Total,Percentage,Croatia,5.7,2.9
Annual,Active citizenship,Total,Total,Total,Percentage,Hungary,4.7,3.5
Annual,Active citizenship,Total,Total,Total,Percentage,Ireland,12.8 u,7.5
Annual,Active citizenship,Total,Total,Total,Percentage,Iceland,24.8,:
Annual,Active citizenship,Total,Total,Total,Percentage,Italy,6.3,2.2
Annual,Active citizenship,Total,Total,Total,Percentage,Lithuania,6.3,5.7
Annual,Active citizenship,Total,Total,Total,Percentage,Luxembourg,17.1,21.6
Annual,Active citizenship,Total,Total,Total,Percentage,Latvia,5.6,3.3
Annual,Active citizenship,Total,Total,Total,Percentage,Malta,9.8,9.0
Annual,Active citizenship,Total,Total,Total,Percentage,Netherlands,25.2,17.8
Annual,Active citizenship,Total,Total,Total,Percentage,Norway,16.2,39.3
Annual,Active citizenship,Total,Total,Total,Percentage,Poland,7.3 u,3.6
Annual,Active citizenship,Total,Total,Total,Percentage,Portugal,9.9,9.3
Annual,Active citizenship,Total,Total,Total,Percentage,Romania,3.6,3.1
Annual,Active citizenship,Total,Total,Total,Percentage,Serbia,4.0,4.1
Annual,Active citizenship,Total,Total,Total,Percentage,Sweden,31.1,20.0
Annual,Active citizenship,Total,Total,Total,Percentage,Slovenia,9.8,7.7
Annual,Active citizenship,Total,Total,Total,Percentage,Slovakia,2.8,4.1
Annual,Active citizenship,Total,Total,Total,Percentage,United Kingdom,20.3 u,:
