Time frequency,itm_newa,indic_ag,unit,geo\TIME_PERIOD,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,18000.0,PROD_BP,MIO_EUR,NO,5197.7,5131.09,5100.36,5066.66,4973.39,4657.05,4827.22,4676.71,5117.5,5921.78,5182.85,5367.25 e
Annual,18000.0,PROD_BP,MIO_EUR,PL,23656.62,23096.2,22339.61,22405.51,24760.75,24483.36,25954.52,26405.78,27920.01,39546.32,36810.48,35783.72 e
Annual,18000.0,PROD_BP,MIO_EUR,PT,6862.06,6885.39,7253.43,7032.13,7609.43,7728.4,8213.64,8285.16,9579.08,10669.55,12229.41,12170.51 e
Annual,18000.0,PROD_BP,MIO_EUR,RO,17756.15,16770.81,15465.33,15443.75,17180.46,18553.78,18963.83,16824.18,21107.1,22218.82,22215.2,20640.61 e
Annual,18000.0,PROD_BP,MIO_EUR,SE,6417.03,6219.11,6152.44,5986.58,6462.46,5968.64,6046.06,6165.45,7102.08,8251.22,7069.21,7426.97 e
Annual,18000.0,PROD_BP,MIO_EUR,SI,1153.55,1217.18,1269.56,1206.89,1153.01,1369.95,1325.15,1366.89,1323.03,1590.98,1580.57,1645.84 e
Annual,18000.0,PROD_BP,MIO_EUR,SK,2406.96,2391.81,2160.67,2391.1,2390.19,2317.75,2261.12,2348.02,2484.81,3001.11,2914.02,2690.60 e
Annual,18000.0,PROD_BP,MIO_EUR,UK,30226.6,31791.64,32598.37,28058.81,29634.93,29909.11,30825.12,29108.59 e,:,:,:,:
Annual,18000.0,PROD_PP,MIO_EUR,AT,6987.39,6993.61,6886.72,6941.5,7378.96,7452.49,7546.28,7674.44,8607.24,10542.27,10198.1,9885.28 e
Annual,18000.0,PROD_PP,MIO_EUR,BE,8626.85,8147.41,8196.51,7992.41,8374.56,8247.35,8785.03,8913.74,10000.44,11624.86,11712.49,11613.48 e
Annual,18000.0,PROD_PP,MIO_EUR,BG,4262.09,4159.25,3820.1,3766.39,3959.82,4051.88,4075.14,3884.35,5405.2,6467.0,5269.81,4689.92 e
Annual,18000.0,PROD_PP,MIO_EUR,CH,8502.34,9143.29,9426.2,9670.34,9350.77,9181.07,9844.44,10258.8,9933.81,11392.18,11951.54,11895.36 e
Annual,18000.0,PROD_PP,MIO_EUR,CY,697.21,662.62,680.03,678.65,723.41,714.25,738.51,749.74,785.82,818.53,882.49,908.87 e
Annual,18000.0,PROD_PP,MIO_EUR,CZ,4919.19,4946.79,4711.15,4810.28,4997.1,5221.41,5422.05,5548.35,6420.97,7711.55,7291.14,7053.70 e
Annual,18000.0,PROD_PP,MIO_EUR,DE,61844.25,61188.32,54859.96,54180.0,58981.88,55149.04,60516.08,58833.04,61590.25,77923.88,76146.86,75430.33 e
Annual,18000.0,PROD_PP,MIO_EUR,DK,10977.99,11035.25,10256.49,10009.15,11176.29,10484.76,11109.77,11687.5,11718.58,14007.02,12781.18,11975.56 e
Annual,18000.0,PROD_PP,MIO_EUR,EA19,323153.68,318522.94,315123.4,309297.2,325838.48,330363.96,338424.49,335164.07,360163.27,430028.83,427197.68,423887.46 e
Annual,18000.0,PROD_PP,MIO_EUR,EA20,325488.88,320531.44,317169.8,311411.54,327964.51,332611.05,340753.12,337478.89,362809.18,433194.55,429926.61,426599.69 e
Annual,18000.0,PROD_PP,MIO_EUR,EE,920.0,896.29,913.8,741.15,861.71,851.11,990.22,987.89,1106.61,1607.36,1284.4,1259.51 e
Annual,18000.0,PROD_PP,MIO_EUR,EL,10393.49,10569.8,11195.99,10623.9,11224.47,10966.75,11362.8,11330.66,11777.88,14254.18,13873.88,14888.25 e
Annual,18000.0,PROD_PP,MIO_EUR,ES,43566.2,43514.22,44845.58,47625.46,49862.66,51366.19,51009.52,51018.97,56487.14,62292.94,64745.76,67539.15 e
Annual,18000.0,PROD_PP,MIO_EUR,EU27_2020,400575.89,394209.07,386886.26,381001.02,403894.51,408777.46,419977.27,415367.59,450876.81,540635.83,531182.42,523229.92 e
Annual,18000.0,PROD_PP,MIO_EUR,FI,4640.7,4496.69,4169.9,4173.69,4117.98,4231.48,4763.77,4457.13,4314.51,5461.86,5087.59,5006.48 e
Annual,18000.0,PROD_PP,MIO_EUR,FR,73159.0,74272.7,74040.97,69325.72,72010.93,77016.54,76644.78,75634.53,80129.57,96128.41,94594.46,87215.58 e
Annual,18000.0,PROD_PP,MIO_EUR,HR,2335.2,2008.5,2046.4,2114.34,2126.03,2247.09,2328.63,2314.82,2645.91,3165.72,2728.92,2712.23 e
Annual,18000.0,PROD_PP,MIO_EUR,HU,7714.41,7842.16,7670.84,7979.54,8064.75,8091.83,8339.04,8048.34,9187.95,10044.17,11183.56,10236.05 e
Annual,18000.0,PROD_PP,MIO_EUR,IE,7712.03,7327.62,7487.12,7437.1,8522.2,8643.76,8398.71,8833.65,10093.32,12885.56,11267.17,11660.44 e
Annual,18000.0,PROD_PP,MIO_EUR,IS,314.8,360.56,368.69,391.11,420.69,379.53,371.22,359.25,388.98,467.9,490.6,496.55 e
Annual,18000.0,PROD_PP,MIO_EUR,IT,57898.55,54763.22,56247.19,54225.9,55923.25,58495.4,58095.03,57730.86,61618.67,72546.31,72830.88,74471.57 e
Annual,18000.0,PROD_PP,MIO_EUR,LT,2646.66,2575.55,2715.07,2510.72,2808.52,2577.58,2877.95,3133.92,3343.78,4908.0,3972.29,3943.04 e
Annual,18000.0,PROD_PP,MIO_EUR,LU,422.71,462.08,405.48,406.18,429.35,435.34,442.64,440.25,501.36,597.08,596.27,632.64 e
Annual,18000.0,PROD_PP,MIO_EUR,LV,1290.28,1267.2,1355.48,1246.8,1355.93,1290.48,1571.58,1655.65,1711.39,2288.48,1792.59,1935.48 e
Annual,18000.0,PROD_PP,MIO_EUR,MT,130.37,125.42,128.62,126.12,121.78,121.17,126.4,121.09,122.37,135.51,138.74,133.35 e
Annual,18000.0,PROD_PP,MIO_EUR,NL,31914.14,30885.56,30443.18,30579.57,32125.61,31524.89,32862.3,31796.25,34768.04,40925.71,41625.59,41210.54 e
Annual,18000.0,PROD_PP,MIO_EUR,NO,4400.76,4386.53,4404.31,4399.33,4307.22,4011.61,4197.77,4096.51,4509.49,5300.58,4631.72,4808.30 e
Annual,18000.0,PROD_PP,MIO_EUR,PL,23073.95,22737.23,21770.26,21723.86,24220.94,23924.52,25396.79,25859.27,27251.84,38871.15,35567.27,34731.83 e
Annual,18000.0,PROD_PP,MIO_EUR,PT,6688.82,6715.59,7070.88,6855.55,7448.39,7560.26,8043.77,8093.49,9374.27,10457.06,11977.72,11841.22 e
Annual,18000.0,PROD_PP,MIO_EUR,RO,17756.15,16770.81,15465.33,15443.75,17180.46,18553.78,18963.83,16824.18,21107.1,22218.82,22215.2,20640.61 e
Annual,18000.0,PROD_PP,MIO_EUR,SE,6383.23,6186.14,6022.28,5856.52,6330.62,5838.23,5917.52,6036.71,6975.99,8121.57,6947.65,7302.55 e
Annual,18000.0,PROD_PP,MIO_EUR,SI,1153.55,1217.18,1269.56,1206.89,1153.01,1369.95,1325.15,1366.89,1323.03,1590.98,1580.57,1645.84 e
Annual,18000.0,PROD_PP,MIO_EUR,SK,2405.81,2385.86,2154.39,2362.32,2364.03,2290.87,2233.31,2325.04,2463.63,2982.59,2889.81,2666.39 e
Annual,18000.0,PROD_PP,MIO_EUR,UK,30202.14,31766.02,32547.97,28004.96,29582.23,29856.86,30771.53,29055.67 e,:,:,:,:
