Time frequency,Unit of measure,Severity (days lost),sizeclas,nace_r1,geo\TIME_PERIOD,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
Annual,Number,4 days or over,UNK,TOTAL,EU15_NO,2859102.0,2674526.0,2604299.0,2627510.0,2590596.0,2372304.0,2031093.0,1890301.0,1744226.0,895906.0,880047.0,757961 p
Annual,Number,Fatal,0.0,A,EU15_NO,44.0,15.0,24.0,36.0,17.0,25.0,24.0,13.0,28.0,24.0,27.0,27 p
Annual,Number,Fatal,0.0,A,EU27_2007,:,:,:,:,:,:,:,:,:,24.0,27.0,33.0
Annual,Number,Fatal,0.0,A_D-K,EU15_NO,325.0,224.0,223.0,230.0,178.0,261.0,226.0,168.0,155.0,196.0,219.0,133 p
Annual,Number,Fatal,0.0,A_D-K,EU27_2007,:,:,:,:,:,:,:,:,:,196.0,219.0,157.0
Annual,Number,Fatal,0.0,D,EU15_NO,56.0,40.0,32.0,31.0,28.0,51.0,23.0,19.0,17.0,29.0,33.0,17 p
Annual,Number,Fatal,0.0,D,EU27_2007,:,:,:,:,:,:,:,:,:,29.0,33.0,20.0
Annual,Number,Fatal,0.0,E,EU15_NO,4.0,1.0,0.0,0.0,1.0,3.0,2.0,: p,: p,:,:,: p
Annual,Number,Fatal,0.0,F,EU15_NO,107.0,84.0,86.0,79.0,66.0,95.0,82.0,75.0,57.0,70.0,85.0,54 p
Annual,Number,Fatal,0.0,F,EU27_2007,:,:,:,:,:,:,:,:,:,70.0,85.0,68.0
Annual,Number,Fatal,0.0,G,EU15_NO,35.0,20.0,25.0,24.0,18.0,23.0,29.0,16.0,13.0,17.0,19.0,13 p
Annual,Number,Fatal,0.0,G,EU27_2007,:,:,:,:,:,:,:,:,:,17.0,19.0,14.0
Annual,Number,Fatal,0.0,H,EU15_NO,5.0,1.0,1.0,2.0,2.0,3.0,5.0,: p,8.0,7.0,6.0,: p
Annual,Number,Fatal,0.0,H,EU27_2007,:,:,:,:,:,:,:,:,:,7.0,6.0,2.0
Annual,Number,Fatal,0.0,I,EU15_NO,59.0,53.0,46.0,45.0,37.0,48.0,43.0,34.0,21.0,38.0,38.0,15 p
Annual,Number,Fatal,0.0,I,EU27_2007,:,:,:,:,:,:,:,:,:,38.0,38.0,15.0
Annual,Number,Fatal,0.0,J_K,EU15_NO,15.0,10.0,9.0,13.0,9.0,13.0,18.0,10.0,11.0,11.0,11.0,5 p
Annual,Number,Fatal,0.0,J_K,EU27_2007,:,:,:,:,:,:,:,:,:,11.0,11.0,5.0
Annual,Number,Fatal,0.0,TOTAL,EU15_NO,360.0,248.0,245.0,248.0,195.0,296.0,260.0,185.0,170.0,172.0,173.0,151 p
Annual,Number,Fatal,1-9,A,EU15_NO,87.0,100.0,100.0,104.0,86.0,84.0,82.0,100.0,95.0,108.0,55.0,40 p
Annual,Number,Fatal,1-9,A,EU27_2007,:,:,:,:,:,:,:,:,:,108.0,55.0,88.0
Annual,Number,Fatal,1-9,A_D-K,EU15_NO,903.0,1041.0,1122.0,1043.0,989.0,916.0,908.0,906.0,881.0,1229.0,1244.0,894 p
Annual,Number,Fatal,1-9,A_D-K,EU27_2007,:,:,:,:,:,:,:,:,:,1229.0,1244.0,1173.0
Annual,Number,Fatal,1-9,D,EU15_NO,161.0,191.0,196.0,160.0,151.0,157.0,137.0,137.0,140.0,167.0,192.0,126 p
Annual,Number,Fatal,1-9,D,EU27_2007,:,:,:,:,:,:,:,:,:,167.0,192.0,167.0
Annual,Number,Fatal,1-9,E,EU15_NO,4.0,2.0,2.0,2.0,2.0,2.0,5.0,: p,: p,:,6.0,5 p
Annual,Number,Fatal,1-9,E,EU27_2007,:,:,:,:,:,:,:,:,:,4.0,6.0,6.0
Annual,Number,Fatal,1-9,F,EU15_NO,337.0,340.0,384.0,330.0,328.0,303.0,308.0,347.0,311.0,443.0,465.0,375 p
Annual,Number,Fatal,1-9,F,EU27_2007,:,:,:,:,:,:,:,:,:,443.0,465.0,444.0
Annual,Number,Fatal,1-9,G,EU15_NO,120.0,138.0,162.0,164.0,145.0,112.0,118.0,107.0,111.0,152.0,178.0,92 p
Annual,Number,Fatal,1-9,G,EU27_2007,:,:,:,:,:,:,:,:,:,152.0,178.0,140.0
Annual,Number,Fatal,1-9,H,EU15_NO,16.0,18.0,21.0,26.0,28.0,24.0,15.0,24.0,18.0,33.0,33.0,39 p
Annual,Number,Fatal,1-9,H,EU27_2007,:,:,:,:,:,:,:,:,:,33.0,33.0,42.0
Annual,Number,Fatal,1-9,I,EU15_NO,142.0,196.0,203.0,202.0,186.0,184.0,186.0,139.0,155.0,243.0,245.0,168 p
Annual,Number,Fatal,1-9,I,EU27_2007,:,:,:,:,:,:,:,:,:,243.0,245.0,219.0
Annual,Number,Fatal,1-9,J_K,EU15_NO,36.0,56.0,54.0,55.0,63.0,50.0,57.0,52.0,48.0,79.0,70.0,49 p
Annual,Number,Fatal,1-9,J_K,EU27_2007,:,:,:,:,:,:,:,:,:,79.0,70.0,67.0
Annual,Number,Fatal,1-9,TOTAL,EU15_NO,988.0,1142.0,1217.0,1124.0,1087.0,983.0,981.0,973.0,949.0,1049.0,1065.0,955 p
Annual,Number,Fatal,10-49,A,EU15_NO,10.0,11.0,12.0,17.0,16.0,14.0,15.0,10.0,10.0,64.0,37.0,7 p
Annual,Number,Fatal,10-49,A,EU27_2007,:,:,:,:,:,:,:,:,:,64.0,37.0,44.0
Annual,Number,Fatal,10-49,A_D-K,EU15_NO,716.0,830.0,792.0,810.0,815.0,700.0,722.0,733.0,725.0,1207.0,1177.0,743 p
Annual,Number,Fatal,10-49,A_D-K,EU27_2007,:,:,:,:,:,:,:,:,:,1207.0,1177.0,1139.0
Annual,Number,Fatal,10-49,D,EU15_NO,202.0,254.0,217.0,217.0,206.0,178.0,156.0,173.0,177.0,282.0,270.0,168 p
Annual,Number,Fatal,10-49,D,EU27_2007,:,:,:,:,:,:,:,:,:,282.0,270.0,252.0
Annual,Number,Fatal,10-49,E,EU15_NO,3.0,2.0,2.0,1.0,1.0,7.0,3.0,4.0,4.0,8.0,:,: p
Annual,Number,Fatal,10-49,E,EU27_2007,:,:,:,:,:,:,:,:,:,8.0,5.0,8.0
Annual,Number,Fatal,10-49,F,EU15_NO,236.0,262.0,249.0,248.0,281.0,238.0,244.0,260.0,261.0,388.0,381.0,273 p
Annual,Number,Fatal,10-49,F,EU27_2007,:,:,:,:,:,:,:,:,:,388.0,381.0,399.0
Annual,Number,Fatal,10-49,G,EU15_NO,85.0,100.0,105.0,91.0,99.0,71.0,84.0,74.0,67.0,136.0,137.0,72 p
Annual,Number,Fatal,10-49,G,EU27_2007,:,:,:,:,:,:,:,:,:,136.0,137.0,123.0
Annual,Number,Fatal,10-49,H,EU15_NO,10.0,13.0,13.0,14.0,15.0,4.0,5.0,7.0,8.0,14.0,12.0,6 p
Annual,Number,Fatal,10-49,H,EU27_2007,:,:,:,:,:,:,:,:,:,14.0,12.0,14.0
Annual,Number,Fatal,10-49,I,EU15_NO,122.0,135.0,137.0,159.0,151.0,147.0,164.0,149.0,161.0,242.0,254.0,163 p
Annual,Number,Fatal,10-49,I,EU27_2007,:,:,:,:,:,:,:,:,:,242.0,254.0,225.0
Annual,Number,Fatal,10-49,J_K,EU15_NO,48.0,53.0,57.0,63.0,46.0,41.0,51.0,56.0,37.0,73.0,81.0,51 p
Annual,Number,Fatal,10-49,J_K,EU27_2007,:,:,:,:,:,:,:,:,:,73.0,81.0,74.0
Annual,Number,Fatal,10-49,TOTAL,EU15_NO,807.0,906.0,901.0,892.0,899.0,794.0,766.0,804.0,790.0,865.0,886.0,826 p
Annual,Number,Fatal,250-499,A,EU15_NO,2.0,2.0,3.0,2.0,2.0,2.0,1.0,: p,: p,11.0,:,: p
Annual,Number,Fatal,250-499,A_D-K,EU15_NO,110.0,109.0,127.0,112.0,112.0,121.0,89.0,77.0,86.0,110.0,125.0,121 p
Annual,Number,Fatal,250-499,D,EU15_NO,54.0,51.0,57.0,46.0,41.0,59.0,45.0,32.0,36.0,44.0,51.0,45 p
Annual,Number,Fatal,250-499,E,EU15_NO,3.0,0.0,3.0,4.0,2.0,1.0,3.0,: p,: p,:,:,: p
Annual,Number,Fatal,250-499,F,EU15_NO,16.0,13.0,17.0,23.0,21.0,24.0,9.0,11.0,12.0,13.0,28.0,22 p
Annual,Number,Fatal,250-499,G,EU15_NO,9.0,10.0,13.0,7.0,10.0,6.0,7.0,6.0,4.0,9.0,11.0,14 p
Annual,Number,Fatal,250-499,H,EU15_NO,2.0,0.0,2.0,0.0,0.0,0.0,1.0,: p,: p,:,:,: p
Annual,Number,Fatal,250-499,I,EU15_NO,13.0,20.0,15.0,13.0,18.0,15.0,8.0,11.0,19.0,17.0,13.0,16 p
Annual,Number,Fatal,250-499,J_K,EU15_NO,11.0,13.0,17.0,17.0,18.0,14.0,15.0,14.0,12.0,15.0,18.0,16 p
Annual,Number,Fatal,250-499,TOTAL,EU15_NO,124.0,121.0,141.0,130.0,130.0,142.0,100.0,88.0,96.0,131.0,134.0,130 p
Annual,Number,Fatal,50-249,A,EU15_NO,11.0,7.0,7.0,8.0,9.0,9.0,7.0,5.0,5.0,39.0,32.0,8 p
Annual,Number,Fatal,50-249,A,EU27_2007,:,:,:,:,:,:,:,:,:,39.0,32.0,44.0
Annual,Number,Fatal,50-249,A_D-K,EU15_NO,400.0,440.0,462.0,436.0,386.0,431.0,433.0,412.0,367.0,864.0,818.0,447 p
Annual,Number,Fatal,50-249,A_D-K,EU27_2007,:,:,:,:,:,:,:,:,:,864.0,818.0,847.0
Annual,Number,Fatal,50-249,D,EU15_NO,139.0,137.0,158.0,145.0,124.0,127.0,123.0,124.0,125.0,303.0,234.0,138 p
Annual,Number,Fatal,50-249,D,EU27_2007,:,:,:,:,:,:,:,:,:,303.0,234.0,266.0
Annual,Number,Fatal,50-249,E,EU15_NO,3.0,5.0,3.0,3.0,6.0,3.0,3.0,9.0,8.0,18.0,19.0,4 p
Annual,Number,Fatal,50-249,E,EU27_2007,:,:,:,:,:,:,:,:,:,18.0,19.0,11.0
Annual,Number,Fatal,50-249,F,EU15_NO,98.0,121.0,103.0,100.0,85.0,112.0,117.0,112.0,97.0,214.0,257.0,111 p
Annual,Number,Fatal,50-249,F,EU27_2007,:,:,:,:,:,:,:,:,:,214.0,257.0,216.0
Annual,Number,Fatal,50-249,G,EU15_NO,36.0,30.0,35.0,55.0,28.0,35.0,33.0,29.0,25.0,66.0,69.0,29 p
Annual,Number,Fatal,50-249,G,EU27_2007,:,:,:,:,:,:,:,:,:,66.0,69.0,77.0
Annual,Number,Fatal,50-249,H,EU15_NO,4.0,5.0,5.0,6.0,3.0,1.0,2.0,: p,: p,:,:,: p
Annual,Number,Fatal,50-249,H,EU27_2007,:,:,:,:,:,:,:,:,:,5.0,4.0,2.0
Annual,Number,Fatal,50-249,I,EU15_NO,64.0,77.0,83.0,52.0,75.0,71.0,80.0,63.0,64.0,147.0,126.0,92 p
Annual,Number,Fatal,50-249,I,EU27_2007,:,:,:,:,:,:,:,:,:,147.0,126.0,145.0
Annual,Number,Fatal,50-249,J_K,EU15_NO,45.0,58.0,68.0,67.0,56.0,73.0,68.0,67.0,41.0,72.0,77.0,63 p
Annual,Number,Fatal,50-249,J_K,EU27_2007,:,:,:,:,:,:,:,:,:,72.0,77.0,86.0
Annual,Number,Fatal,50-249,TOTAL,EU15_NO,460.0,498.0,510.0,492.0,448.0,480.0,481.0,462.0,417.0,481.0,509.0,492 p
Annual,Number,Fatal,GE250,A,EU15_NO,4.0,3.0,6.0,6.0,3.0,2.0,2.0,: p,: p,19.0,:,: p
Annual,Number,Fatal,GE250,A,EU27_2007,:,:,:,:,:,:,:,:,:,19.0,11.0,7.0
Annual,Number,Fatal,GE250,A_D-K,EU15_NO,309.0,299.0,304.0,304.0,305.0,273.0,226.0,197.0,209.0,231.0,238.0,277 p
Annual,Number,Fatal,GE250,A_D-K,EU27_2007,:,:,:,:,:,:,:,:,:,231.0,238.0,250.0
