Time frequency,At risk of poverty or social exclusion - Yes/No,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Luxembourg,4.2
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Latvia,2.8
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Malta,3.0
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Netherlands,4.9
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Norway,5.4
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Poland,0.6 u
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Portugal,3.3
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Romania,1.8
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Sweden,7.1
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Slovenia,3.5
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Slovakia,0.7
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Austria,4.1
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Belgium,2.8
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Bulgaria,0.9
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Cyprus,10.5
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Czechia,2.9
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Germany,3.8
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Denmark,7.4
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Euro area – 20 countries (from 2023),4.2
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Estonia,4.6
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Greece,1.4
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Spain,6.1
Annual,Not at risk of poverty or social exclusion,Total,Percentage,European Union - 27 countries (from 2020),3.9
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Finland,9.4
Annual,Not at risk of poverty or social exclusion,Total,Percentage,France,7.1
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Croatia,2.1 u
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Hungary,0.5
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Ireland,5.8 u
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Italy,1.0
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Lithuania,5.0 u
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Luxembourg,4.1
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Latvia,3.4
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Malta,3.1
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Netherlands,5.9
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Norway,5.3
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Poland,0.6 u
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Portugal,3.5
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Romania,1.9
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Sweden,7.4
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Slovenia,4.0
Annual,Not at risk of poverty or social exclusion,Total,Percentage,Slovakia,0.8
Annual,Total,Females,Percentage,Austria,5.1
Annual,Total,Females,Percentage,Belgium,4.3
Annual,Total,Females,Percentage,Bulgaria,1.4
Annual,Total,Females,Percentage,Cyprus,11.2
Annual,Total,Females,Percentage,Czechia,3.7
Annual,Total,Females,Percentage,Germany,4.6
Annual,Total,Females,Percentage,Denmark,9.5
Annual,Total,Females,Percentage,Euro area – 20 countries (from 2023),5.3
Annual,Total,Females,Percentage,Estonia,5.3
Annual,Total,Females,Percentage,Greece,1.7
Annual,Total,Females,Percentage,Spain,7.6
Annual,Total,Females,Percentage,European Union - 27 countries (from 2020),4.8
Annual,Total,Females,Percentage,Finland,10.3
Annual,Total,Females,Percentage,France,8.9
Annual,Total,Females,Percentage,Croatia,2.5 u
Annual,Total,Females,Percentage,Hungary,0.8
Annual,Total,Females,Percentage,Ireland,8.2 u
Annual,Total,Females,Percentage,Italy,1.2
Annual,Total,Females,Percentage,Lithuania,6.1 u
Annual,Total,Females,Percentage,Luxembourg,5.9
Annual,Total,Females,Percentage,Latvia,5.0
Annual,Total,Females,Percentage,Malta,3.6
Annual,Total,Females,Percentage,Netherlands,7.4
Annual,Total,Females,Percentage,Norway,7.1
Annual,Total,Females,Percentage,Poland,0.9 u
Annual,Total,Females,Percentage,Portugal,4.1
Annual,Total,Females,Percentage,Romania,2.1
Annual,Total,Females,Percentage,Sweden,8.6
Annual,Total,Females,Percentage,Slovenia,5.2
Annual,Total,Females,Percentage,Slovakia,1.4
Annual,Total,Males,Percentage,Austria,6.2
Annual,Total,Males,Percentage,Belgium,3.9
Annual,Total,Males,Percentage,Bulgaria,1.6
Annual,Total,Males,Percentage,Cyprus,11.3
Annual,Total,Males,Percentage,Czechia,3.5
Annual,Total,Males,Percentage,Germany,4.7
Annual,Total,Males,Percentage,Denmark,9.3
Annual,Total,Males,Percentage,Euro area – 20 countries (from 2023),5.3
Annual,Total,Males,Percentage,Estonia,5.8
Annual,Total,Males,Percentage,Greece,2.1
Annual,Total,Males,Percentage,Spain,7.8
Annual,Total,Males,Percentage,European Union - 27 countries (from 2020),4.9
Annual,Total,Males,Percentage,Finland,11.2
Annual,Total,Males,Percentage,France,9.2
Annual,Total,Males,Percentage,Croatia,3.2 u
Annual,Total,Males,Percentage,Hungary,0.9
Annual,Total,Males,Percentage,Ireland,6.2 u
Annual,Total,Males,Percentage,Italy,1.3
Annual,Total,Males,Percentage,Lithuania,6.7 u
Annual,Total,Males,Percentage,Luxembourg,6.1
Annual,Total,Males,Percentage,Latvia,3.9
Annual,Total,Males,Percentage,Malta,3.5
Annual,Total,Males,Percentage,Netherlands,6.6
Annual,Total,Males,Percentage,Norway,7.2
Annual,Total,Males,Percentage,Poland,0.8 u
Annual,Total,Males,Percentage,Portugal,3.8
Annual,Total,Males,Percentage,Romania,2.0
Annual,Total,Males,Percentage,Sweden,9.5
Annual,Total,Males,Percentage,Slovenia,4.2
Annual,Total,Males,Percentage,Slovakia,1.2
Annual,Total,Total,Percentage,Austria,5.6
Annual,Total,Total,Percentage,Belgium,4.1
Annual,Total,Total,Percentage,Bulgaria,1.5
Annual,Total,Total,Percentage,Cyprus,11.2
Annual,Total,Total,Percentage,Czechia,3.6
Annual,Total,Total,Percentage,Germany,4.7
Annual,Total,Total,Percentage,Denmark,9.4
Annual,Total,Total,Percentage,Euro area – 20 countries (from 2023),5.3
Annual,Total,Total,Percentage,Estonia,5.5
Annual,Total,Total,Percentage,Greece,1.9
Annual,Total,Total,Percentage,Spain,7.7
Annual,Total,Total,Percentage,European Union - 27 countries (from 2020),4.9
Annual,Total,Total,Percentage,Finland,10.8
Annual,Total,Total,Percentage,France,9.1
Annual,Total,Total,Percentage,Croatia,2.8 u
Annual,Total,Total,Percentage,Hungary,0.8
Annual,Total,Total,Percentage,Ireland,7.2 u
Annual,Total,Total,Percentage,Italy,1.2
Annual,Total,Total,Percentage,Lithuania,6.3 u
Annual,Total,Total,Percentage,Luxembourg,6.0
Annual,Total,Total,Percentage,Latvia,4.5
Annual,Total,Total,Percentage,Malta,3.5
Annual,Total,Total,Percentage,Netherlands,7.0
Annual,Total,Total,Percentage,Norway,7.2
Annual,Total,Total,Percentage,Poland,0.8 u
Annual,Total,Total,Percentage,Portugal,4.0
Annual,Total,Total,Percentage,Romania,2.1
Annual,Total,Total,Percentage,Sweden,9.1
Annual,Total,Total,Percentage,Slovenia,4.7
Annual,Total,Total,Percentage,Slovakia,1.3
Annual,At risk of poverty or social exclusion,Females,Percentage,Austria,11.6
Annual,At risk of poverty or social exclusion,Females,Percentage,Belgium,9.8
Annual,At risk of poverty or social exclusion,Females,Percentage,Bulgaria,2.6
Annual,At risk of poverty or social exclusion,Females,Percentage,Cyprus,13.7
Annual,At risk of poverty or social exclusion,Females,Percentage,Czechia,7.9
Annual,At risk of poverty or social exclusion,Females,Percentage,Germany,7.6
Annual,At risk of poverty or social exclusion,Females,Percentage,Denmark,18.6
Annual,At risk of poverty or social exclusion,Females,Percentage,Euro area – 20 countries (from 2023),9.0
Annual,At risk of poverty or social exclusion,Females,Percentage,Estonia,8.6
Annual,At risk of poverty or social exclusion,Females,Percentage,Greece,2.8
Annual,At risk of poverty or social exclusion,Females,Percentage,Spain,12.3
Annual,At risk of poverty or social exclusion,Females,Percentage,European Union - 27 countries (from 2020),8.1
Annual,At risk of poverty or social exclusion,Females,Percentage,Finland,17.9
Annual,At risk of poverty or social exclusion,Females,Percentage,France,16.7
Annual,At risk of poverty or social exclusion,Females,Percentage,Croatia,4.4 u
Annual,At risk of poverty or social exclusion,Females,Percentage,Hungary,1.9
Annual,At risk of poverty or social exclusion,Females,Percentage,Ireland,14.8 u
Annual,At risk of poverty or social exclusion,Females,Percentage,Italy,1.9
Annual,At risk of poverty or social exclusion,Females,Percentage,Lithuania,8.9 u
Annual,At risk of poverty or social exclusion,Females,Percentage,Luxembourg,12.4
Annual,At risk of poverty or social exclusion,Females,Percentage,Latvia,7.6
Annual,At risk of poverty or social exclusion,Females,Percentage,Malta,5.5
Annual,At risk of poverty or social exclusion,Females,Percentage,Netherlands,10.2
Annual,At risk of poverty or social exclusion,Females,Percentage,Norway,16.0
Annual,At risk of poverty or social exclusion,Females,Percentage,Poland,1.9 u
Annual,At risk of poverty or social exclusion,Females,Percentage,Portugal,6.2
Annual,At risk of poverty or social exclusion,Females,Percentage,Romania,2.5
Annual,At risk of poverty or social exclusion,Females,Percentage,Sweden,13.0
Annual,At risk of poverty or social exclusion,Females,Percentage,Slovenia,8.9
Annual,At risk of poverty or social exclusion,Females,Percentage,Slovakia,4.4
Annual,At risk of poverty or social exclusion,Males,Percentage,Austria,15.0
Annual,At risk of poverty or social exclusion,Males,Percentage,Belgium,9.9
Annual,At risk of poverty or social exclusion,Males,Percentage,Bulgaria,3.6
Annual,At risk of poverty or social exclusion,Males,Percentage,Cyprus,16.0
Annual,At risk of poverty or social exclusion,Males,Percentage,Czechia,9.2
Annual,At risk of poverty or social exclusion,Males,Percentage,Germany,8.4
Annual,At risk of poverty or social exclusion,Males,Percentage,Denmark,18.2
Annual,At risk of poverty or social exclusion,Males,Percentage,Euro area – 20 countries (from 2023),9.6
Annual,At risk of poverty or social exclusion,Males,Percentage,Estonia,7.4
Annual,At risk of poverty or social exclusion,Males,Percentage,Greece,3.9
Annual,At risk of poverty or social exclusion,Males,Percentage,Spain,12.9
Annual,At risk of poverty or social exclusion,Males,Percentage,European Union - 27 countries (from 2020),9.0
Annual,At risk of poverty or social exclusion,Males,Percentage,Finland,17.0
Annual,At risk of poverty or social exclusion,Males,Percentage,France,17.7
Annual,At risk of poverty or social exclusion,Males,Percentage,Croatia,6.2 u
Annual,At risk of poverty or social exclusion,Males,Percentage,Hungary,2.5
Annual,At risk of poverty or social exclusion,Males,Percentage,Ireland,9.8 u
Annual,At risk of poverty or social exclusion,Males,Percentage,Italy,2.1
Annual,At risk of poverty or social exclusion,Males,Percentage,Lithuania,11.6 u
Annual,At risk of poverty or social exclusion,Males,Percentage,Luxembourg,14.8
Annual,At risk of poverty or social exclusion,Males,Percentage,Latvia,7.8
Annual,At risk of poverty or social exclusion,Males,Percentage,Malta,5.4
Annual,At risk of poverty or social exclusion,Males,Percentage,Netherlands,15.8
Annual,At risk of poverty or social exclusion,Males,Percentage,Norway,17.0
Annual,At risk of poverty or social exclusion,Males,Percentage,Poland,1.9 u
Annual,At risk of poverty or social exclusion,Males,Percentage,Portugal,6.0
Annual,At risk of poverty or social exclusion,Males,Percentage,Romania,2.5
Annual,At risk of poverty or social exclusion,Males,Percentage,Sweden,20.8
Annual,At risk of poverty or social exclusion,Males,Percentage,Slovenia,8.7
Annual,At risk of poverty or social exclusion,Males,Percentage,Slovakia,3.7
Annual,At risk of poverty or social exclusion,Total,Percentage,Austria,13.1
Annual,At risk of poverty or social exclusion,Total,Percentage,Belgium,9.9
Annual,At risk of poverty or social exclusion,Total,Percentage,Bulgaria,3.1
Annual,At risk of poverty or social exclusion,Total,Percentage,Cyprus,14.7
Annual,At risk of poverty or social exclusion,Total,Percentage,Czechia,8.3
Annual,At risk of poverty or social exclusion,Total,Percentage,Germany,8.0
Annual,At risk of poverty or social exclusion,Total,Percentage,Denmark,18.4
Annual,At risk of poverty or social exclusion,Total,Percentage,Euro area – 20 countries (from 2023),9.3
Annual,At risk of poverty or social exclusion,Total,Percentage,Estonia,8.1
Annual,At risk of poverty or social exclusion,Total,Percentage,Greece,3.3
Annual,At risk of poverty or social exclusion,Total,Percentage,Spain,12.6
Annual,At risk of poverty or social exclusion,Total,Percentage,European Union - 27 countries (from 2020),8.5
Annual,At risk of poverty or social exclusion,Total,Percentage,Finland,17.5
Annual,At risk of poverty or social exclusion,Total,Percentage,France,17.1
Annual,At risk of poverty or social exclusion,Total,Percentage,Croatia,5.1 u
Annual,At risk of poverty or social exclusion,Total,Percentage,Hungary,2.1
Annual,At risk of poverty or social exclusion,Total,Percentage,Ireland,12.8 u
Annual,At risk of poverty or social exclusion,Total,Percentage,Italy,2.0
Annual,At risk of poverty or social exclusion,Total,Percentage,Lithuania,9.8 u
Annual,At risk of poverty or social exclusion,Total,Percentage,Luxembourg,13.5
Annual,At risk of poverty or social exclusion,Total,Percentage,Latvia,7.6
Annual,At risk of poverty or social exclusion,Total,Percentage,Malta,5.5
Annual,At risk of poverty or social exclusion,Total,Percentage,Netherlands,13.0
Annual,At risk of poverty or social exclusion,Total,Percentage,Norway,16.5
Annual,At risk of poverty or social exclusion,Total,Percentage,Poland,1.9 u
Annual,At risk of poverty or social exclusion,Total,Percentage,Portugal,6.1
Annual,At risk of poverty or social exclusion,Total,Percentage,Romania,2.5
Annual,At risk of poverty or social exclusion,Total,Percentage,Sweden,16.8
Annual,At risk of poverty or social exclusion,Total,Percentage,Slovenia,8.8
Annual,At risk of poverty or social exclusion,Total,Percentage,Slovakia,4.1
