Time frequency,Sex,Age class,Number of children,Age of the child,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Greece,5.9,5.6,6.2,5.6 b,4.8,5.4,6.4,5.7,5.9,6.9,7.0,6.8,6.1,5.7,12.8,20.4 b,12.0,7.4
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Spain,5.3 b,5.2,5.7,5.6,6.2,6.1,6.7,7.0,6.4,5.9,5.9,6.8,7.1,7.8,17.0,16.8 bd,15.1 d,15.6 d
Annual,Females,From 25 to 54 years,Total,Total,Percentage,European Union - 27 countries (from 2020),:,:,:,10.7,11.3,11.4,11.8,11.9,11.8,13.2,13.5,13.5,14.1,15.2,22.8,26.0 b,23.8,23.7
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Finland,16.0 u,15.5 bu,19.7 bu,19.8 u,19.8 u,21.3 u,21.9 u,23.2 u,24.7 u,27.5 u,27.3 u,28.6 u,32.0 u,34.6 u,43.9 u,44.6 b,44.0,45.6
Annual,Females,From 25 to 54 years,Total,Total,Percentage,France,18.2 b,18.2,18.2,19.1,20.1,20.8,21.1,20.5,19.8 b,20.8,21.9,21.1,22.2,24.9,32.8,38.3 bd,38.3 d,38.6 d
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Croatia,4.7 b,3.2,3.2,3.5,3.2,3.5,4.0 b,4.6,4.0,4.5,6.0,6.7,7.4,8.0,14.8,17.0 b,16.0,14.4
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Hungary,7.6,7.3,7.1,8.1,8.2,8.4,9.5,10.5,9.7,9.0,7.0,6.6,6.2 b,4.6,12.7,14.6 b,11.1,8.8
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Ireland,8.6,9.3 b,9.9,10.8,9.9,10.7,12.2,12.3,11.9,11.8,11.7,16.0 b,18.9,19.4,35.1,44.8 b,41.0,39.5
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Italy,4.8,5.0,4.9,4.0,3.9,3.7,4.0,3.8,3.8,4.0,4.0,4.3,4.6 b,4.5,15.8,17.6 b,14.5,14.1
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Lithuania,5.8,6.6,9.3,6.3,5.2,4.5,5.3,5.1,5.3,4.6,5.4,4.9,4.7,4.5,9.8,17.8 bu,14.3,14.7
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Luxembourg,12.1,13.7 b,14.0,19.4 b,21.3,21.5,22.4,24.4,27.0,31.1 bu,30.1,31.6,29.1,31.3,45.9,44.2 b,40.7,40.1
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Latvia,7.5,6.0,3.3,3.5,4.1,3.1,3.1,3.5,4.0,3.4,4.3,3.9,4.9,5.5,6.4,17.0 b,14.1,13.4
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Montenegro,:,:,:,:,:,8.1,10.7,9.1,7.8,13.1,9.0,7.2,6.4,5.0,8.0,:,:,:
Annual,Females,From 25 to 54 years,Total,Total,Percentage,North Macedonia,0.4 u,19.5,14.1,: u,: u,: u,: u,: u,: u,: u,: u,2.7,2.4,3.2,6.1,:,:,:
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Malta,14.2,8.8,11.1,13.2,4.8,4.7,5.0,5.1,6.8,7.3,9.6,10.4,13.2,15.1,32.9,42.2 b,36.6,31.3
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Netherlands,6.6 b,6.3,9.4,9.7,9.5,9.9,10.6,11.2 b,12.6,38.2,39.0,40.6,41.3,43.1,46.8,56.8 bu,56.1 u,55.3 u
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,51.0 b,47.6,48.6
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Poland,12.8,12.8,13.8,14.0,14.6 b,14.4,14.2,14.4,14.8,17.2,16.0,14.5,15.0,15.6 b,21.7,17.7 b,13.9,14.4
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Portugal,4.5,5.0,5.4,4.8,4.5,11.3 b,14.0,15.1,15.2,15.0,14.6,14.6,15.5,16.7,24.1,28.5 b,20.3,18.9
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Romania,1.1,0.9,0.8,0.6,0.5 b,1.0,0.9,0.6,0.9,0.9,0.9,0.7,1.0,1.7,4.8,9.3 b,5.4,4.2
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Serbia,:,:,:,:,7.6,8.4,9.9,10.2,9.1 b,6.5,6.5,6.4,5.9,7.8,11.5,11.6 b,7.9,8.6
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Sweden,:,:,:,19.2,21.9,23.2,25.9,28.7,28.8,28.8,33.1,34.7,36.5 b,37.1,: u,50.5 b,48.6,51.1
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Slovenia,15.5,13.1,13.4,15.6,17.7,17.3,18.1,19.3,20.8,21.0,19.3,21.3,20.7,20.3,22.2,26.5 b,25.3,21.0
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Slovakia,9.5,9.0,8.7,8.6,7.2,8.8 b,10.1,9.6,9.7,9.8,9.7,8.9,9.4,10.2,13.3,16.6 b,13.7,12.2
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Türkiye,10.4,9.3,9.4,8.4,8.6,9.0,5.9,6.6,8.5 b,7.9,7.6,8.1,8.3,8.0,11.1,13.7 b,8.6,11.2
Annual,Females,From 25 to 54 years,Total,Total,Percentage,United Kingdom,26.9,27.7 bu,24.4 b,25.2,25.4,25.5,26.0,26.3,26.5,25.6,25.9,26.5,26.6,29.0,:,:,:,:
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Austria,22.0,23.0 b,22.6,23.6,24.2,24.5,24.7,24.0,23.8,24.6,24.7,24.0,23.7,23.9,30.7,30.4 b,29.7,30.5
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14.9 b,12.6,11.4
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Belgium,18.0,19.0,18.5,19.4,20.8,22.3 b,22.3,22.9,23.9,23.9,23.7,24.2 b,23.9,25.4,33.6,39.8 b,34.3,36.0
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Bulgaria,4.5,2.3,1.8 b,1.3,1.4 b,1.3 b,1.5,1.3,1.2,0.8 u,0.9 u,0.8 u,0.7 u,1.1 b,2.2,5.7 b,4.1,2.8
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Cyprus,0.5 u,0.8 u,0.9 u,0.8 bu,1.0 u,1.2,2.1,3.0,3.2,2.7,3.0,3.1,2.6,2.6,7.8,13.2 b,10.3,10.3
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Czechia,9.0,6.5,6.4,6.8,7.3,8.0 b,7.9,8.5,7.6,7.2,9.5,9.4,9.9,10.4,13.6,14.1 b,16.4,16.7
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Germany,14.7 b,15.4,16.1,14.4,14.8 b,13.3 b,13.1 b,12.8,12.7,13.0,12.6,12.4,13.5,14.6,24.0 b,28.0 b,27.1,26.5
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Denmark,: u,32.6 u,34.4 bu,32.9 u,35.6 b,39.9,40.6,39.0,34.1,35.6,41.0 b,37.3 b,34.0,34.3,41.3,41.8 b,40.1,39.8 b
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Euro area – 20 countries (from 2023),11.0,11.3,11.9,11.8,12.1,12.2,12.6,12.6,12.4,13.8,13.8,14.2,14.7,15.7,22.6,25.3 b,23.7,23.8
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Estonia,9.4,7.0,7.1,10.1,11.5,12.3,12.5,13.4,13.8,13.8,15.7,17.7,20.7,21.2,23.7,27.1 b,25.9,28.0
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Greece,3.5,3.0,3.5,3.7 b,3.1,3.0,3.8,3.9,4.8,5.0,5.5,4.6,4.5,4.7,8.7,12.9 b,9.4,7.6
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Spain,5.5 b,5.6,5.8,6.3,6.3,7.2,7.8,7.5,7.3,7.0,6.8,8.2,8.3,9.0,14.9,15.4 bd,14.1 d,14.9 d
Annual,Males,From 25 to 54 years,Total,Total,Percentage,European Union - 27 countries (from 2020),:,:,:,11.1,11.7,12.0,12.3,12.4,12.3,13.5,13.6,13.8,14.2,15.1,20.7,23.3 b,21.6,21.9
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Finland,18.2 u,18.5 bu,23.3 bu,24.2 u,24.5 u,25.6 u,26.9 u,29.6 u,29.8 u,30.4 u,32.9 u,32.7 u,33.9 u,35.6 u,42.1 u,44.4 b,44.6,44.8
Annual,Males,From 25 to 54 years,Total,Total,Percentage,France,17.8 b,18.6,17.9,19.2,20.5,20.6,21.0,20.3,19.7 b,19.8,20.4,21.2,21.4,23.7,29.7,34.7 bd,33.2 d,33.9 d
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Croatia,4.7 b,3.8,3.4,3.4,3.2,3.5,3.9 b,4.0,3.7,4.1,5.3,6.1,6.7,7.1,9.9,12.3 b,12.4,12.7
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Hungary,6.5,6.5,6.7,7.1,7.9,8.4,9.0,10.9,9.7,8.6,7.2,6.6,5.9 b,4.8,10.9,13.9 b,11.4,9.5
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Ireland,15.2,15.5 b,16.9,18.0,16.9,18.1,18.4,17.7,15.9,16.0,14.9,18.8 b,22.3,22.8,34.5,43.9 b,40.4,42.7
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Italy,5.5,5.9,6.1,4.8,4.7,4.5,4.9,4.8,4.3,4.7,4.4,4.8,5.1 b,5.0,12.1,13.0 b,11.3,11.3
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Lithuania,3.8 u,4.8,7.7,5.8,5.1,4.8,5.7,5.8,5.3,5.0,4.9,4.7,4.8,4.8,8.4,14.2 b,12.0,14.0
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Luxembourg,8.0,9.5 b,8.3,22.4 b,22.8,23.1,24.7,26.6,28.1,35.2 bu,31.3,30.9,29.2,32.3,46.4,44.5 b,40.8,39.8
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Latvia,5.7,4.2,3.0,2.8,3.2,2.8,3.0,2.6,3.4,2.5,4.0,3.4,4.6,4.9,5.7,12.8 b,10.4,10.3
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Montenegro,:,:,:,:,:,11.4,15.8,13.2,10.9,12.2,10.0,10.3,8.2,7.8,8.2,:,:,:
Annual,Males,From 25 to 54 years,Total,Total,Percentage,North Macedonia,0.5,17.8,11.9,: u,: u,: u,: u,: u,: u,: u,: u,2.4,3.0,2.7,3.2,:,:,:
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Malta,7.6,6.9,8.4,9.0,3.9,3.6,3.6,4.4,5.4,4.5,6.3,7.6,9.8,11.8,23.0,27.7 b,28.0,22.5
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Netherlands,6.5 b,6.1,13.1,13.7,13.7,14.6,14.6,15.9 b,16.0,40.4,40.5,40.4,41.2,42.6,45.2,57.2 bu,56.0 u,55.2 u
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,50.2 b,49.9,50.1
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Poland,9.2,9.4,10.7,11.3,12.0 b,11.9,11.9,12.2,12.8,15.6,14.6,13.9,14.3,14.7 b,17.5,15.1 b,12.4,14.4
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Portugal,4.9,5.1,5.1,5.2,4.9,10.1 b,12.4,14.2,15.1,14.6,15.4,15.7,15.8,16.6,23.2,26.2 b,19.1,19.2
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Romania,0.7,0.6,0.5,0.4,0.3 bu,0.6,0.7,0.5,0.5,0.7,0.7,0.5,0.6,1.2,2.4,5.5 b,4.0,3.1
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Serbia,:,:,:,:,8.2,10.2,11.5,9.9,8.6 b,7.0,6.0,4.7,5.0,6.5,8.2,8.4 b,7.0,7.7
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Sweden,:,:,:,23.9,26.2,28.7,30.0,33.2,34.7,33.5,35.7,37.4,37.6 b,39.6,: u,49.9 b,45.6,46.3
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Slovenia,10.5,8.6,8.6,11.5,14.3,14.7,14.4,15.7,16.9,18.2,17.2,17.2,17.3,16.9,19.5,21.7 b,22.4,18.2
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Slovakia,7.8,7.4,6.6,6.9,7.2,7.7 b,8.1,8.0,8.9,8.7,7.8,8.4,9.5,9.9,11.1,15.2 b,14.1,13.9
Annual,Males,From 25 to 54 years,Total,Total,Percentage,Türkiye,3.0,2.6,2.8,1.9,2.1,1.9,0.7,0.7,1.2 b,0.9,0.9,0.7,0.7,1.1,2.2,4.2 b,2.2,3.2
Annual,Males,From 25 to 54 years,Total,Total,Percentage,United Kingdom,29.1 u,28.8 bu,26.5 b,25.6,26.3,26.2,26.7,26.2,25.8,26.1,25.3,26.1,25.7,28.6,:,:,:,:
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Austria,20.9,21.7 b,21.4,22.2,22.4,22.9,22.7,22.4,22.5,22.7,22.8,22.6,22.3,22.7,30.3,30.2 b,29.6,30.2
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.3 b,13.1,12.0
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Belgium,17.0,18.1,17.3,18.5,19.8,20.9 b,21.0,21.6,23.0,23.0,23.2,24.0 b,23.5,25.7,35.0,41.8 b,37.2,38.0
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Bulgaria,5.2,3.1,2.4 b,1.7,1.8 b,1.8 b,1.8,1.6,1.3,1.0,1.1,1.0,0.8,1.1 b,3.1,6.9 b,4.7,2.9
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Cyprus,0.9,0.9,1.3,1.2 b,1.5,1.6,2.1,3.1,3.0,2.6,3.0,2.7,2.4,2.9,8.7,14.3 b,12.3,11.9
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Czechia,9.0,6.7,6.6,6.8,7.3,7.8 b,7.8,8.2,7.9,7.6,9.2,9.2,9.4,10.3,13.4,15.0 b,16.3,15.9
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Germany,13.6 b,14.2,15.0,13.4,13.6 b,12.2 b,12.1 b,11.8,11.6,12.0,11.7,11.6,12.6,13.7,22.9 b,27.5 b,26.6,26.4
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Denmark,: u,30.0 u,31.3 bu,31.4 u,34.5 b,36.5,36.5,36.4,31.2,32.7,38.6 b,34.3 b,32.2,32.7,40.8,41.9 b,39.0,40.2 b
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Euro area – 20 countries (from 2023),10.8,11.1,11.6,11.4,11.7,11.8,12.2,12.2,12.1,13.5,13.6,14.0,14.6,15.7,23.4,26.6 b,24.8,24.8
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Estonia,9.5,7.5,7.1,10.3,12.1,12.7,12.7,13.5,13.9,13.8,15.7,17.7,21.7,22.4,26.1,29.9 b,28.9,31.2
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Greece,4.5,4.1,4.6,4.5 b,3.8,4.0,4.9,4.6,5.3,5.8,6.2,5.5,5.1,5.2,10.5,16.1 b,10.5,7.5
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Spain,5.4 b,5.4,5.7,6.0,6.3,6.7,7.3,7.3,6.9,6.5,6.4,7.6,7.7,8.4,15.9,16.1 bd,14.6 d,15.2 d
Annual,Total,From 25 to 54 years,Total,Total,Percentage,European Union - 27 countries (from 2020),:,:,:,10.9,11.5,11.7,12.1,12.2,12.1,13.4,13.5,13.6,14.1,15.1,21.7,24.5 b,22.6,22.7
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Finland,17.2 u,17.1 bu,21.6 bu,22.1 u,22.3 u,23.6 u,24.5 u,26.6 u,27.4 u,29.0 u,30.4 u,30.8 u,33.0 u,35.1 u,42.9 u,44.5 b,44.3,45.2
Annual,Total,From 25 to 54 years,Total,Total,Percentage,France,18.0 b,18.4,18.0,19.1,20.3,20.7,21.1,20.4,19.7 b,20.3,21.1,21.2,21.8,24.3,31.2,36.4 bd,35.7 d,36.2 d
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Croatia,4.7 b,3.5,3.3,3.4,3.2,3.5,4.0 b,4.3,3.9,4.3,5.6,6.4,7.0,7.6,12.3,14.6 b,14.1,13.5
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Hungary,7.0,6.9,6.9,7.6,8.1,8.4,9.3,10.7,9.7,8.8,7.1,6.6,6.0 b,4.7,11.7,14.2 b,11.2,9.2
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Ireland,12.4,12.8 b,13.8,14.7,13.6,14.7,15.5,15.2,14.1,14.0,13.4,17.5 b,20.7,21.2,34.8,44.3 b,40.7,41.2
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Italy,5.2,5.5,5.6,4.5,4.4,4.2,4.5,4.4,4.1,4.4,4.3,4.6,4.9 b,4.8,13.7,15.0 b,12.7,12.5
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Lithuania,4.8,5.7,8.5,6.1,5.1,4.6,5.5,5.4,5.3,4.8,5.1,4.8,4.7,4.7,9.0,15.9 b,13.1,14.3
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Luxembourg,9.7,11.3 b,10.8,21.1 b,22.2,22.4,23.7,25.6,27.6,33.4 bu,30.8,31.2,29.2,31.8,46.2,44.4 b,40.8,39.9
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Latvia,6.6,5.1,3.1,3.2,3.7,3.0,3.1,3.1,3.7,2.9,4.1,3.6,4.8,5.2,6.0,14.9 b,12.2,11.8
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Montenegro,:,:,:,:,:,9.9,13.5,11.3,9.5,12.6,9.5,8.9,7.4,6.5,8.1,:,:,:
Annual,Total,From 25 to 54 years,Total,Total,Percentage,North Macedonia,0.4,18.5,12.8,: u,: u,: u,: u,: u,: u,: u,: u,2.5,2.7,2.9,4.4,:,:,:
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Malta,9.5,7.5,9.3,10.4,4.2,4.0,4.1,4.7,6.0,5.6,7.6,8.8,11.2,13.1,27.0,33.7 b,31.6,26.1
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Netherlands,6.5 b,6.2,11.4,11.9,11.8,12.4,12.7,13.7 b,14.4,39.4,39.8,40.5,41.3,42.8,46.0,57.0 bu,56.0 u,55.2 u
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,50.6 b,48.8,49.4
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Poland,10.9,11.0,12.1,12.5,13.2 b,13.0,13.0,13.2,13.7,16.4,15.2,14.1,14.6,15.1 b,19.4,16.3 b,13.1,14.4
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Portugal,4.7,5.1,5.2,5.0,4.7,10.7 b,13.2,14.6,15.1,14.8,15.0,15.2,15.6,16.7,23.7,27.4 b,19.7,19.0
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Romania,0.9,0.7,0.6,0.5,0.4 b,0.8,0.8,0.6,0.7,0.8,0.8,0.6,0.8,1.4,3.5,7.1 b,4.6,3.6
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Serbia,:,:,:,:,7.9,9.4,10.8,10.0,8.9 b,6.8,6.2,5.5,5.4,7.1,9.8,9.9 b,7.4,8.1
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Sweden,:,:,:,21.6,24.2,26.1,28.1,31.1,31.9,31.2,34.5,36.1,37.1 b,38.4,: u,50.2 b,47.0,48.6
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Slovenia,12.8,10.7,10.9,13.4,15.9,16.0,16.2,17.4,18.7,19.5,18.2,19.1,18.9,18.5,20.7,24.0 b,23.7,19.5
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Slovakia,8.5,8.2,7.5,7.7,7.2,8.2 b,9.0,8.7,9.2,9.2,8.7,8.6,9.4,10.1,12.1,15.8 b,13.9,13.1
Annual,Total,From 25 to 54 years,Total,Total,Percentage,Türkiye,4.8,4.2,4.4,3.6,3.8,3.9,2.2,2.4,3.3 b,3.0,2.9,3.0,3.1,3.3,5.0,7.2 b,4.3,5.9
Annual,Total,From 25 to 54 years,Total,Total,Percentage,United Kingdom,28.1 u,28.3 bu,25.5 b,25.4,25.9,25.9,26.3,26.2,26.1,25.9,25.6,26.3,26.1,28.8,:,:,:,:
