Time frequency,Survey on variables under vines,Wine-grape vine variety,Age class,Geopolitical entity (reporting)\Time,2009.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety)-for quality wines,20 years or over,Cyprus,148.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety)-for quality wines,30 years or over,Cyprus,137.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety)-for quality wines,Less than 3 years,Cyprus,6.0
Annual,Cultivated area under wine-grape vine varieties (ha),Carignan noir,Total,Cyprus,481.0
Annual,Cultivated area under wine-grape vine varieties (ha),Carignan noir,From 10 to 19 years,Cyprus,216.0
Annual,Cultivated area under wine-grape vine varieties (ha),Carignan noir,From 20 to 29 years,Cyprus,157.0
Annual,Cultivated area under wine-grape vine varieties (ha),Carignan noir,From 3 to 5 years,Cyprus,5.0
Annual,Cultivated area under wine-grape vine varieties (ha),Carignan noir,From 3 to 9 years,Cyprus,26.0
Annual,Cultivated area under wine-grape vine varieties (ha),Carignan noir,From 6 to 9 years,Cyprus,21.0
Annual,Cultivated area under wine-grape vine varieties (ha),Carignan noir,20 years or over,Cyprus,238.0
Annual,Cultivated area under wine-grape vine varieties (ha),Carignan noir,30 years or over,Cyprus,81.0
Annual,Cultivated area under wine-grape vine varieties (ha),Carignan noir,Less than 3 years,Cyprus,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet franc,Total,Cyprus,203.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet franc,From 10 to 19 years,Cyprus,91.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet franc,From 20 to 29 years,Cyprus,14.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet franc,From 3 to 5 years,Cyprus,23.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet franc,From 3 to 9 years,Cyprus,88.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet franc,From 6 to 9 years,Cyprus,65.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet franc,20 years or over,Cyprus,23.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet franc,30 years or over,Cyprus,9.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet franc,Less than 3 years,Cyprus,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet sauvignon,Total,Cyprus,369.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet sauvignon,From 10 to 19 years,Cyprus,164.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet sauvignon,From 20 to 29 years,Cyprus,19.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet sauvignon,From 3 to 5 years,Cyprus,34.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet sauvignon,From 3 to 9 years,Cyprus,166.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet sauvignon,From 6 to 9 years,Cyprus,132.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet sauvignon,20 years or over,Cyprus,31.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet sauvignon,30 years or over,Cyprus,12.0
Annual,Cultivated area under wine-grape vine varieties (ha),Cabernet sauvignon,Less than 3 years,Cyprus,8.0
Annual,Cultivated area under wine-grape vine varieties (ha),Maratheftiko (local variety),Total,Cyprus,152.0
Annual,Cultivated area under wine-grape vine varieties (ha),Maratheftiko (local variety),From 10 to 19 years,Cyprus,13.0
Annual,Cultivated area under wine-grape vine varieties (ha),Maratheftiko (local variety),From 20 to 29 years,Cyprus,2.0
Annual,Cultivated area under wine-grape vine varieties (ha),Maratheftiko (local variety),From 3 to 5 years,Cyprus,62.0
Annual,Cultivated area under wine-grape vine varieties (ha),Maratheftiko (local variety),From 3 to 9 years,Cyprus,107.0
Annual,Cultivated area under wine-grape vine varieties (ha),Maratheftiko (local variety),From 6 to 9 years,Cyprus,45.0
Annual,Cultivated area under wine-grape vine varieties (ha),Maratheftiko (local variety),20 years or over,Cyprus,5.0
Annual,Cultivated area under wine-grape vine varieties (ha),Maratheftiko (local variety),30 years or over,Cyprus,3.0
Annual,Cultivated area under wine-grape vine varieties (ha),Maratheftiko (local variety),Less than 3 years,Cyprus,27.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mataro,Total,Cyprus,172.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mataro,From 10 to 19 years,Cyprus,66.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mataro,From 20 to 29 years,Cyprus,45.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mataro,From 3 to 5 years,Cyprus,24.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mataro,From 3 to 9 years,Cyprus,41.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mataro,From 6 to 9 years,Cyprus,17.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mataro,20 years or over,Cyprus,55.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mataro,30 years or over,Cyprus,10.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mataro,Less than 3 years,Cyprus,10.0
Annual,Cultivated area under wine-grape vine varieties (ha),Ofthalmo (local variety),Total,Cyprus,141.0
Annual,Cultivated area under wine-grape vine varieties (ha),Ofthalmo (local variety),From 10 to 19 years,Cyprus,36.0
Annual,Cultivated area under wine-grape vine varieties (ha),Ofthalmo (local variety),From 20 to 29 years,Cyprus,9.0
Annual,Cultivated area under wine-grape vine varieties (ha),Ofthalmo (local variety),From 3 to 5 years,Cyprus,12.0
Annual,Cultivated area under wine-grape vine varieties (ha),Ofthalmo (local variety),From 3 to 9 years,Cyprus,78.0
Annual,Cultivated area under wine-grape vine varieties (ha),Ofthalmo (local variety),From 6 to 9 years,Cyprus,66.0
Annual,Cultivated area under wine-grape vine varieties (ha),Ofthalmo (local variety),20 years or over,Cyprus,25.0
Annual,Cultivated area under wine-grape vine varieties (ha),Ofthalmo (local variety),30 years or over,Cyprus,16.0
Annual,Cultivated area under wine-grape vine varieties (ha),Ofthalmo (local variety),Less than 3 years,Cyprus,2.0
Annual,Cultivated area under wine-grape vine varieties (ha),Merlot,Total,Cyprus,63.0
Annual,Cultivated area under wine-grape vine varieties (ha),Merlot,From 10 to 19 years,Cyprus,5.0
Annual,Cultivated area under wine-grape vine varieties (ha),Merlot,From 20 to 29 years,Cyprus,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Merlot,From 3 to 5 years,Cyprus,26.0
Annual,Cultivated area under wine-grape vine varieties (ha),Merlot,From 3 to 9 years,Cyprus,45.0
Annual,Cultivated area under wine-grape vine varieties (ha),Merlot,From 6 to 9 years,Cyprus,19.0
Annual,Cultivated area under wine-grape vine varieties (ha),Merlot,20 years or over,Cyprus,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Merlot,30 years or over,Cyprus,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Merlot,Less than 3 years,Cyprus,12.0
Annual,Cultivated area under wine-grape vine varieties (ha),Shiraz,Total,Cyprus,244.0
Annual,Cultivated area under wine-grape vine varieties (ha),Shiraz,From 10 to 19 years,Cyprus,20.0
Annual,Cultivated area under wine-grape vine varieties (ha),Shiraz,From 20 to 29 years,Cyprus,2.0
Annual,Cultivated area under wine-grape vine varieties (ha),Shiraz,From 3 to 5 years,Cyprus,93.0
Annual,Cultivated area under wine-grape vine varieties (ha),Shiraz,From 3 to 9 years,Cyprus,185.0
Annual,Cultivated area under wine-grape vine varieties (ha),Shiraz,From 6 to 9 years,Cyprus,92.0
Annual,Cultivated area under wine-grape vine varieties (ha),Shiraz,20 years or over,Cyprus,4.0
Annual,Cultivated area under wine-grape vine varieties (ha),Shiraz,30 years or over,Cyprus,2.0
Annual,Cultivated area under wine-grape vine varieties (ha),Shiraz,Less than 3 years,Cyprus,35.0
Annual,Cultivated area under wine-grape vine varieties (ha),Lefkada (local variety),Total,Cyprus,96.0
Annual,Cultivated area under wine-grape vine varieties (ha),Lefkada (local variety),From 10 to 19 years,Cyprus,26.0
Annual,Cultivated area under wine-grape vine varieties (ha),Lefkada (local variety),From 20 to 29 years,Cyprus,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Lefkada (local variety),From 3 to 5 years,Cyprus,24.0
Annual,Cultivated area under wine-grape vine varieties (ha),Lefkada (local variety),From 3 to 9 years,Cyprus,68.0
Annual,Cultivated area under wine-grape vine varieties (ha),Lefkada (local variety),From 6 to 9 years,Cyprus,44.0
Annual,Cultivated area under wine-grape vine varieties (ha),Lefkada (local variety),20 years or over,Cyprus,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Lefkada (local variety),30 years or over,Cyprus,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Lefkada (local variety),Less than 3 years,Cyprus,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Grenache,Total,Cyprus,84.0
Annual,Cultivated area under wine-grape vine varieties (ha),Grenache,From 10 to 19 years,Cyprus,7.0
Annual,Cultivated area under wine-grape vine varieties (ha),Grenache,From 20 to 29 years,Cyprus,35.0
Annual,Cultivated area under wine-grape vine varieties (ha),Grenache,From 3 to 5 years,Cyprus,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Grenache,From 3 to 9 years,Cyprus,5.0
Annual,Cultivated area under wine-grape vine varieties (ha),Grenache,From 6 to 9 years,Cyprus,4.0
Annual,Cultivated area under wine-grape vine varieties (ha),Grenache,20 years or over,Cyprus,71.0
Annual,Cultivated area under wine-grape vine varieties (ha),Grenache,30 years or over,Cyprus,36.0
Annual,Cultivated area under wine-grape vine varieties (ha),Grenache,Less than 3 years,Cyprus,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety),Total,Cyprus,1604.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety),From 10 to 19 years,Cyprus,193.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety),From 20 to 29 years,Cyprus,144.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety),From 3 to 5 years,Cyprus,119.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety),From 3 to 9 years,Cyprus,175.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety),From 6 to 9 years,Cyprus,56.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety),20 years or over,Cyprus,957.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety),30 years or over,Cyprus,813.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety),Less than 3 years,Cyprus,279.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety)-for quality wines,Total,Cyprus,488.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety)-for quality wines,From 10 to 19 years,Cyprus,20.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety)-for quality wines,From 20 to 29 years,Cyprus,41.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety)-for quality wines,From 3 to 5 years,Cyprus,56.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety)-for quality wines,From 3 to 9 years,Cyprus,66.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety)-for quality wines,From 6 to 9 years,Cyprus,10.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety)-for quality wines,20 years or over,Cyprus,385.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety)-for quality wines,30 years or over,Cyprus,344.0
Annual,Cultivated area under wine-grape vine varieties (ha),Xynisteri (local variety)-for quality wines,Less than 3 years,Cyprus,17.0
Annual,Cultivated area under wine-grape vine varieties (ha),Malaga (local variety),Total,Cyprus,120.0
Annual,Cultivated area under wine-grape vine varieties (ha),Malaga (local variety),From 10 to 19 years,Cyprus,5.0
Annual,Cultivated area under wine-grape vine varieties (ha),Malaga (local variety),From 20 to 29 years,Cyprus,11.0
Annual,Cultivated area under wine-grape vine varieties (ha),Malaga (local variety),From 3 to 5 years,Cyprus,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Malaga (local variety),From 3 to 9 years,Cyprus,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Malaga (local variety),From 6 to 9 years,Cyprus,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Malaga (local variety),20 years or over,Cyprus,112.0
Annual,Cultivated area under wine-grape vine varieties (ha),Malaga (local variety),30 years or over,Cyprus,101.0
Annual,Cultivated area under wine-grape vine varieties (ha),Malaga (local variety),Less than 3 years,Cyprus,2.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,Total,Cyprus,128.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,From 10 to 19 years,Cyprus,37.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,From 20 to 29 years,Cyprus,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,From 3 to 5 years,Cyprus,46.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,From 3 to 9 years,Cyprus,85.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,From 6 to 9 years,Cyprus,39.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,20 years or over,Cyprus,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,30 years or over,Cyprus,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,Less than 3 years,Cyprus,6.0
Annual,Cultivated area under wine-grape vine varieties (ha),Soultanina (local  variety),Total,Cyprus,371.0
Annual,Cultivated area under wine-grape vine varieties (ha),Soultanina (local  variety),From 10 to 19 years,Cyprus,15.0
Annual,Cultivated area under wine-grape vine varieties (ha),Soultanina (local  variety),From 20 to 29 years,Cyprus,21.0
Annual,Cultivated area under wine-grape vine varieties (ha),Soultanina (local  variety),From 3 to 5 years,Cyprus,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Soultanina (local  variety),From 3 to 9 years,Cyprus,3.0
Annual,Cultivated area under wine-grape vine varieties (ha),Soultanina (local  variety),From 6 to 9 years,Cyprus,3.0
Annual,Cultivated area under wine-grape vine varieties (ha),Soultanina (local  variety),20 years or over,Cyprus,345.0
Annual,Cultivated area under wine-grape vine varieties (ha),Soultanina (local  variety),30 years or over,Cyprus,324.0
Annual,Cultivated area under wine-grape vine varieties (ha),Soultanina (local  variety),Less than 3 years,Cyprus,8.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",Total,Cyprus,127.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",From 10 to 19 years,Cyprus,37.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",From 20 to 29 years,Cyprus,34.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",From 3 to 5 years,Cyprus,11.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",From 3 to 9 years,Cyprus,34.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",From 6 to 9 years,Cyprus,23.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",20 years or over,Cyprus,48.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",30 years or over,Cyprus,14.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",Less than 3 years,Cyprus,8.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,Total,Cyprus,190.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,From 10 to 19 years,Cyprus,56.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,From 20 to 29 years,Cyprus,51.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,From 3 to 5 years,Cyprus,17.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,From 3 to 9 years,Cyprus,51.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,From 6 to 9 years,Cyprus,34.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,20 years or over,Cyprus,72.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,30 years or over,Cyprus,21.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,Less than 3 years,Cyprus,11.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",Total,Cyprus,5707.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",From 10 to 19 years,Cyprus,737.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",From 20 to 29 years,Cyprus,435.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",From 3 to 5 years,Cyprus,431.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",From 3 to 9 years,Cyprus,1027.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",From 6 to 9 years,Cyprus,596.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",20 years or over,Cyprus,3772.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",30 years or over,Cyprus,3337.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",Less than 3 years,Cyprus,171.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",Total,Cyprus,8291.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",From 10 to 19 years,Cyprus,970.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",From 20 to 29 years,Cyprus,618.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",From 3 to 5 years,Cyprus,641.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",From 3 to 9 years,Cyprus,1323.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",From 6 to 9 years,Cyprus,682.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",20 years or over,Cyprus,5523.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",30 years or over,Cyprus,4905.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",Less than 3 years,Cyprus,475.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",Total,Cyprus,317.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",From 10 to 19 years,Cyprus,93.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",From 20 to 29 years,Cyprus,85.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",From 3 to 5 years,Cyprus,28.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",From 3 to 9 years,Cyprus,85.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",From 6 to 9 years,Cyprus,57.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",20 years or over,Cyprus,120.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",30 years or over,Cyprus,35.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",Less than 3 years,Cyprus,19.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",Total,Cyprus,8608.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",From 10 to 19 years,Cyprus,1063.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",From 20 to 29 years,Cyprus,703.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",From 3 to 5 years,Cyprus,669.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",From 3 to 9 years,Cyprus,1408.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",From 6 to 9 years,Cyprus,739.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",20 years or over,Cyprus,5643.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",30 years or over,Cyprus,4940.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",Less than 3 years,Cyprus,494.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",Total,Cyprus,2901.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",From 10 to 19 years,Cyprus,326.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",From 20 to 29 years,Cyprus,268.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",From 3 to 5 years,Cyprus,238.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",From 3 to 9 years,Cyprus,381.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",From 6 to 9 years,Cyprus,143.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",20 years or over,Cyprus,1871.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",30 years or over,Cyprus,1603.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",Less than 3 years,Cyprus,323.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",Total,Cyprus,2711.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",From 10 to 19 years,Cyprus,270.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",From 20 to 29 years,Cyprus,217.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",From 3 to 5 years,Cyprus,221.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",From 3 to 9 years,Cyprus,330.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",From 6 to 9 years,Cyprus,109.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",20 years or over,Cyprus,1799.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",30 years or over,Cyprus,1582.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",Less than 3 years,Cyprus,312.0
