Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Unit of measure,Geopolitical entity (reporting)\Time,2005.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Greece,2.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Spain,12.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,European Union - 27 countries (from 2020),25.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,European Union - 28 countries (2013-2020),28.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Finland,18.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,France,34.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Hungary,7.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Ireland,17.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Italy,38.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Lithuania,15.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Luxembourg,30.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Latvia,4.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Malta,9.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Netherlands,43.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Norway,18.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Poland,11.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Portugal,5.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Romania,1.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Sweden,6.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Slovenia,12.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Slovakia,0.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,United Kingdom,49.9
Annual,Financial intermediation,Percentage,Austria,21.2
Annual,Financial intermediation,Percentage,Belgium,6.4
Annual,Financial intermediation,Percentage,Bulgaria,19.4
Annual,Financial intermediation,Percentage,Cyprus,2.5
Annual,Financial intermediation,Percentage,Czechia,0.0
Annual,Financial intermediation,Percentage,Germany,76.6
Annual,Financial intermediation,Percentage,Denmark,34.4
Annual,Financial intermediation,Percentage,Estonia,2.7
Annual,Financial intermediation,Percentage,Greece,3.2
Annual,Financial intermediation,Percentage,Spain,21.3
Annual,Financial intermediation,Percentage,European Union - 27 countries (from 2020),29.9
Annual,Financial intermediation,Percentage,European Union - 28 countries (2013-2020),32.8
Annual,Financial intermediation,Percentage,Finland,10.7
Annual,Financial intermediation,Percentage,France,29.6
Annual,Financial intermediation,Percentage,Hungary,14.6
Annual,Financial intermediation,Percentage,Ireland,13.5
Annual,Financial intermediation,Percentage,Italy,28.8
Annual,Financial intermediation,Percentage,Lithuania,26.3
Annual,Financial intermediation,Percentage,Luxembourg,7.7
Annual,Financial intermediation,Percentage,Latvia,8.5
Annual,Financial intermediation,Percentage,Malta,15.0
Annual,Financial intermediation,Percentage,Netherlands,36.1
Annual,Financial intermediation,Percentage,Norway,0.9
Annual,Financial intermediation,Percentage,Poland,1.0
Annual,Financial intermediation,Percentage,Portugal,12.5
Annual,Financial intermediation,Percentage,Romania,1.6
Annual,Financial intermediation,Percentage,Sweden,4.9
Annual,Financial intermediation,Percentage,Slovenia,0.0
Annual,Financial intermediation,Percentage,Slovakia,0.0
Annual,Financial intermediation,Percentage,United Kingdom,47.3
Annual,Real estate; other service activities,Percentage,Austria,24.5
Annual,Real estate; other service activities,Percentage,Belgium,7.4
Annual,Real estate; other service activities,Percentage,Bulgaria,5.8
Annual,Real estate; other service activities,Percentage,Cyprus,0.3
Annual,Real estate; other service activities,Percentage,Czechia,1.1
Annual,Real estate; other service activities,Percentage,Germany,48.2
Annual,Real estate; other service activities,Percentage,Denmark,21.6
Annual,Real estate; other service activities,Percentage,Estonia,0.0
Annual,Real estate; other service activities,Percentage,Greece,3.5
Annual,Real estate; other service activities,Percentage,Spain,16.7
Annual,Real estate; other service activities,Percentage,European Union - 27 countries (from 2020),23.4
Annual,Real estate; other service activities,Percentage,European Union - 28 countries (2013-2020),27.7
Annual,Real estate; other service activities,Percentage,Finland,12.6
Annual,Real estate; other service activities,Percentage,France,24.1
Annual,Real estate; other service activities,Percentage,Hungary,4.9
Annual,Real estate; other service activities,Percentage,Ireland,28.5
Annual,Real estate; other service activities,Percentage,Italy,28.1
Annual,Real estate; other service activities,Percentage,Lithuania,14.0
Annual,Real estate; other service activities,Percentage,Luxembourg,22.7
Annual,Real estate; other service activities,Percentage,Latvia,4.3
Annual,Real estate; other service activities,Percentage,Malta,12.1
Annual,Real estate; other service activities,Percentage,Netherlands,34.9
Annual,Real estate; other service activities,Percentage,Norway,15.4
Annual,Real estate; other service activities,Percentage,Poland,2.1
Annual,Real estate; other service activities,Percentage,Portugal,9.6
Annual,Real estate; other service activities,Percentage,Romania,2.6
Annual,Real estate; other service activities,Percentage,Sweden,0.5
Annual,Real estate; other service activities,Percentage,Slovenia,3.3
Annual,Real estate; other service activities,Percentage,Slovakia,0.0
Annual,Real estate; other service activities,Percentage,United Kingdom,46.9
