Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Sex,Unit of measure,Geopolitical entity (reporting)\Time,2003.0
Annual,Industry,Females,Number,Sweden,52.0
Annual,Industry,Females,Number,Slovenia,49.0
Annual,Industry,Females,Number,Slovakia,23.0
Annual,Industry,Females,Number,United Kingdom,35.0
Annual,Industry,Males,Number,Austria,74.0
Annual,Industry,Males,Number,Belgium,61.0
Annual,Industry,Males,Number,Switzerland,55.0
Annual,Industry,Males,Number,Cyprus,46.0
Annual,Industry,Males,Number,Czechia,33.0
Annual,Industry,Males,Number,Germany,77.0
Annual,Industry,Males,Number,Denmark,64.0
Annual,Industry,Males,Number,Estonia,38.4 u
Annual,Industry,Males,Number,Greece,69.0
Annual,Industry,Males,Number,Spain,95.0
Annual,Industry,Males,Number,European Union - 25 countries (2004-2006),60.0
Annual,Industry,Males,Number,Finland,43.0
Annual,Industry,Males,Number,France,75.0
Annual,Industry,Males,Number,Hungary,112.0
Annual,Industry,Males,Number,Ireland,29.0
Annual,Industry,Males,Number,Italy,52.0
Annual,Industry,Males,Number,Lithuania,50.7 u
Annual,Industry,Males,Number,Luxembourg,44.0
Annual,Industry,Males,Number,Malta,89.4 u
Annual,Industry,Males,Number,Netherlands,64.0
Annual,Industry,Males,Number,Norway,36.0
Annual,Industry,Males,Number,Poland,37.0
Annual,Industry,Males,Number,Portugal,82.0
Annual,Industry,Males,Number,Sweden,47.0
Annual,Industry,Males,Number,Slovenia,45.0
Annual,Industry,Males,Number,Slovakia,24.0
Annual,Industry,Males,Number,United Kingdom,29.0
Annual,Industry,Total,Number,Austria,76.0
Annual,Industry,Total,Number,Belgium,61.0
Annual,Industry,Total,Number,Bulgaria,61.7 u
Annual,Industry,Total,Number,Switzerland,54.0
Annual,Industry,Total,Number,Cyprus,50.0
Annual,Industry,Total,Number,Czechia,35.0
Annual,Industry,Total,Number,Germany,78.0
Annual,Industry,Total,Number,Denmark,61.0
Annual,Industry,Total,Number,Estonia,47.0
Annual,Industry,Total,Number,Greece,80.0
Annual,Industry,Total,Number,Spain,100.0
Annual,Industry,Total,Number,European Union - 25 countries (2004-2006),62.0
Annual,Industry,Total,Number,Finland,45.0
Annual,Industry,Total,Number,France,77.0
Annual,Industry,Total,Number,Hungary,114.0
Annual,Industry,Total,Number,Ireland,32.0
Annual,Industry,Total,Number,Italy,52.0
Annual,Industry,Total,Number,Lithuania,48.0
Annual,Industry,Total,Number,Luxembourg,44.0
Annual,Industry,Total,Number,Latvia,46.0
Annual,Industry,Total,Number,Malta,84.3 u
Annual,Industry,Total,Number,Netherlands,69.0
Annual,Industry,Total,Number,Norway,33.0
Annual,Industry,Total,Number,Poland,38.0
Annual,Industry,Total,Number,Portugal,91.0
Annual,Industry,Total,Number,Sweden,48.0
Annual,Industry,Total,Number,Slovenia,46.0
Annual,Industry,Total,Number,Slovakia,24.0
Annual,Industry,Total,Number,United Kingdom,30.0
Annual,Services,Females,Number,Austria,88.0
Annual,Services,Females,Number,Belgium,67.0
Annual,Services,Females,Number,Bulgaria,59.0
Annual,Services,Females,Number,Switzerland,50.0
Annual,Services,Females,Number,Cyprus,49.0
Annual,Services,Females,Number,Czechia,58.0
Annual,Services,Females,Number,Germany,69.0
Annual,Services,Females,Number,Denmark,57.0
Annual,Services,Females,Number,Estonia,54.0
Annual,Services,Females,Number,Greece,79.0
Annual,Services,Females,Number,Spain,106.0
Annual,Services,Females,Number,European Union - 25 countries (2004-2006),67.0
Annual,Services,Females,Number,Finland,50.0
Annual,Services,Females,Number,France,96.0
Annual,Services,Females,Number,Hungary,135.0
Annual,Services,Females,Number,Ireland,38.0
Annual,Services,Females,Number,Italy,56.0
Annual,Services,Females,Number,Lithuania,51.0
Annual,Services,Females,Number,Luxembourg,43.0
Annual,Services,Females,Number,Latvia,64.0
Annual,Services,Females,Number,Malta,73.0
Annual,Services,Females,Number,Netherlands,74.0
Annual,Services,Females,Number,Norway,33.0
Annual,Services,Females,Number,Poland,39.0
Annual,Services,Females,Number,Portugal,88.0
Annual,Services,Females,Number,Romania,66.0
Annual,Services,Females,Number,Sweden,48.0
Annual,Services,Females,Number,Slovenia,41.0
Annual,Services,Females,Number,Slovakia,44.0
Annual,Services,Females,Number,United Kingdom,36.0
Annual,Services,Males,Number,Austria,93.0
Annual,Services,Males,Number,Belgium,76.0
Annual,Services,Males,Number,Bulgaria,86.0
Annual,Services,Males,Number,Switzerland,56.0
Annual,Services,Males,Number,Cyprus,59.0
Annual,Services,Males,Number,Czechia,51.0
Annual,Services,Males,Number,Germany,79.0
Annual,Services,Males,Number,Denmark,57.0
Annual,Services,Males,Number,Estonia,75.0
Annual,Services,Males,Number,Greece,80.0
Annual,Services,Males,Number,Spain,99.0
Annual,Services,Males,Number,European Union - 25 countries (2004-2006),66.0
Annual,Services,Males,Number,Finland,49.0
Annual,Services,Males,Number,France,77.0
Annual,Services,Males,Number,Hungary,116.0
Annual,Services,Males,Number,Ireland,41.0
Annual,Services,Males,Number,Italy,63.0
Annual,Services,Males,Number,Lithuania,60.0
Annual,Services,Males,Number,Luxembourg,49.0
Annual,Services,Males,Number,Latvia,52.0
Annual,Services,Males,Number,Malta,84.0
Annual,Services,Males,Number,Netherlands,76.0
Annual,Services,Males,Number,Norway,42.0
Annual,Services,Males,Number,Poland,46.0
Annual,Services,Males,Number,Portugal,101.0
Annual,Services,Males,Number,Romania,107.1 u
Annual,Services,Males,Number,Sweden,53.0
Annual,Services,Males,Number,Slovenia,47.0
Annual,Services,Males,Number,Slovakia,43.0
Annual,Services,Males,Number,United Kingdom,36.0
Annual,Services,Total,Number,Austria,90.0
Annual,Services,Total,Number,Belgium,71.0
Annual,Services,Total,Number,Bulgaria,70.0
Annual,Services,Total,Number,Switzerland,52.0
Annual,Services,Total,Number,Cyprus,54.0
Annual,Services,Total,Number,Czechia,55.0
Annual,Services,Total,Number,Germany,73.0
Annual,Services,Total,Number,Denmark,57.0
Annual,Services,Total,Number,Estonia,61.0
Annual,Services,Total,Number,Greece,79.0
Annual,Services,Total,Number,Spain,103.0
Annual,Services,Total,Number,European Union - 25 countries (2004-2006),67.0
Annual,Services,Total,Number,Finland,50.0
Annual,Services,Total,Number,France,87.0
Annual,Services,Total,Number,Hungary,128.0
Annual,Services,Total,Number,Ireland,39.0
Annual,Services,Total,Number,Italy,59.0
Annual,Services,Total,Number,Lithuania,53.0
Annual,Services,Total,Number,Luxembourg,46.0
Annual,Services,Total,Number,Latvia,61.0
Annual,Services,Total,Number,Malta,80.0
Annual,Services,Total,Number,Netherlands,75.0
Annual,Services,Total,Number,Norway,37.0
Annual,Services,Total,Number,Poland,42.0
Annual,Services,Total,Number,Portugal,94.0
Annual,Services,Total,Number,Romania,83.0
Annual,Services,Total,Number,Sweden,50.0
Annual,Services,Total,Number,Slovenia,44.0
Annual,Services,Total,Number,Slovakia,44.0
Annual,Services,Total,Number,United Kingdom,36.0
Annual,Total - all NACE activities,Females,Number,Austria,86.0
Annual,Total - all NACE activities,Females,Number,Belgium,67.0
Annual,Total - all NACE activities,Females,Number,Bulgaria,65.0
Annual,Total - all NACE activities,Females,Number,Switzerland,50.0
Annual,Total - all NACE activities,Females,Number,Cyprus,50.0
Annual,Total - all NACE activities,Females,Number,Czechia,54.0
Annual,Total - all NACE activities,Females,Number,Germany,71.0
Annual,Total - all NACE activities,Females,Number,Denmark,56.0
Annual,Total - all NACE activities,Females,Number,Estonia,53.0
Annual,Total - all NACE activities,Females,Number,Greece,82.0
Annual,Total - all NACE activities,Females,Number,Spain,108.0
Annual,Total - all NACE activities,Females,Number,European Union - 25 countries (2004-2006),67.0
Annual,Total - all NACE activities,Females,Number,Finland,50.0
Annual,Total - all NACE activities,Females,Number,France,94.0
Annual,Total - all NACE activities,Females,Number,Hungary,132.0
Annual,Total - all NACE activities,Females,Number,Ireland,39.0
Annual,Total - all NACE activities,Females,Number,Italy,56.0
Annual,Total - all NACE activities,Females,Number,Lithuania,51.0
Annual,Total - all NACE activities,Females,Number,Luxembourg,43.0
Annual,Total - all NACE activities,Females,Number,Latvia,62.0
Annual,Total - all NACE activities,Females,Number,Malta,70.0
Annual,Total - all NACE activities,Females,Number,Netherlands,75.0
Annual,Total - all NACE activities,Females,Number,Norway,32.0
Annual,Total - all NACE activities,Females,Number,Poland,40.0
Annual,Total - all NACE activities,Females,Number,Portugal,95.0
Annual,Total - all NACE activities,Females,Number,Romania,67.0
Annual,Total - all NACE activities,Females,Number,Sweden,48.0
Annual,Total - all NACE activities,Females,Number,Slovenia,43.0
Annual,Total - all NACE activities,Females,Number,Slovakia,38.0
Annual,Total - all NACE activities,Females,Number,United Kingdom,36.0
Annual,Total - all NACE activities,Males,Number,Austria,85.0
Annual,Total - all NACE activities,Males,Number,Belgium,71.0
Annual,Total - all NACE activities,Males,Number,Bulgaria,74.0
Annual,Total - all NACE activities,Males,Number,Switzerland,55.0
Annual,Total - all NACE activities,Males,Number,Cyprus,56.0
Annual,Total - all NACE activities,Males,Number,Czechia,42.0
Annual,Total - all NACE activities,Males,Number,Germany,78.0
Annual,Total - all NACE activities,Males,Number,Denmark,58.0
Annual,Total - all NACE activities,Males,Number,Estonia,61.0
Annual,Total - all NACE activities,Males,Number,Greece,78.0
Annual,Total - all NACE activities,Males,Number,Spain,96.0
Annual,Total - all NACE activities,Males,Number,European Union - 25 countries (2004-2006),64.0
Annual,Total - all NACE activities,Males,Number,Finland,45.0
Annual,Total - all NACE activities,Males,Number,France,76.0
Annual,Total - all NACE activities,Males,Number,Hungary,118.0
Annual,Total - all NACE activities,Males,Number,Ireland,36.0
Annual,Total - all NACE activities,Males,Number,Italy,60.0
Annual,Total - all NACE activities,Males,Number,Lithuania,56.0
Annual,Total - all NACE activities,Males,Number,Luxembourg,48.0
Annual,Total - all NACE activities,Males,Number,Latvia,49.0
Annual,Total - all NACE activities,Males,Number,Malta,85.0
Annual,Total - all NACE activities,Males,Number,Netherlands,76.0
Annual,Total - all NACE activities,Males,Number,Norway,39.0
Annual,Total - all NACE activities,Males,Number,Poland,40.0
Annual,Total - all NACE activities,Males,Number,Portugal,98.0
Annual,Total - all NACE activities,Males,Number,Romania,95.0
Annual,Total - all NACE activities,Males,Number,Sweden,51.0
Annual,Total - all NACE activities,Males,Number,Slovenia,46.0
Annual,Total - all NACE activities,Males,Number,Slovakia,33.0
Annual,Total - all NACE activities,Males,Number,United Kingdom,33.0
Annual,Total - all NACE activities,Total,Number,Austria,85.0
Annual,Total - all NACE activities,Total,Number,Belgium,69.0
Annual,Total - all NACE activities,Total,Number,Bulgaria,68.0
Annual,Total - all NACE activities,Total,Number,Switzerland,52.0
Annual,Total - all NACE activities,Total,Number,Cyprus,53.0
Annual,Total - all NACE activities,Total,Number,Czechia,47.0
Annual,Total - all NACE activities,Total,Number,Germany,74.0
Annual,Total - all NACE activities,Total,Number,Denmark,57.0
Annual,Total - all NACE activities,Total,Number,Estonia,56.0
Annual,Total - all NACE activities,Total,Number,Greece,80.0
Annual,Total - all NACE activities,Total,Number,Spain,102.0
Annual,Total - all NACE activities,Total,Number,European Union - 25 countries (2004-2006),66.0
Annual,Total - all NACE activities,Total,Number,Finland,48.0
Annual,Total - all NACE activities,Total,Number,France,85.0
Annual,Total - all NACE activities,Total,Number,Hungary,126.0
Annual,Total - all NACE activities,Total,Number,Ireland,37.0
Annual,Total - all NACE activities,Total,Number,Italy,58.0
Annual,Total - all NACE activities,Total,Number,Lithuania,52.0
Annual,Total - all NACE activities,Total,Number,Luxembourg,46.0
Annual,Total - all NACE activities,Total,Number,Latvia,58.0
Annual,Total - all NACE activities,Total,Number,Malta,80.0
Annual,Total - all NACE activities,Total,Number,Netherlands,76.0
Annual,Total - all NACE activities,Total,Number,Norway,36.0
Annual,Total - all NACE activities,Total,Number,Poland,40.0
Annual,Total - all NACE activities,Total,Number,Portugal,96.0
Annual,Total - all NACE activities,Total,Number,Romania,80.0
Annual,Total - all NACE activities,Total,Number,Sweden,50.0
Annual,Total - all NACE activities,Total,Number,Slovenia,44.0
Annual,Total - all NACE activities,Total,Number,Slovakia,35.0
Annual,Total - all NACE activities,Total,Number,United Kingdom,35.0
