Time frequency,Education or training field,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2003.0,2006.0,2009.0,2012.0,2015.0,2018.0,2022.0
Annual,Reading,Females,Percentage,Cyprus,:,:,:,: b,20.5,24.6,32.7 b,50.3
Annual,Reading,Females,Percentage,Czechia,11.5,15.0,16.9,14.3 b,10.6,17.0,15.0 b,16.3
Annual,Reading,Females,Percentage,Germany,18.2,16.3,14.2,12.7 b,8.7,13.6,16.4 b,22.2
Annual,Reading,Females,Percentage,Denmark,13.3,12.7,11.4,11.5 b,10.1,12.0,11.1 b,15.3
Annual,Reading,Females,Percentage,Estonia,:,:,7.0,7.3 b,4.2,6.9,7.6 b,9.9
Annual,Reading,Females,Percentage,Greece,17.7,18.5,16.7,13.2 b,13.3,19.6,21.6 b,31.5
Annual,Reading,Females,Percentage,Spain,11.5,14.5,18.9,14.6 b,13.1,12.8,: b,19.8
Annual,Reading,Females,Percentage,European Union - 27 countries (from 2020),:,:,:,: b,:,:,: b,21.7
Annual,Reading,Females,Percentage,European Union - 28 countries (2013-2020),:,:,:,: b,:,15.9,: b,:
Annual,Reading,Females,Percentage,Finland,3.2,2.4,1.6,3.2 b,4.6,5.7,7.3 b,14.3
Annual,Reading,Females,Percentage,France,10.5,12.1,16.5,14.1 b,12.7,16.9,16.3 b,23.1
Annual,Reading,Females,Percentage,Croatia,:,:,12.6,12.5 b,9.5,15.1,15.0 b,16.4
Annual,Reading,Females,Percentage,Hungary,17.9,14.9,13.2,11.4 b,13.0,23.1,20.5 b,22.3
Annual,Reading,Females,Percentage,Ireland,8.3,7.7,7.7,11.2 b,6.1,8.0,8.5 b,8.2
Annual,Reading,Females,Percentage,Iceland,8.0,9.5,12.5,9.9 b,12.0,15.7,18.7 b,32.4
Annual,Reading,Females,Percentage,Italy,12.6,17.2,19.9,12.7 b,12.6,17.9,18.6 b,17.2
Annual,Reading,Females,Percentage,Japan,6.0,15.1,13.2,8.0 b,6.1,10.8,12.9 b,10.6
Annual,Reading,Females,Percentage,South Korea,3.7,4.4,3.3,2.4 b,4.5,7.6,11.2 b,:
Annual,Reading,Females,Percentage,Liechtenstein,:,:,:,: b,:,:,: b,:
Annual,Reading,Females,Percentage,Lithuania,:,:,16.6,13.0 b,10.4,17.8,16.6 b,18.8
Annual,Reading,Females,Percentage,Luxembourg,29.1,17.1,17.4,19.1 b,17.6,22.0,24.2 b,:
Annual,Reading,Females,Percentage,Latvia,19.7,11.6,12.8,8.8 b,8.2,11.0,15.7 b,17.6
Annual,Reading,Females,Percentage,Montenegro,:,:,46.3,37.1 b,29.5,34.4,36.5 b,44.1
Annual,Reading,Females,Percentage,North Macedonia,52.2,:,:,: b,:,62.4,43.0 b,68.5
Annual,Reading,Females,Percentage,Malta,:,:,:,24.4 b,:,27.9,26.0 b,29.0
Annual,Reading,Females,Percentage,Netherlands,:,8.6,11.7,10.8 b,10.6,14.5,18.8 b,29.6
Annual,Reading,Females,Percentage,Norway,10.4,11.3,14.9,8.3 b,9.6,9.2,12.2 b,20.3
Annual,Reading,Females,Percentage,Poland,15.9,10.3,10.2,7.4 b,5.2,9.5,9.6 b,16.8
Annual,Reading,Females,Percentage,Portugal,21.2,15.1,19.5,10.8 b,12.5,14.1,15.9 b,18.9
Annual,Reading,Females,Percentage,Romania,38.6,:,43.5,30.4 b,28.1,35.7,33.4 b,36.0
Annual,Reading,Females,Percentage,Serbia,:,:,41.8,22.9 b,23.5,:,29.9 b,29.8
Annual,Reading,Females,Percentage,Russia,19.6,27.5,27.6,18.6 b,15.0,12.0,17.1 b,:
Annual,Reading,Females,Percentage,Sweden,7.8,8.8,9.6,10.5 b,14.0,12.3,13.6 b,18.1
Annual,Reading,Females,Percentage,Slovenia,:,:,7.9,10.7 b,11.1,8.9,10.8 b,17.0
Annual,Reading,Females,Percentage,Slovakia,:,18.6,20.2,12.5 b,20.4,25.3,24.5 b,29.1
Annual,Reading,Females,Percentage,Türkiye,:,27.8,21.5,15.0 b,12.2,33.9,20.6 b,23.5
Annual,Reading,Females,Percentage,United Kingdom,:,:,14.0,14.0 b,13.5,14.8,:,:
Annual,Reading,Females,Percentage,United States,13.1,14.4,:,13.6 b,10.8,15.3,15.5 b,16.3
Annual,Reading,Males,Percentage,Albania,80.6,:,:,69.0 b,55.2,62.9,62.1 b,81.6
Annual,Reading,Males,Percentage,Austria,23.8,28.2,27.4,: b,26.2,25.8,28.8 b,28.5
Annual,Reading,Males,Percentage,Belgium,22.8,22.4,24.9,21.5 b,20.4,22.0,24.7 b,30.1
Annual,Reading,Males,Percentage,Bulgaria,50.3,:,61.0,52.0 b,50.9,49.6,55.1 b,59.1
Annual,Reading,Males,Percentage,Switzerland,24.6,21.2,20.4,22.0 b,18.5,24.4,28.3 b,:
Annual,Reading,Males,Percentage,Cyprus,:,:,:,: b,44.6,46.7,54.3 b,70.5
Annual,Reading,Males,Percentage,Czechia,23.6,23.5,30.8,30.8 b,22.8,26.8,26.3 b,26.3
Annual,Reading,Males,Percentage,Germany,26.6,28.1,25.5,24.0 b,20.1,18.8,24.4 b,28.7
Annual,Reading,Males,Percentage,Denmark,21.8,20.5,20.7,19.0 b,19.2,17.9,20.9 b,22.5
Annual,Reading,Males,Percentage,Estonia,:,:,20.0,18.9 b,14.2,14.2,14.5 b,17.5
Annual,Reading,Males,Percentage,Greece,30.9,32.5,38.6,29.7 b,32.2,34.5,39.2 b,43.6
Annual,Reading,Males,Percentage,Spain,20.4,27.9,32.3,24.4 b,23.4,19.6,: b,29.0
Annual,Reading,Males,Percentage,European Union - 27 countries (from 2020),:,:,:,: b,:,:,: b,30.7
Annual,Reading,Males,Percentage,European Union - 28 countries (2013-2020),:,:,:,: b,:,23.5,: b,:
Annual,Reading,Males,Percentage,Finland,11.0,9.0,8.1,13.0 b,17.7,16.1,19.6 b,28.2
Annual,Reading,Males,Percentage,France,19.9,23.5,27.3,25.7 b,25.5,26.1,25.4 b,30.8
Annual,Reading,Males,Percentage,Croatia,:,:,30.5,31.2 b,27.6,25.0,28.2 b,28.5
Annual,Reading,Males,Percentage,Hungary,27.2,25.5,27.3,23.6 b,26.9,31.9,30.1 b,29.5
Annual,Reading,Males,Percentage,Ireland,13.5,14.3,16.7,23.1 b,13.0,12.3,15.1 b,14.5
Annual,Reading,Males,Percentage,Iceland,20.1,26.9,28.3,23.8 b,29.8,28.9,34.1 b,46.8
Annual,Reading,Males,Percentage,Italy,24.6,31.1,33.0,28.9 b,25.9,24.1,27.7 b,25.8
Annual,Reading,Males,Percentage,Japan,14.2,23.2,23.6,18.9 b,13.1,14.9,20.8 b,16.9
Annual,Reading,Males,Percentage,South Korea,7.3,8.4,8.2,8.8 b,10.4,19.2,18.7 b,:
Annual,Reading,Males,Percentage,Liechtenstein,:,:,:,: b,:,:,: b,:
Annual,Reading,Males,Percentage,Lithuania,:,:,34.4,35.5 b,31.9,32.2,31.8 b,31.1
Annual,Reading,Males,Percentage,Luxembourg,40.1,28.5,28.2,32.8 b,26.6,29.3,34.3 b,:
Annual,Reading,Males,Percentage,Latvia,40.3,25.0,30.1,26.6 b,25.7,24.4,29.4 b,28.2
Annual,Reading,Males,Percentage,Montenegro,:,:,65.8,61.4 b,57.1,49.0,51.7 b,61.2
Annual,Reading,Males,Percentage,North Macedonia,72.4,:,:,: b,:,78.1,66.1 b,78.4
Annual,Reading,Males,Percentage,Malta,:,:,:,48.4 b,:,43.0,44.9 b,43.2
Annual,Reading,Males,Percentage,Netherlands,:,14.3,18.4,17.9 b,17.2,21.7,29.4 b,39.3
Annual,Reading,Males,Percentage,Norway,23.2,24.8,29.4,21.4 b,22.5,20.5,26.3 b,34.3
Annual,Reading,Males,Percentage,Poland,30.3,23.4,22.4,22.6 b,16.2,19.2,19.7 b,27.5
Annual,Reading,Males,Percentage,Portugal,31.3,29.5,30.7,24.7 b,25.0,20.3,24.4 b,27.3
Annual,Reading,Males,Percentage,Romania,44.2,:,63.6,50.7 b,46.8,41.8,47.8 b,47.4
Annual,Reading,Males,Percentage,Serbia,:,:,61.3,42.6 b,42.8,:,45.2 b,42.8
Annual,Reading,Males,Percentage,Russia,35.1,40.7,43.6,36.3 b,29.6,20.6,27.2 b,:
Annual,Reading,Males,Percentage,Sweden,16.8,17.7,20.6,24.2 b,31.3,24.5,23.2 b,30.2
Annual,Reading,Males,Percentage,Slovenia,:,:,25.3,31.3 b,30.5,21.0,24.6 b,34.6
Annual,Reading,Males,Percentage,Slovakia,:,30.9,35.0,32.0 b,35.4,38.5,38.4 b,41.1
Annual,Reading,Males,Percentage,Türkiye,:,44.1,41.0,33.4 b,30.9,46.1,31.6 b,35.1
Annual,Reading,Males,Percentage,United Kingdom,:,:,24.1,23.1 b,19.8,20.9,:,:
Annual,Reading,Males,Percentage,United States,23.0,24.3,:,21.4 b,22.2,22.6,22.9 b,24.0
Annual,Reading,Total,Percentage,Albania,70.4,:,:,56.7 b,52.3,50.3,52.2 b,73.7
Annual,Reading,Total,Percentage,Austria,19.3,20.7,21.5,: b,19.5,22.5,23.6 b,25.3
Annual,Reading,Total,Percentage,Belgium,19.0,17.9,19.4,17.7 b,16.1,19.5,21.3 b,25.3
Annual,Reading,Total,Percentage,Bulgaria,40.3,:,51.1,41.0 b,39.4,41.5,47.1 b,52.9
Annual,Reading,Total,Percentage,Switzerland,20.4,16.7,16.4,16.8 b,13.7,20.0,23.6 b,:
Annual,Reading,Total,Percentage,Cyprus,:,:,:,: b,32.8,35.6,43.7 b,60.6
Annual,Reading,Total,Percentage,Czechia,17.5,19.3,24.8,23.1 b,16.9,22.0,20.7 b,21.3
Annual,Reading,Total,Percentage,Germany,22.6,22.3,20.0,18.5 b,14.5,16.2,20.7 b,25.5
Annual,Reading,Total,Percentage,Denmark,17.9,16.5,16.0,15.2 b,14.6,15.0,16.0 b,19.0
Annual,Reading,Total,Percentage,Estonia,:,:,13.6,13.3 b,9.1,10.6,11.1 b,13.8
Annual,Reading,Total,Percentage,Greece,24.4,25.3,27.7,21.3 b,22.6,27.3,30.5 b,37.6
Annual,Reading,Total,Percentage,Spain,16.3,21.1,25.7,19.6 b,18.3,16.2,: b,24.4
Annual,Reading,Total,Percentage,European Union - 27 countries (from 2020),:,:,23.7,19.7 b,18.0,20.0,22.5 b,26.2
Annual,Reading,Total,Percentage,European Union - 28 countries (2013-2020),:,:,:,: b,:,19.7,21.7 b,:
Annual,Reading,Total,Percentage,Finland,7.0,5.7,4.8,8.1 b,11.3,11.1,13.5 b,21.4
Annual,Reading,Total,Percentage,France,15.2,17.5,21.7,19.8 b,18.9,21.5,20.9 b,26.9
Annual,Reading,Total,Percentage,Croatia,:,:,21.5,22.4 b,18.7,19.9,21.6 b,22.7
Annual,Reading,Total,Percentage,Hungary,22.7,20.5,20.6,17.6 b,19.7,27.5,25.3 b,25.9
Annual,Reading,Total,Percentage,Ireland,11.0,11.0,12.1,17.2 b,9.6,10.2,11.8 b,11.4
Annual,Reading,Total,Percentage,Iceland,14.5,18.5,20.5,16.8 b,21.0,22.1,26.4 b,39.7
Annual,Reading,Total,Percentage,Italy,18.9,23.9,26.4,21.0 b,19.5,21.0,23.3 b,21.4
Annual,Reading,Total,Percentage,Japan,10.1,19.0,18.4,13.6 b,9.8,12.9,16.8 b,13.8
Annual,Reading,Total,Percentage,South Korea,5.8,6.8,5.8,5.8 b,7.6,13.7,15.1 b,:
Annual,Reading,Total,Percentage,Liechtenstein,:,:,:,: b,:,:,: b,:
Annual,Reading,Total,Percentage,Lithuania,:,:,25.7,24.4 b,21.2,25.1,24.4 b,24.9
Annual,Reading,Total,Percentage,Luxembourg,35.1,22.7,22.9,26.0 b,22.2,25.6,29.3 b,:
Annual,Reading,Total,Percentage,Latvia,30.1,18.0,21.2,17.6 b,17.0,17.7,22.4 b,22.8
Annual,Reading,Total,Percentage,Montenegro,:,:,56.3,49.5 b,43.3,41.9,44.4 b,52.9
Annual,Reading,Total,Percentage,North Macedonia,62.7,:,:,: b,:,70.7,55.1 b,73.6
Annual,Reading,Total,Percentage,Malta,:,:,:,36.3 b,:,35.6,35.9 b,36.3
Annual,Reading,Total,Percentage,Netherlands,:,11.5,15.1,14.3 b,14.0,18.1,24.1 b,34.6
Annual,Reading,Total,Percentage,Norway,17.5,18.1,22.4,15.0 b,16.2,14.9,19.3 b,27.5
Annual,Reading,Total,Percentage,Poland,23.2,16.8,16.2,15.0 b,10.6,14.4,14.7 b,22.2
Annual,Reading,Total,Percentage,Portugal,26.3,21.9,24.9,17.6 b,18.8,17.2,20.2 b,23.1
Annual,Reading,Total,Percentage,Romania,41.3,:,53.5,40.4 b,37.3,38.7,40.8 b,41.7
Annual,Reading,Total,Percentage,Serbia,:,:,51.7,32.8 b,33.1,:,37.7 b,36.4
Annual,Reading,Total,Percentage,Russia,27.4,34.0,35.3,27.4 b,22.3,16.2,22.1 b,:
Annual,Reading,Total,Percentage,Sweden,12.6,13.3,15.3,17.4 b,22.7,18.4,18.4 b,24.3
Annual,Reading,Total,Percentage,Slovenia,:,:,16.5,21.2 b,21.1,15.1,17.9 b,26.1
Annual,Reading,Total,Percentage,Slovakia,:,24.9,27.8,22.2 b,28.2,32.1,31.4 b,35.4
Annual,Reading,Total,Percentage,Türkiye,:,36.8,32.2,24.5 b,21.6,40.0,26.1 b,29.3
Annual,Reading,Total,Percentage,United Kingdom,:,:,19.0,18.4 b,16.6,17.9,17.3 b,:
Annual,Reading,Total,Percentage,United States,17.9,19.4,:,17.6 b,16.6,19.0,19.3 b,20.1
Annual,Science,Females,Percentage,Albania,:,:,:,50.2,50.6,34.6,41.6,60.6
Annual,Science,Females,Percentage,Austria,:,:,17.5,:,15.4,22.4,20.6,23.7
Annual,Science,Females,Percentage,Belgium,:,:,16.0,18.1,16.8,20.5,20.2,21.5
Annual,Science,Females,Percentage,Bulgaria,:,:,38.3,34.0,31.7,33.7,42.4,43.0
Annual,Science,Females,Percentage,Switzerland,:,:,16.6,14.6,12.6,18.1,19.2,:
