Time frequency,Frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2007.0,2011.0
Annual,At least once a week,Females,Percentage,Romania,37.0,29.7
Annual,At least once a week,Females,Percentage,Serbia,:,28.8
Annual,At least once a week,Females,Percentage,Slovenia,26.8,22.6
Annual,At least once a week,Females,Percentage,Slovakia,30.8,29.3
Annual,At least once a week,Females,Percentage,Türkiye,23.5,18.5
Annual,At least once a week,Females,Percentage,United Kingdom,:,39.2
Annual,At least once a week,Males,Percentage,Austria,18.3,16.6
Annual,At least once a week,Males,Percentage,Belgium,28.8,:
Annual,At least once a week,Males,Percentage,Bulgaria,33.7,27.3
Annual,At least once a week,Males,Percentage,Cyprus,33.4,28.0
Annual,At least once a week,Males,Percentage,Czechia,26.8,29.5
Annual,At least once a week,Males,Percentage,Germany,:,22.3
Annual,At least once a week,Males,Percentage,Estonia,24.2,21.3
Annual,At least once a week,Males,Percentage,Greece,36.9,33.8
Annual,At least once a week,Males,Percentage,Spain,26.6,24.7
Annual,At least once a week,Males,Percentage,Finland,8.9,9.4
Annual,At least once a week,Males,Percentage,Croatia,26.1,:
Annual,At least once a week,Males,Percentage,Hungary,24.7,22.8
Annual,At least once a week,Males,Percentage,Italy,:,8.4
Annual,At least once a week,Males,Percentage,Lithuania,30.9,31.0
Annual,At least once a week,Males,Percentage,Luxembourg,:,13.6
Annual,At least once a week,Males,Percentage,Latvia,30.3,37.1
Annual,At least once a week,Males,Percentage,Malta,35.0,24.9
Annual,At least once a week,Males,Percentage,Poland,39.7,36.2
Annual,At least once a week,Males,Percentage,Portugal,29.7,23.3
Annual,At least once a week,Males,Percentage,Romania,33.2,28.6
Annual,At least once a week,Males,Percentage,Serbia,:,22.1
Annual,At least once a week,Males,Percentage,Slovenia,24.0,17.8
Annual,At least once a week,Males,Percentage,Slovakia,23.8,26.4
Annual,At least once a week,Males,Percentage,Türkiye,23.9,22.3
Annual,At least once a week,Males,Percentage,United Kingdom,:,35.6
Annual,At least once a week,Total,Percentage,Austria,22.2,18.3
Annual,At least once a week,Total,Percentage,Belgium,31.4,:
Annual,At least once a week,Total,Percentage,Bulgaria,36.3,30.5
Annual,At least once a week,Total,Percentage,Cyprus,39.2,32.8
Annual,At least once a week,Total,Percentage,Czechia,32.3,32.2
Annual,At least once a week,Total,Percentage,Germany,:,24.6
Annual,At least once a week,Total,Percentage,Estonia,23.9,22.8
Annual,At least once a week,Total,Percentage,Greece,36.0,30.5
Annual,At least once a week,Total,Percentage,Spain,28.6,27.2
Annual,At least once a week,Total,Percentage,Finland,9.5,10.3
Annual,At least once a week,Total,Percentage,Croatia,29.1,:
Annual,At least once a week,Total,Percentage,Hungary,26.3,24.0
