Time frequency,Type of return,Unit of measure,Geopolitical entity (reporting)\Time,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Assisted forced return,Percentage,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,28.4,26.7
Quarterly,Assisted forced return,Percentage,Czechia,21.6,21.9,38.1,29.7,34.7,48.0,87.5,96.2,43.4,20.7,11.6,20.0,22.0,15.9,21.7
Quarterly,Assisted forced return,Percentage,Germany,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Quarterly,Assisted forced return,Percentage,Denmark,5.0,5.4,3.5,4.5,5.1,5.1,2.2,6.1,2.4,3.3,3.3,3.7,3.7,2.5,1.7
Quarterly,Assisted forced return,Percentage,Estonia,6.4,10.7,18.1,8.8,13.2,12.4,7.5,8.5,18.3,13.8,15.4,12.5,16.3,13.3,22.3
Quarterly,Assisted forced return,Percentage,Greece,44.4,54.0,48.0,37.7,40.2,39.3,37.7,30.2,37.9,48.5,44.7,35.2,42.2,48.1,38.9
Quarterly,Assisted forced return,Percentage,Spain,63.8,69.0,54.4,67.0,41.7,43.6,65.7,79.9,63.3,66.9,91.8,88.6,63.2,46.0,21.6
Quarterly,Assisted forced return,Percentage,European Union - 27 countries (from 2020),50.0 b,50.5,51.8,43.8,46.2 b,45.4,48.9,51.4,50.1,52.9,50.5,49.6,51.8,48.5,43.8
Quarterly,Assisted forced return,Percentage,Finland,53.4 b,51.2,54.4,58.7,58.9,53.9,54.7,53.9,55.0,54.4,51.9,49.5,52.5,49.2,46.4
Quarterly,Assisted forced return,Percentage,France,57.4 b,60.0,66.9,63.8,55.6,63.2,67.5,64.8,58.2,60.8,58.0,54.2,50.1,48.4,46.1
Quarterly,Assisted forced return,Percentage,Croatia,55.8,73.0,77.9,81.0,79.5,79.7,89.1,91.0,89.5,85.6,85.7,88.0,78.9,72.5,73.3
Quarterly,Assisted forced return,Percentage,Hungary,100.0,100.0,98.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6,99.1,56.6
Quarterly,Assisted forced return,Percentage,Ireland,5.9,3.1,0.0,11.4,15.8,3.6,19.6,16.4,11.1,18.8,17.2,25.3,19.6,16.5,10.4
Quarterly,Assisted forced return,Percentage,Italy,72.4,65.7,100.0,100.0,92.9 b,97.3,97.1,95.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Quarterly,Assisted forced return,Percentage,Liechtenstein,0.0,:,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,100.0,:
Quarterly,Assisted forced return,Percentage,Lithuania,0.0,0.0,0.0,0.0,0.0,0.8,0.5,1.8,5.4,0.1,2.8,2.5,3.7,5.3,4.2
Quarterly,Assisted forced return,Percentage,Luxembourg,41.0,16.7,38.5,34.3,38.1,30.0,35.8,47.1,32.2,51.7,44.1,31.5,29.8,27.4,32.2
Quarterly,Assisted forced return,Percentage,Latvia,4.3,5.2,1.6,1.7,6.3,1.0,1.2,2.8,2.4,1.3,1.1,2.6,6.0,7.0,3.6
Quarterly,Assisted forced return,Percentage,Montenegro,:,:,:,11.3,3.4,3.9,6.8,6.0,5.5,1.1,6.0,6.5,5.7,7.5,6.2
Quarterly,Assisted forced return,Percentage,Malta,5.4,7.1,10.2,4.1,7.7,10.1,13.3,7.8,60.3,65.6,64.1,63.2,58.3,60.9,42.9
Quarterly,Assisted forced return,Percentage,Netherlands,16.9,26.9,30.4,21.7,17.7,18.8,13.8,14.6,9.7,16.9,19.8,20.3,22.8,23.1,19.0
Quarterly,Assisted forced return,Percentage,Norway,94.9,96.3,98.9,96.5,96.2,97.3,97.9,96.1,95.0,93.3,94.1,95.0,95.8,95.6,94.1
Quarterly,Assisted forced return,Percentage,Poland,0.6,8.1,6.8,22.0,25.6,18.4,13.0,17.3,23.1,20.4,13.4,14.2,12.2,14.4,12.0
Quarterly,Assisted forced return,Percentage,Portugal,96.8,68.3,70.4,89.3,69.9,62.2,32.6,16.6,66.8,50.0,55.6,68.8,100.0,100.0,15.1
Quarterly,Assisted forced return,Percentage,Romania,65.0,82.8,74.4,60.4,56.8,33.7,26.1,26.5,37.0,50.9,50.2,38.2,51.1,48.7,42.0
Quarterly,Assisted forced return,Percentage,Sweden,13.9,20.1,41.7,11.4,13.9,16.2,14.8,17.9,37.5,46.7,50.6,32.7,44.7,35.1,33.1
Quarterly,Assisted forced return,Percentage,Slovenia,100.2,62.3,44.4,26.2,0.0,47.6,25.8,15.1,7.9,19.0,13.2,12.5,15.1,23.7,22.4
Quarterly,Assisted forced return,Percentage,Slovakia,89.7,72.5,85.6,82.9,85.7,60.0,54.3,85.7,45.3,52.5,46.6,19.4,19.8,20.7,30.2
Quarterly,Assisted voluntary return,Percentage,Austria,38.1,53.3,49.3,49.2,50.5,31.5,31.6,36.0,38.0,39.8,34.2,36.1,42.7,45.5,38.8
Quarterly,Assisted voluntary return,Percentage,Belgium,62.3,61.5,62.6,60.3,28.2,33.6,26.8,34.6,24.4,31.3,25.4,23.1,28.9,34.5,42.4
Quarterly,Assisted voluntary return,Percentage,Bulgaria,6.0,6.9,4.3,6.7,11.0,9.3,1.6,3.8,11.1,9.5,16.5,7.0,5.0,9.4,7.9
Quarterly,Assisted voluntary return,Percentage,Switzerland,26.8,24.0,30.4,33.6,30.8,34.3,34.9,35.5,35.3,29.5,35.9,0.0,:,40.8,46.8
Quarterly,Assisted voluntary return,Percentage,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.4,71.6,73.3
Quarterly,Assisted voluntary return,Percentage,Czechia,73.2,71.1,51.0,61.0,63.9,51.2,11.5,3.6,56.6,79.3,73.5,70.3,69.5,76.6,72.9
Quarterly,Assisted voluntary return,Percentage,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quarterly,Assisted voluntary return,Percentage,Denmark,93.7,93.1,95.7,94.0,94.9,94.4,93.5,93.0,95.8,95.5,95.9,95.6,95.3,97.5,97.0
Quarterly,Assisted voluntary return,Percentage,Estonia,0.0,2.6,5.9,4.0,0.0,7.7,3.2,1.9,7.6,13.2,6.6,8.3,2.9,4.2,7.2
Quarterly,Assisted voluntary return,Percentage,Greece,46.6,34.4,37.6,40.9,46.7,44.3,40.3,44.2,51.6,38.0,42.0,52.5,44.0,35.9,47.1
Quarterly,Assisted voluntary return,Percentage,Spain,36.2,31.0,45.6,33.0,58.3,56.4,34.3,20.1,36.7,33.1,8.2,11.4,36.8,54.0,78.4
Quarterly,Assisted voluntary return,Percentage,European Union - 27 countries (from 2020),26.1 b,:,21.8,24.0,29.3 b,22.6,19.1,22.0,18.0,17.3,14.5,15.9,23.9,25.8,29.1
Quarterly,Assisted voluntary return,Percentage,Finland,11.7 b,10.1,11.1,6.8,6.3,12.2,10.1,7.7,7.8,12.0,12.4,10.2,16.8,20.2,20.8
Quarterly,Assisted voluntary return,Percentage,France,20.3 b,23.1,15.4,18.1,23.6,20.8,19.1,19.2,24.0,21.6,24.4,23.3,26.7,31.1,27.5
Quarterly,Assisted voluntary return,Percentage,Croatia,0.0,0.2,0.2,0.4,0.0,0.3,0.2,0.2,0.5,3.9,1.5,0.8,1.1,3.1,4.7
Quarterly,Assisted voluntary return,Percentage,Hungary,0.0,:,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Quarterly,Assisted voluntary return,Percentage,Ireland,41.2,53.1,30.6,37.1,10.5,25.5,3.9,53.7,52.8,43.5,54.7,41.8,52.3,36.4,50.7
Quarterly,Assisted voluntary return,Percentage,Italy,27.6,34.3,0.0,0.0,7.1 b,2.7,2.9,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quarterly,Assisted voluntary return,Percentage,Liechtenstein,0.0,11.8,0.0,0.0,0.0,80.0,0.0,0.0,0.0,100.0,100.0,:,:,0.0,:
Quarterly,Assisted voluntary return,Percentage,Lithuania,0.0,0.0,0.0,0.0,33.2,2.3,2.2,1.4,0.4,0.1,0.7,0.2,1.4,0.2,0.3
Quarterly,Assisted voluntary return,Percentage,Luxembourg,33.3,47.2,38.5,42.9,54.8,37.5,49.1,38.2,50.8,37.9,32.4,34.2,39.4,33.0,37.2
Quarterly,Assisted voluntary return,Percentage,Latvia,10.6,4.3,6.2,15.9,21.8,4.6,3.6,1.8,2.7,4.2,0.0,0.0,0.0,0.0,0.4
Quarterly,Assisted voluntary return,Percentage,Montenegro,:,:,:,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.3,1.9,2.7
Quarterly,Assisted voluntary return,Percentage,Malta,58.9,47.3,56.3,52.9,50.7,30.2,25.4,51.9,0.9,0.5,0.0,1.9,1.9,0.6,3.1
Quarterly,Assisted voluntary return,Percentage,Netherlands,11.5,4.3,5.4,5.3,3.8,3.6,2.9,1.4,0.9,3.0,1.9,1.7,0.8,1.2,2.6
Quarterly,Assisted voluntary return,Percentage,Norway,5.1,3.7,1.1,3.5,3.8,2.7,2.1,3.9,5.0,6.7,5.9,5.0,4.2,4.4,5.9
Quarterly,Assisted voluntary return,Percentage,Poland,2.9,2.8,1.0,1.4,1.8,4.0,1.5,80.5,2.3,1.9,2.7,5.4,6.4,8.4,5.7
Quarterly,Assisted voluntary return,Percentage,Portugal,0.0,26.7,24.5,8.0,27.3,34.2,65.9,81.0,31.3,48.0,44.4,31.3,0.0,0.0,84.9
Quarterly,Assisted voluntary return,Percentage,Romania,4.9,1.6,1.3,3.8,9.3,5.4,0.0,0.7,5.0,5.3,3.1,1.1,0.0,0.0,0.0
Quarterly,Assisted voluntary return,Percentage,Sweden,66.8,63.2,44.4,61.2,73.4,42.5,61.6,57.0,47.0,41.4,36.5,54.9,41.3,40.7,42.6
Quarterly,Assisted voluntary return,Percentage,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Quarterly,Assisted voluntary return,Percentage,Slovakia,0.0,4.4,3.2,0.8,5.4,40.0,45.7,5.4,54.7,40.0,53.4,49.2,9.4,7.6,9.5
Quarterly,Non-assisted voluntary return,Percentage,Austria,29.1,24.6,27.4,31.5,31.4,56.3,52.4,48.1,44.1,40.1,48.0,42.3,34.8,34.0,41.3
Quarterly,Non-assisted voluntary return,Percentage,Belgium,3.6,0.6,3.4,3.3,0.9,0.9,0.9,2.4,4.8,3.8,5.4,7.0,3.7,2.2,2.7
Quarterly,Non-assisted voluntary return,Percentage,Bulgaria,12.0,7.6,7.4,12.8,7.8,19.4,8.9,4.6,26.7,9.5,11.8,10.0,4.2,22.6,16.7
Quarterly,Non-assisted voluntary return,Percentage,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0,0.0
Quarterly,Non-assisted voluntary return,Percentage,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quarterly,Non-assisted voluntary return,Percentage,Czechia,5.2,7.0,10.9,9.3,1.5,0.8,1.0,0.2,0.0,0.0,14.8,9.7,8.5,7.6,5.4
Quarterly,Non-assisted voluntary return,Percentage,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quarterly,Non-assisted voluntary return,Percentage,Denmark,1.3,1.4,0.8,1.4,0.0,0.5,4.3,1.0,1.8,1.2,0.8,0.7,0.9,0.0,1.3
Quarterly,Non-assisted voluntary return,Percentage,Estonia,93.6,86.8,76.0,87.2,86.8,79.8,89.3,89.6,74.1,73.0,78.0,79.2,80.9,82.5,70.5
Quarterly,Non-assisted voluntary return,Percentage,Greece,9.0,11.6,14.4,21.4,13.2,16.4,22.0,25.6,10.5,13.5,13.3,12.4,13.8,16.0,14.0
Quarterly,Non-assisted voluntary return,Percentage,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quarterly,Non-assisted voluntary return,Percentage,European Union - 27 countries (from 2020),20.4 bd,:,22.9,25.6,21.0 bd,27.6,26.9,21.4,25.7,23.4,27.4,26.8,24.3,25.7,27.0
Quarterly,Non-assisted voluntary return,Percentage,Finland,34.9 b,38.8,34.4,34.5,34.8,33.9,35.1,38.4,37.2,33.6,35.7,40.4,30.7,30.5,32.8
Quarterly,Non-assisted voluntary return,Percentage,France,22.3 b,16.9,17.7,18.1,20.8,15.9,13.5,16.0,17.8,17.6,17.5,22.5,23.2,20.5,26.4
Quarterly,Non-assisted voluntary return,Percentage,Croatia,44.2,26.7,21.9,18.6,20.5,20.0,10.7,8.7,10.0,10.5,12.8,11.2,20.0,24.3,22.0
Quarterly,Non-assisted voluntary return,Percentage,Hungary,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9,43.4
Quarterly,Non-assisted voluntary return,Percentage,Ireland,52.9,43.8,69.4,51.4,73.7,70.9,76.5,29.9,36.1,37.7,28.1,32.9,28.0,47.2,38.9
Quarterly,Non-assisted voluntary return,Percentage,Italy,0.0,:,0.0,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quarterly,Non-assisted voluntary return,Percentage,Liechtenstein,100.0,88.2,100.0,50.0,100.0,20.0,100.0,100.0,100.0,0.0,0.0,:,:,0.0,:
Quarterly,Non-assisted voluntary return,Percentage,Lithuania,0.0,0.0,0.0,0.0,66.8,96.9,97.3,96.8,94.2,99.8,96.6,97.3,94.8,94.4,95.6
Quarterly,Non-assisted voluntary return,Percentage,Luxembourg,25.6,36.1,23.1,22.9,7.1,32.5,15.1,14.7,16.9,10.3,23.5,34.2,30.9,39.6,30.6
Quarterly,Non-assisted voluntary return,Percentage,Latvia,85.1,90.5,92.2,82.4,71.8,94.4,95.2,95.4,94.9,94.5,98.9,97.4,94.0,93.0,96.1
Quarterly,Non-assisted voluntary return,Percentage,Montenegro,:,:,:,82.5,96.6,96.1,93.2,94.0,94.5,98.9,94.0,92.1,94.0,90.6,91.1
Quarterly,Non-assisted voluntary return,Percentage,Malta,35.6,45.6,33.5,43.0,41.5,59.7,61.3,40.3,38.8,33.9,35.9,34.9,39.8,38.5,54.1
Quarterly,Non-assisted voluntary return,Percentage,Netherlands,71.6,68.8,64.2,72.9,78.5,77.6,83.3,84.0,89.4,80.1,78.3,78.0,76.3,75.7,78.5
Quarterly,Non-assisted voluntary return,Percentage,Norway,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quarterly,Non-assisted voluntary return,Percentage,Poland,96.5,89.1,92.2,76.6,72.6,77.6,85.5,2.2,74.7,77.7,83.9,80.3,81.4,77.2,82.3
Quarterly,Non-assisted voluntary return,Percentage,Portugal,3.2,5.0,5.1,2.7,2.8,3.6,1.5,2.4,1.9,2.0,0.0,0.0,0.0,0.0,0.0
Quarterly,Non-assisted voluntary return,Percentage,Romania,30.1,15.6,24.4,35.8,34.0,60.9,73.9,72.8,58.1,43.8,46.6,60.7,48.9,51.3,58.0
Quarterly,Non-assisted voluntary return,Percentage,Sweden,19.3,16.7,13.9,27.3,12.7,41.3,23.6,25.0,15.6,11.9,12.9,12.3,14.0,24.2,24.3
Quarterly,Non-assisted voluntary return,Percentage,Slovenia,2.4,37.7,55.6,73.8,100.0,52.4,74.2,84.9,92.1,81.0,86.8,87.5,84.9,76.3,76.9
Quarterly,Non-assisted voluntary return,Percentage,Slovakia,10.3,23.1,11.2,16.3,8.9,0.0,0.0,8.9,0.0,7.5,0.0,31.5,70.8,71.7,60.3
Quarterly,Voluntary return,Percentage,Austria,67.1,78.0,76.6,80.7,81.9,87.8,84.0,84.0,82.1,79.8,82.2,78.4,77.5,79.6,80.2
Quarterly,Voluntary return,Percentage,Belgium,65.9,62.1,66.0,63.6,29.1,34.4,27.8,37.0,29.2,35.1,30.8,30.0,32.6,36.7,45.2
Quarterly,Voluntary return,Percentage,Bulgaria,18.0,14.5,11.7,19.5,18.8,28.7,10.5,8.4,37.8,18.9,28.2,16.9,9.2,32.1,24.7
Quarterly,Voluntary return,Percentage,Switzerland,26.8,24.0,30.4,33.6,30.8,34.3,34.9,35.5,35.3,29.5,35.9,0.0,:,40.8,46.8
Quarterly,Voluntary return,Percentage,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.4,71.6,73.3
Quarterly,Voluntary return,Percentage,Czechia,78.4,78.1,61.9,70.3,65.3,52.0,12.5,3.8,56.6,79.3,88.4,80.0,78.0,84.1,78.3
Quarterly,Voluntary return,Percentage,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quarterly,Voluntary return,Percentage,Denmark,95.0,94.6,96.5,95.5,94.9,94.9,97.8,93.9,97.6,96.7,96.7,96.3,96.3,97.5,98.3
Quarterly,Voluntary return,Percentage,Estonia,93.6,89.3,81.9,91.2,86.8,87.6,92.5,91.5,81.7,86.2,84.6,87.5,83.7,86.7,77.7
Quarterly,Voluntary return,Percentage,Greece,55.6,46.0,52.0,62.3,59.8,60.7,62.3,69.8,62.1,51.5,55.3,64.8,57.8,51.9,61.1
Quarterly,Voluntary return,Percentage,Spain,36.2,31.0,45.6,33.0,58.3,56.4,34.3,20.1,36.7,33.1,8.2,11.4,36.8,54.0,78.4
Quarterly,Voluntary return,Percentage,European Union - 27 countries (from 2020),46.5 b,:,44.7,49.7,50.0 bd,50.2,46.0,43.3,43.7,40.6,41.9,42.6,48.2,51.5,56.2
Quarterly,Voluntary return,Percentage,Finland,46.6 b,48.8,45.6,41.3,41.1,46.1,45.3,46.1,45.0,45.6,48.1,50.5,47.5,50.8,53.6
Quarterly,Voluntary return,Percentage,France,42.6 b,40.0,33.1,36.2,44.4,36.8,32.5,35.2,41.8,39.2,42.0,45.8,49.9,51.6,53.9
Quarterly,Voluntary return,Percentage,Croatia,44.2,27.0,22.1,19.0,20.5,20.3,10.9,9.0,10.5,14.4,14.3,12.0,21.1,27.5,26.7
Quarterly,Voluntary return,Percentage,Hungary,0.0,:,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.9,43.4
Quarterly,Voluntary return,Percentage,Ireland,94.1,96.9,100.0,88.6,84.2,96.4,80.4,83.6,88.9,81.2,82.8,74.7,80.4,83.5,89.6
Quarterly,Voluntary return,Percentage,Italy,27.6,34.3,0.0,0.0,:,2.7,2.9,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quarterly,Voluntary return,Percentage,Liechtenstein,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,:,:,0.0,:
Quarterly,Voluntary return,Percentage,Lithuania,0.0,0.0,0.0,0.0,100.0,99.2,99.5,98.2,94.6,99.9,97.2,97.5,96.3,94.7,95.8
Quarterly,Voluntary return,Percentage,Luxembourg,59.0,83.3,61.5,65.7,61.9,70.0,64.2,52.9,67.8,48.3,55.9,68.5,70.2,72.6,67.8
Quarterly,Voluntary return,Percentage,Latvia,95.7,94.8,98.4,98.3,93.7,99.0,98.8,97.2,97.6,98.7,98.9,97.4,94.0,93.0,96.4
Quarterly,Voluntary return,Percentage,Montenegro,:,:,:,88.7,96.6,96.1,93.2,94.0,94.5,98.9,94.0,93.5,94.3,92.5,93.8
Quarterly,Voluntary return,Percentage,Malta,94.6,92.9,89.8,95.9,92.3,89.9,86.7,92.2,39.7,34.4,35.9,36.8,41.7,39.1,57.1
Quarterly,Voluntary return,Percentage,Netherlands,83.1,73.1,69.6,78.3,82.3,81.2,86.2,85.4,90.3,83.1,80.2,79.7,77.2,76.9,81.0
Quarterly,Voluntary return,Percentage,Norway,5.1,3.7,1.1,3.5,3.8,2.7,2.1,3.9,5.0,6.7,5.9,5.0,4.2,4.4,5.9
Quarterly,Voluntary return,Percentage,Poland,99.4,91.9,93.2,78.0,74.4,81.6,87.0,82.7,76.9,79.6,86.6,85.8,87.8,85.6,88.0
Quarterly,Voluntary return,Percentage,Portugal,3.2,31.7,29.6,10.7,30.1,37.8,67.4,83.4,33.2,50.0,44.4,31.3,0.0,0.0,84.9
Quarterly,Voluntary return,Percentage,Romania,35.0,17.2,25.6,39.6,43.2,66.3,73.9,73.5,63.0,49.1,49.8,61.8,48.9,51.3,58.0
Quarterly,Voluntary return,Percentage,Sweden,86.1,79.9,58.3,88.6,86.1,83.8,85.2,82.1,62.5,53.3,49.4,67.3,55.3,64.9,66.9
Quarterly,Voluntary return,Percentage,Slovenia,2.4,37.7,55.6,73.8,100.0,52.4,74.2,84.9,92.1,81.0,86.8,87.5,84.9,76.3,77.6
Quarterly,Voluntary return,Percentage,Slovakia,10.3,27.5,14.4,17.1,14.3,40.0,45.7,14.3,54.7,47.5,53.4,80.6,80.2,79.3,69.8
