Time frequency,Reason,Level of activity limitation,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,No interest,Some or severe,Total,16 years or over,Percentage,European Union - 27 countries (from 2020),48.8 e
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Finland,49.9
Annual,No interest,Some or severe,Total,16 years or over,Percentage,France,62.3
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Croatia,48.6
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Hungary,45.7
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Ireland,68.1
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Italy,43.6
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Lithuania,32.4
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Luxembourg,55.0 u
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Latvia,50.9
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Montenegro,38.4
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Malta,39.9
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Netherlands,59.6
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Norway,56.3
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Poland,43.5 u
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Portugal,61.3
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Romania,36.3
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Serbia,58.2
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Sweden,44.8
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Slovenia,62.8
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Slovakia,47.1
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Türkiye,87.9
Annual,No time,Some or severe,Total,16 years or over,Percentage,Austria,17.5
Annual,No time,Some or severe,Total,16 years or over,Percentage,Belgium,8.0
Annual,No time,Some or severe,Total,16 years or over,Percentage,Bulgaria,6.8
Annual,No time,Some or severe,Total,16 years or over,Percentage,Switzerland,: u
Annual,No time,Some or severe,Total,16 years or over,Percentage,Cyprus,14.2
Annual,No time,Some or severe,Total,16 years or over,Percentage,Czechia,8.2
Annual,No time,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,No time,Some or severe,Total,16 years or over,Percentage,Denmark,13.4
Annual,No time,Some or severe,Total,16 years or over,Percentage,Euro area – 20 countries (from 2023),10.5 e
Annual,No time,Some or severe,Total,16 years or over,Percentage,Estonia,13.8 u
Annual,No time,Some or severe,Total,16 years or over,Percentage,Greece,7.4
Annual,No time,Some or severe,Total,16 years or over,Percentage,Spain,11.2
Annual,No time,Some or severe,Total,16 years or over,Percentage,European Union - 27 countries (from 2020),11.2 e
Annual,No time,Some or severe,Total,16 years or over,Percentage,Finland,10.3
Annual,No time,Some or severe,Total,16 years or over,Percentage,France,7.9
Annual,No time,Some or severe,Total,16 years or over,Percentage,Croatia,6.2
Annual,No time,Some or severe,Total,16 years or over,Percentage,Hungary,11.9
Annual,No time,Some or severe,Total,16 years or over,Percentage,Ireland,7.6
Annual,No time,Some or severe,Total,16 years or over,Percentage,Italy,10.9
Annual,No time,Some or severe,Total,16 years or over,Percentage,Lithuania,11.1
Annual,No time,Some or severe,Total,16 years or over,Percentage,Luxembourg,16.5 u
Annual,No time,Some or severe,Total,16 years or over,Percentage,Latvia,20.2
Annual,No time,Some or severe,Total,16 years or over,Percentage,Montenegro,3.9
Annual,No time,Some or severe,Total,16 years or over,Percentage,Malta,12.5
Annual,No time,Some or severe,Total,16 years or over,Percentage,Netherlands,15.0
Annual,No time,Some or severe,Total,16 years or over,Percentage,Norway,11.0
Annual,No time,Some or severe,Total,16 years or over,Percentage,Poland,12.5 u
Annual,No time,Some or severe,Total,16 years or over,Percentage,Portugal,9.4
Annual,No time,Some or severe,Total,16 years or over,Percentage,Romania,16.7
Annual,No time,Some or severe,Total,16 years or over,Percentage,Serbia,4.4
Annual,No time,Some or severe,Total,16 years or over,Percentage,Sweden,15.7
Annual,No time,Some or severe,Total,16 years or over,Percentage,Slovenia,13.6
Annual,No time,Some or severe,Total,16 years or over,Percentage,Slovakia,13.8
Annual,No time,Some or severe,Total,16 years or over,Percentage,Türkiye,6.8
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Austria,18.3
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Belgium,18.8
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Bulgaria,66.8
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Switzerland,: u
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Cyprus,24.7
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Czechia,38.6
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Denmark,33.2
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Euro area – 20 countries (from 2023),35.5 e
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Estonia,51.9 u
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Greece,3.7
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Spain,42.6
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,European Union - 27 countries (from 2020),37.2 e
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Finland,38.7
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,France,27.6
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Croatia,42.7
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Hungary,35.0
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Ireland,23.0
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Italy,42.8
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Lithuania,52.7
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Luxembourg,25.0 u
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Latvia,24.7
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Montenegro,56.6
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Malta,42.6
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Netherlands,22.6
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Norway,30.8
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Poland,42.4 u
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Portugal,27.3
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Romania,44.8
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Serbia,34.2
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Sweden,36.5
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Slovenia,21.7
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Slovakia,37.8
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Türkiye,3.8
