Time frequency,n_room,unit,geo\TIME_PERIOD,1991.0
Annual,5.0,NR,EA,21481916.0
Annual,5.0,NR,EL,611631.0
Annual,5.0,NR,ES,4180965.0
Annual,5.0,NR,EU15,29960545.0
Annual,5.0,NR,FI,374609.0
Annual,5.0,NR,FR,3936580.0
Annual,5.0,NR,FR9,65463.0
Annual,5.0,NR,IE,285577.0
Annual,5.0,NR,IT,4594754.0
Annual,5.0,NR,LI,2034.0
Annual,5.0,NR,LU,27180.0
Annual,5.0,NR,NL,1393000.0
Annual,5.0,NR,NO,268875.0
Annual,5.0,NR,PT,798012.0
Annual,5.0,NR,SE,769303.0
Annual,5.0,NR,UK,6495902.0
Annual,6.0,NR,AT,123859.0
Annual,6.0,NR,BE,393183.0
Annual,6.0,NR,CH,399161.0
Annual,6.0,NR,DE,2714022.0
Annual,6.0,NR,DK,331319.0
Annual,6.0,NR,EA,9542484.0
Annual,6.0,NR,EL,189650.0
Annual,6.0,NR,ES,1968598.0
Annual,6.0,NR,EU15,15185066.0
Annual,6.0,NR,FI,164644.0
Annual,6.0,NR,FR,1533804.0
Annual,6.0,NR,FR9,26192.0
Annual,6.0,NR,IE,217193.0
Annual,6.0,NR,IT,1688708.0
Annual,6.0,NR,LI,2266.0
Annual,6.0,NR,LU,26432.0
Annual,6.0,NR,NL,386000.0
Annual,6.0,NR,NO,161711.0
Annual,6.0,NR,PT,326041.0
Annual,6.0,NR,SE,496357.0
Annual,6.0,NR,UK,4625256.0
Annual,7.0,NR,AT,52720.0
Annual,7.0,NR,BE,187956.0
Annual,7.0,NR,CH,186725.0
Annual,7.0,NR,DK,157375.0
Annual,7.0,NR,EL,50939.0
Annual,7.0,NR,ES,475968.0
Annual,7.0,NR,FR,532072.0
Annual,7.0,NR,FR9,7793.0
Annual,7.0,NR,IE,116600.0
Annual,7.0,NR,IT,696995.0
Annual,7.0,NR,LI,1576.0
Annual,7.0,NR,LU,17899.0
Annual,7.0,NR,NL,123000.0
Annual,7.0,NR,NO,77014.0
Annual,7.0,NR,PT,139820.0
Annual,7.0,NR,SE,254973.0
Annual,7.0,NR,UK,1835782.0
Annual,8.0,NR,AT,25036.0
Annual,8.0,NR,BE,84204.0
Annual,8.0,NR,CH,75566.0
Annual,8.0,NR,EL,16084.0
Annual,8.0,NR,ES,203364.0
Annual,8.0,NR,FR,215832.0
Annual,8.0,NR,FR9,3063.0
Annual,8.0,NR,IE,50498.0
Annual,8.0,NR,IT,295215.0
Annual,8.0,NR,LI,822.0
Annual,8.0,NR,LU,11450.0
Annual,8.0,NR,NL,50000.0
Annual,8.0,NR,PT,59288.0
Annual,8.0,NR,SE,60312.0
Annual,8.0,NR,UK,816070.0
Annual,9.0,NR,AT,8437.0
Annual,9.0,NR,BE,36879.0
Annual,9.0,NR,CH,33169.0
Annual,9.0,NR,EL,6867.0
Annual,9.0,NR,ES,75961.0
Annual,9.0,NR,IE,18155.0
Annual,9.0,NR,IT,162581.0
Annual,9.0,NR,LI,333.0
Annual,9.0,NR,LU,4689.0
Annual,9.0,NR,NL,16000.0
Annual,9.0,NR,PT,30526.0
Annual,9.0,NR,SE,23149.0
Annual,9.0,NR,UK,336505.0
Annual,GE10,NR,AT,10100.0
Annual,GE10,NR,BE,32970.0
Annual,GE10,NR,CH,24638.0
Annual,GE10,NR,EL,4128.0
Annual,GE10,NR,ES,79920.0
Annual,GE10,NR,IE,12729.0
Annual,GE10,NR,IT,173911.0
Annual,GE10,NR,LI,292.0
Annual,GE10,NR,LU,4986.0
Annual,GE10,NR,NL,16000.0
Annual,GE10,NR,PT,32077.0
Annual,GE10,NR,SE,15925.0
Annual,GE10,NR,UK,321283.0
Annual,GE7,NR,DE,2880258.0
Annual,GE7,NR,FI,60554.0
Annual,GE8,NR,DK,126349.0
Annual,GE8,NR,NO,89930.0
Annual,GE9,NR,FR,142752.0
Annual,GE9,NR,FR9,1760.0
Annual,UNK,NR,IE,20981.0
Annual,UNK,NR,LU,4702.0
Annual,UNK,NR,SE,98144.0
