Time frequency,Unit of measure,Sex,Size classes in number of employees,Geopolitical entity (reporting)\Time,2006.0,2010.0,2014.0,2018.0,2022.0
Annual,Percentage,Females,10 employees or more,Iceland,14.89,11.82,8.94,12.18,4.98
Annual,Percentage,Females,10 employees or more,Italy,14.0,15.13,11.33,10.25,10.32
Annual,Percentage,Females,10 employees or more,Lithuania,30.42,29.44,25.95,23.44,21.76
Annual,Percentage,Females,10 employees or more,Luxembourg,22.79,20.16,17.5,15.94,18.35
Annual,Percentage,Females,10 employees or more,Latvia,32.05,28.67,27.12,27.69,27.83
Annual,Percentage,Females,10 employees or more,Montenegro,:,:,27.34,:,:
Annual,Percentage,Females,10 employees or more,North Macedonia,:,30.33,27.66,17.98,:
Annual,Percentage,Females,10 employees or more,Malta,16.59,21.68,17.71,17.62,15.83
Annual,Percentage,Females,10 employees or more,Netherlands,20.36,19.84,19.4,19.61,17.47
Annual,Percentage,Females,10 employees or more,Norway,8.78,8.6,9.4,10.35,:
Annual,Percentage,Females,10 employees or more,Poland,27.98,26.78,25.8,23.47,20.49
Annual,Percentage,Females,10 employees or more,Portugal,26.4,22.13,16.98,4.69,2.83
Annual,Percentage,Females,10 employees or more,Romania,27.9,26.18,22.02,17.8,22.66
Annual,Percentage,Females,10 employees or more,Serbia,:,:,24.41,18.12,23.36
Annual,Percentage,Females,10 employees or more,Sweden,2.17,3.12,3.21,4.42,5.01
Annual,Percentage,Females,10 employees or more,Slovenia,23.49,19.29,21.46,19.41,10.54
Annual,Percentage,Females,10 employees or more,Slovakia,24.92,23.66,23.36,19.18,15.96
Annual,Percentage,Females,10 employees or more,Türkiye,0.26,0.49,0.56,0.78,:
Annual,Percentage,Females,10 employees or more,United Kingdom,28.47,27.56,26.92,21.46,:
Annual,Percentage,Males,10 employees or more,Albania,:,:,:,22.63,17.6
Annual,Percentage,Males,10 employees or more,Austria,6.84,8.19,8.74,9.3,9.01
Annual,Percentage,Males,10 employees or more,Bosnia and Herzegovina,:,:,:,:,15.85
Annual,Percentage,Males,10 employees or more,Belgium,4.65,3.31,3.37,11.01,15.8
Annual,Percentage,Males,10 employees or more,Bulgaria,18.31,22.46,19.18,23.57,30.01
Annual,Percentage,Males,10 employees or more,Switzerland,:,6.14,5.68,6.02,6.53
Annual,Percentage,Males,10 employees or more,Cyprus,12.26,14.99,16.09,15.61,17.44
Annual,Percentage,Males,10 employees or more,Czechia,10.9,12.94,13.71,11.43,10.52
Annual,Percentage,Males,10 employees or more,Germany,14.71,17.03,16.92,15.81,15.39
Annual,Percentage,Males,10 employees or more,Denmark,5.85,5.82,6.55,6.98,7.52
Annual,Percentage,Males,10 employees or more,Euro area - 17 countries (2011-2013),10.17,11.12,11.79,11.58,:
Annual,Percentage,Males,10 employees or more,Euro area - 18 countries (2014),:,:,:,11.63,:
Annual,Percentage,Males,10 employees or more,Euro area - 19 countries  (2015-2022),:,:,11.97,11.72,:
Annual,Percentage,Males,10 employees or more,Estonia,14.97,15.47,13.91,15.01,13.8
Annual,Percentage,Males,10 employees or more,Greece,12.45,11.21,20.16,18.65,20.11
Annual,Percentage,Males,10 employees or more,Spain,7.97,9.23,9.78,10.23,9.2
Annual,Percentage,Males,10 employees or more,European Union - 27 countries (2007-2013),12.54,13.23,13.53,12.47,:
Annual,Percentage,Males,10 employees or more,European Union - 27 countries (from 2020),12.06,12.58,13.16,12.49,:
Annual,Percentage,Males,10 employees or more,European Union - 28 countries (2013-2020),:,13.3,13.51,:,:
Annual,Percentage,Males,10 employees or more,Finland,2.49,3.31,3.5,3.43,4.56
Annual,Percentage,Males,10 employees or more,France,5.35,4.53,6.17,6.03,8.63
Annual,Percentage,Males,10 employees or more,Croatia,:,18.27,20.38,14.04,15.71
Annual,Percentage,Males,10 employees or more,Hungary,22.68,17.94,16.97,10.94,13.69
Annual,Percentage,Males,10 employees or more,Ireland,15.94,17.56,16.83,16.72,17.56
Annual,Percentage,Males,10 employees or more,Iceland,6.9,5.6,5.67,9.76,3.72
Annual,Percentage,Males,10 employees or more,Italy,7.52,10.25,7.93,7.03,7.6
Annual,Percentage,Males,10 employees or more,Lithuania,27.69,24.53,21.68,21.1,13.68
Annual,Percentage,Males,10 employees or more,Luxembourg,7.89,9.27,8.36,8.53,11.21
Annual,Percentage,Males,10 employees or more,Latvia,29.46,26.66,23.27,18.83,17.74
Annual,Percentage,Males,10 employees or more,Montenegro,:,:,27.16,:,:
Annual,Percentage,Males,10 employees or more,North Macedonia,:,26.37,23.07,14.34,:
Annual,Percentage,Males,10 employees or more,Malta,13.17,14.9,13.2,13.85,15.99
Annual,Percentage,Males,10 employees or more,Netherlands,15.47,15.2,16.62,16.95,15.16
Annual,Percentage,Males,10 employees or more,Norway,4.85,6.02,7.28,7.14,:
Annual,Percentage,Males,10 employees or more,Poland,21.8,21.79,21.53,20.41,17.55
Annual,Percentage,Males,10 employees or more,Portugal,15.37,10.24,6.6,3.18,0.7
Annual,Percentage,Males,10 employees or more,Romania,25.97,25.5,26.46,21.99,25.0
Annual,Percentage,Males,10 employees or more,Serbia,:,:,21.59,17.52,20.42
Annual,Percentage,Males,10 employees or more,Sweden,1.35,1.85,2.04,2.76,3.06
Annual,Percentage,Males,10 employees or more,Slovenia,15.57,15.27,15.81,13.92,8.36
Annual,Percentage,Males,10 employees or more,Slovakia,12.14,14.6,15.25,13.01,10.79
Annual,Percentage,Males,10 employees or more,Türkiye,0.24,0.37,0.42,0.82,:
Annual,Percentage,Males,10 employees or more,United Kingdom,15.03,16.68,15.61,12.43,:
Annual,Percentage,Total,10 employees or more,Albania,:,:,:,23.04,16.35
Annual,Percentage,Total,10 employees or more,Austria,14.19,15.02,14.76,14.75,14.04
Annual,Percentage,Total,10 employees or more,Bosnia and Herzegovina,:,:,:,:,17.51
Annual,Percentage,Total,10 employees or more,Belgium,6.82,6.37,3.79,13.68,15.86
Annual,Percentage,Total,10 employees or more,Bulgaria,18.9,22.01,18.19,21.41,26.84
Annual,Percentage,Total,10 employees or more,Switzerland,:,11.03,9.37,9.53,9.6
Annual,Percentage,Total,10 employees or more,Cyprus,22.65,22.62,19.33,18.73,19.99
Annual,Percentage,Total,10 employees or more,Czechia,17.05,18.19,18.69,15.09,13.78
Annual,Percentage,Total,10 employees or more,Germany,20.3,22.24,22.48,20.68,18.98
Annual,Percentage,Total,10 employees or more,Denmark,8.31,8.17,8.61,8.69,9.7
Annual,Percentage,Total,10 employees or more,Euro area - 17 countries (2011-2013),14.27,14.78,15.7,14.89,:
Annual,Percentage,Total,10 employees or more,Euro area - 18 countries (2014),:,:,:,14.95,:
Annual,Percentage,Total,10 employees or more,Euro area - 19 countries  (2015-2022),:,:,15.88,15.03,:
Annual,Percentage,Total,10 employees or more,Estonia,23.19,23.76,22.76,21.95,21.23
Annual,Percentage,Total,10 employees or more,Greece,15.73,12.82,21.72,19.65,21.74
Annual,Percentage,Total,10 employees or more,Spain,13.37,14.66,14.59,14.33,13.24
Annual,Percentage,Total,10 employees or more,European Union - 27 countries (2007-2013),16.79,16.88,17.18,15.49,:
Annual,Percentage,Total,10 employees or more,European Union - 27 countries (from 2020),15.73,15.8,16.36,15.22,:
Annual,Percentage,Total,10 employees or more,European Union - 28 countries (2013-2020),:,16.96,17.19,:,:
Annual,Percentage,Total,10 employees or more,Finland,4.75,5.85,5.28,5.03,6.49
Annual,Percentage,Total,10 employees or more,France,7.13,6.08,8.81,8.61,9.68
Annual,Percentage,Total,10 employees or more,Croatia,:,21.35,23.11,18.42,18.57
Annual,Percentage,Total,10 employees or more,Hungary,21.87,19.51,17.75,11.61,14.61
Annual,Percentage,Total,10 employees or more,Ireland,21.41,20.66,21.56,19.78,19.79
Annual,Percentage,Total,10 employees or more,Iceland,11.24,8.99,7.54,11.16,4.39
Annual,Percentage,Total,10 employees or more,Italy,10.27,12.36,9.44,8.46,8.81
Annual,Percentage,Total,10 employees or more,Lithuania,29.12,27.24,23.96,22.33,17.86
Annual,Percentage,Total,10 employees or more,Luxembourg,13.18,13.06,11.94,11.38,14.0
Annual,Percentage,Total,10 employees or more,Latvia,30.9,27.81,25.46,23.49,23.26
Annual,Percentage,Total,10 employees or more,Montenegro,:,:,27.25,:,:
Annual,Percentage,Total,10 employees or more,North Macedonia,:,28.25,25.13,16.06,:
Annual,Percentage,Total,10 employees or more,Malta,14.43,17.61,15.08,15.51,15.92
Annual,Percentage,Total,10 employees or more,Netherlands,17.74,17.46,17.98,18.24,16.31
Annual,Percentage,Total,10 employees or more,Norway,6.48,7.27,8.29,8.71,:
Annual,Percentage,Total,10 employees or more,Poland,24.72,24.16,23.56,21.87,18.96
Annual,Percentage,Total,10 employees or more,Portugal,20.72,16.08,12.03,3.95,1.77
Annual,Percentage,Total,10 employees or more,Romania,26.85,25.82,24.4,20.01,23.87
Annual,Percentage,Total,10 employees or more,Serbia,:,:,22.91,17.81,21.89
Annual,Percentage,Total,10 employees or more,Sweden,1.77,2.51,2.64,3.61,4.05
Annual,Percentage,Total,10 employees or more,Slovenia,19.24,17.14,18.47,16.52,9.38
Annual,Percentage,Total,10 employees or more,Slovakia,18.3,19.03,19.21,16.01,13.36
Annual,Percentage,Total,10 employees or more,Türkiye,0.24,0.4,0.46,0.81,:
Annual,Percentage,Total,10 employees or more,United Kingdom,21.77,22.06,21.26,16.98,:
