Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Primary education,Percentage,Norway,36.8,37.0,36.3,:,30.7,29.9,29.9,26.1,26.0,26.1
Annual,Primary education,Percentage,Poland,24.1,23.5,21.9,20.8,21.2,24.0 b,24.3,18.1,17.6,17.4
Annual,Primary education,Percentage,Portugal,7.8,9.0,9.7,9.5,9.7,11.4,14.8,14.8,14.8,14.5
Annual,Primary education,Percentage,Romania,2.2,2.0,1.5,1.3,1.2,1.0,1.0,1.2,1.0,1.1
Annual,Primary education,Percentage,Serbia,15.9,8.4,7.0,9.4,9.8,9.3,10.9,12.5,11.9,12.1
Annual,Primary education,Percentage,Sweden,30.9,29.9,28.2,26.9,25.8,25.3,25.7,25.9,25.1,24.7
Annual,Primary education,Percentage,Slovenia,3.3,3.0,3.1,6.9,6.0,3.4 d,5.7 d,6.4 d,5.7 d,5.4 d
Annual,Primary education,Percentage,Slovakia,14.9,14.9,14.8,14.4,14.3,14.0,14.2,14.2,13.2,10.9
Annual,Primary education,Percentage,Türkiye,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Primary education,Percentage,United Kingdom,31.4,22.9,25.2 d,25.9,26.4,29.2,29.5,:,:,:
Annual,Lower secondary education,Percentage,Albania,:,:,:,:,:,:,:,:,0.0,0.0
Annual,Lower secondary education,Percentage,Austria,26.4,27.2,28.1,28.8,28.9,29.2,29.1,28.8,28.6,28.5
Annual,Lower secondary education,Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,44.4,:,:,:
Annual,Lower secondary education,Percentage,Belgium,30.2,41.2 d,: d,42.8 d,43.7,42.9,43.4,44.5,42.7,45.5
Annual,Lower secondary education,Percentage,Bulgaria,4.6,4.0,4.1,4.4,4.1,5.1 b,4.2,4.7,4.8,5.8
Annual,Lower secondary education,Percentage,Switzerland,64.3 d,66.1 d,68.8 d,69.6,69.3,68.6,68.8,69.2,69.2,70.2
Annual,Lower secondary education,Percentage,Cyprus,3.4,3.1,3.6,3.6,2.7,2.5,3.8,4.2,3.6,3.7
Annual,Lower secondary education,Percentage,Czechia,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Lower secondary education,Percentage,Germany,43.8,42.1,41.5,41.5,41.5,41.2,42.0,42.3,42.4,43.3
Annual,Lower secondary education,Percentage,Denmark,: d,22.3,30.5,32.4,31.9,31.9,34.7,35.3,31.1,32.8
Annual,Lower secondary education,Percentage,Estonia,42.2,40.7,: d,90.6 d,90.1 d,89.8 d,88.9 d,88.3 d,87.8 d,87.3 d
Annual,Lower secondary education,Percentage,Greece,:,0.0,3.0,4.8,5.2,5.1,6.6,4.9,7.0,7.2
Annual,Lower secondary education,Percentage,Spain,11.2,12.1,12.5,13.7,12.8,13.6,14.8,13.0,13.8,12.8
