Time frequency,Unit of measure,Farm type,Eurofarm indicators,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Thousand,Total,hold: Dairy cows,Estonia,9.21,6.08,3.52,2.53
Annual,Thousand,Total,hold: Dairy cows,Greece,9.78,8.02,5.78,6.06
Annual,Thousand,Total,hold: Dairy cows,Spain,42.39,37.29,29.46,23.53
Annual,Thousand,Total,hold: Dairy cows,Finland,16.94,14.39,11.91,9.61
Annual,Thousand,Total,hold: Dairy cows,France,103.85,93.12,82.6,92.54
Annual,Thousand,Total,hold: Dairy cows,Croatia,:,49.55,41.34,30.15
Annual,Thousand,Total,hold: Dairy cows,Hungary,16.25,12.17,11.37,9.51
Annual,Thousand,Total,hold: Dairy cows,Ireland,23.82,21.32,18.46,18.15
Annual,Thousand,Total,hold: Dairy cows,Iceland,:,:,0.72,:
Annual,Thousand,Total,hold: Dairy cows,Italy,61.02,62.79,52.13,39.6
Annual,Thousand,Total,hold: Dairy cows,Lithuania,170.79,123.17,85.02,64.97
Annual,Thousand,Total,hold: Dairy cows,Luxembourg,0.97,1.09,0.81,0.73
Annual,Thousand,Total,hold: Dairy cows,Latvia,50.9,43.69,30.05,23.64
Annual,Thousand,Total,hold: Dairy cows,Montenegro,:,:,23.78,:
Annual,Thousand,Total,hold: Dairy cows,Malta,0.18,0.19,0.14,0.13
Annual,Thousand,Total,hold: Dairy cows,Netherlands,23.53,24.51,19.81,18.67
Annual,Thousand,Total,hold: Dairy cows,Norway,15.89,13.67,11.13,9.5
Annual,Thousand,Total,hold: Dairy cows,Poland,727.1,651.05,425.78,334.5
Annual,Thousand,Total,hold: Dairy cows,Portugal,15.86,13.5,10.45,7.77
Annual,Thousand,Total,hold: Dairy cows,Romania,1134.4,1012.41,624.99,561.84
Annual,Thousand,Total,hold: Dairy cows,Sweden,8.55,7.1,5.62,4.67
Annual,Thousand,Total,hold: Dairy cows,Slovenia,19.71,19.2,10.95,9.77
Annual,Thousand,Total,hold: Dairy cows,Slovakia,13.46,11.54,6.3,6.2
Annual,Thousand,Total,hold: Dairy cows,United Kingdom,26.31,27.52,23.54,21.3
Annual,Thousand,Total,hold: Cattle - total,Austria,82.07,76.73,71.94,66.21
Annual,Thousand,Total,hold: Cattle - total,Belgium,30.84,28.46,24.95,21.99
Annual,Thousand,Total,hold: Cattle - total,Bulgaria,168.37,133.33,95.87,69.88
Annual,Thousand,Total,hold: Cattle - total,Switzerland,45.43,:,41.1,:
Annual,Thousand,Total,hold: Cattle - total,Cyprus,0.31,0.29,0.28,0.25
Annual,Thousand,Total,hold: Cattle - total,Czechia,15.25,13.96,10.08,11.53
Annual,Thousand,Total,hold: Cattle - total,Germany,183.37,169.69,144.85,130.43
Annual,Thousand,Total,hold: Cattle - total,Denmark,16.88,15.61,13.58,12.48
Annual,Thousand,Total,hold: Cattle - total,Estonia,10.78,7.42,4.62,3.82
Annual,Thousand,Total,hold: Cattle - total,Greece,23.38,21.52,16.79,15.94
Annual,Thousand,Total,hold: Cattle - total,Spain,136.07,124.01,111.84,99.55
Annual,Thousand,Total,hold: Cattle - total,Finland,21.47,18.62,15.64,13.42
Annual,Thousand,Total,hold: Cattle - total,France,238.48,219.96,199.62,180.41
Annual,Thousand,Total,hold: Cattle - total,Croatia,:,54.37,47.34,34.99
Annual,Thousand,Total,hold: Cattle - total,Hungary,25.11,19.8,19.12,18.17
Annual,Thousand,Total,hold: Cattle - total,Ireland,112.82,104.93,111.0,111.32
Annual,Thousand,Total,hold: Cattle - total,Iceland,:,:,0.91,:
Annual,Thousand,Total,hold: Cattle - total,Italy,143.8,146.99,125.88,105.97
Annual,Thousand,Total,hold: Cattle - total,Lithuania,181.47,132.6,93.05,75.34
Annual,Thousand,Total,hold: Cattle - total,Luxembourg,1.56,1.48,1.46,1.34
Annual,Thousand,Total,hold: Cattle - total,Latvia,54.27,47.35,35.1,28.96
Annual,Thousand,Total,hold: Cattle - total,Montenegro,:,:,24.62,:
Annual,Thousand,Total,hold: Cattle - total,Malta,0.31,0.23,0.29,0.3
Annual,Thousand,Total,hold: Cattle - total,Netherlands,37.32,35.26,32.83,30.24
Annual,Thousand,Total,hold: Cattle - total,Norway,21.77,19.63,16.9,15.17
Annual,Thousand,Total,hold: Cattle - total,Poland,783.49,718.26,514.12,424.4
Annual,Thousand,Total,hold: Cattle - total,Portugal,61.83,52.13,50.04,40.73
Annual,Thousand,Total,hold: Cattle - total,Romania,1233.37,1067.73,728.02,635.22
Annual,Thousand,Total,hold: Cattle - total,Sweden,26.18,23.88,21.59,18.96
Annual,Thousand,Total,hold: Cattle - total,Slovenia,43.68,40.84,36.12,34.09
Annual,Thousand,Total,hold: Cattle - total,Slovakia,16.62,15.45,9.31,9.29
Annual,Thousand,Total,hold: Cattle - total,United Kingdom,107.81,94.62,85.76,83.63
Annual,Thousand,Total,hold: Sheep - total,Austria,14.74,15.02,14.5,13.78
Annual,Thousand,Total,hold: Sheep - total,Belgium,4.05,3.89,3.3,3.15
Annual,Thousand,Total,hold: Sheep - total,Bulgaria,176.18,137.75,91.79,57.2
Annual,Thousand,Total,hold: Sheep - total,Switzerland,11.23,:,9.78,:
Annual,Thousand,Total,hold: Sheep - total,Cyprus,1.61,1.45,1.39,1.39
Annual,Thousand,Total,hold: Sheep - total,Czechia,5.54,5.54,4.19,4.9
Annual,Thousand,Total,hold: Sheep - total,Germany,30.32,28.08,22.27,19.98
Annual,Thousand,Total,hold: Sheep - total,Denmark,3.17,2.78,2.57,2.51
Annual,Thousand,Total,hold: Sheep - total,Estonia,3.19,2.47,1.95,1.78
Annual,Thousand,Total,hold: Sheep - total,Greece,127.94,132.08,91.93,94.45
Annual,Thousand,Total,hold: Sheep - total,Spain,85.25,79.14,68.98,64.04
Annual,Thousand,Total,hold: Sheep - total,Finland,1.72,1.89,1.35,1.44
Annual,Thousand,Total,hold: Sheep - total,France,72.89,66.06,56.48,48.11
Annual,Thousand,Total,hold: Sheep - total,Croatia,:,23.12,30.03,24.32
Annual,Thousand,Total,hold: Sheep - total,Hungary,21.87,21.78,26.78,24.52
Annual,Thousand,Total,hold: Sheep - total,Ireland,42.38,39.03,32.11,36.55
Annual,Thousand,Total,hold: Sheep - total,Iceland,:,:,1.99,:
Annual,Thousand,Total,hold: Sheep - total,Italy,74.88,75.38,51.1,54.64
Annual,Thousand,Total,hold: Sheep - total,Lithuania,4.04,4.13,4.32,6.96
Annual,Thousand,Total,hold: Sheep - total,Luxembourg,0.27,0.22,0.22,0.22
Annual,Thousand,Total,hold: Sheep - total,Latvia,4.58,4.4,3.8,3.98
Annual,Thousand,Total,hold: Sheep - total,Montenegro,:,:,6.09,:
Annual,Thousand,Total,hold: Sheep - total,Malta,1.06,1.03,1.08,1.01
Annual,Thousand,Total,hold: Sheep - total,Netherlands,14.37,13.81,12.87,12.34
Annual,Thousand,Total,hold: Sheep - total,Norway,17.54,16.08,14.9,14.5
Annual,Thousand,Total,hold: Sheep - total,Poland,16.1,16.46,11.23,9.72
Annual,Thousand,Total,hold: Sheep - total,Portugal,55.96,46.55,51.79,44.07
Annual,Thousand,Total,hold: Sheep - total,Romania,486.53,390.56,272.28,232.39
Annual,Thousand,Total,hold: Sheep - total,Sweden,7.65,8.02,8.66,8.87
Annual,Thousand,Total,hold: Sheep - total,Slovenia,5.75,5.92,6.18,6.24
Annual,Thousand,Total,hold: Sheep - total,Slovakia,2.65,3.95,3.15,3.24
Annual,Thousand,Total,hold: Sheep - total,United Kingdom,82.96,76.66,70.12,72.06
Annual,Thousand,Total,hold: Goats,Austria,9.34,9.73,9.68,9.41
Annual,Thousand,Total,hold: Goats,Belgium,1.02,0.99,0.95,0.98
Annual,Thousand,Total,hold: Goats,Bulgaria,163.1,113.77,84.58,45.42
Annual,Thousand,Total,hold: Goats,Switzerland,6.59,:,6.98,:
Annual,Thousand,Total,hold: Goats,Cyprus,2.72,2.54,1.99,1.8
Annual,Thousand,Total,hold: Goats,Czechia,2.91,2.35,1.41,1.58
Annual,Thousand,Total,hold: Goats,Germany,:,:,11.22,10.76
Annual,Thousand,Total,hold: Goats,Denmark,0.57,0.72,0.72,0.69
Annual,Thousand,Total,hold: Goats,Estonia,1.16,0.82,0.59,0.53
Annual,Thousand,Total,hold: Goats,Greece,117.17,111.51,71.59,68.27
Annual,Thousand,Total,hold: Goats,Spain,38.65,35.98,29.86,27.79
Annual,Thousand,Total,hold: Goats,Finland,0.41,0.46,0.17,0.17
Annual,Thousand,Total,hold: Goats,France,21.99,19.59,17.51,14.26
Annual,Thousand,Total,hold: Goats,Croatia,:,12.6,12.25,7.2
Annual,Thousand,Total,hold: Goats,Hungary,20.65,15.44,19.82,19.25
Annual,Thousand,Total,hold: Goats,Ireland,1.7,1.29,1.2,1.16
Annual,Thousand,Total,hold: Goats,Iceland,:,:,0.06,:
Annual,Thousand,Total,hold: Goats,Italy,30.96,33.42,22.76,23.47
Annual,Thousand,Total,hold: Goats,Lithuania,21.13,12.15,6.11,5.64
Annual,Thousand,Total,hold: Goats,Luxembourg,0.13,0.1,0.1,0.11
Annual,Thousand,Total,hold: Goats,Latvia,5.0,4.49,2.05,2.48
Annual,Thousand,Total,hold: Goats,Montenegro,:,:,3.58,:
Annual,Thousand,Total,hold: Goats,Malta,0.53,0.53,0.6,0.5
Annual,Thousand,Total,hold: Goats,Netherlands,4.56,4.17,3.72,3.46
Annual,Thousand,Total,hold: Goats,Norway,1.27,1.32,1.36,1.28
Annual,Thousand,Total,hold: Goats,Poland,50.69,51.11,22.71,19.42
Annual,Thousand,Total,hold: Goats,Portugal,37.42,30.12,32.51,28.44
Annual,Thousand,Total,hold: Goats,Romania,185.38,198.73,176.27,148.67
Annual,Thousand,Total,hold: Goats,Sweden,:,:,0.0,:
Annual,Thousand,Total,hold: Goats,Slovenia,4.11,4.13,4.21,4.02
Annual,Thousand,Total,hold: Goats,Slovakia,3.36,3.79,1.35,1.24
Annual,Thousand,Total,hold: Goats,United Kingdom,10.86,5.52,4.28,4.21
Annual,Thousand,Total,hold: Pigs,Austria,52.35,45.49,37.76,29.42
Annual,Thousand,Total,hold: Pigs,Belgium,7.72,6.99,5.89,4.97
Annual,Thousand,Total,hold: Pigs,Bulgaria,190.86,153.86,82.27,50.1
Annual,Thousand,Total,hold: Pigs,Switzerland,11.77,:,8.85,:
Annual,Thousand,Total,hold: Pigs,Cyprus,0.6,0.74,0.63,0.5
Annual,Thousand,Total,hold: Pigs,Czechia,14.59,11.39,4.0,5.04
Annual,Thousand,Total,hold: Pigs,Germany,88.68,79.42,60.1,49.14
Annual,Thousand,Total,hold: Pigs,Denmark,9.02,7.21,5.07,3.86
Annual,Thousand,Total,hold: Pigs,Estonia,4.71,2.89,1.55,0.75
Annual,Thousand,Total,hold: Pigs,Greece,44.51,33.31,19.33,18.94
Annual,Thousand,Total,hold: Pigs,Spain,115.76,108.16,69.77,51.77
Annual,Thousand,Total,hold: Pigs,Finland,3.08,2.82,2.08,1.64
Annual,Thousand,Total,hold: Pigs,France,41.89,35.29,24.45,18.52
Annual,Thousand,Total,hold: Pigs,Croatia,:,106.06,128.06,75.59
Annual,Thousand,Total,hold: Pigs,Hungary,316.48,282.51,183.1,133.93
Annual,Thousand,Total,hold: Pigs,Ireland,0.84,0.8,1.21,1.29
Annual,Thousand,Total,hold: Pigs,Iceland,:,:,0.02,:
Annual,Thousand,Total,hold: Pigs,Italy,102.78,100.95,26.2,23.64
Annual,Thousand,Total,hold: Pigs,Lithuania,151.83,95.3,62.71,57.4
Annual,Thousand,Total,hold: Pigs,Luxembourg,0.21,0.18,0.14,0.11
Annual,Thousand,Total,hold: Pigs,Latvia,39.05,29.57,18.17,12.71
Annual,Thousand,Total,hold: Pigs,Montenegro,:,:,13.47,:
Annual,Thousand,Total,hold: Pigs,Malta,0.14,0.14,0.13,0.11
Annual,Thousand,Total,hold: Pigs,Netherlands,9.69,8.69,7.03,5.53
Annual,Thousand,Total,hold: Pigs,Norway,3.47,2.97,2.47,2.27
Annual,Thousand,Total,hold: Pigs,Poland,701.66,664.02,388.46,278.4
Annual,Thousand,Total,hold: Pigs,Portugal,82.62,67.14,50.08,40.59
Annual,Thousand,Total,hold: Pigs,Romania,1753.42,1697.58,1655.58,1283.28
Annual,Thousand,Total,hold: Pigs,Sweden,2.79,2.29,1.7,1.28
Annual,Thousand,Total,hold: Pigs,Slovenia,33.95,31.69,26.44,23.7
Annual,Thousand,Total,hold: Pigs,Slovakia,41.67,39.62,10.78,8.99
Annual,Thousand,Total,hold: Pigs,United Kingdom,11.47,9.77,9.99,10.19
Annual,Thousand,Total,hold: Laying hens,Austria,60.86,56.67,52.42,52.03
Annual,Thousand,Total,hold: Laying hens,Belgium,4.28,3.69,2.71,2.47
Annual,Thousand,Total,hold: Laying hens,Bulgaria,369.14,312.49,180.25,107.29
Annual,Thousand,Total,hold: Laying hens,Switzerland,15.44,:,12.75,:
Annual,Thousand,Total,hold: Laying hens,Cyprus,8.94,8.39,7.27,8.27
Annual,Thousand,Total,hold: Laying hens,Czechia,18.85,14.85,5.11,7.83
Annual,Thousand,Total,hold: Laying hens,Germany,78.87,73.49,56.29,54.09
Annual,Thousand,Total,hold: Laying hens,Denmark,3.2,2.81,3.08,3.22
Annual,Thousand,Total,hold: Laying hens,Estonia,12.25,8.05,4.87,3.68
Annual,Thousand,Total,hold: Laying hens,Greece,319.31,283.75,197.43,167.4
Annual,Thousand,Total,hold: Laying hens,Spain,188.57,182.31,90.88,73.28
Annual,Thousand,Total,hold: Laying hens,Finland,1.62,1.31,1.12,0.97
Annual,Thousand,Total,hold: Laying hens,France,134.97,109.01,76.32,47.44
Annual,Thousand,Total,hold: Laying hens,Croatia,:,142.51,165.01,102.14
Annual,Thousand,Total,hold: Laying hens,Hungary,355.97,298.29,252.6,204.18
Annual,Thousand,Total,hold: Laying hens,Ireland,8.47,7.21,7.72,7.33
Annual,Thousand,Total,hold: Laying hens,Iceland,:,:,0.34,:
Annual,Thousand,Total,hold: Laying hens,Italy,66.47,69.15,18.75,10.97
Annual,Thousand,Total,hold: Laying hens,Lithuania,163.35,124.27,79.96,70.7
Annual,Thousand,Total,hold: Laying hens,Luxembourg,0.59,0.42,0.41,0.38
Annual,Thousand,Total,hold: Laying hens,Latvia,58.86,46.24,27.82,21.47
Annual,Thousand,Total,hold: Laying hens,Montenegro,:,:,15.8,:
Annual,Thousand,Total,hold: Laying hens,Malta,1.01,1.03,0.65,0.78
Annual,Thousand,Total,hold: Laying hens,Netherlands,2.1,1.96,1.81,1.55
Annual,Thousand,Total,hold: Laying hens,Norway,2.59,1.93,1.89,2.0
Annual,Thousand,Total,hold: Laying hens,Poland,1156.2,1150.11,580.02,516.02
Annual,Thousand,Total,hold: Laying hens,Portugal,173.89,145.84,140.16,118.26
Annual,Thousand,Total,hold: Laying hens,Romania,3007.25,2951.97,2286.44,2366.37
Annual,Thousand,Total,hold: Laying hens,Sweden,5.03,4.34,3.77,4.22
Annual,Thousand,Total,hold: Laying hens,Slovenia,43.82,37.98,34.84,35.5
Annual,Thousand,Total,hold: Laying hens,Slovakia,42.83,41.29,10.18,7.47
Annual,Thousand,Total,hold: Laying hens,United Kingdom,35.93,26.17,24.88,26.47
Annual,Thousand,Total,hold: Number of holdings with livestock,Austria,122.23,115.47,106.96,101.79
Annual,Thousand,Total,hold: Number of holdings with livestock,Belgium,38.75,36.06,31.82,27.77
Annual,Thousand,Total,hold: Number of holdings with livestock,Bulgaria,480.63,418.16,279.71,184.03
Annual,Thousand,Total,hold: Number of holdings with livestock,Switzerland,55.45,:,50.99,:
Annual,Thousand,Total,hold: Number of holdings with livestock,Cyprus,12.1,11.47,9.95,10.45
Annual,Thousand,Total,hold: Number of holdings with livestock,Czechia,31.54,28.48,15.92,18.84
Annual,Thousand,Total,hold: Number of holdings with livestock,Germany,280.98,265.98,216.1,199.2
Annual,Thousand,Total,hold: Number of holdings with livestock,Denmark,31.85,28.43,25.3,23.4
Annual,Thousand,Total,hold: Number of holdings with livestock,Estonia,18.42,13.79,9.68,8.38
Annual,Thousand,Total,hold: Number of holdings with livestock,Greece,407.51,375.26,273.16,256.4
Annual,Thousand,Total,hold: Number of holdings with livestock,Spain,325.15,306.44,245.16,217.15
Annual,Thousand,Total,hold: Number of holdings with livestock,Finland,29.88,27.41,23.13,19.7
Annual,Thousand,Total,hold: Number of holdings with livestock,France,376.18,341.38,309.37,274.62
Annual,Thousand,Total,hold: Number of holdings with livestock,Croatia,:,162.26,194.09,123.08
Annual,Thousand,Total,hold: Number of holdings with livestock,Hungary,501.91,439.91,381.65,312.43
Annual,Thousand,Total,hold: Number of holdings with livestock,Ireland,128.3,121.85,127.14,128.31
Annual,Thousand,Total,hold: Number of holdings with livestock,Iceland,:,:,2.49,:
Annual,Thousand,Total,hold: Number of holdings with livestock,Italy,301.98,309.17,217.33,173.35
Annual,Thousand,Total,hold: Number of holdings with livestock,Lithuania,225.09,185.39,129.63,117.61
Annual,Thousand,Total,hold: Number of holdings with livestock,Luxembourg,2.0,1.76,1.72,1.61
Annual,Thousand,Total,hold: Number of holdings with livestock,Latvia,85.3,73.41,48.7,43.92
Annual,Thousand,Total,hold: Number of holdings with livestock,Montenegro,:,:,33.53,:
Annual,Thousand,Total,hold: Number of holdings with livestock,Malta,2.71,2.83,2.74,2.78
Annual,Thousand,Total,hold: Number of holdings with livestock,Netherlands,56.11,53.21,50.44,46.44
Annual,Thousand,Total,hold: Number of holdings with livestock,Norway,38.54,35.7,32.64,30.95
Annual,Thousand,Total,hold: Number of holdings with livestock,Poland,1547.48,1539.38,918.87,797.75
Annual,Thousand,Total,hold: Number of holdings with livestock,Portugal,234.3,198.1,203.78,169.92
Annual,Thousand,Total,hold: Number of holdings with livestock,Romania,3453.01,3333.49,2836.64,2727.72
Annual,Thousand,Total,hold: Number of holdings with livestock,Sweden,42.27,41.77,40.36,37.51
Annual,Thousand,Total,hold: Number of holdings with livestock,Slovenia,67.15,63.88,59.22,58.3
Annual,Thousand,Total,hold: Number of holdings with livestock,Slovakia,58.03,57.01,18.39,17.09
Annual,Thousand,Total,hold: Number of holdings with livestock,United Kingdom,183.55,156.56,139.0,139.95
