Time frequency,Economical indicator for structural business statistics,Enterprise,Size classes in number of persons employed,Geopolitical entity (reporting)\Time,1999.0,2000.0
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Fewer than 10 persons employed,Luxembourg,:,80.1
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Fewer than 10 persons employed,Portugal,:,124.8
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Fewer than 10 persons employed,Sweden,802.4,:
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Fewer than 10 persons employed,United Kingdom,:,4365.3
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Total,Denmark,:,2202.9
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Total,Spain,:,5094.8
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Total,Finland,:,1024.6
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Total,France,11102.0,:
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Total,Luxembourg,:,312.3
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Total,Portugal,:,345.0
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Total,Sweden,4352.0,:
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Total,United Kingdom,:,18566.0
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 10 to 49 persons employed,Denmark,:,368.8
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 10 to 49 persons employed,Spain,:,289.8
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 10 to 49 persons employed,Finland,:,277.6
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 10 to 49 persons employed,France,606.6,:
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 10 to 49 persons employed,Luxembourg,:,16.1
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 10 to 49 persons employed,Portugal,:,123.2
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 10 to 49 persons employed,Sweden,1084.5,:
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 10 to 49 persons employed,United Kingdom,:,5385.4
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 50 to 249 persons employed,Denmark,:,423.9
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 50 to 249 persons employed,Spain,:,538.8
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 50 to 249 persons employed,Finland,:,512.8
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 50 to 249 persons employed,France,579.0,:
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 50 to 249 persons employed,Luxembourg,:,20.7
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 50 to 249 persons employed,Portugal,:,170.7
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 50 to 249 persons employed,Sweden,865.5,:
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,From 50 to 249 persons employed,United Kingdom,:,4162.2
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,250 persons employed or more,Denmark,:,: @C
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,250 persons employed or more,Spain,:,2335.9
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,250 persons employed or more,Finland,:,110.3
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,250 persons employed or more,France,650.2,:
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,250 persons employed or more,Portugal,:,50.0
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,250 persons employed or more,Sweden,1194.7,:
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,250 persons employed or more,United Kingdom,:,5743.0
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Fewer than 10 persons employed,Denmark,:,: @C
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Fewer than 10 persons employed,Spain,:,515.8
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Fewer than 10 persons employed,Finland,:,268.7
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Fewer than 10 persons employed,France,609.6,:
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Fewer than 10 persons employed,Luxembourg,:,42.1
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Fewer than 10 persons employed,Portugal,:,54.9
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Fewer than 10 persons employed,Sweden,1058.5,:
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Fewer than 10 persons employed,United Kingdom,:,9433.4
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Total,Denmark,:,1766.0
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Total,Spain,:,3680.3
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Total,Finland,:,1169.4
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Total,France,2445.4,:
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Total,Luxembourg,:,78.9
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Total,Portugal,:,398.8
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Total,Sweden,4203.2,:
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Total,United Kingdom,:,24724.0
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Denmark,:,780.8
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Spain,:,1122.4
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Finland,:,407.7
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,France,2852.8,:
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Luxembourg,:,201.1
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Portugal,:,199.8
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Sweden,1916.7,:
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,United Kingdom,:,8486.6
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,Denmark,:,875.3
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,Spain,:,1575.3
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,Finland,:,822.6
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,France,3232.4,:
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,Luxembourg,:,67.8
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,Portugal,:,287.9
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,Sweden,1685.2,:
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,United Kingdom,:,8247.9
Annual,Turnover or gross premiums written - million euro,Total,250 persons employed or more,Denmark,:,1004.3
Annual,Turnover or gross premiums written - million euro,Total,250 persons employed or more,Spain,:,4895.9
Annual,Turnover or gross premiums written - million euro,Total,250 persons employed or more,Finland,:,595.0
Annual,Turnover or gross premiums written - million euro,Total,250 persons employed or more,France,5134.0,:
Annual,Turnover or gross premiums written - million euro,Total,250 persons employed or more,Portugal,:,76.5
Annual,Turnover or gross premiums written - million euro,Total,250 persons employed or more,Sweden,3092.5,:
Annual,Turnover or gross premiums written - million euro,Total,250 persons employed or more,United Kingdom,:,12756.0
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,Denmark,:,1308.5
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,Spain,:,1181.6
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,Finland,:,368.7
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,France,2328.6,:
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,Luxembourg,:,122.2
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,Portugal,:,179.7
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,Sweden,1860.9,:
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,United Kingdom,:,13799.0
Annual,Turnover or gross premiums written - million euro,Total,Total,Denmark,:,3968.9
Annual,Turnover or gross premiums written - million euro,Total,Total,Spain,:,8775.1
Annual,Turnover or gross premiums written - million euro,Total,Total,Finland,:,2194.1
Annual,Turnover or gross premiums written - million euro,Total,Total,France,13548.0,:
Annual,Turnover or gross premiums written - million euro,Total,Total,Luxembourg,:,391.2
Annual,Turnover or gross premiums written - million euro,Total,Total,Portugal,:,743.8
Annual,Turnover or gross premiums written - million euro,Total,Total,Sweden,8555.2,:
Annual,Turnover or gross premiums written - million euro,Total,Total,United Kingdom,:,43290.0
