Time frequency,Price adjustment,Unit of measure,product,geo\TIME_PERIOD,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
Annual,Real index,"Index, 2000=100",140000.0,FR,104.9,104.1,100.1,100.0,101.7,96.3,97.7,93.8,88.1,90.8,99.5,102.6
Annual,Real index,"Index, 2000=100",140000.0,HU,106.9,96.2,89.7,100.0,97.2,90.8,92.0,81.4,79.2,84.2,95.3,87.2
Annual,Real index,"Index, 2000=100",140000.0,IE,108.8,105.8,98.9,100.0,100.4,91.8,87.9,87.9,86.4,88.4,94.4,94.9
Annual,Real index,"Index, 2000=100",140000.0,IT,112.6,106.7,100.2,100.0,103.4,102.0,105.4,101.1,93.7,94.5,96.2,98.8
Annual,Real index,"Index, 2000=100",140000.0,LT,129.5,115.2,106.3,100.0,113.0,112.1,101.1,100.9,111.2,126.4,143.2,129.7
Annual,Real index,"Index, 2000=100",140000.0,LU,108.8,107.1,103.0,100.0,99.4,95.2,93.8,93.8,89.8,88.7,93.9,96.2
Annual,Real index,"Index, 2000=100",140000.0,LV,122.3,112.3,99.8,100.0,105.9,102.1,97.3,108.6,114.9,113.0,122.3,112.7
Annual,Real index,"Index, 2000=100",140000.0,MT,:,:,:,100.0,106.7,104.9,96.9,89.7,86.6,83.9,88.7,88.4
Annual,Real index,"Index, 2000=100",140000.0,NL,110.5,102.9,95.0,100.0,100.9,95.0,94.0,88.0,87.9,96.3,99.5,95.9
Annual,Real index,"Index, 2000=100",140000.0,PL,121.6,107.0,94.6,100.0,96.5,88.3,89.3,94.4,90.6,96.2,107.4,100.2
Annual,Real index,"Index, 2000=100",140000.0,PT,106.1,105.1,98.0,100.0,106.3,96.5,100.4,97.2,93.1,94.0,95.8,95.9
Annual,Real index,"Index, 2000=100",140000.0,RO,142.0,123.9,98.7,100.0,104.3,106.6,100.6,108.6,93.1,95.6,108.8,112.0
Annual,Real index,"Index, 2000=100",140000.0,SE,107.4,104.6,102.5,100.0,102.4,97.7,94.0,91.6,89.5,91.7,102.2,98.6
Annual,Real index,"Index, 2000=100",140000.0,SI,117.4,109.2,102.5,100.0,100.4,94.2,92.0,87.8,86.8,88.5,92.3,98.7
Annual,Real index,"Index, 2000=100",140000.0,SK,125.9,117.7,104.6,100.0,100.8,96.3,84.4,80.3,76.2,73.0,75.5,75.7
Annual,Real index,"Index, 2000=100",140000.0,TR,:,:,:,100.0,89.8,67.1,49.0,:,:,:,:,:
Annual,Real index,"Index, 2000=100",140000.0,UK,121.5,109.3,104.5,100.0,107.0,100.8,105.8,107.5,102.1,103.9,115.0,133.7
