Time frequency,Country of citizenship,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Netherlands,15.1
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Norway,11.5
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Poland,: u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Portugal,0.6
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Romania,: u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Sweden,13.5
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Slovenia,11.7 u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Slovakia,: u
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Austria,6.4
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Belgium,4.0
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Bulgaria,: u
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Cyprus,2.8
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Czechia,2.4
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Germany,5.0
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Denmark,8.0
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Euro area – 20 countries (from 2023),7.4
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Estonia,2.9
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Greece,9.4
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Spain,14.1
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,European Union - 27 countries (from 2020),7.4
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Finland,13.4
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,France,12.0
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Croatia,0.0 u
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Hungary,0.0 u
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Ireland,11.6 u
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Italy,2.6
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Lithuania,: u
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Luxembourg,7.0
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Latvia,3.6 u
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Malta,5.9
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Netherlands,13.3
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Norway,8.5
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Poland,0.0 u
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Portugal,6.0
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Romania,: u
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Sweden,10.7
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Slovenia,16.2 u
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Slovakia,6.6 u
Annual,Foreign country,Females,Percentage,Austria,9.9
Annual,Foreign country,Females,Percentage,Belgium,7.2
Annual,Foreign country,Females,Percentage,Bulgaria,2.4 u
Annual,Foreign country,Females,Percentage,Cyprus,2.4
Annual,Foreign country,Females,Percentage,Czechia,6.9
Annual,Foreign country,Females,Percentage,Germany,6.5
Annual,Foreign country,Females,Percentage,Denmark,8.8
Annual,Foreign country,Females,Percentage,Euro area – 20 countries (from 2023),9.7
Annual,Foreign country,Females,Percentage,Estonia,10.8
Annual,Foreign country,Females,Percentage,Greece,10.0
Annual,Foreign country,Females,Percentage,Spain,15.9
Annual,Foreign country,Females,Percentage,European Union - 27 countries (from 2020),9.6
Annual,Foreign country,Females,Percentage,Finland,8.9
Annual,Foreign country,Females,Percentage,France,17.2
Annual,Foreign country,Females,Percentage,Croatia,0.0 u
Annual,Foreign country,Females,Percentage,Hungary,: u
Annual,Foreign country,Females,Percentage,Ireland,14.4 u
Annual,Foreign country,Females,Percentage,Italy,5.1
Annual,Foreign country,Females,Percentage,Lithuania,8.0 u
Annual,Foreign country,Females,Percentage,Luxembourg,7.4
Annual,Foreign country,Females,Percentage,Latvia,6.4
Annual,Foreign country,Females,Percentage,Malta,6.8
Annual,Foreign country,Females,Percentage,Netherlands,12.9
Annual,Foreign country,Females,Percentage,Norway,10.4
Annual,Foreign country,Females,Percentage,Poland,4.0 u
Annual,Foreign country,Females,Percentage,Portugal,8.2
Annual,Foreign country,Females,Percentage,Romania,: u
Annual,Foreign country,Females,Percentage,Sweden,9.5
Annual,Foreign country,Females,Percentage,Slovenia,8.2
Annual,Foreign country,Females,Percentage,Slovakia,7.3 u
Annual,Foreign country,Males,Percentage,Austria,12.1
Annual,Foreign country,Males,Percentage,Belgium,7.7
Annual,Foreign country,Males,Percentage,Bulgaria,5.1 u
Annual,Foreign country,Males,Percentage,Cyprus,5.3
Annual,Foreign country,Males,Percentage,Czechia,7.9
Annual,Foreign country,Males,Percentage,Germany,7.5
Annual,Foreign country,Males,Percentage,Denmark,8.9
Annual,Foreign country,Males,Percentage,Euro area – 20 countries (from 2023),10.6
Annual,Foreign country,Males,Percentage,Estonia,7.1
Annual,Foreign country,Males,Percentage,Greece,14.6
Annual,Foreign country,Males,Percentage,Spain,18.5
Annual,Foreign country,Males,Percentage,European Union - 27 countries (from 2020),10.8
Annual,Foreign country,Males,Percentage,Finland,14.1
Annual,Foreign country,Males,Percentage,France,17.4
Annual,Foreign country,Males,Percentage,Croatia,: u
Annual,Foreign country,Males,Percentage,Hungary,0.0 u
Annual,Foreign country,Males,Percentage,Ireland,7.5 u
Annual,Foreign country,Males,Percentage,Italy,5.6
Annual,Foreign country,Males,Percentage,Lithuania,5.5 u
Annual,Foreign country,Males,Percentage,Luxembourg,7.6
Annual,Foreign country,Males,Percentage,Latvia,4.7
Annual,Foreign country,Males,Percentage,Malta,6.7
Annual,Foreign country,Males,Percentage,Netherlands,19.8
Annual,Foreign country,Males,Percentage,Norway,11.8
Annual,Foreign country,Males,Percentage,Poland,0.0 u
Annual,Foreign country,Males,Percentage,Portugal,9.7
Annual,Foreign country,Males,Percentage,Romania,: u
Annual,Foreign country,Males,Percentage,Sweden,20.7
Annual,Foreign country,Males,Percentage,Slovenia,6.6
Annual,Foreign country,Males,Percentage,Slovakia,: u
Annual,Foreign country,Total,Percentage,Austria,11.0
Annual,Foreign country,Total,Percentage,Belgium,7.4
Annual,Foreign country,Total,Percentage,Bulgaria,3.5 u
Annual,Foreign country,Total,Percentage,Cyprus,3.6
Annual,Foreign country,Total,Percentage,Czechia,7.3
Annual,Foreign country,Total,Percentage,Germany,7.0
Annual,Foreign country,Total,Percentage,Denmark,8.8
Annual,Foreign country,Total,Percentage,Euro area – 20 countries (from 2023),10.1
Annual,Foreign country,Total,Percentage,Estonia,9.1
Annual,Foreign country,Total,Percentage,Greece,12.3
Annual,Foreign country,Total,Percentage,Spain,17.1
Annual,Foreign country,Total,Percentage,European Union - 27 countries (from 2020),10.2
Annual,Foreign country,Total,Percentage,Finland,11.2
Annual,Foreign country,Total,Percentage,France,17.3
Annual,Foreign country,Total,Percentage,Croatia,0.9 u
Annual,Foreign country,Total,Percentage,Hungary,0.0 u
Annual,Foreign country,Total,Percentage,Ireland,11.3 u
Annual,Foreign country,Total,Percentage,Italy,5.3
Annual,Foreign country,Total,Percentage,Lithuania,6.6 u
Annual,Foreign country,Total,Percentage,Luxembourg,7.5
Annual,Foreign country,Total,Percentage,Latvia,5.7
Annual,Foreign country,Total,Percentage,Malta,6.7
Annual,Foreign country,Total,Percentage,Netherlands,16.3
Annual,Foreign country,Total,Percentage,Norway,11.1
Annual,Foreign country,Total,Percentage,Poland,2.1 u
Annual,Foreign country,Total,Percentage,Portugal,8.9
Annual,Foreign country,Total,Percentage,Romania,: u
Annual,Foreign country,Total,Percentage,Sweden,15.6
Annual,Foreign country,Total,Percentage,Slovenia,7.4
Annual,Foreign country,Total,Percentage,Slovakia,5.5 u
Annual,Reporting country,Females,Percentage,Austria,4.1
Annual,Reporting country,Females,Percentage,Belgium,3.9
Annual,Reporting country,Females,Percentage,Bulgaria,1.4
Annual,Reporting country,Females,Percentage,Cyprus,12.8
Annual,Reporting country,Females,Percentage,Czechia,3.6
Annual,Reporting country,Females,Percentage,Germany,4.3
Annual,Reporting country,Females,Percentage,Denmark,9.6
Annual,Reporting country,Females,Percentage,Euro area – 20 countries (from 2023),4.8
Annual,Reporting country,Females,Percentage,Estonia,4.6
Annual,Reporting country,Females,Percentage,Greece,1.3
Annual,Reporting country,Females,Percentage,Spain,6.7
Annual,Reporting country,Females,Percentage,European Union - 27 countries (from 2020),4.4
Annual,Reporting country,Females,Percentage,Finland,10.4
Annual,Reporting country,Females,Percentage,France,8.3
Annual,Reporting country,Females,Percentage,Croatia,2.6 u
Annual,Reporting country,Females,Percentage,Hungary,0.8
Annual,Reporting country,Females,Percentage,Ireland,7.2 u
Annual,Reporting country,Females,Percentage,Italy,0.9
Annual,Reporting country,Females,Percentage,Lithuania,6.1 u
Annual,Reporting country,Females,Percentage,Luxembourg,4.7
Annual,Reporting country,Females,Percentage,Latvia,4.8
Annual,Reporting country,Females,Percentage,Malta,2.6
Annual,Reporting country,Females,Percentage,Netherlands,7.1
Annual,Reporting country,Females,Percentage,Norway,6.7
Annual,Reporting country,Females,Percentage,Poland,0.9 u
Annual,Reporting country,Females,Percentage,Portugal,4.0
Annual,Reporting country,Females,Percentage,Romania,2.1
Annual,Reporting country,Females,Percentage,Sweden,8.5
Annual,Reporting country,Females,Percentage,Slovenia,5.1
Annual,Reporting country,Females,Percentage,Slovakia,1.4
Annual,Reporting country,Males,Percentage,Austria,4.8
Annual,Reporting country,Males,Percentage,Belgium,3.4
Annual,Reporting country,Males,Percentage,Bulgaria,1.6
Annual,Reporting country,Males,Percentage,Cyprus,12.2
Annual,Reporting country,Males,Percentage,Czechia,3.4
Annual,Reporting country,Males,Percentage,Germany,4.3
Annual,Reporting country,Males,Percentage,Denmark,9.3
Annual,Reporting country,Males,Percentage,Euro area – 20 countries (from 2023),4.7
Annual,Reporting country,Males,Percentage,Estonia,5.6
Annual,Reporting country,Males,Percentage,Greece,1.3
Annual,Reporting country,Males,Percentage,Spain,6.6
Annual,Reporting country,Males,Percentage,European Union - 27 countries (from 2020),4.4
Annual,Reporting country,Males,Percentage,Finland,11.1
Annual,Reporting country,Males,Percentage,France,8.6
Annual,Reporting country,Males,Percentage,Croatia,3.2 u
Annual,Reporting country,Males,Percentage,Hungary,0.9
Annual,Reporting country,Males,Percentage,Ireland,6.0 u
Annual,Reporting country,Males,Percentage,Italy,0.9
Annual,Reporting country,Males,Percentage,Lithuania,6.7 u
Annual,Reporting country,Males,Percentage,Luxembourg,4.8
Annual,Reporting country,Males,Percentage,Latvia,3.8
Annual,Reporting country,Males,Percentage,Malta,2.4
Annual,Reporting country,Males,Percentage,Netherlands,5.9
Annual,Reporting country,Males,Percentage,Norway,6.6
Annual,Reporting country,Males,Percentage,Poland,0.8 u
Annual,Reporting country,Males,Percentage,Portugal,3.7
Annual,Reporting country,Males,Percentage,Romania,2.0
Annual,Reporting country,Males,Percentage,Sweden,8.1
Annual,Reporting country,Males,Percentage,Slovenia,4.0
Annual,Reporting country,Males,Percentage,Slovakia,1.2
Annual,Reporting country,Total,Percentage,Austria,4.4
Annual,Reporting country,Total,Percentage,Belgium,3.7
Annual,Reporting country,Total,Percentage,Bulgaria,1.5
Annual,Reporting country,Total,Percentage,Cyprus,12.5
Annual,Reporting country,Total,Percentage,Czechia,3.5
Annual,Reporting country,Total,Percentage,Germany,4.3
Annual,Reporting country,Total,Percentage,Denmark,9.4
Annual,Reporting country,Total,Percentage,Euro area – 20 countries (from 2023),4.8
Annual,Reporting country,Total,Percentage,Estonia,5.1
Annual,Reporting country,Total,Percentage,Greece,1.3
Annual,Reporting country,Total,Percentage,Spain,6.7
Annual,Reporting country,Total,Percentage,European Union - 27 countries (from 2020),4.4
Annual,Reporting country,Total,Percentage,Finland,10.8
Annual,Reporting country,Total,Percentage,France,8.4
Annual,Reporting country,Total,Percentage,Croatia,2.8 u
Annual,Reporting country,Total,Percentage,Hungary,0.8
Annual,Reporting country,Total,Percentage,Ireland,6.6 u
Annual,Reporting country,Total,Percentage,Italy,0.9
Annual,Reporting country,Total,Percentage,Lithuania,6.3 u
Annual,Reporting country,Total,Percentage,Luxembourg,4.7
Annual,Reporting country,Total,Percentage,Latvia,4.4
Annual,Reporting country,Total,Percentage,Malta,2.5
Annual,Reporting country,Total,Percentage,Netherlands,6.5
Annual,Reporting country,Total,Percentage,Norway,6.7
Annual,Reporting country,Total,Percentage,Poland,0.8 u
Annual,Reporting country,Total,Percentage,Portugal,3.9
Annual,Reporting country,Total,Percentage,Romania,2.1
Annual,Reporting country,Total,Percentage,Sweden,8.3
Annual,Reporting country,Total,Percentage,Slovenia,4.5
Annual,Reporting country,Total,Percentage,Slovakia,1.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Austria,14.6
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Belgium,12.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Bulgaria,3.1 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Cyprus,2.6
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Czechia,11.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Germany,7.1
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Denmark,11.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Euro area – 20 countries (from 2023),10.9
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Estonia,11.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Greece,10.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Spain,18.5
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,European Union - 27 countries (from 2020),10.8 e
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Finland,7.1
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,France,18.5
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Croatia,: u
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Hungary,: u
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Ireland,13.4 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Italy,6.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Lithuania,8.6 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Luxembourg,9.1
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Latvia,6.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Malta,7.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Netherlands,14.1 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Norway,16.8
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Poland,4.3 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Portugal,7.7
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Romania,: u
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Sweden,10.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Slovenia,6.8
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Slovakia,: u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Austria,17.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Belgium,14.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Bulgaria,: u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Cyprus,7.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Czechia,9.4
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Germany,9.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Denmark,7.0 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Euro area – 20 countries (from 2023),12.6
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Estonia,7.7
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Greece,14.9
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Spain,18.8
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,European Union - 27 countries (from 2020),12.8 e
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Finland,13.4
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,France,22.9
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Croatia,: u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Hungary,: u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Ireland,8.4 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Italy,6.8
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Lithuania,6.0 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Luxembourg,12.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Latvia,4.9
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Malta,7.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Netherlands,22.9 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Norway,12.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Poland,0.0 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Portugal,11.6
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Romania,: u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Sweden,23.4
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Slovenia,6.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Slovakia,: u
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Austria,16.1
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Belgium,13.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Bulgaria,4.5 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Cyprus,4.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Czechia,10.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Germany,8.1
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Denmark,9.6
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Euro area – 20 countries (from 2023),11.8
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Estonia,9.5
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Greece,12.7
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Spain,18.7
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,European Union - 27 countries (from 2020),11.8
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Finland,10.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,France,20.5
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Croatia,1.5 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Hungary,: u
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Ireland,10.9 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Italy,6.4
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Lithuania,7.1 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Luxembourg,10.7
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Latvia,5.7
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Malta,7.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Netherlands,19.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Norway,14.7
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Poland,2.3 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Portugal,9.4
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Romania,: u
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Sweden,17.7
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Slovenia,6.4
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Slovakia,: u
