Time frequency,Reason,Classification of activities for time use,International Standard Classification of Education (ISCED 2011),Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Romania,24.8
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Serbia,23.9
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Sweden,17.5
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovenia,16.9
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovakia,25.5
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,United Kingdom,16.4 u
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Austria,21.2
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Belgium,17.6
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Bulgaria,20.8
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Switzerland,5.5
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Cyprus,23.4
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Czechia,33.5
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Germany,19.3
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Denmark,11.5
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Estonia,15.6
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Greece,58.5
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Spain,14.3
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),17.9 e
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Finland,1.7
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,France,17.6
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Croatia,9.9
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Hungary,38.4
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Ireland,11.9 u
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Iceland,4.0
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Italy,18.9
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Lithuania,15.4
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Luxembourg,10.1
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Latvia,21.5
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,North Macedonia,25.7
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Malta,24.8
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Netherlands,0.0
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Norway,1.3
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Poland,7.4 u
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Portugal,17.6
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Romania,24.3
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Serbia,24.0
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Sweden,4.0
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovenia,9.6
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovakia,22.4
Annual,No interest,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,United Kingdom,16.7 u
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Austria,27.9
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Belgium,23.6
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Bulgaria,11.1
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Switzerland,24.9
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Cyprus,23.1
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Czechia,10.9
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Germany,19.3
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Denmark,19.8
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Estonia,25.2
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Greece,21.8
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Spain,20.7
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),21.7 e
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Finland,17.2
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,France,25.6
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Croatia,10.9
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Hungary,18.7
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Ireland,22.6 u
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Iceland,23.6
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Italy,28.2
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Lithuania,23.2
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Luxembourg,16.5
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Latvia,31.6
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,North Macedonia,22.3
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Malta,40.9
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Netherlands,16.3
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Norway,9.6
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Poland,16.9 u
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Portugal,28.4
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Romania,20.5
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Serbia,27.0
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Sweden,20.3
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovenia,26.7
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovakia,25.5
Annual,No time,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,United Kingdom,28.6 u
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Austria,28.2
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Belgium,21.6
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Bulgaria,11.9
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Switzerland,19.6
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Cyprus,21.7
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Czechia,11.8
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Germany,25.7
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Denmark,16.2
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Estonia,23.4
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Greece,21.2
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Spain,18.9
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),20.6 e
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Finland,3.4
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,France,24.5
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Croatia,9.5
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Hungary,18.5
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Ireland,20.2 u
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Iceland,10.7
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Italy,27.9
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Lithuania,24.1
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Luxembourg,16.2
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Latvia,22.7
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,North Macedonia,21.6
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Malta,40.5
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Netherlands,1.5
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Norway,1.9
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Poland,10.7 u
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Portugal,23.7
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Romania,20.6
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Serbia,23.7
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Sweden,5.1
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovenia,16.2
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovakia,22.1
Annual,No time,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,United Kingdom,28.4 u
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Austria,20.9
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Belgium,37.2
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Bulgaria,63.0
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Switzerland,29.9
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Cyprus,46.4
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Czechia,38.5
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Germany,32.5
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Denmark,27.9
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Estonia,40.6
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Greece,5.6
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Spain,54.4
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),37.8 e
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Finland,38.9
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,France,28.7
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Croatia,68.7
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Hungary,35.6
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Ireland,34.5 u
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Iceland,34.3
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Italy,41.0
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Lithuania,42.7
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Luxembourg,35.2
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Latvia,36.1
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,North Macedonia,33.3
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Malta,25.3
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Netherlands,32.4
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Norway,32.3
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Poland,41.6 u
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Portugal,42.8
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Romania,51.5
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Serbia,43.9
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Sweden,26.7
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovenia,25.9
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovakia,40.7
Annual,Other reason,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,United Kingdom,31.7 u
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Austria,22.4
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Belgium,39.9
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Bulgaria,61.0
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Switzerland,26.7
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Cyprus,52.3
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Czechia,38.1
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Germany,43.5
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Denmark,30.5
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Estonia,35.6
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Greece,5.8
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Spain,56.1
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),39.0 e
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Finland,20.7
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,France,34.6
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Croatia,63.4
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Hungary,35.2
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Ireland,30.4 u
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Iceland,20.5
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Italy,42.0
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Lithuania,44.2
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Luxembourg,43.4
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Latvia,27.6
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,North Macedonia,30.7
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Malta,33.8
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Netherlands,16.1
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Norway,22.3
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Poland,31.3 u
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Portugal,38.1
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Romania,51.9
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Serbia,39.9
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Sweden,20.5
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovenia,19.6
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovakia,36.7
Annual,Other reason,Informal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,United Kingdom,35.7 u
