Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Information and Communication Technology - total,Albania,:,:,:,:,:,:,:,:,:,:,:,2.24 bp
Annual,Information and Communication Technology - total,Austria,3.12,3.25,3.15,3.23,: @C,3.37,3.46,3.49,3.58 b,3.67,3.63,3.87 b
Annual,Information and Communication Technology - total,Bosnia and Herzegovina,:,:,:,:,4.98,4.83 be,4.62 be,: @C,: @C,: @C,: @C,5.03 b
Annual,Information and Communication Technology - total,Belgium,4.51,4.13,4.13,4.03,3.82,3.79,3.78,3.75,3.97 b,4.21,4.32 p,4.24 b
Annual,Information and Communication Technology - total,Bulgaria,4.8,4.63,4.53,4.69,4.88,5.02,5.36,5.72,6.07 b,6.62,7.37,7.47 b
Annual,Information and Communication Technology - total,Switzerland,:,:,:,:,:,:,:,:,:,:,:,5.49 be
Annual,Information and Communication Technology - total,Cyprus,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Information and Communication Technology - total,Czechia,4.39,4.34,4.35,4.34,4.27,4.24,4.27,4.36,4.56,4.71,5.05,5.1 b
Annual,Information and Communication Technology - total,Germany,3.91,4.04,4.0,4.08,4.17,4.23,4.13,4.18,4.39 b,4.38 p,4.44 p,5 bp
Annual,Information and Communication Technology - total,Denmark,4.62,4.62,: @C,: @C,: @C,: @C,: @C,: @C,4.58,4.48,4.6,4.26 b
Annual,Information and Communication Technology - total,Estonia,4.78,5.03,4.7,4.6,4.83,4.74,4.9,5.12,5.39 b,5.93,6.83,5.81 b
Annual,Information and Communication Technology - total,Greece,: @C,2.11,2.08,1.99,2.09,2.27,2.2,2.01,2.49 b,2.27,3.23 p,3.45 bp
Annual,Information and Communication Technology - total,Spain,3.44,3.4,3.37,3.31,3.2,: @C,: @C,: @C,3.28 b,: @C,: @C,: @C
Annual,Information and Communication Technology - total,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,4.89,5.23,5.49 b
