Time frequency,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,Median equivalised income,Below 60%,Percentage,North Macedonia,9.0
Annual,Median equivalised income,Below 60%,Percentage,Malta,5.6
Annual,Median equivalised income,Below 60%,Percentage,Netherlands,25.9
Annual,Median equivalised income,Below 60%,Percentage,Norway,46.5
Annual,Median equivalised income,Below 60%,Percentage,Poland,11.2
Annual,Median equivalised income,Below 60%,Percentage,Portugal,7.7
Annual,Median equivalised income,Below 60%,Percentage,Romania,4.6
Annual,Median equivalised income,Below 60%,Percentage,Serbia,17.7
Annual,Median equivalised income,Below 60%,Percentage,Sweden,30.2
Annual,Median equivalised income,Below 60%,Percentage,Slovenia,22.2
Annual,Median equivalised income,Below 60%,Percentage,Slovakia,18.5
Annual,Median equivalised income,Total,Percentage,Albania,8.0
Annual,Median equivalised income,Total,Percentage,Austria,18.4
Annual,Median equivalised income,Total,Percentage,Belgium,25.9
Annual,Median equivalised income,Total,Percentage,Bulgaria,8.2
Annual,Median equivalised income,Total,Percentage,Switzerland,38.4
Annual,Median equivalised income,Total,Percentage,Cyprus,37.9
Annual,Median equivalised income,Total,Percentage,Czechia,16.1
Annual,Median equivalised income,Total,Percentage,Germany,15.3 u
Annual,Median equivalised income,Total,Percentage,Denmark,31.6
Annual,Median equivalised income,Total,Percentage,Estonia,37.2
Annual,Median equivalised income,Total,Percentage,Greece,32.6
Annual,Median equivalised income,Total,Percentage,Spain,30.5
Annual,Median equivalised income,Total,Percentage,European Union - 27 countries (from 2020),24.1 e
Annual,Median equivalised income,Total,Percentage,Finland,60.2
Annual,Median equivalised income,Total,Percentage,France,36.6
Annual,Median equivalised income,Total,Percentage,Croatia,31.8
Annual,Median equivalised income,Total,Percentage,Hungary,15.4
Annual,Median equivalised income,Total,Percentage,Ireland,42.2
Annual,Median equivalised income,Total,Percentage,Lithuania,15.7
Annual,Median equivalised income,Total,Percentage,Luxembourg,44.0
Annual,Median equivalised income,Total,Percentage,Latvia,24.6
Annual,Median equivalised income,Total,Percentage,Montenegro,37.4
Annual,Median equivalised income,Total,Percentage,North Macedonia,16.9
Annual,Median equivalised income,Total,Percentage,Malta,16.1
Annual,Median equivalised income,Total,Percentage,Netherlands,19.6
Annual,Median equivalised income,Total,Percentage,Norway,43.3
Annual,Median equivalised income,Total,Percentage,Poland,14.7
Annual,Median equivalised income,Total,Percentage,Portugal,14.4
Annual,Median equivalised income,Total,Percentage,Romania,6.9
Annual,Median equivalised income,Total,Percentage,Serbia,27.8
Annual,Median equivalised income,Total,Percentage,Sweden,40.7
Annual,Median equivalised income,Total,Percentage,Slovenia,42.7
Annual,Median equivalised income,Total,Percentage,Slovakia,19.5
