Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Percentage,Östra Sverige,9.0,9.4,11.2
Annual,Percentage,Stockholm,9.1,10.8,11.4
Annual,Percentage,Östra Mellansverige,8.8,7.5,11.0
Annual,Percentage,Södra Sverige,8.4,8.8,11.1
Annual,Percentage,Småland med öarna,7.2,6.7,7.9
Annual,Percentage,Sydsverige,10.2,8.9,13.6
Annual,Percentage,Västsverige,7.5,9.7,10.6
Annual,Percentage,Norra Sverige,7.5,8.8,9.4
Annual,Percentage,Norra Mellansverige,7.4,9.0,10.1
Annual,Percentage,Mellersta Norrland,6.9,7.6,9.3
Annual,Percentage,Övre Norrland,8.2,9.5,8.3
Annual,Percentage,Slovenia,4.1,4.1,3.7
Annual,Percentage,Vzhodna Slovenija,4.2,4.1,3.6
Annual,Percentage,Zahodna Slovenija,4.1,4.2,3.8
Annual,Percentage,Slovakia,7.1,2.5,5.9
Annual,Percentage,Bratislavský kraj,12.7,3.0,7.0
Annual,Percentage,Západné Slovensko,5.4,2.4,5.9
Annual,Percentage,Stredné Slovensko,5.6,2.5,4.9
Annual,Percentage,Východné Slovensko,7.8,2.4,6.3
Annual,Percentage,Türkiye,11.5,11.2,14.4
