Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,ICT manufacturing,Netherlands,: @C,: @C,: @C,: @C,: @C,0.22,: @C,: @C,: @C,: @C,: @C,: @C,: @C,0.34 b
Annual,ICT manufacturing,Norway,: b,0.13,0.13,0.12,0.1,0.09,0.1,0.11,: @C,0.09,0.09 b,0.09,0.12,0.11 b
Annual,ICT manufacturing,Poland,0.38 b,0.34,0.38,0.37,0.29,0.32,0.27,0.27,0.23,0.26,0.31 b,0.3,0.31,0.27 b
Annual,ICT manufacturing,Portugal,0.25 b,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,0.19,0.19 b
Annual,ICT manufacturing,Romania,0.21 b,0.25 p,0.24,0.24,0.22,0.19,0.21,0.22,0.24,0.23,0.24 b,0.29,0.29,: @C
Annual,ICT manufacturing,Serbia,: b,:,:,:,:,:,:,:,: @C,0.22 p,0.23,0.25,: @C,: b@C
Annual,ICT manufacturing,Sweden,: @C,: @C,: @C,: @C,: @C,: @C,1.16,: @C,: @C,: @C,0.16 b,0.17,0.2,: @C
Annual,ICT manufacturing,Slovenia,0.27 b,: @C,0.37,0.35,0.31,0.31,0.32,0.36,0.36,0.34,0.38,0.33,0.43,: @C
Annual,ICT manufacturing,Slovakia,0.89 b,0.47,1.24,0.65,0.93,0.73,0.75,0.84,0.53,0.63,0.45,0.35,0.49,0.64 b
Annual,ICT manufacturing,Türkiye,: b,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,ICT manufacturing,United Kingdom,0.31 b,: @C,0.34,: @C,: @C,: @C,0.2,0.18,0.22 b,0.21,0.21,:,:,:
Annual,ICT services,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,2.22 bp
Annual,ICT services,Austria,2.71 b,2.69,2.69,2.76,2.69,2.77,2.89,2.94,3.02,3.03,3.07 b,3.16,3.19,3.38 b
Annual,ICT services,Bosnia and Herzegovina,: b,:,:,:,:,:,4.94,4.77 be,4.55 be,4.2 b,4.17 b,4.43 b,4.75 b,4.98 b
Annual,ICT services,Belgium,3.9 b,3.97,4.12,3.91,3.92,3.81,3.58,3.6,3.57,3.54,3.75 b,3.98,4.11 p,4.02 b
Annual,ICT services,Bulgaria,4.82 b,4.72,4.63,4.46,4.36,4.5,4.66,4.78,5.11,5.43,5.76 b,6.42,7.16,7.27 b
Annual,ICT services,Switzerland,: b,:,:,:,:,:,:,:,:,:,:,:,:,4.93 be
Annual,ICT services,Cyprus,3.43 b,3.35,3.52,3.47,3.64,4.46,5.01,4.93,5.71,6.18,6.2,6.76,8.26,8.87 b
Annual,ICT services,Czechia,4.11 b,4.1,4.01,3.99,3.94,3.9,3.84,3.86,3.87,4.0,4.18,4.38,4.66,4.71 b
Annual,ICT services,Germany,3.42 b,3.78,3.47,3.63,3.66,3.72,3.78,3.8,3.7,3.78,3.96 b,3.98 p,4.08 p,4.6 bp
Annual,ICT services,Denmark,4.37 b,4.6,4.4,4.41,4.26,4.35,4.2,4.26,4.34,4.22,4.44,4.32,4.44,4.12 b
Annual,ICT services,Estonia,3.73 b,4.39,4.05,3.98,3.9,3.79,4.02,4.09,4.25,4.47,4.67 b,5.2,: @C,: @C
Annual,ICT services,Greece,2.57 b,2.47,2.11 b,2.07,2.03,1.95,2.05,2.23,2.16,1.98,2.45 b,2.24,3.19 p,3.41 bp
Annual,ICT services,Spain,3.41 b,3.4,3.33,3.32,3.3,3.24,3.12,3.09,3.11,3.22,3.2 b,3.34,3.63 p,3.53 p
Annual,ICT services,European Union - 27 countries (from 2020),: b,:,:,:,:,:,:,:,:,:,:,4.05 u,: @C,4.69 be
Annual,ICT services,Finland,3.46 b,3.67,3.67,3.65,3.75,: @C,4.06,4.3,4.35,4.49 b,4.48,4.66,4.86,4.92 b
Annual,ICT services,France,3.69 b,3.74,3.75,3.77,3.71,3.59,3.58 b,3.63 b,3.72,4.09 b,3.88,3.93 p,4.28 p,4.08 bp
Annual,ICT services,Croatia,3.62 b,3.79,4.33,3.81,3.73,3.69,3.65,3.72,3.74,3.9,4.0,4.37 b,4.87,5.12 b
Annual,ICT services,Hungary,4.05 b,4.08,4.08,3.86,3.84,4.04,3.95,4.07,4.02,4.12,4.3 b,4.35,4.55,4.57 b
Annual,ICT services,Ireland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,ICT services,Iceland,: b,:,:,:,:,:,:,:,4.21 p,4.18 p,4.03,4.2 p,4.63 p,:
Annual,ICT services,Italy,3.09 b,3.07,3.16,3.1,3.17,2.99,2.98,2.98,3.05,3.09 b,3.05,3.1,3.28,3.15 b
Annual,ICT services,Lithuania,2 b,2.35,2.29,2.34,2.37,2.35,2.49,2.87,2.9,2.9,3.03 b,3.33,3.6,3.86 b
Annual,ICT services,Luxembourg,5.89 b,6.27,6.71,7.01,6.9,6.84,7.68,7.06,6.4,6.41,6.72,6.87,6.2,6.33 b
Annual,ICT services,Latvia,3.08 b,3.18,3.35,3.16,3.23,3.52,3.45,3.69,4.06,4.27,4.52,4.93,5.22,5.52 b
Annual,ICT services,Montenegro,: b,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,ICT services,North Macedonia,: b,:,:,4.08,4.08,3.45,3.15,3.15 p,: @C,: @C,: @C,: @C,:,:
Annual,ICT services,Malta,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,6.97,6.56,5.85,7.33,9.44 b
Annual,ICT services,Netherlands,4.29 b,: @C,: @C,4.5,4.59,4.68,4.51,4.47,4.76,4.68,4.71,4.69,5.01,4.96 b
Annual,ICT services,Norway,: b,3.3,3.22,3.02,3.08,3.07,3.17,3.27,3.36,3.31,3.26 b,3.64,3.92,3.41 b
Annual,ICT services,Poland,3 b,2.73,2.83,2.93,2.87,2.74,2.82,2.88,3.0,3.08,3.27 b,3.33,3.46,3.72 b
Annual,ICT services,Portugal,3.33 b,3.33,3.36,3.18,3.18,3.02,3.0,2.99,3.05,3.09,3.14,3.41,4.02,4.28 b
Annual,ICT services,Romania,2.95 b,2.87 p,2.8,2.69,2.8,2.96,3.1,3.13,3.39,3.33,3.47 b,3.42,3.97,: @C
Annual,ICT services,Serbia,: b,:,:,:,:,:,:,:,4.13 p,4.2 p,4.28,4.67,5.46,6.23 b
Annual,ICT services,Sweden,4.9 b,: @C,: @C,: @C,4.98,5.02,5.12,6.07,5.57,4.95,5.78 b,6.31,6.89,6.37 b
Annual,ICT services,Slovenia,3.07 b,2.85,3.13,3.12,3.24,3.26,3.26,3.25,3.24,3.33,3.21,3.39,3.6,: @C
Annual,ICT services,Slovakia,3.52 b,3.22,3.35,3.76,3.75,: @C,3.41,3.49,3.46,3.66,3.66,3.95,4.17,4.07 b
Annual,ICT services,Türkiye,: b,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,ICT services,United Kingdom,5.48 b,5.15,5.04,5.21,5.24,5.37,5.47,5.62,5.65 b,5.76,5.94,:,:,:
Annual,Information and Communication Technology - total,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,2.24 bp
Annual,Information and Communication Technology - total,Austria,3.19 b,3.14,3.12,3.25,3.15,3.23,: @C,3.37,3.46,3.49,3.58 b,3.67,3.63,3.87 b
Annual,Information and Communication Technology - total,Bosnia and Herzegovina,: b,:,:,:,:,:,4.98,4.83 be,4.62 be,: @C,: @C,: @C,: @C,5.03 b
Annual,Information and Communication Technology - total,Belgium,: @C,4.45,4.51,4.13,4.13,4.03,3.82,3.79,3.78,3.75,3.97 b,4.21,4.32 p,4.24 b
Annual,Information and Communication Technology - total,Bulgaria,5.01 b,4.84,4.8,4.63,4.53,4.69,4.88,5.02,5.36,5.72,6.07 b,6.62,7.37,7.47 b
Annual,Information and Communication Technology - total,Switzerland,: b,:,:,:,:,:,:,:,:,:,:,:,:,5.49 be
Annual,Information and Communication Technology - total,Cyprus,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Information and Communication Technology - total,Czechia,: @C,4.44,4.39,4.34,4.35,4.34,4.27,4.24,4.27,4.36,4.56,4.71,5.05,5.1 b
Annual,Information and Communication Technology - total,Germany,3.98 b,4.15,3.91,4.04,4.0,4.08,4.17,4.23,4.13,4.18,4.39 b,4.38 p,4.44 p,5 bp
Annual,Information and Communication Technology - total,Denmark,4.63 b,4.83,4.62,4.62,: @C,: @C,: @C,: @C,: @C,: @C,4.58,4.48,4.6,4.26 b
Annual,Information and Communication Technology - total,Estonia,4.37 b,4.98,4.78,5.03,4.7,4.6,4.83,4.74,4.9,5.12,5.39 b,5.93,6.83,5.81 b
Annual,Information and Communication Technology - total,Greece,2.61 b,: @C,: @C,2.11,2.08,1.99,2.09,2.27,2.2,2.01,2.49 b,2.27,3.23 p,3.45 bp
Annual,Information and Communication Technology - total,Spain,3.53 b,3.51,3.44,3.4,3.37,3.31,3.2,: @C,: @C,: @C,3.28 b,: @C,: @C,: @C
Annual,Information and Communication Technology - total,European Union - 27 countries (from 2020),: b,:,:,:,:,:,:,:,:,:,:,4.89,5.23,5.49 b
Annual,Information and Communication Technology - total,Finland,6.66 b,5.01,5.17,4.33,3.62,4.32 b,: @C,4.54,: @C,5.42 b,4.85,4.91,5.79,: b@C
Annual,Information and Communication Technology - total,France,4.04 b,4.0,4.04,4.06,4.01,: @C,3.83 b,3.89 b,4.0,4.33 b,4.31,4.41 p,4.72 p,4.32 bp
Annual,Information and Communication Technology - total,Croatia,4.13 b,4.04,4.54,3.98,3.83,4.04,4.01,4.13,4.15,4.3,4.37,4.47 b,4.99,5.26 b
Annual,Information and Communication Technology - total,Hungary,5.79 b,5.7,5.61,5.9,5.69,5.78,5.58,5.72,5.63,5.96,5.95 b,6.13,6.0,5.81 b
Annual,Information and Communication Technology - total,Ireland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Information and Communication Technology - total,Iceland,: b,:,:,:,:,:,:,:,4.21 p,4.18 p,4.03,4.2 p,4.63 p,:
Annual,Information and Communication Technology - total,Italy,3.39 b,:,:,3.41,3.47,3.24,3.21,3.22,3.27,3.33 b,3.29,3.35,: @C,: @C
Annual,Information and Communication Technology - total,Lithuania,2.16 b,: @C,2.45,2.49,2.49,2.41,2.56,2.97,2.99,3.03,3.13 b,3.49,3.8,4.18 b
Annual,Information and Communication Technology - total,Luxembourg,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Information and Communication Technology - total,Latvia,3.27 b,3.36,3.51,3.4,3.47,3.75,3.74,4.15,4.54,4.69,4.93,5.33,5.66,6.12 b
Annual,Information and Communication Technology - total,Montenegro,: b,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Information and Communication Technology - total,North Macedonia,: b,:,:,4.16,4.12,3.55,3.26,3.26 p,3.4 p,: @C,: @C,4.18,:,:
Annual,Information and Communication Technology - total,Malta,6.68 b,5.92,7.23,8.89,8.44,6.55,6.9,6.86,6.94,7.77,7.43,: @C,8.02,10.26 b
Annual,Information and Communication Technology - total,Netherlands,: @C,: @C,: @C,: @C,: @C,4.9,: @C,: @C,: @C,: @C,: @C,: @C,: @C,5.29 b
Annual,Information and Communication Technology - total,Norway,: b,3.43,3.35,3.13,3.18,3.16,3.27,3.38,: @C,3.4,3.35 b,3.73,4.04,3.52 b
Annual,Information and Communication Technology - total,Poland,: @C,3.07,3.21,3.3,3.16,3.06,3.09,3.15,3.23,3.35,3.58 b,3.63,3.77,3.99 b
Annual,Information and Communication Technology - total,Portugal,3.59 b,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,4.21,4.47 b
Annual,Information and Communication Technology - total,Romania,3.16 b,3.12 p,3.04,2.93,3.02,3.15,3.31,3.35,3.62,3.56,3.71 b,3.72,4.25,4.47 b
Annual,Information and Communication Technology - total,Serbia,: b,:,:,:,:,:,:,:,: @C,4.42 p,4.51,4.92,: @C,: b@C
Annual,Information and Communication Technology - total,Sweden,: @C,6.14,6.27,: @C,: @C,: @C,6.28,: @C,: @C,: @C,5.94 b,6.48,7.09,: @C
Annual,Information and Communication Technology - total,Slovenia,3.34 b,: @C,3.5,3.47,3.55,3.56,3.59,3.6,3.59,3.67,3.59,3.71,4.03,4.41 b
Annual,Information and Communication Technology - total,Slovakia,4.41 b,3.68,4.59,4.41,4.68,: @C,4.16,4.33,4.0,4.29,4.11,4.3,4.66,4.71 b
Annual,Information and Communication Technology - total,Türkiye,: b,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Information and Communication Technology - total,United Kingdom,5.79 b,: @C,5.38,: @C,: @C,: @C,5.67,5.81,5.87 b,5.97,6.15,:,:,:
