Annual,Number,2-5,FR,:,:,:,:,13558.0,12725.0,12061.0,12600.0,12410.0,12694.0,13716.0,13324.0,13951.0,13504.0,12325 p,13227.0,12888.0,11852.0,11261.0,10526.0,:,:,:,:,:
Annual,Number,2-5,HR,:,:,:,:,1.0,3.0,7.0,31.0,37.0,46.0,54.0,49.0,44.0,29.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,2-5,LI,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:,:,:,: m,: m,:,:,:
Annual,Number,2-5,LT,:,:,:,:,:,:,158.0,258.0,373.0,556.0,598.0,622.0,708.0,757.0,833.0,883.0,761.0,911.0,938.0,1037.0,1127.0,1194.0,1132.0,1186.0,:
Annual,Number,2-5,LV,:,:,:,:,:,:,:,19.0,264.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,2-5,MK,:,:,:,:,:,:,:,:,21.0,17.0,17.0,12.0,10.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,2-5,PL,:,:,:,:,:,:,:,6270.0,7623.0,8974.0,10614.0,10653.0,10879.0,10278.0,10375.0,16731.0,15236.0,13776.0,15006.0,15908.0,15385.0,14082.0,15388.0,16550.0,15963.0
Annual,Number,2-5,PT,:,:,:,:,1823.0,1581.0,1616.0,1401.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,2-5,SE,:,:,:,:,4022.0,:,:,5817.0,5954.0,5919.0,5416.0,5923.0,5871.0,5860.0,5781.0,5751.0,3270.0,3914.0,3955.0,3932.0,3872.0,3801.0,3613.0,:,:
Annual,Number,20-49,BG,:,:,:,:,:,:,:,:,59.0,57.0,45.0,33.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,20-49,CZ,:,:,:,:,:,:,1147.0,472.0,459.0,465.0,467.0,375.0,354.0,488.0,519.0,717 e,1094 e,901 e,972 e,:,:,:,:,:,:
Annual,Number,20-49,ES,:,:,:,:,:,:,:,:,:,:,:,945.0,:,:,:,2181.0,2456.0,2362.0,2221.0,2757.0,2618.0,2592.0,:,2399.0,:
Annual,Number,20-49,FR,:,:,:,:,1522.0,1583.0,1611.0,1620.0,1626.0,1596.0,1839.0,1798.0,1959.0,1979.0,2033 p,2146.0,2155.0,2228.0,2096.0,2283.0,:,:,:,:,:
Annual,Number,20-49,HR,:,:,:,:,14.0,15.0,15.0,19.0,16.0,20.0,21.0,19.0,16.0,19.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,20-49,LI,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:,:,:,: m,: m,:,:,:
Annual,Number,20-49,LT,:,:,:,:,:,:,63.0,71.0,79.0,70.0,70.0,124.0,133.0,152.0,91.0,116.0,129.0,150.0,176.0,209.0,222.0,202.0,190.0,213.0,:
Annual,Number,20-49,LV,:,:,:,:,:,:,:,99.0,41.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,20-49,MK,:,:,:,:,:,:,:,8.0,9.0,6.0,5.0,7.0,8.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,20-49,PL,:,:,:,:,:,:,:,234.0,215.0,206.0,219.0,188.0,177.0,161.0,167.0,199.0,229.0,263.0,272.0,323.0,391.0,647.0,747.0,816.0,821.0
Annual,Number,20-49,PT,:,:,:,:,144.0,160.0,284.0,233.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,20-49,SE,:,:,:,:,147.0,:,:,173.0,177.0,179.0,160.0,215.0,233.0,222.0,234.0,228.0,255.0,312.0,348.0,380.0,410.0,399.0,409.0,:,:
Annual,Number,6-9,BG,:,:,:,:,:,:,:,:,3.0,7.0,11.0,8.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,6-9,CZ,:,:,:,:,:,:,3058.0,1295.0,1562.0,1583.0,1585.0,1681.0,1675.0,2137.0,2281.0,3573 e,4040 e,3829 e,4268 e,:,:,:,:,:,:
Annual,Number,6-9,ES,:,:,:,:,:,:,:,:,:,:,:,1690.0,:,:,:,7583.0,8118.0,11966.0,13583.0,13993.0,13874.0,13653.0,:,11376.0,:
Annual,Number,6-9,FR,:,:,:,:,3720.0,3381.0,3417.0,3463.0,3113.0,3321.0,3360.0,3404.0,3868.0,3630.0,3800 p,3541.0,3396.0,3567.0,3857.0,3644.0,:,:,:,:,:
Annual,Number,6-9,HR,:,:,:,:,4.0,5.0,7.0,18.0,20.0,28.0,41.0,38.0,32.0,26.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,6-9,LI,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:,:,:,: m,: m,:,:,:
Annual,Number,6-9,LT,:,:,:,:,:,:,22.0,51.0,71.0,115.0,121.0,212.0,260.0,312.0,234.0,274.0,297.0,352.0,361.0,402.0,438.0,382.0,382.0,425.0,:
Annual,Number,6-9,LV,:,:,:,:,:,:,:,67.0,46.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,6-9,MK,:,:,:,:,:,:,:,:,3.0,5.0,5.0,4.0,2.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,6-9,PL,:,:,:,:,:,:,:,333.0,292.0,329.0,465.0,500.0,548.0,754.0,658.0,704.0,654.0,745.0,802.0,785.0,424.0,308.0,331.0,464.0,599.0
Annual,Number,6-9,PT,:,:,:,:,428.0,522.0,526.0,628.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,6-9,SE,:,:,:,:,784.0,:,:,868.0,896.0,945.0,813.0,1045.0,1081.0,1101.0,1106.0,1125.0,713.0,832.0,874.0,933.0,928.0,912.0,907.0,:,:
Annual,Number,GE50,BG,:,:,:,:,:,:,:,:,88.0,65.0,39.0,23.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,GE50,CZ,:,:,:,:,:,:,523.0,110.0,107.0,108.0,109.0,90.0,103.0,121.0,122.0,209 e,194 e,187 e,204 e,:,:,:,:,:,:
Annual,Number,GE50,ES,:,:,:,:,:,:,:,:,:,:,:,309.0,:,:,:,729.0,836.0,815.0,909.0,849.0,1008.0,873.0,:,889.0,:
Annual,Number,GE50,FR,:,:,:,:,544.0,541.0,553.0,590.0,613.0,607.0,727.0,674.0,740.0,763.0,865 p,810.0,777.0,776.0,824.0,857.0,:,:,:,:,:
Annual,Number,GE50,HR,:,:,:,:,24.0,23.0,21.0,16.0,15.0,11.0,11.0,7.0,8.0,3.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,GE50,LI,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:,:,:,: m,: m,:,:,:
Annual,Number,GE50,LT,:,:,:,:,:,:,65.0,43.0,31.0,29.0,25.0,46.0,46.0,54.0,16.0,3.0,36.0,51.0,55.0,78.0,80.0,64.0,73.0,89.0,:
Annual,Number,GE50,LV,:,:,:,:,:,:,:,62.0,20.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,GE50,MK,:,:,:,:,:,:,:,14.0,13.0,13.0,13.0,12.0,10.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,GE50,PL,:,:,:,:,:,:,:,78.0,71.0,62.0,51.0,52.0,49.0,44.0,38.0,46.0,52.0,53.0,72.0,87.0,111.0,164.0,190.0,204.0,214.0
Annual,Number,GE50,PT,:,:,:,:,81.0,87.0,85.0,97.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,GE50,SE,:,:,:,:,30.0,:,:,38.0,46.0,45.0,42.0,58.0,62.0,58.0,52.0,56.0,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Number,TOTAL,AT,3953.0,:,:,:,:,:,:,4457.0,:,4666.0,4740.0,4846.0,5019.0,5485.0,6476.0,6792.0,6818.0,6706 n,7147 n,7384.0,7080.0,6824.0,6742.0,6772.0,6587.0
Annual,Number,TOTAL,BG,:,:,:,:,:,:,:,185.0,178.0,151.0,116.0,84.0,21378.0,18497.0,11996.0,11541.0,10914.0,10051.0,7660.0,7097.0,8015.0,8974.0,9072.0,9510.0,9874 p
Annual,Number,TOTAL,CH,:,:,:,4622.0,:,:,:,5225.0,:,:,5289.0,:,:,5237.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,TOTAL,CY,:,:,:,:,:,:,:,1738.0,:,:,:,:,1931.0,:,:,:,:,1336.0,1340.0,1344.0,1346.0,1446.0,:,1117.0,998.0
Annual,Number,TOTAL,CZ,:,:,:,:,:,32769.0,38221.0,32530.0,33937.0,34388.0,37930.0,46316.0,44335.0,43134.0,44504.0,55475 e,51987 e,49791 e,53658 e,:,:,:,:,:,:
Annual,Number,TOTAL,DE,:,:,:,:,:,:,38407.0,34819.0,34842.0,33890.0,37631.0,:,48246.0,46063.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,TOTAL,DK,:,:,:,:,8483.0,7529.0,7436.0,7424.0,7479.0,7267.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,TOTAL,EE,:,:,:,:,:,:,:,:,:,633.0,1058.0,1196.0,1523.0,1369.0,1371.0,1527.0,1442.0,1395.0,1430.0,2432.0,2572.0,2582.0,2575.0,2570.0,2445.0
Annual,Number,TOTAL,ES,:,:,:,:,:,:,:,:,:,:,:,131225.0,130141.0,127211.0,126475.0,128956.0,131816.0,135549.0,133912.0,138599.0,139527.0,134917.0,:,119700.0,:
Annual,Number,TOTAL,FI,:,:,:,12571.0,12669.0,11582.0,11085.0,11111.0,11858.0,11985.0,12001.0,11829.0,11672.0,11439.0,11319.0,11162.0,11092.0,10927.0,10881.0,11064.0,11159.0,11069.0,10882.0,10733.0,10496.0
Annual,Number,TOTAL,FR,:,:,:,:,37618.0,36441.0,35374.0,37672.0,38155.0,40504.0,42951.0,42847.0,41547.0,41062.0,39294 p,38674.0,36205.0,35934.0,34563.0,35230.0,:,:,:,34903.0,:
Annual,Number,TOTAL,HR,:,:,:,:,52.0,62.0,62.0,138.0,137.0,145.0,183.0,168.0,149.0,112.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,TOTAL,HU,:,:,:,:,1151.0,1395.0,1614.0,1973.0,2307.0,2806.0,3975.0,4237.0,4591.0,4782.0,5183.0,5566.0,5855.0,:,:,:,:,16314.0,17369.0,16388.0,6760.0
Annual,Number,TOTAL,IE,:,:,:,:,:,2342.0,2369.0,2597.0,2960.0,3316.0,3400.0,:,:,:,:,:,:,:,:,:,:,:,5019.0,:,:
Annual,Number,TOTAL,IS,:,:,:,:,:,:,:,:,:,:,1500.0,1496.0,1470.0,1414.0,1297.0,1219.0,1235 e,1200 e,:,:,:,:,:,:,:
Annual,Number,TOTAL,IT,:,:,:,86438.0,:,:,:,:,:,:,:,:,:,:,106235.0,104589.0,102542.0,101805.0,97800.0,91006.0,87295.0,80900.0,76861.0,74956.0,73030.0
Annual,Number,TOTAL,LI,:,:,:,:,:,:,:,49.0,:,:,:,52.0,53.0,58.0,59.0,56.0,56.0,:,:,:,54.0,51.0,:,:,:
Annual,Number,TOTAL,LT,:,:,:,:,:,:,520.0,803.0,1045.0,1411.0,1353.0,1775.0,2203.0,2490.0,2488.0,2515.0,2651.0,3107.0,3225.0,3568.0,3636.0,4019.0,3834.0,3873.0,:
Annual,Number,TOTAL,LU,:,:,:,:,367.0,:,:,:,:,:,409.0,442.0,460.0,478.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,TOTAL,LV,:,:,:,:,:,:,:,489.0,629.0,818.0,976.0,1040.0,1106.0,1095.0,1167.0,1236.0,1611.0,1912.0,2311.0,2656.0,2613.0,2478.0,2711.0,2576.0,2776.0
Annual,Number,TOTAL,MK,:,:,:,:,:,:,:,69.0,56.0,79.0,72.0,82.0,44.0,180.0,150.0,:,:,152.0,193.0,214.0,:,:,:,:,:
Annual,Number,TOTAL,MT,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,439.0,545.0,614.0,:,:,:
Annual,Number,TOTAL,NL,:,:,:,:,:,:,8542.0,8160.0,8808.0,9302.0,9753.0,9773.0,10290.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,TOTAL,NO,:,:,:,:,:,12561.0,:,12587.0,11981.0,:,11420.0,11147.0,:,:,:,:,9975.0,9693.0,9814.0,10131.0,10059.0,9755.0,9434.0,9347.0,9256.0
Annual,Number,TOTAL,PL,:,:,:,:,:,:,:,60070.0,73471.0,86624.0,97819.0,98149.0,91794.0,86969.0,87681.0,84965.0,77518.0,70383.0,76670.0,81275.0,78664.0,75034 b,79430.0,84739.0,81893.0
Annual,Number,TOTAL,PT,:,:,:,:,3362.0,3699.0,4094.0,3872.0,5804.0,5899.0,5471.0,6246.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,TOTAL,RO,:,:,:,:,:,:,1580.0,6593.0,7626.0,:,:,:,:,:,:,:,:,:,:,:,21741.0,22459.0,:,:,:
Annual,Number,TOTAL,SE,:,7126.0,7789.0,7945.0,8138.0,8071.0,8086.0,8372.0,8472.0,8231.0,8313.0,8334.0,8387.0,8288.0,8104.0,8082.0,8133.0,8210.0,8301.0,8584.0,8562.0,8442.0,8326.0,8524.0,:
Annual,Number,TOTAL,SI,:,:,:,:,688.0,1086.0,1195.0,621.0,675.0,735.0,753.0,776.0,792.0,809.0,807.0,848.0,901.0,5824 b,5696.0,5512.0,5787.0,5558.0,5249.0,5061.0,4846.0
Annual,Number,TOTAL,SK,:,:,:,:,:,:,:,405.0,404.0,507.0,718.0,766.0,9923.0,9734.0,9454.0,9861.0,9861.0,:,:,:,7623.0,8146.0,7519.0,9653.0,12176.0
Annual,Number,TOTAL,UK,:,:,:,:,:,:,41614.0,39060.0,42010.0,41525.0,41400.0,40810.0,38970.0,37330.0,:,:,:,:,:,:,:,:,:,:,:
