Time frequency,Income and living conditions indicator,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Italy,25.7,25.4,25.3,26.1,26.7,25.7,26.4,25.7,26.3,29.3,28.5 b,28.5
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Lithuania,28.3,31.2,28.1,28.4,28.7,30.7,31.1,32.1,31.7,33.1,33.0 b,31.6
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Luxembourg,29.5,29.7,28.3,27.1,26.9 b,28.0,29.6,26.8,29.0 b,27.3 b,27.9 b,27.6
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Latvia,25.4,26.6,28.5,29.7,29.9,30.8,31.4,32.0,30.3,33.8,32.6 b,32.1
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Montenegro,:,29.2,31.0,29.4,28.7,31.3,30.9,29.1,27.5,27.5,26.3,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,North Macedonia,28.2,26.3,24.4,24.9,25.6,25.7,25.6,25.8,25.7,:,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Malta,25.2,24.8,25.0,25.1,24.2,25.4,26.3,25.1,23.2,24.5,24.1 b,24.1
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Netherlands,21.5,21.9,21.6,22.5,22.9 b,22.7,22.8,22.4,22.0,23.4,23.5 b,22.0
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Norway,26.4,27.1,26.3,28.1,27.7,27.4,27.5,25.8,27.0,27.7 b,26.5,22.5 b
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Poland,22.8,22.9,22.8,22.4,22.9,23.8,24.9,24.6,24.2,23.6,22.6 b,22.4
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Portugal,25.4,25.2,26.9,26.8,25.6,23.8,23.2,23.3,22.2,23.6,21.5 b,21.9
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Romania,28.6,28.1,28.5,29.6,29.7,28.8,29.0,29.2,29.1,28.2,25.7 b,24.8
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Serbia,:,31.2,31.4,32.7,32.7,31.9,29.1,28.6,27.1,29.9,26.1,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Sweden,30.5,31.1,32.1,32.2,32.0,30.5,31.0,30.8,30.0,30.0,28.3 b,27.2
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Slovenia,26.2,26.2,26.1,25.7,25.3,25.3,24.2,23.1,23.7,22.0,19.7 b,20.5
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Slovakia,19.8,20.1,19.9,19.3,18.7,17.5,18.0,19.6,19.5,21.8,21.0 b,22.0
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Türkiye,25.7,25.3,25.1,24.4,25.1,24.9,24.8,25.0,26.0,26.3,25.2,24.5
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,United Kingdom,30.9 b,31.8,30.9,30.6,29.5,30.5 b,31.0,:,:,:,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Albania,:,:,:,:,:,27.2,26.1,25.4,24.6,24.7,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Austria,25.0,25.2,24.5,25.1,25.8,24.1,24.7,25.0,23.4,26.1,25.4 b,23.5
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Belgium,27.3,26.2,27.3,25.7,25.1,25.7,24.5,25.0 b,25.1,26.9,25.3 b,24.3
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Bulgaria,24.2,25.3,26.6,26.3,26.8 b,27.5,27.7,27.6,27.5,29.0,27.1 b,27.2
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Switzerland,21.9,22.1,22.6 b,23.9,23.6,23.6,23.9,24.0,23.9,23.8,24.9,24.4
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Cyprus,21.4,22.6,23.7,24.9,24.5,23.7,23.9,22.0,20.9,20.4,18.7 b,18.8
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Czechia,16.6,15.8,16.2,15.4,15.2,14.1,13.6,14.5,13.6,14.7,14.6 b,13.7
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Germany,23.1,23.0,24.1,24.2,23.9,23.0,23.2,22.2,23.9 b,26.1,24.8 b,23.8
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Denmark,27.3,28.1,27.1,25.3,24.2,26.1,24.2,23.7,24.2 b,24.9,24.1 b,22.8
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Euro area - 19 countries  (2015-2022),24.5,24.9,25.3,25.3,25.0,24.3,24.3,23.7,24.5 b,26.6,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Euro area – 20 countries (from 2023),:,:,25.3,25.3,25.1,24.4,24.3,23.7,24.5,26.6,25.2,24.4
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Estonia,24.1,24.1,27.0 b,26.0,26.4,26.4,27.3,27.9,28.6,27.3,29.7 b,28.4
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Greece,26.2,27.2,26.2,25.5,25.2,23.8,23.2,23.0,23.5,24.4,23.1 b,22.0
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Spain,29.1,30.7,31.3,30.8,30.1,28.0,27.4,26.7,26.7,30.6,27.4 b,25.5
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,European Union - 27 countries (2007-2013),25.1,25.3,25.6,25.5,25.2,24.9,24.7,24.2 e,:,:,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,European Union - 27 countries (from 2020),24.6 e,24.9 e,25.3 e,25.2 e,24.9 e,24.4 e,24.3 e,23.7 e,24.2 b,25.9,24.6,23.9
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,European Union - 28 countries (2013-2020),25.1,25.3,25.6,25.5,25.2,24.9,24.7,24.2 e,:,:,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Finland,26.2,25.9,27.3,26.7,26.7,26.7,25.7,25.0,25.1,24.8,24.4,23.0
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,France,23.3,23.6,23.6,23.3,22.7,23.6,24.0,23.1,26.0 b,26.2,26.3 b,25.4
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Croatia,30.5,29.8,29.4,31.0,26.8,25.9,24.9,23.6,22.9,22.6,20.9 b,22.7 b
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Hungary,28.0,27.9,27.5,26.5,26.0,24.7,24.2,19.4,22.1,24.9,18.4 b,18.9
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Ireland,39.1,37.9,36.7,35.6,33.5,31.8,28.0,31.1 b,27.8 b,31.1,30.4 b,26.7
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Iceland,22.5,22.3,20.8,19.4,19.2,17.6,16.9,18.5,:,:,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Italy,23.3,23.8,24.0,24.6,25.7,24.7,25.4,24.6,24.2,27.6,25.7 b,25.9
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Lithuania,28.5,29.3,26.8,28.7,27.0,28.7,28.0,27.9,27.3,28.4,26.5 b,27.0
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Luxembourg,28.5,29.1,27.0,27.4,25.4 b,25.1,26.5,26.1,28.4 b,27.8 b,24.4 b,24.2
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Latvia,25.9,25.2,25.3,24.5,25.3,25.3,25.8,27.4,25.8,26.8,27.0 b,26.3
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Montenegro,:,28.7,31.1,29.4,29.4,31.5,31.6,29.9,28.1,27.0,26.2,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,North Macedonia,29.5,27.4,25.2,24.7,25.9,26.2,25.8,25.0,25.7,:,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Malta,22.8,22.1,22.5,22.5,23.3,22.5,22.2,21.4,19.7,21.4,21.4 b,20.7
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Netherlands,19.7,19.8,21.1,22.1,21.3 b,21.1,20.8,20.3,20.4,22.1,20.4 b,20.2
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Norway,25.3,24.8,23.2,24.9,24.8,25.0,26.0,24.1,24.4,25.4 b,23.7,20.1 b
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Poland,23.1,23.0,23.5,23.5,22.9,24.3,24.7,24.1,22.6,22.3,21.9 b,21.4
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Portugal,25.1,25.9,26.5,26.0,24.4,23.4,22.1,22.0,21.6,22.2,21.5 b,20.4
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Romania,29.1,28.2,29.1,28.9,29.3,27.8,27.0,27.0,26.4,26.6,25.2 b,25.3
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Serbia,:,32.5,32.8,34.2,33.2,31.4,30.1,28.0,26.3,29.1,24.6,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Sweden,27.5,26.7,27.9,27.4,27.7,28.2,26.8,27.1,26.3,26.5,24.9 b,23.9
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Slovenia,24.2,24.5,24.1,23.9,23.2,22.7,22.5,21.0,21.2,20.4,18.9 b,19.0
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Slovakia,20.2,20.0,19.3,18.7,18.1,17.5,17.3,18.7,18.5,21.4,20.4 b,23.1
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Türkiye,24.9,24.4,24.3,23.9,24.4,23.8,23.5,24.2,24.8,25.5,23.9,23.1
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,United Kingdom,28.4 b,28.4,27.9,27.9,26.8,27.9 b,27.1,:,:,:,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Albania,:,:,:,:,:,27.1,26.3,26.1,24.8,25.2,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Austria,25.8,25.9,25.4,25.6,26.3,24.9,25.2,26.2,23.6,26.3,25.5 b,24.5
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Belgium,27.7,26.3,27.5,26.7,26.5,26.5,25.3,25.4 b,25.6,27.2,25.8 b,25.0
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Bulgaria,25.9,26.7,27.3,28.4,27.9 b,29.2,29.5,29.6,29.9,31.5,30.3 b,28.5
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Switzerland,23.4,22.8,24.3 b,24.9,24.7,24.5,24.2,24.1,24.4,24.5,25.0,25.0
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Cyprus,23.5,24.3,24.6,25.4,25.0,24.5,24.2,22.7,21.9,22.1,20.1 b,20.0
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Czechia,17.6,16.6,17.2,16.8,16.3,15.8,15.6,16.6,16.0,16.1,17.0 b,16.2
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Germany,24.3,24.4,25.0,25.1,25.3,24.1,24.0,23.2,24.6 b,26.8,25.6 b,24.7
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Denmark,27.4,27.8,26.9,25.8,24.9,25.3,24.1,23.7,25.4 b,26.7,25.0 b,24.3
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Euro area - 19 countries  (2015-2022),25.2,25.5,25.8,25.7,25.7,25.0,24.9,24.4,25.3 b,27.3,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Euro area – 20 countries (from 2023),:,:,25.8,25.8,25.7,25.0,24.9,24.4,25.2,27.3,26.1,25.4
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Estonia,24.8,25.4,28.4 b,27.8,28.9,28.9,29.9,30.2,30.3,29.7,31.7 b,31.1
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Greece,26.8,28.0,26.0,25.5,25.2,24.0,23.2,23.2,23.5,24.7,23.6 b,23.1
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Spain,29.1,30.0,31.1,30.1,29.5,28.4,27.9,26.9,27.4,31.2,28.1 b,26.2
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,European Union - 27 countries (2007-2013),25.7,26.0,26.1,26.1,25.9,25.6,25.5,25.0 e,:,:,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,European Union - 27 countries (from 2020),25.2 e,25.4 e,25.7 e,25.6 e,25.6 e,25.0 e,25.0 e,24.4 e,25.0 b,26.7,25.4,24.8
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,European Union - 28 countries (2013-2020),25.8,26.0,26.1,26.1,25.9,25.6,25.5,25.0 e,:,:,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Finland,26.9,26.4,27.6,26.8,27.0,26.7,25.9,25.2,25.1,25.5,25.3,23.8
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,France,23.8,24.4,24.0,23.9,23.6,24.0,24.1,23.5,26.4 b,26.7,26.9 b,26.5
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Croatia,30.6,29.7,29.9,31.0,27.3,26.6,25.7,24.3,23.8,24.2,22.6 b,24.4 b
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Hungary,27.3,27.0,26.6,25.7,25.8,25.0,25.0,20.0,22.0,25.5,19.1 b,20.0
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Ireland,39.4,38.3,37.0,36.4,34.6,32.9,30.9,32.2 b,28.8 b,32.2,31.3 b,28.4
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Iceland,23.1,22.7,21.2,19.9,19.7,18.8,17.6,18.8,:,:,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Italy,24.5,24.6,24.7,25.4,26.2,25.2,25.9,25.2,25.3,28.5,27.1 b,27.2
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Lithuania,28.4,30.3,27.5,28.6,27.9,29.8,29.7,30.1,29.6,30.9,30.0 b,29.4
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Luxembourg,29.0,29.4,27.6,27.2,26.1 b,26.6,28.0,26.5,28.7 b,27.5 b,26.1 b,25.9
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Latvia,25.7,26.0,27.0,27.3,27.8,28.3,28.8,29.9,28.2,30.6,30.0 b,29.4
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Montenegro,:,28.9,31.1,29.4,29.0,31.4,31.2,29.5,27.8,27.2,26.2,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,North Macedonia,28.8,26.8,24.8,24.8,25.7,25.9,25.7,25.4,25.7,:,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Malta,24.0,23.4,23.7,23.8,23.8,23.9,24.2,23.2,21.4,22.9,22.7 b,22.3
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Netherlands,20.6,20.8,21.3,22.3,22.1 b,21.9,21.8,21.4,21.2,22.7,21.9 b,21.1
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Norway,25.8,26.0,24.8,26.5,26.3,26.2,26.7,25.0,25.7,26.6 b,25.1,21.3 b
