Time frequency,Sex,Legal status,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Females,Suspected person,Per hundred thousand inhabitants,Lithuania,0.81
Annual,Females,Suspected person,Per hundred thousand inhabitants,Luxembourg,0.95
Annual,Females,Suspected person,Per hundred thousand inhabitants,Latvia,0.3
Annual,Females,Suspected person,Per hundred thousand inhabitants,Malta,0.0
Annual,Females,Suspected person,Per hundred thousand inhabitants,Netherlands,0.34
Annual,Females,Suspected person,Per hundred thousand inhabitants,Poland,0.15
Annual,Females,Suspected person,Per hundred thousand inhabitants,Portugal,0.09
Annual,Females,Suspected person,Per hundred thousand inhabitants,Romania,2.07
Annual,Females,Suspected person,Per hundred thousand inhabitants,Sweden,0.31
Annual,Females,Suspected person,Per hundred thousand inhabitants,Slovenia,0.29
Annual,Females,Suspected person,Per hundred thousand inhabitants,Slovakia,0.64
Annual,Females,Victim,Per hundred thousand inhabitants,Austria,7.39
Annual,Females,Victim,Per hundred thousand inhabitants,Belgium,0.82
Annual,Females,Victim,Per hundred thousand inhabitants,Bulgaria,0.95
Annual,Females,Victim,Per hundred thousand inhabitants,Cyprus,2.62
Annual,Females,Victim,Per hundred thousand inhabitants,Czechia,0.18
Annual,Females,Victim,Per hundred thousand inhabitants,Germany,1.49
Annual,Females,Victim,Per hundred thousand inhabitants,Denmark,1.43
Annual,Females,Victim,Per hundred thousand inhabitants,Estonia,3.29
Annual,Females,Victim,Per hundred thousand inhabitants,Greece,2.03
Annual,Females,Victim,Per hundred thousand inhabitants,Spain,0.68
Annual,Females,Victim,Per hundred thousand inhabitants,European Union (aggregate changing according to the context),2.0
Annual,Females,Victim,Per hundred thousand inhabitants,Finland,3.11
Annual,Females,Victim,Per hundred thousand inhabitants,France,3.77
Annual,Females,Victim,Per hundred thousand inhabitants,Croatia,0.43
Annual,Females,Victim,Per hundred thousand inhabitants,Hungary,2.65
Annual,Females,Victim,Per hundred thousand inhabitants,Ireland,1.11
Annual,Females,Victim,Per hundred thousand inhabitants,Italy,1.32
Annual,Females,Victim,Per hundred thousand inhabitants,Lithuania,0.68
Annual,Females,Victim,Per hundred thousand inhabitants,Luxembourg,3.17
Annual,Females,Victim,Per hundred thousand inhabitants,Latvia,1.18
Annual,Females,Victim,Per hundred thousand inhabitants,Malta,1.61
Annual,Females,Victim,Per hundred thousand inhabitants,Netherlands,5.8
Annual,Females,Victim,Per hundred thousand inhabitants,Poland,0.0
Annual,Females,Victim,Per hundred thousand inhabitants,Portugal,0.97
Annual,Females,Victim,Per hundred thousand inhabitants,Romania,4.52
Annual,Females,Victim,Per hundred thousand inhabitants,Sweden,1.51
Annual,Females,Victim,Per hundred thousand inhabitants,Slovenia,3.72
Annual,Females,Victim,Per hundred thousand inhabitants,Slovakia,0.82
Annual,Males,Convicted person,Per hundred thousand inhabitants,Austria,0.05
Annual,Males,Convicted person,Per hundred thousand inhabitants,Bulgaria,0.48
Annual,Males,Convicted person,Per hundred thousand inhabitants,Cyprus,2.51
Annual,Males,Convicted person,Per hundred thousand inhabitants,Czechia,0.17
Annual,Males,Convicted person,Per hundred thousand inhabitants,Germany,0.35
Annual,Males,Convicted person,Per hundred thousand inhabitants,Denmark,0.0
Annual,Males,Convicted person,Per hundred thousand inhabitants,Estonia,0.32
Annual,Males,Convicted person,Per hundred thousand inhabitants,Greece,3.16
Annual,Males,Convicted person,Per hundred thousand inhabitants,Spain,0.18
Annual,Males,Convicted person,Per hundred thousand inhabitants,European Union (aggregate changing according to the context),0.92
Annual,Males,Convicted person,Per hundred thousand inhabitants,Finland,0.07
Annual,Males,Convicted person,Per hundred thousand inhabitants,France,2.53
Annual,Males,Convicted person,Per hundred thousand inhabitants,Croatia,0.0
Annual,Males,Convicted person,Per hundred thousand inhabitants,Hungary,0.9
Annual,Males,Convicted person,Per hundred thousand inhabitants,Ireland,0.0
Annual,Males,Convicted person,Per hundred thousand inhabitants,Italy,1.41
Annual,Males,Convicted person,Per hundred thousand inhabitants,Lithuania,2.06
Annual,Males,Convicted person,Per hundred thousand inhabitants,Luxembourg,0.31
Annual,Males,Convicted person,Per hundred thousand inhabitants,Latvia,0.11
Annual,Males,Convicted person,Per hundred thousand inhabitants,Malta,0.38
Annual,Males,Convicted person,Per hundred thousand inhabitants,Netherlands,0.83
Annual,Males,Convicted person,Per hundred thousand inhabitants,Poland,0.16
Annual,Males,Convicted person,Per hundred thousand inhabitants,Portugal,0.29
Annual,Males,Convicted person,Per hundred thousand inhabitants,Romania,1.28
Annual,Males,Convicted person,Per hundred thousand inhabitants,Sweden,0.0
Annual,Males,Convicted person,Per hundred thousand inhabitants,Slovenia,0.0
Annual,Males,Convicted person,Per hundred thousand inhabitants,Slovakia,0.53
Annual,Males,Suspected person,Per hundred thousand inhabitants,Austria,1.09
Annual,Males,Suspected person,Per hundred thousand inhabitants,Bulgaria,0.6
Annual,Males,Suspected person,Per hundred thousand inhabitants,Cyprus,4.11
Annual,Males,Suspected person,Per hundred thousand inhabitants,Czechia,0.27
Annual,Males,Suspected person,Per hundred thousand inhabitants,Germany,1.32
Annual,Males,Suspected person,Per hundred thousand inhabitants,Denmark,0.03
Annual,Males,Suspected person,Per hundred thousand inhabitants,Greece,0.77
Annual,Males,Suspected person,Per hundred thousand inhabitants,Spain,0.5
Annual,Males,Suspected person,Per hundred thousand inhabitants,European Union (aggregate changing according to the context),3.6
Annual,Males,Suspected person,Per hundred thousand inhabitants,Finland,0.99
Annual,Males,Suspected person,Per hundred thousand inhabitants,France,4.74
Annual,Males,Suspected person,Per hundred thousand inhabitants,Croatia,1.17
Annual,Males,Suspected person,Per hundred thousand inhabitants,Hungary,4.22
Annual,Males,Suspected person,Per hundred thousand inhabitants,Ireland,0.24
Annual,Males,Suspected person,Per hundred thousand inhabitants,Italy,11.84
Annual,Males,Suspected person,Per hundred thousand inhabitants,Lithuania,1.6
Annual,Males,Suspected person,Per hundred thousand inhabitants,Luxembourg,4.07
Annual,Males,Suspected person,Per hundred thousand inhabitants,Latvia,1.26
Annual,Males,Suspected person,Per hundred thousand inhabitants,Malta,0.0
Annual,Males,Suspected person,Per hundred thousand inhabitants,Netherlands,2.03
Annual,Males,Suspected person,Per hundred thousand inhabitants,Poland,0.4
Annual,Males,Suspected person,Per hundred thousand inhabitants,Portugal,0.64
Annual,Males,Suspected person,Per hundred thousand inhabitants,Romania,12.91
Annual,Males,Suspected person,Per hundred thousand inhabitants,Sweden,0.88
Annual,Males,Suspected person,Per hundred thousand inhabitants,Slovenia,1.42
Annual,Males,Suspected person,Per hundred thousand inhabitants,Slovakia,0.79
Annual,Males,Victim,Per hundred thousand inhabitants,Austria,1.39
Annual,Males,Victim,Per hundred thousand inhabitants,Belgium,1.7
Annual,Males,Victim,Per hundred thousand inhabitants,Bulgaria,0.27
Annual,Males,Victim,Per hundred thousand inhabitants,Cyprus,2.06
Annual,Males,Victim,Per hundred thousand inhabitants,Czechia,0.0
Annual,Males,Victim,Per hundred thousand inhabitants,Germany,0.39
Annual,Males,Victim,Per hundred thousand inhabitants,Denmark,1.27
Annual,Males,Victim,Per hundred thousand inhabitants,Estonia,1.27
Annual,Males,Victim,Per hundred thousand inhabitants,Greece,0.89
Annual,Males,Victim,Per hundred thousand inhabitants,Spain,0.1
Annual,Males,Victim,Per hundred thousand inhabitants,European Union (aggregate changing according to the context),0.96
Annual,Males,Victim,Per hundred thousand inhabitants,Finland,2.05
Annual,Males,Victim,Per hundred thousand inhabitants,France,1.51
Annual,Males,Victim,Per hundred thousand inhabitants,Croatia,0.51
Annual,Males,Victim,Per hundred thousand inhabitants,Hungary,1.44
Annual,Males,Victim,Per hundred thousand inhabitants,Ireland,0.65
Annual,Males,Victim,Per hundred thousand inhabitants,Italy,1.23
Annual,Males,Victim,Per hundred thousand inhabitants,Lithuania,1.22
Annual,Males,Victim,Per hundred thousand inhabitants,Luxembourg,12.52
Annual,Males,Victim,Per hundred thousand inhabitants,Latvia,5.6
Annual,Males,Victim,Per hundred thousand inhabitants,Malta,0.0
Annual,Males,Victim,Per hundred thousand inhabitants,Netherlands,3.09
Annual,Males,Victim,Per hundred thousand inhabitants,Poland,0.0
Annual,Males,Victim,Per hundred thousand inhabitants,Portugal,3.03
Annual,Males,Victim,Per hundred thousand inhabitants,Romania,0.65
Annual,Males,Victim,Per hundred thousand inhabitants,Sweden,1.07
Annual,Males,Victim,Per hundred thousand inhabitants,Slovenia,0.09
Annual,Males,Victim,Per hundred thousand inhabitants,Slovakia,0.75
Annual,Total,Convicted person,Per hundred thousand inhabitants,Austria,0.02
Annual,Total,Convicted person,Per hundred thousand inhabitants,Belgium,0.99
Annual,Total,Convicted person,Per hundred thousand inhabitants,Bulgaria,0.3
Annual,Total,Convicted person,Per hundred thousand inhabitants,Cyprus,2.12
Annual,Total,Convicted person,Per hundred thousand inhabitants,Czechia,0.22
Annual,Total,Convicted person,Per hundred thousand inhabitants,Germany,0.21
Annual,Total,Convicted person,Per hundred thousand inhabitants,Denmark,0.0
Annual,Total,Convicted person,Per hundred thousand inhabitants,Estonia,0.15
Annual,Total,Convicted person,Per hundred thousand inhabitants,Greece,1.7
Annual,Total,Convicted person,Per hundred thousand inhabitants,Spain,0.14
Annual,Total,Convicted person,Per hundred thousand inhabitants,European Union (aggregate changing according to the context),0.56
Annual,Total,Convicted person,Per hundred thousand inhabitants,Finland,0.04
Annual,Total,Convicted person,Per hundred thousand inhabitants,France,1.62
Annual,Total,Convicted person,Per hundred thousand inhabitants,Croatia,0.0
Annual,Total,Convicted person,Per hundred thousand inhabitants,Hungary,0.59
Annual,Total,Convicted person,Per hundred thousand inhabitants,Ireland,0.04
Annual,Total,Convicted person,Per hundred thousand inhabitants,Italy,0.86
Annual,Total,Convicted person,Per hundred thousand inhabitants,Lithuania,1.07
Annual,Total,Convicted person,Per hundred thousand inhabitants,Luxembourg,0.32
Annual,Total,Convicted person,Per hundred thousand inhabitants,Latvia,0.05
Annual,Total,Convicted person,Per hundred thousand inhabitants,Malta,0.39
Annual,Total,Convicted person,Per hundred thousand inhabitants,Netherlands,0.48
Annual,Total,Convicted person,Per hundred thousand inhabitants,Poland,0.08
Annual,Total,Convicted person,Per hundred thousand inhabitants,Portugal,0.16
Annual,Total,Convicted person,Per hundred thousand inhabitants,Romania,0.93
Annual,Total,Convicted person,Per hundred thousand inhabitants,Sweden,0.01
Annual,Total,Convicted person,Per hundred thousand inhabitants,Slovenia,0.0
Annual,Total,Convicted person,Per hundred thousand inhabitants,Slovakia,0.39
Annual,Total,Suspected person,Per hundred thousand inhabitants,Austria,0.77
Annual,Total,Suspected person,Per hundred thousand inhabitants,Bulgaria,0.35
Annual,Total,Suspected person,Per hundred thousand inhabitants,Cyprus,2.57
Annual,Total,Suspected person,Per hundred thousand inhabitants,Czechia,0.2
Annual,Total,Suspected person,Per hundred thousand inhabitants,Germany,0.8
Annual,Total,Suspected person,Per hundred thousand inhabitants,Denmark,0.02
Annual,Total,Suspected person,Per hundred thousand inhabitants,Greece,0.56
Annual,Total,Suspected person,Per hundred thousand inhabitants,Spain,0.52
Annual,Total,Suspected person,Per hundred thousand inhabitants,European Union (aggregate changing according to the context),2.22
Annual,Total,Suspected person,Per hundred thousand inhabitants,Finland,0.72
Annual,Total,Suspected person,Per hundred thousand inhabitants,France,3.14
Annual,Total,Suspected person,Per hundred thousand inhabitants,Croatia,0.77
Annual,Total,Suspected person,Per hundred thousand inhabitants,Hungary,2.62
Annual,Total,Suspected person,Per hundred thousand inhabitants,Ireland,0.14
Annual,Total,Suspected person,Per hundred thousand inhabitants,Italy,6.98
Annual,Total,Suspected person,Per hundred thousand inhabitants,Lithuania,1.18
Annual,Total,Suspected person,Per hundred thousand inhabitants,Luxembourg,2.84
Annual,Total,Suspected person,Per hundred thousand inhabitants,Latvia,0.74
Annual,Total,Suspected person,Per hundred thousand inhabitants,Malta,0.0
Annual,Total,Suspected person,Per hundred thousand inhabitants,Netherlands,1.21
Annual,Total,Suspected person,Per hundred thousand inhabitants,Poland,0.27
Annual,Total,Suspected person,Per hundred thousand inhabitants,Portugal,0.35
Annual,Total,Suspected person,Per hundred thousand inhabitants,Romania,7.37
Annual,Total,Suspected person,Per hundred thousand inhabitants,Sweden,0.61
Annual,Total,Suspected person,Per hundred thousand inhabitants,Slovenia,0.85
Annual,Total,Suspected person,Per hundred thousand inhabitants,Slovakia,0.71
Annual,Total,Victim,Per hundred thousand inhabitants,Austria,4.43
Annual,Total,Victim,Per hundred thousand inhabitants,Belgium,1.26
Annual,Total,Victim,Per hundred thousand inhabitants,Bulgaria,0.62
Annual,Total,Victim,Per hundred thousand inhabitants,Cyprus,2.34
Annual,Total,Victim,Per hundred thousand inhabitants,Czechia,0.13
Annual,Total,Victim,Per hundred thousand inhabitants,Germany,0.96
Annual,Total,Victim,Per hundred thousand inhabitants,Denmark,1.37
Annual,Total,Victim,Per hundred thousand inhabitants,Estonia,2.63
Annual,Total,Victim,Per hundred thousand inhabitants,Greece,1.47
Annual,Total,Victim,Per hundred thousand inhabitants,Spain,0.4
Annual,Total,Victim,Per hundred thousand inhabitants,European Union (aggregate changing according to the context),1.6
Annual,Total,Victim,Per hundred thousand inhabitants,Finland,2.58
Annual,Total,Victim,Per hundred thousand inhabitants,France,2.68
Annual,Total,Victim,Per hundred thousand inhabitants,Croatia,0.47
Annual,Total,Victim,Per hundred thousand inhabitants,Hungary,2.07
Annual,Total,Victim,Per hundred thousand inhabitants,Ireland,0.88
Annual,Total,Victim,Per hundred thousand inhabitants,Italy,1.28
Annual,Total,Victim,Per hundred thousand inhabitants,Lithuania,0.93
Annual,Total,Victim,Per hundred thousand inhabitants,Luxembourg,7.88
Annual,Total,Victim,Per hundred thousand inhabitants,Latvia,3.22
Annual,Total,Victim,Per hundred thousand inhabitants,Malta,0.78
Annual,Total,Victim,Per hundred thousand inhabitants,Netherlands,4.53
Annual,Total,Victim,Per hundred thousand inhabitants,Poland,1.18
Annual,Total,Victim,Per hundred thousand inhabitants,Portugal,1.94
Annual,Total,Victim,Per hundred thousand inhabitants,Romania,2.63
Annual,Total,Victim,Per hundred thousand inhabitants,Sweden,1.29
Annual,Total,Victim,Per hundred thousand inhabitants,Slovenia,1.9
Annual,Total,Victim,Per hundred thousand inhabitants,Slovakia,0.79
