Time frequency,annex,indic_sb,priority,cpa02,unit,nace_r1,partner,geo\TIME_PERIOD,1997.0,1998.0,1999.0,2000.0,2001.0
Annual,6.0,V47120,O,CPA_J6713,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6713,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6713,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J672,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J672,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J672,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J672A,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J672A,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J672A,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J672B,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J672B,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J672B,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,V,CPA_J6512AA,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6512AB,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6512AC,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6512BA,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6512BB,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6512BC,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6512BD,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6512BE,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6512C,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6521,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6522A,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6522B,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6522C,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6522D,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6522E,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6523A,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6523B,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6712A,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6712B,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J6713,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J672A,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
Annual,6.0,V47120,V,CPA_J672B,MIO_EUR,J6512,TOTAL,SK,:,:,:,:,: @C
