Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2000.0,2010.0
Annual,Participation time (hh:mm),Total,Germany,4:19,1:47
Annual,Participation time (hh:mm),Total,Estonia,4:25,2:03
Annual,Participation time (hh:mm),Total,Greece,:,2:00
Annual,Participation time (hh:mm),Total,Spain,5:13,2:08
Annual,Participation time (hh:mm),Total,Finland,2:11,1:57
Annual,Participation time (hh:mm),Total,France,1:33,1:46
Annual,Participation time (hh:mm),Total,Hungary,:,2:41
Annual,Participation time (hh:mm),Total,Italy,5:01,1:46
Annual,Participation time (hh:mm),Total,Lithuania,4:17,:
Annual,Participation time (hh:mm),Total,Luxembourg,:,0:00
Annual,Participation time (hh:mm),Total,Latvia,3:44,:
Annual,Participation time (hh:mm),Total,Netherlands,:,0:00
Annual,Participation time (hh:mm),Total,Norway,4:53,1:47
Annual,Participation time (hh:mm),Total,Poland,4:40,2:24
Annual,Participation time (hh:mm),Total,Romania,:,1:57
Annual,Participation time (hh:mm),Total,Serbia,:,1:59
Annual,Participation time (hh:mm),Total,Slovenia,3:51,:
Annual,Participation time (hh:mm),Total,Türkiye,:,0:00
Annual,Participation time (hh:mm),Total,United Kingdom,5:53,1:51
Annual,Time spent (hh:mm),Females,Austria,:,0:42
Annual,Time spent (hh:mm),Females,Belgium,1:33,0:24
Annual,Time spent (hh:mm),Females,Bulgaria,1:31,:
Annual,Time spent (hh:mm),Females,Germany,2:01,0:25
Annual,Time spent (hh:mm),Females,Estonia,2:45,0:39
Annual,Time spent (hh:mm),Females,Greece,:,0:25
Annual,Time spent (hh:mm),Females,Spain,1:58,0:39
Annual,Time spent (hh:mm),Females,Finland,0:44,0:34
Annual,Time spent (hh:mm),Females,France,0:30,0:31
Annual,Time spent (hh:mm),Females,Hungary,:,0:42
Annual,Time spent (hh:mm),Females,Italy,2:09,0:29
Annual,Time spent (hh:mm),Females,Lithuania,1:53,:
Annual,Time spent (hh:mm),Females,Luxembourg,:,0:00
Annual,Time spent (hh:mm),Females,Latvia,1:36,:
Annual,Time spent (hh:mm),Females,Netherlands,:,0:00
Annual,Time spent (hh:mm),Females,Norway,2:27,0:35
Annual,Time spent (hh:mm),Females,Poland,2:24,0:50
Annual,Time spent (hh:mm),Females,Romania,:,0:23
Annual,Time spent (hh:mm),Females,Serbia,:,0:30
Annual,Time spent (hh:mm),Females,Slovenia,2:01,:
Annual,Time spent (hh:mm),Females,Türkiye,:,0:00
Annual,Time spent (hh:mm),Females,United Kingdom,3:03,0:38
Annual,Time spent (hh:mm),Males,Austria,:,0:24
Annual,Time spent (hh:mm),Males,Belgium,0:50,0:13
Annual,Time spent (hh:mm),Males,Bulgaria,0:41,:
Annual,Time spent (hh:mm),Males,Germany,1:02,0:14
Annual,Time spent (hh:mm),Males,Estonia,1:15,0:17
Annual,Time spent (hh:mm),Males,Greece,:,0:17
Annual,Time spent (hh:mm),Males,Spain,1:02,0:26
Annual,Time spent (hh:mm),Males,Finland,0:15,0:18
Annual,Time spent (hh:mm),Males,France,0:10,0:14
Annual,Time spent (hh:mm),Males,Hungary,:,0:23
Annual,Time spent (hh:mm),Males,Italy,1:06,0:16
Annual,Time spent (hh:mm),Males,Lithuania,0:53,:
Annual,Time spent (hh:mm),Males,Luxembourg,:,0:00
Annual,Time spent (hh:mm),Males,Latvia,0:40,:
Annual,Time spent (hh:mm),Males,Netherlands,:,0:00
Annual,Time spent (hh:mm),Males,Norway,1:21,0:22
Annual,Time spent (hh:mm),Males,Poland,1:11,0:22
Annual,Time spent (hh:mm),Males,Romania,:,0:10
Annual,Time spent (hh:mm),Males,Serbia,:,0:17
Annual,Time spent (hh:mm),Males,Slovenia,1:03,:
Annual,Time spent (hh:mm),Males,Türkiye,:,0:00
Annual,Time spent (hh:mm),Males,United Kingdom,1:24,0:19
Annual,Time spent (hh:mm),Total,Austria,:,0:33
Annual,Time spent (hh:mm),Total,Belgium,1:12,0:18
Annual,Time spent (hh:mm),Total,Bulgaria,1:08,:
Annual,Time spent (hh:mm),Total,Germany,1:33,0:20
Annual,Time spent (hh:mm),Total,Estonia,2:04,0:29
Annual,Time spent (hh:mm),Total,Greece,:,0:21
Annual,Time spent (hh:mm),Total,Spain,1:30,0:33
Annual,Time spent (hh:mm),Total,Finland,0:30,0:26
Annual,Time spent (hh:mm),Total,France,0:20,0:23
Annual,Time spent (hh:mm),Total,Hungary,:,0:33
Annual,Time spent (hh:mm),Total,Italy,1:38,0:23
Annual,Time spent (hh:mm),Total,Lithuania,1:26,:
Annual,Time spent (hh:mm),Total,Luxembourg,:,0:00
Annual,Time spent (hh:mm),Total,Latvia,1:10,:
Annual,Time spent (hh:mm),Total,Netherlands,:,0:00
Annual,Time spent (hh:mm),Total,Norway,1:54,0:28
Annual,Time spent (hh:mm),Total,Poland,1:49,0:37
Annual,Time spent (hh:mm),Total,Romania,:,0:16
Annual,Time spent (hh:mm),Total,Serbia,:,0:24
Annual,Time spent (hh:mm),Total,Slovenia,1:33,:
Annual,Time spent (hh:mm),Total,Türkiye,:,0:00
Annual,Time spent (hh:mm),Total,United Kingdom,2:15,0:29
