Time frequency,Unit of measure,Health facility,Health care,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Montenegro,397.69 d,397.36 d,388.92 d,393.37 d,393.15 d,393.06 d,386.10 d,391.31 d,385.67 d,385.80 d,381.78 d,380.92 d
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,North Macedonia,450.76,440.36,444.62,439.57,438.79,437.11,428.01,421.63,426.3,429.86,449.01,:
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Malta,438.18,470.68,477.5,458.86 b,458.6,467.11,448.51,430.84,410.27,438.36,414.44,406.01
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Netherlands,397.46,377.86,369.25,354.55,348.98 b,341.1,327.68,318.43,302.1,291.13,295.23 b,244.93 b
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Norway,419.5,397.26,385.86,384.49,375.85,368.46,360.11,352.36,348.16,340.16,339.98,334.83
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Poland,662.79,662.98 b,660.84,662.7,663.47,664.04,662.38,653.69,617.45 b,625.38,640.17,629.49
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Portugal,337.21,340.61,339.27,331.91,336.84,339.33,339.34,344.32,350.88,349.8,351.53,347.84 p
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Romania,650.05,659.6,667.31,671.15,679.12,684.0,689.16,696.78,705.75,712.12,720.56,727.71
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Serbia,542.93 d,544.11 d,549.91 d,552.48 d,558.02 d,559.03 d,560.86 d,564.25 d,568.97 d,570.17 d,576.57 d,584.02 d
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Sweden,270.04,265.67 b,259.3,253.79,243.94,233.89,221.19,213.33,207.03,204.61,200.23,189.93
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Slovenia,462.43,454.46,455.2,453.74,451.41,448.71,449.77,442.79,443.21,427.79,424.94,412.11
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Slovakia,605.05,591.08,580.34,578.52,574.73,578.4,582.05,569.62 b,576.11,568.18,567.46,569.13
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Türkiye,262.05,266.14,265.31,267.99,268.03,274.69,281.23,284.88,287.61,301.23,302.44,308.53
