Time frequency,Unit of measure,Age class,Sex,Income and living conditions indicator,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),European Union - 28 countries (2013-2020),5.7,5.8,6.3,6.3,6.4,6.0,6.0,:,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Finland,2.6,2.2,2.5,2.3,2.2,1.9,2.1,2.0,1.7,1.7,2.2,2.1
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),France,3.2,3.1,2.9,2.8,3.1,2.9,2.5,3.1,3.9 b,3.6,4.1 b,4.4
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Croatia,9.0,8.2,8.2,7.9,8.5,8.1,8.3,7.2,7.3,7.6,6.9,8.0 b
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Hungary,3.8,4.3,4.5,4.5,4.4,4.6,5.0,5.3,5.7,5.2,4.1,5.9
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Ireland,5.1,4.2,4.6,3.3,3.4,3.1,2.7,2.3 b,2.1 b,2.1,2.0,1.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Iceland,3.0,2.9,2.1,2.3,2.1,2.7,2.1,3.1,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Italy,7.9,8.5,8.7,9.0,9.8,8.8,9.4,9.2,8.7,8.7,7.9,6.9
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Lithuania,6.5,6.7,6.9,7.8,8.3,9.1,9.3,7.8,7.1,6.9,7.2,7.4
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Luxembourg,2.8,3.5,4.0,3.9,5.3 b,4.7,6.3,6.3,4.9 b,4.3 b,5.1 b,4.0
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Latvia,8.2,8.1,7.9,8.9,8.1,8.2,9.4,9.5,9.0,9.0,8.7,9.1
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Montenegro,:,16.2,11.9,13.5,12.9,11.9,12.4,12.2,9.8,9.6,8.9,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),North Macedonia,15.5,13.8,12.1,10.7,10.8,12.4,12.2,10.3,11.5,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Malta,2.8,3.2,2.4,3.2,3.0,2.8,3.5,3.0,3.8,4.6,3.6,5.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Netherlands,2.4,2.5,2.8,3.0,3.4 b,3.6,3.7,3.5,3.4,3.8,4.6,3.5
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Norway,3.4,3.4,3.9,4.0,4.1,4.4,4.5,4.4,4.2,4.4 b,3.4,3.6 b
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Poland,5.5,5.8,5.8,6.3,6.1,5.2,5.1,5.2,4.4,4.6,4.5,4.2
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Portugal,6.5,8.1,8.6,8.5,7.3,7.5,6.0,5.9,5.8,7.5,5.8,6.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Romania,10.5,11.5,13.1,14.5,13.5,12.1,12.6,11.8,11.2,12.4,10.3,11.5
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Serbia,:,13.3,13.7,14.6,14.5,14.4,13.7,11.2,9.3,9.2,8.2,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Sweden,4.8,5.1,5.0,4.8,5.1,4.6,4.4,5.7,5.1,4.5,5.6,5.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Slovenia,3.3,3.7,4.1,3.9,4.0,3.3,3.0,2.7,2.3,2.2,2.9,2.9
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Slovakia,4.3,4.9,5.1,5.7,5.5,5.3,3.3,4.7,4.1,3.4,3.7,6.9
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Türkiye,11.0,9.5,9.7,9.3,8.9,8.6,8.3,9.1,9.5,8.9,7.9,6.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),United Kingdom,4.9,4.4,5.0,4.8,5.6,5.1 b,6.3,:,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Albania,:,:,:,:,:,17.5,17.3,16.2,14.4,15.0,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Austria,8.4,8.6,8.2,8.3,8.1,8.8,8.8,8.6,8.8,9.1,9.4,9.0
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Belgium,8.3,8.3,8.6,7.8,8.6,8.3,9.0,7.3 b,6.9,5.9,7.2,5.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Bulgaria,15.1,15.1,15.9,15.5,16.5 b,16.0,15.4,16.3,16.8,14.6,15.5,12.4
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Switzerland,9.6,8.1,7.8,8.9,8.9,9.7,8.7,9.6,9.6,9.6,9.5,10.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Cyprus,8.0,8.1,7.8,9.0,8.3,7.1,8.4,7.0,7.3,6.5,6.6,6.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Czechia,5.1,4.3,5.2,5.3,5.3,4.5,4.4,4.3,4.4,4.3,5.4,5.4
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Germany,9.6,9.4,10.5,10.2,9.7,9.4,9.8,9.0,10.2 b,9.9,8.5,8.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Denmark,6.6,6.9,6.6,7.1,6.8,7.2,6.8,6.7,6.6 b,6.9,6.9,6.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Euro area - 19 countries  (2015-2022),10.2,10.2,10.7,10.7,10.8,10.5,10.4,10.0,10.6 b,10.6,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Euro area – 20 countries (from 2023),:,:,10.8,10.8,10.8,10.6,10.5,10.0,10.7 b,10.7,10.2,9.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Estonia,10.9,10.8,13.0,12.5,13.1,13.0,13.9,13.9,12.7,12.2,15.3,14.7
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Greece,16.0,16.6,15.8,15.0,15.3,14.5,12.9,12.3,11.8,13.3,11.9,11.6
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Spain,14.4,13.9,15.9,15.9,15.5,15.7,14.6,13.6,14.6,15.1,13.7,13.1
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),European Union - 27 countries (2007-2013),10.2,10.2,10.8,10.8,10.9,10.4,10.5,:,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),European Union - 27 countries (from 2020),10.4 e,10.4,11.0,11.0,11.0,10.6,10.4,10.2,10.5 b,10.6,10.1,9.9
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),European Union - 28 countries (2013-2020),10.2,10.2,10.8,10.8,10.9,10.5,10.6,:,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Finland,6.0,5.4,5.5,5.3,4.9,4.9,5.4,5.4,5.1,4.0,5.6,5.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),France,6.9,6.9,6.7,6.5,6.8,6.6,6.7,6.7,8.4 b,8.1,9.1 b,8.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Croatia,14.1,13.5,13.4,13.5,13.5,13.4,13.6,12.2,12.5,12.7,12.2,13.0 b
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Hungary,8.4,9.2,9.2,9.0,7.8,6.7,8.0,8.6,7.2,8.7,6.4,8.6
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Ireland,9.6,8.1,9.1,8.6,9.1,8.2,7.1,6.2 b,5.9 b,5.8,6.7,5.5
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Iceland,4.8,4.9,3.9,4.9,4.0,5.2,4.5,5.6,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Italy,12.4,12.8,12.7,13.4,14.2,13.4,13.6,13.8,13.4,13.2,13.0,11.9
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Lithuania,11.3,13.1,11.3,14.4,15.9,16.1,15.8,13.7,12.9,12.4,12.8,13.0
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Luxembourg,7.1,8.4,8.1,8.2,9.7 b,10.1,10.6,11.0,9.2 b,10.6 b,8.9 b,10.9
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Latvia,13.5,12.9,13.2,14.7,14.4,15.4,16.3,16.2,15.0,16.2,15.8,15.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Montenegro,:,21.9,17.4,19.9,18.7,17.2,19.0,17.8,15.8,14.7,14.5,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),North Macedonia,21.0,19.1,16.2,15.5,15.9,17.8,16.9,15.5,16.7,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Malta,7.4,8.7,8.3,8.6,7.8,8.6,8.7,8.7,8.3,8.9,8.4,11.1
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Netherlands,5.2,5.2,5.9,5.8,6.6 b,6.9,7.0,6.7,7.0,7.8,7.8,6.6
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Norway,5.5,5.5,6.2,6.5,6.9,7.1,7.4,7.0,7.2,7.4 b,6.8,6.5 b
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Poland,10.5,10.8,10.7,10.7,11.1,9.5,9.0,9.4,8.8,8.4,8.1,8.5
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Portugal,11.4,12.6,13.8,13.8,13.0,12.3,10.8,10.5,10.3,12.4,10.0,10.5
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Romania,16.5,16.7,19.1,19.8,19.2,17.6,17.2,17.6,16.4,17.7,14.8,17.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Serbia,:,18.4,19.1,20.4,20.0,19.8,18.0,16.8,14.1,14.7,13.1,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Sweden,8.7,9.1,9.2,9.3,9.4,9.3,9.5,10.2,9.2,9.0,9.3,10.0
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Slovenia,7.4,8.5,9.1,8.4,8.2,7.6,6.9,6.3,6.3,6.0,6.2,6.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Slovakia,7.8,7.8,8.4,8.4,8.1,7.8,6.3,7.5,7.3,9.7,7.2,10.1
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),Türkiye,17.1,16.3,16.0,15.5,15.5,14.9,14.8,15.2,15.9,15.1,14.8,13.6
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 50% of median equivalised income),United Kingdom,9.2,9.0,9.5,9.7,9.9,9.7 b,11.3,:,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Albania,:,:,:,:,:,23.7,23.4,23.0,21.8,22.0,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Austria,14.4,14.4,14.1,13.9,14.1,14.4,14.3,13.3,13.9,14.7,14.8,14.9
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Belgium,15.3,15.1,15.5,14.9,15.5,15.9,16.4,14.8 b,14.1,12.7,13.2,12.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Bulgaria,21.2,21.0,21.8,22.0,22.9 b,23.4,22.0,22.6,23.8,22.1,22.9,20.6
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Switzerland,15.9,14.5,13.8,15.6,14.7,15.5,14.6,16.0,15.5,14.7,15.8,16.4
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Cyprus,14.7,15.3,14.4,16.2,16.1,15.7,15.4,14.7,14.3,13.8,13.9,13.9
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Czechia,9.6,8.6,9.7,9.7,9.7,9.1,9.6,10.1,9.5,8.6,10.2,9.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Germany,16.1,16.1,16.7,16.7,16.5,16.1,16.0,14.8,16.1 b,16.0,14.8,14.4
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Denmark,12.0,11.9,12.1,12.2,11.9,12.4,12.7,12.5,12.1 b,12.3,12.4,11.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Euro area - 19 countries  (2015-2022),16.9,16.7,17.2,17.2,17.4,17.0,17.0,16.4,16.8 b,17.0,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Euro area – 20 countries (from 2023),:,:,17.2,17.3,17.4,17.1,17.0,16.4,16.8 b,17.0,16.8,16.4
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Estonia,17.5,18.6,21.8,21.6,21.7,21.0,21.9,21.7,20.7,20.6,22.8,22.5
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Greece,23.1,23.1,22.1,21.4,21.2,20.2,18.5,17.9,17.7,19.6,18.8,18.9
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Spain,20.8,20.4,22.2,22.1,22.3,21.6,21.5,20.7,21.0,21.7,20.4,20.2
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),European Union - 27 countries (2007-2013),16.8,16.7,17.2,17.3,17.3,16.9,17.0,:,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),European Union - 27 countries (from 2020),16.9 e,16.8,17.3,17.4,17.5,16.9,16.8,16.5,16.7 b,16.8,16.5,16.2
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),European Union - 28 countries (2013-2020),16.8,16.7,17.2,17.3,17.3,16.9,17.1,:,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Finland,13.2,11.8,12.8,12.4,11.6,11.5,12.0,11.6,12.2,10.8,12.7,12.2
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),France,14.1,13.7,13.3,13.6,13.6,13.2,13.4,13.6,14.2 b,14.3,15.6 b,15.4
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Croatia,20.4,19.5,19.4,20.0,19.5,20.0,19.3,18.3,18.3,19.2,18.0,19.3 b
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Hungary,14.3,15.0,15.0,14.9,14.5,13.4,12.8,12.3,12.3,12.6,12.1,13.1
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Ireland,16.3,15.7,16.8,16.2,16.8,15.6,14.9,13.4 b,12.8 b,12.8,13.4,12.0
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Iceland,7.9,9.3,7.9,9.2,8.8,10.1,8.8,9.3,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Italy,19.5,19.3,19.4,19.9,20.6,20.3,20.3,20.1,20.0,20.1,20.1,18.9
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Lithuania,18.6,20.6,19.1,22.2,21.9,22.9,22.9,20.6,20.9,20.0,20.9,20.6
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Luxembourg,15.1,15.9,16.4,15.3,15.8 b,16.4,16.7,17.5,17.4 b,18.1 b,17.3 b,18.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Latvia,19.2,19.4,21.2,22.5,21.8,22.1,23.3,22.9,21.6,23.4,22.5,22.5
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Montenegro,:,25.2,24.1,24.4,24.0,23.6,23.8,24.5,22.6,21.2,20.3,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),North Macedonia,26.2,24.2,22.1,21.5,21.9,22.2,21.9,21.6,21.8,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Malta,15.1,15.8,15.8,16.6,16.5,16.7,16.8,17.1,16.9,16.9,16.7,16.6
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Netherlands,10.1,10.4,11.6,11.6,12.7 b,13.2,13.3,13.2,13.4,14.4,14.5,13.0
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Norway,10.0,10.9,10.9,11.9,12.2,12.3,12.9,12.7,12.7,12.6 b,12.2,11.5 b
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Poland,17.1,17.3,17.0,17.6,17.3,15.0,14.8,15.4,14.8,14.8,13.7,14.0
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Portugal,17.9,18.7,19.5,19.5,19.0,18.3,17.3,17.2,16.2,18.4,16.4,17.0
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Romania,22.9,23.0,25.1,25.4,25.3,23.6,23.5,23.8,23.4,22.5,21.2,21.1
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Serbia,:,24.5,25.0,26.7,25.9,25.7,24.3,23.2,21.7,21.2,20.0,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Sweden,15.2,16.0,15.6,16.3,16.2,15.8,16.4,17.1,16.1,15.7,16.0,16.1
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Slovenia,13.5,14.5,14.5,14.3,13.9,13.3,13.3,12.0,12.4,11.7,12.1,12.7
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Slovakia,13.2,12.8,12.6,12.3,12.7,12.4,12.2,11.9,11.4,12.3,13.7,14.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Türkiye,23.7,23.1,23.0,22.5,22.8,22.2,22.2,22.4,23.0,22.4,22.4,20.7
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),United Kingdom,16.0,15.9,16.8,16.6,15.9,17.0 b,18.6,:,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Albania,:,:,:,:,:,30.4,30.4,29.4,28.2,28.5,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Austria,21.6,21.5,21.2,21.8,22.9,21.8,22.3,22.0,21.6,21.6,22.6,21.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Belgium,24.3,24.3,24.9,23.8,24.6,25.4,25.6,24.2 b,23.8,22.4,22.7,22.7
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Bulgaria,28.3,27.6,28.0,28.8,29.6 b,30.1,29.2,30.1,30.9,29.7,30.4,29.4
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Switzerland,23.1,22.8,22.8,23.8,23.2,23.2,23.2,24.0,22.9,23.6,23.6,24.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Cyprus,23.9,24.2,24.2,25.6,24.9,24.8,25.2,24.4,23.5,22.5,24.6,22.6
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Czechia,16.6,15.8,17.0,17.1,16.9,16.9,17.1,18.1,18.0,16.3,18.2,17.5
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Germany,23.6,23.3,23.7,24.5,24.3,23.7,23.7,23.0,24.0 b,24.1,22.9,22.7
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Denmark,20.4,20.2,20.4,20.5,20.3,20.5,20.8,20.2,20.4 b,20.0,20.8,20.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Euro area - 19 countries  (2015-2022),24.6,24.6,24.7,25.0,25.2,24.6,24.7,24.2,24.6 b,24.8,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Euro area – 20 countries (from 2023),:,:,24.8,25.0,25.2,24.7,24.8,24.2,24.6 b,24.9,24.6,24.2
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Estonia,26.7,26.7,29.0,28.9,29.3,28.9,30.1,29.6,28.6,28.8,29.8,30.7
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Greece,30.4,31.4,28.9,27.9,28.1,26.5,26.4,25.3,25.6,26.7,26.2,25.1
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Spain,28.9,28.6,29.7,29.2,29.9,29.2,28.9,28.4,27.9,28.5,27.5,26.9
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),European Union - 27 countries (2007-2013),24.6,24.7,24.9,25.0,25.1,24.6,24.9,:,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),European Union - 27 countries (from 2020),24.6 e,24.6,24.8,25.0,25.2,24.5,24.6,24.3,24.5 b,24.7,24.2,24.0
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),European Union - 28 countries (2013-2020),24.6,24.7,24.9,25.0,25.1,24.7,24.9,:,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Finland,21.8,20.4,22.2,21.3,20.4,20.0,20.9,20.8,22.0,20.5,22.0,20.9
