Time frequency,Unit of measure,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Sex,Age class,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Sweden,18.47,24.55,19.84,17.67,20.84,18.76,14.81,17.36,15.52,17.08,16.22
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Slovenia,26.78,32.14,34.07,32.65,24.03,31.0,34.83,24.6,23.46,16.53,33.01
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Slovakia,20.07,19.43,22.96,18.68,15.99,10.11,11.61,14.89,8.58,8.95,9.79
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Türkiye,1.89,3.35,3.41,2.61,2.56,3.0,3.88,4.42,5.44,4.69,5.16
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,United Kingdom,11.41,11.64,12.66,11.62,11.83,11.72,12.32,12.93,:,:,:
Annual,Rate,Intentional self-harm,Total,85 years or over,Austria,39.97,40.21,41.2,50.97,43.36,49.36,46.45,48.36,44.66,41.76,46.07
Annual,Rate,Intentional self-harm,Total,85 years or over,Belgium,30.29,32.52,26.02,30.06,23.81,29.47,22.47,25.6,25.35,29.08,28.03
Annual,Rate,Intentional self-harm,Total,85 years or over,Bulgaria,38.95,46.93,30.24,34.08,37.12,40.07,43.4,28.18,29.33,24.74,28.71
Annual,Rate,Intentional self-harm,Total,85 years or over,Switzerland,33.57,28.88,35.99,31.95,33.04,23.5,26.12,30.91,32.3,28.24,26.92
Annual,Rate,Intentional self-harm,Total,85 years or over,Cyprus,9.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76
Annual,Rate,Intentional self-harm,Total,85 years or over,Czechia,29.21,40.04,32.65,30.82,24.82,20.83,31.78,28.67,25.83,28.4,26.98
Annual,Rate,Intentional self-harm,Total,85 years or over,Germany,34.02,33.29,34.52,34.34,34.51,33.16,32.53,34.56,32.07,35.32,36.83
Annual,Rate,Intentional self-harm,Total,85 years or over,Denmark,20.5,21.97,27.78,22.28,22.89,22.69,24.13,22.27,35.77,25.42,21.7
Annual,Rate,Intentional self-harm,Total,85 years or over,Estonia,13.18,40.69,49.1,46.07,30.16,35.02,48.7,53.16,28.94,39.52,33.2
Annual,Rate,Intentional self-harm,Total,85 years or over,Greece,6.28,7.01,6.2,9.54,8.68,7.64,10.5,13.97,10.49,10.99,7.73
Annual,Rate,Intentional self-harm,Total,85 years or over,Spain,15.62,17.04,15.71,20.83,17.88,17.12,17.93,17.3,15.82,19.6,18.29
Annual,Rate,Intentional self-harm,Total,85 years or over,European Union - 27 countries (from 2020),25.36,25.88,25.13,25.15,24.99,24.04,23.8,24.31,23.43,24.59,24.91
Annual,Rate,Intentional self-harm,Total,85 years or over,Finland,11.15,11.54,18.21,15.2,13.9,15.6,13.15,17.02,17.41,17.65,19.83
Annual,Rate,Intentional self-harm,Total,85 years or over,France,39.48,37.64,36.36,33.02,33.29,33.14,32.71,33.74,32.92,33.11,32.38
Annual,Rate,Intentional self-harm,Total,85 years or over,Croatia,43.72,47.76,38.15,45.79,53.97,47.54,35.8,34.31,47.13,39.19,48.2
Annual,Rate,Intentional self-harm,Total,85 years or over,Hungary,51.9,61.47,52.85,37.17,51.93,43.66,45.86,52.71,42.84,53.07,44.63
Annual,Rate,Intentional self-harm,Total,85 years or over,Ireland,1.7,6.67,3.27,1.58,0.0,1.46,5.59,2.67,1.27,1.21,0.0
Annual,Rate,Intentional self-harm,Total,85 years or over,Iceland,0.0,19.01,0.0,35.3,0.0,0.0,0.0,31.52,0.0,0.0,0.0
Annual,Rate,Intentional self-harm,Total,85 years or over,Italy,12.88,13.14,12.37,14.71,12.74,12.67,12.69,12.52,12.49,13.53,13.88
Annual,Rate,Intentional self-harm,Total,85 years or over,Liechtenstein,181.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Rate,Intentional self-harm,Total,85 years or over,Lithuania,55.78,43.37,61.19,45.16,41.82,37.43,40.58,45.0,42.5,33.58,32.51
Annual,Rate,Intentional self-harm,Total,85 years or over,Luxembourg,36.76,0.0,32.0,10.02,18.87,8.99,17.3,25.25,32.96,16.26,16.04
Annual,Rate,Intentional self-harm,Total,85 years or over,Latvia,41.07,30.19,25.76,34.18,49.03,36.01,41.65,12.91,17.07,25.33,25.08
Annual,Rate,Intentional self-harm,Total,85 years or over,Malta,0.0,15.01,0.0,41.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Rate,Intentional self-harm,Total,85 years or over,Netherlands,11.86,13.08,17.3,12.67,14.32,18.16,15.28,16.59,15.73,14.18,14.52
Annual,Rate,Intentional self-harm,Total,85 years or over,Norway,11.51,13.21,6.14,9.59,17.34,13.79,10.28,14.54,12.83,7.68,11.03
Annual,Rate,Intentional self-harm,Total,85 years or over,Poland,14.32,14.89,16.04,12.28,14.35,15.66,9.81,11.97,14.42,12.69,14.9
Annual,Rate,Intentional self-harm,Total,85 years or over,Portugal,29.41,35.31,24.52,29.52,38.88,25.04,27.78,22.7,29.07,25.91,25.32
Annual,Rate,Intentional self-harm,Total,85 years or over,Romania,17.13,14.62,17.35,15.6,21.97,14.6,12.04,14.98,12.14,11.78,14.77
Annual,Rate,Intentional self-harm,Total,85 years or over,Serbia,53.72,57.61,52.16,55.31,61.71,47.46,53.34,61.03,50.58,43.82,44.61
Annual,Rate,Intentional self-harm,Total,85 years or over,Sweden,12.29,21.33,21.65,20.72,20.58,16.21,24.98,21.49,16.8,18.25,22.21
Annual,Rate,Intentional self-harm,Total,85 years or over,Slovenia,51.09,39.94,37.54,30.75,49.13,44.46,56.75,42.86,52.63,62.55,65.11
Annual,Rate,Intentional self-harm,Total,85 years or over,Slovakia,16.36,14.15,15.11,15.91,12.48,5.34,6.43,14.97,13.35,14.23,12.19
Annual,Rate,Intentional self-harm,Total,85 years or over,Türkiye,4.4,4.16,5.2,5.02,5.43,6.01,6.13,7.96,7.73,9.77,7.73
Annual,Rate,Intentional self-harm,Total,85 years or over,United Kingdom,5.33,7.8,7.85,6.94,7.58,6.66,8.23,7.74,:,:,:
