Time frequency,Age class,Sex,Work intensity,Income and living conditions indicator,Type of household,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Spain,:,61.7,63.6,66.4,63.3,60.2,63.4,63.5,62.1,65.2
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,European Union - 27 countries (from 2020),:,64.2,65.2,65.5,66.8,65.7,64.4,62.2,61.8,62.9
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,European Union - 28 countries (2013-2020),:,62.1,63.3,63.9,65.5,65.7,:,:,:,:
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Finland,:,52.3,50.6,54.1,54.4,63.3,65.3,51.7,59.5 b,63.3
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,France,:,65.0,58.9,63.5,65.0,62.6,67.4 b,66.4,68.1 b,66.0
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Croatia,74.6,76.5,76.9,75.7,81.6,78.4,76.6,80.6,81.4,77.0 b
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Hungary,:,63.1,59.6,46.1,65.7,61.4,69.8,62.6,67.3,56.7
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Ireland,:,55.9,64.0,61.6,60.9,51.8 b,49.6 b,47.0,49.4,39.9
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Iceland,:,36.2,32.5,33.8,36.6,40.7,:,:,:,:
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Italy,:,60.9,64.6,61.0,63.2,69.6,68.0,64.2,60.7,65.9
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Lithuania,:,75.4,78.1,81.6,82.6,78.3,85.4,76.7,77.6,80.1
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Luxembourg,:,46.7,49.2 b,52.7,51.9,56.3,59.8 b,44.6 b,46.4 b,52.8
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Latvia,:,79.9,79.0,82.6,80.2,78.8,80.6,79.9,79.0,77.4
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Montenegro,:,72.0,67.7,66.1,68.5,74.5,65.8,64.3,61.2,:
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,North Macedonia,:,65.9,71.7,70.2,72.4,78.1,79.0,:,:,:
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Malta,:,69.7,69.6,73.6,79.4,71.1,75.0,71.7,73.3,73.5
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Netherlands,:,49.9,60.0 b,60.6,61.4,63.3,69.3,76.0,78.4,68.7
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Norway,:,59.3,56.8,58.3,60.3,63.3,55.2,54.0 b,50.9,50.2 b
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Poland,:,64.8,68.5,64.2,63.5,65.3,62.1,63.6,59.7,58.9
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Portugal,:,62.9,58.8,62.7,67.9,62.4,58.6,64.2 b,62.0,73.3
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Romania,:,74.0,77.3,70.3,84.5,84.3,84.2,73.7,75.0,82.8
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Serbia,:,73.9,73.3,74.2,78.1,75.5,70.8,73.9,76.4,:
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Sweden,:,72.5,75.5,81.2,85.6,84.6,79.9,79.4,73.0,79.7
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Slovenia,:,75.2,74.3,71.5,70.4,73.8,71.0,72.0,75.3,81.9
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Slovakia,:,73.3,77.2,79.6,79.6,77.5,76.5,74.7,82.6,80.2
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Türkiye,:,49.5,50.0,49.6,46.6,46.6,51.1,49.8,47.9,47.3
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,United Kingdom,:,49.4,51.9,54.2 b,57.1,:,:,:,:,:
