Time frequency,Unit of measure,ind_outp,geo\TIME_PERIOD,1995.0
Annual,Euro,1250.0,EL,91274.0
Annual,Euro,1250.0,ES,173757.0
Annual,Euro,1250.0,IT,616627.0
Annual,Euro,1250.0,PT,82973.0
Annual,Euro,1300.0,AT,6302.0
Annual,Euro,1300.0,BE,2421.0
Annual,Euro,1300.0,DK,26684.0
Annual,Euro,1300.0,EL,56907.0
Annual,Euro,1300.0,ES,131043.0
Annual,Euro,1300.0,FI,2581.0
Annual,Euro,1300.0,FR,11941.6
Annual,Euro,1300.0,IT,76739.0
Annual,Euro,1300.0,LU,436.7
Annual,Euro,1300.0,NL,23556.0
Annual,Euro,1300.0,PT,6006.0
Annual,Euro,1300.0,UK,229316.0
Annual,Euro,1350.0,AT,172766.0
Annual,Euro,1350.0,BE,571405.0
Annual,Euro,1350.0,DE,2054930.2
Annual,Euro,1350.0,DK,219671.0
Annual,Euro,1350.0,EL,405302.0
Annual,Euro,1350.0,ES,1451475.0
Annual,Euro,1350.0,FI,105391.0
Annual,Euro,1350.0,FR,2010817.6
Annual,Euro,1350.0,IE,166523.0
Annual,Euro,1350.0,IT,1336367.0
Annual,Euro,1350.0,LU,3861.9
Annual,Euro,1350.0,NL,822667.0
Annual,Euro,1350.0,PT,218125.0
Annual,Euro,1350.0,SE,205263.0
Annual,Euro,1350.0,UK,1146737.0
Annual,Euro,1360.0,AT,48379.0
Annual,Euro,1360.0,BE,247221.0
Annual,Euro,1360.0,DE,904997.7
Annual,Euro,1360.0,DK,49836.0
Annual,Euro,1360.0,EL,244645.0
Annual,Euro,1360.0,ES,928190.0
Annual,Euro,1360.0,FI,43611.0
Annual,Euro,1360.0,FR,816521.5
Annual,Euro,1360.0,IE,80903.0
Annual,Euro,1360.0,IT,659163.0
Annual,Euro,1360.0,LU,3861.9
Annual,Euro,1360.0,NL,414667.0
Annual,Euro,1360.0,PT,196883.0
Annual,Euro,1360.0,SE,101089.0
Annual,Euro,1360.0,UK,723707.0
Annual,Euro,1362.0,BE,70862.0
Annual,Euro,1362.0,ES,35517.0
Annual,Euro,1362.0,FR,72632.8
Annual,Euro,1362.0,IT,201448.0
Annual,Euro,1362.0,PT,9848.0
Annual,Euro,1362.0,UK,56124.0
Annual,Euro,1363.0,AT,48379.0
Annual,Euro,1363.0,BE,176359.0
Annual,Euro,1363.0,ES,892674.0
Annual,Euro,1363.0,FI,43611.0
Annual,Euro,1363.0,FR,743888.7
Annual,Euro,1363.0,IE,80903.0
Annual,Euro,1363.0,IT,457716.0
Annual,Euro,1363.0,LU,3861.9
Annual,Euro,1363.0,PT,187035.0
Annual,Euro,1363.0,UK,667583.0
Annual,Euro,1372.0,AT,124387.0
Annual,Euro,1372.0,BE,309483.0
Annual,Euro,1372.0,DE,1009455.2
Annual,Euro,1372.0,DK,105647.0
Annual,Euro,1372.0,EL,160658.0
Annual,Euro,1372.0,ES,506803.0
Annual,Euro,1372.0,FI,48702.0
Annual,Euro,1372.0,FR,1125316.1
Annual,Euro,1372.0,IE,85620.0
Annual,Euro,1372.0,IT,677203.0
Annual,Euro,1372.0,NL,308444.0
Annual,Euro,1372.0,PT,18720.0
Annual,Euro,1372.0,SE,92105.0
Annual,Euro,1372.0,UK,423030.0
Annual,Euro,1380.0,BE,14702.0
Annual,Euro,1380.0,DE,140477.3
Annual,Euro,1380.0,DK,64189.0
Annual,Euro,1380.0,ES,16481.0
Annual,Euro,1380.0,FI,13078.0
Annual,Euro,1380.0,FR,68980.1
Annual,Euro,1380.0,NL,99556.0
Annual,Euro,1380.0,PT,2530.0
Annual,Euro,1380.0,SE,12069.0
Annual,Euro,1410.0,AT,17645.0
Annual,Euro,1410.0,BE,2965.0
Annual,Euro,1410.0,DE,422782.5
Annual,Euro,1410.0,DK,49846.0
Annual,Euro,1410.0,EL,16899.0
Annual,Euro,1410.0,ES,241009.0
Annual,Euro,1410.0,FI,18140.0
Annual,Euro,1410.0,FR,856982.3
Annual,Euro,1410.0,IT,310903.0
Annual,Euro,1410.0,LU,1122.7
Annual,Euro,1410.0,NL,6222.0
Annual,Euro,1410.0,PT,7119.0
Annual,Euro,1410.0,SE,33993.0
Annual,Euro,1410.0,UK,609593.0
Annual,Euro,1490.0,EL,645491.0
Annual,Euro,1490.0,ES,69949.0
Annual,Euro,1550.0,BE,985.0
Annual,Euro,1550.0,DE,26114.4
Annual,Euro,1550.0,EL,107227.0
Annual,Euro,1550.0,ES,2059.0
Annual,Euro,1550.0,FR,108878.9
Annual,Euro,1550.0,IT,366258.0
Annual,Euro,1550.0,PT,3117.0
Annual,Euro,1600.0,AT,103452.0
Annual,Euro,1600.0,BE,599855.0
Annual,Euro,1600.0,DE,744259.3
Annual,Euro,1600.0,DK,87464.0
Annual,Euro,1600.0,EL,1253844.0
Annual,Euro,1600.0,ES,3939182.0
Annual,Euro,1600.0,FI,116828.0
Annual,Euro,1600.0,FR,2651025.6
Annual,Euro,1600.0,IE,155374.0
Annual,Euro,1600.0,IT,5031606.0
Annual,Euro,1600.0,LU,1623.5
Annual,Euro,1600.0,NL,1759556.0
Annual,Euro,1600.0,PT,679733.0
Annual,Euro,1600.0,SE,104764.0
Annual,Euro,1600.0,UK,1598063.0
Annual,Euro,1620.0,BE,43703.0
Annual,Euro,1620.0,DE,61638.9
Annual,Euro,1620.0,DK,5955.0
Annual,Euro,1620.0,EL,40695.0
Annual,Euro,1620.0,ES,82722.0
Annual,Euro,1620.0,FR,137117.2
Annual,Euro,1620.0,IE,4002.0
Annual,Euro,1620.0,IT,241756.0
Annual,Euro,1620.0,NL,38222.0
Annual,Euro,1620.0,PT,13971.0
Annual,Euro,1620.0,SE,2931.0
Annual,Euro,1620.0,UK,107118.0
Annual,Euro,1630.0,AT,14120.0
Annual,Euro,1630.0,BE,18763.0
Annual,Euro,1630.0,DE,97883.8
Annual,Euro,1630.0,DK,2136.0
Annual,Euro,1630.0,EL,53538.0
Annual,Euro,1630.0,ES,43778.0
Annual,Euro,1630.0,FI,5918.0
Annual,Euro,1630.0,FR,46501.8
Annual,Euro,1630.0,IE,7576.0
Annual,Euro,1630.0,IT,222693.0
Annual,Euro,1630.0,LU,49.8
Annual,Euro,1630.0,NL,79556.0
Annual,Euro,1630.0,PT,63460.0
Annual,Euro,1630.0,SE,3285.0
Annual,Euro,1630.0,UK,138989.0
Annual,Euro,1680.0,AT,15296.0
Annual,Euro,1680.0,BE,44747.0
Annual,Euro,1680.0,DE,77172.4
Annual,Euro,1680.0,DK,10678.0
Annual,Euro,1680.0,EL,40027.0
Annual,Euro,1680.0,ES,299875.0
Annual,Euro,1680.0,FI,20180.0
Annual,Euro,1680.0,FR,251756.1
Annual,Euro,1680.0,IE,8290.0
Annual,Euro,1680.0,IT,273058.0
Annual,Euro,1680.0,LU,135.2
Annual,Euro,1680.0,NL,65778.0
Annual,Euro,1680.0,PT,52957.0
Annual,Euro,1680.0,SE,10581.0
Annual,Euro,1680.0,UK,195579.0
Annual,Euro,1690.0,DE,2386.3
Annual,Euro,1690.0,EL,25180.0
Annual,Euro,1690.0,ES,18543.0
Annual,Euro,1690.0,FR,21635.3
Annual,Euro,1690.0,IT,69397.0
Annual,Euro,1690.0,PT,8678.0
Annual,Euro,1750.0,AT,10590.0
Annual,Euro,1750.0,BE,166891.0
Annual,Euro,1750.0,DE,21341.7
Annual,Euro,1750.0,DK,32854.0
Annual,Euro,1750.0,EL,523615.0
Annual,Euro,1750.0,ES,1243072.0
Annual,Euro,1750.0,FI,34056.0
Annual,Euro,1750.0,FR,357122.8
Annual,Euro,1750.0,IE,6575.0
Annual,Euro,1750.0,IT,900735.0
Annual,Euro,1750.0,LU,57.0
Annual,Euro,1750.0,NL,364000.0
Annual,Euro,1750.0,PT,209520.0
Annual,Euro,1750.0,SE,23884.0
Annual,Euro,1750.0,UK,143964.0
Annual,Euro,1761.0,AT,14120.0
Annual,Euro,1761.0,BE,15509.0
Annual,Euro,1761.0,DE,50472.8
Annual,Euro,1761.0,DK,19897.0
Annual,Euro,1761.0,EL,88126.0
Annual,Euro,1761.0,ES,151138.0
Annual,Euro,1761.0,FI,28038.0
Annual,Euro,1761.0,FR,99466.1
Annual,Euro,1761.0,NL,258667.0
Annual,Euro,1761.0,PT,29642.0
Annual,Euro,1761.0,SE,18058.0
Annual,Euro,1761.0,UK,81777.0
Annual,Euro,1799.0,EL,49685.0
Annual,Euro,1830.0,AT,5883.0
Annual,Euro,1830.0,BE,9855.0
Annual,Euro,1830.0,DE,56506.1
Annual,Euro,1830.0,DK,11591.0
Annual,Euro,1830.0,EL,16561.0
Annual,Euro,1830.0,ES,51890.0
Annual,Euro,1830.0,FI,18126.0
Annual,Euro,1830.0,FR,114217.5
Annual,Euro,1830.0,IE,7576.0
Annual,Euro,1830.0,IT,243224.0
Annual,Euro,1830.0,LU,109.2
Annual,Euro,1830.0,NL,29778.0
Annual,Euro,1830.0,PT,42210.0
Annual,Euro,1830.0,SE,18049.0
Annual,Euro,1830.0,UK,159045.0
Annual,Euro,1851.0,AT,12851.0
Annual,Euro,1851.0,BE,4007.0
Annual,Euro,1851.0,DE,19135.5
Annual,Euro,1851.0,DK,4353.0
Annual,Euro,1851.0,EL,73780.0
Annual,Euro,1851.0,ES,135845.0
Annual,Euro,1851.0,FI,6817.0
Annual,Euro,1851.0,FR,54509.7
Annual,Euro,1851.0,IE,2383.0
Annual,Euro,1851.0,IT,278222.0
Annual,Euro,1851.0,NL,60444.0
Annual,Euro,1851.0,PT,36212.0
Annual,Euro,1851.0,SE,2931.0
Annual,Euro,1851.0,UK,94680.0
Annual,Euro,1890.0,AT,8236.0
Annual,Euro,1890.0,DE,990.5
Annual,Euro,1890.0,EL,6145.0
Annual,Euro,1890.0,ES,30339.0
Annual,Euro,1890.0,IT,149381.0
Annual,Euro,1890.0,PT,33445.0
Annual,Euro,1890.0,SE,4319.0
Annual,Euro,1890.0,UK,91882.0
Annual,Euro,1901.0,AT,4707.0
Annual,Euro,1901.0,BE,15360.0
Annual,Euro,1901.0,DE,10941.0
Annual,Euro,1901.0,EL,67904.0
Annual,Euro,1901.0,ES,204405.0
Annual,Euro,1901.0,FR,59286.3
Annual,Euro,1901.0,IT,226824.0
Annual,Euro,1901.0,PT,54482.0
Annual,Euro,1901.0,UK,31405.0
Annual,Euro,1980.0,AT,22356.0
Annual,Euro,1980.0,BE,281021.0
Annual,Euro,1980.0,DE,345790.2
Annual,Euro,1980.0,EL,318273.0
Annual,Euro,1980.0,ES,1677575.0
Annual,Euro,1980.0,FI,3694.0
Annual,Euro,1980.0,FR,1509412.8
Annual,Euro,1980.0,IE,121355.0
Annual,Euro,1980.0,IT,2426314.0
Annual,Euro,1980.0,LU,1272.3
Annual,Euro,1980.0,NL,863111.0
Annual,Euro,1980.0,PT,47759.0
Annual,Euro,1980.0,SE,20726.0
Annual,Euro,1980.0,UK,553624.0
Annual,Euro,2003.0,AT,102504.0
Annual,Euro,2003.0,BE,344880.0
Annual,Euro,2003.0,DE,696983.3
Annual,Euro,2003.0,DK,22474.0
Annual,Euro,2003.0,EL,1526886.0
Annual,Euro,2003.0,ES,3779708.0
Annual,Euro,2003.0,FI,34298.0
Annual,Euro,2003.0,FR,1803877.5
Annual,Euro,2003.0,IE,19011.0
Annual,Euro,2003.0,IT,4578827.0
Annual,Euro,2003.0,LU,3619.7
Annual,Euro,2003.0,NL,291556.0
Annual,Euro,2003.0,PT,653575.0
Annual,Euro,2003.0,SE,26370.0
Annual,Euro,2003.0,UK,423030.0
Annual,Euro,2010.0,AT,98177.0
Annual,Euro,2010.0,BE,344880.0
Annual,Euro,2010.0,DE,696983.3
Annual,Euro,2010.0,DK,22474.0
Annual,Euro,2010.0,EL,1223502.0
Annual,Euro,2010.0,ES,3514509.0
Annual,Euro,2010.0,FI,34298.0
Annual,Euro,2010.0,FR,1754846.9
Annual,Euro,2010.0,IT,4339138.0
Annual,Euro,2010.0,LU,3619.7
Annual,Euro,2010.0,NL,291556.0
Annual,Euro,2010.0,PT,587088.0
Annual,Euro,2010.0,SE,26370.0
Annual,Euro,2010.0,UK,423030.0
Annual,Euro,2110.0,AT,49492.0
Annual,Euro,2110.0,BE,186392.0
Annual,Euro,2110.0,DE,350833.0
Annual,Euro,2110.0,DK,9651.0
Annual,Euro,2110.0,EL,141163.0
Annual,Euro,2110.0,ES,225958.0
Annual,Euro,2110.0,FI,2453.0
Annual,Euro,2110.0,FR,575583.0
Annual,Euro,2110.0,IT,836981.0
Annual,Euro,2110.0,LU,1799.2
Annual,Euro,2110.0,NL,186222.0
Annual,Euro,2110.0,PT,155076.0
Annual,Euro,2110.0,SE,7695.0
Annual,Euro,2110.0,UK,142410.0
Annual,Euro,2130.0,AT,7573.0
Annual,Euro,2130.0,BE,72763.0
Annual,Euro,2130.0,DE,14137.8
Annual,Euro,2130.0,DK,2834.0
Annual,Euro,2130.0,EL,78106.0
Annual,Euro,2130.0,ES,237220.0
Annual,Euro,2130.0,FR,113374.5
Annual,Euro,2130.0,IT,399182.0
Annual,Euro,2130.0,LU,282.5
Annual,Euro,2130.0,NL,52444.0
Annual,Euro,2130.0,PT,86517.0
Annual,Euro,2130.0,UK,28296.0
Annual,Euro,2160.0,AT,29211.0
Annual,Euro,2160.0,BE,7550.0
Annual,Euro,2160.0,DE,80954.5
Annual,Euro,2160.0,DK,5472.0
Annual,Euro,2160.0,EL,484095.0
Annual,Euro,2160.0,ES,820114.0
Annual,Euro,2160.0,FR,535543.7
Annual,Euro,2160.0,IT,1093854.0
Annual,Euro,2160.0,LU,491.3
Annual,Euro,2160.0,PT,134756.0
Annual,Euro,2160.0,UK,135569.0
Annual,Euro,2200.0,AT,6491.0
Annual,Euro,2200.0,BE,10233.0
Annual,Euro,2200.0,DE,83701.0
Annual,Euro,2200.0,DK,760.0
Annual,Euro,2200.0,EL,38479.0
Annual,Euro,2200.0,ES,126268.0
Annual,Euro,2200.0,FR,112531.6
Annual,Euro,2200.0,IT,196792.0
Annual,Euro,2200.0,LU,759.6
Annual,Euro,2200.0,PT,17165.0
Annual,Euro,2200.0,UK,2799.0
Annual,Euro,2210.0,AT,10819.0
Annual,Euro,2210.0,BE,1268.0
Annual,Euro,2210.0,DE,69878.4
Annual,Euro,2210.0,DK,1140.0
Annual,Euro,2210.0,ES,79273.0
Annual,Euro,2210.0,FR,83731.4
Annual,Euro,2210.0,IT,71456.0
Annual,Euro,2210.0,LU,216.0
Annual,Euro,2210.0,PT,12515.0
Annual,Euro,2210.0,UK,7929.0
Annual,Euro,2230.0,AT,4328.0
Annual,Euro,2230.0,EL,214267.0
Annual,Euro,2230.0,ES,256126.0
Annual,Euro,2230.0,IT,239689.0
Annual,Euro,2230.0,PT,66486.0
Annual,Euro,2260.0,AT,15146.0
Annual,Euro,2260.0,BE,66675.0
Annual,Euro,2260.0,DE,97478.6
Annual,Euro,2260.0,DK,2618.0
Annual,Euro,2260.0,EL,13404.0
Annual,Euro,2260.0,ES,264441.0
Annual,Euro,2260.0,FI,29663.0
Annual,Euro,2260.0,FR,201742.1
Annual,Euro,2260.0,IT,325702.0
Annual,Euro,2260.0,LU,71.2
Annual,Euro,2260.0,NL,52889.0
Annual,Euro,2260.0,PT,26197.0
Annual,Euro,2260.0,SE,17015.0
Annual,Euro,2260.0,UK,106029.0
Annual,Euro,2300.0,EL,359934.0
Annual,Euro,2300.0,ES,1558054.0
Annual,Euro,2300.0,FR,12222.5
Annual,Euro,2300.0,IT,1062265.0
Annual,Euro,2300.0,PT,121761.0
Annual,Euro,2300.0,SE,1661.0
Annual,Euro,2310.0,EL,260663.0
Annual,Euro,2310.0,ES,725848.0
Annual,Euro,2310.0,IT,575086.0
Annual,Euro,2310.0,PT,91280.0
Annual,Euro,2340.0,EL,42805.0
Annual,Euro,2340.0,ES,608572.0
Annual,Euro,2340.0,IT,67715.0
Annual,Euro,2340.0,PT,22073.0
Annual,Euro,2370.0,EL,56466.0
Annual,Euro,2370.0,ES,223634.0
Annual,Euro,2370.0,IT,289548.0
Annual,Euro,2370.0,PT,4527.0
Annual,Euro,2420.0,EL,108322.0
Annual,Euro,2420.0,ES,203180.0
Annual,Euro,2420.0,FR,120118.0
Annual,Euro,2420.0,IT,352907.0
Annual,Euro,2420.0,PT,33102.0
Annual,Euro,2480.0,EL,1254268.0
Annual,Euro,2480.0,ES,2234031.0
Annual,Euro,2480.0,IT,1857312.0
Annual,Euro,2480.0,PT,166631.0
Annual,Euro,2510.0,EL,89117.0
Annual,Euro,2510.0,ES,9074.0
Annual,Euro,2550.0,AT,4328.0
Annual,Euro,2550.0,EL,303384.0
Annual,Euro,2550.0,ES,265199.0
Annual,Euro,2550.0,FR,49030.6
Annual,Euro,2550.0,IT,239689.0
Annual,Euro,2550.0,PT,66486.0
Annual,Euro,2800.0,BE,378405.0
Annual,Euro,2800.0,DE,1657811.8
Annual,Euro,2800.0,DK,352772.0
Annual,Euro,2800.0,EL,103640.0
Annual,Euro,2800.0,ES,561762.0
Annual,Euro,2800.0,FI,98873.0
Annual,Euro,2800.0,FR,1776763.1
Annual,Euro,2800.0,IT,2721180.0
Annual,Euro,2800.0,NL,3580444.0
Annual,Euro,2800.0,PT,86723.0
Annual,Euro,2800.0,SE,107396.0
Annual,Euro,2800.0,UK,768793.0
Annual,Euro,3300.0,BE,26207.0
Annual,Euro,3300.0,DE,309320.1
Annual,Euro,3300.0,DK,61396.0
Annual,Euro,3300.0,EL,81299.0
Annual,Euro,3300.0,ES,138880.0
Annual,Euro,3300.0,FI,12849.0
Annual,Euro,3300.0,FR,270160.2
Annual,Euro,3300.0,IE,15009.0
Annual,Euro,3300.0,NL,861333.0
Annual,Euro,3300.0,UK,229472.0
Annual,Euro,3800.0,AT,201097.0
Annual,Euro,3800.0,DE,730301.7
Annual,Euro,3800.0,EL,233427.0
Annual,Euro,3800.0,ES,1645422.0
Annual,Euro,3800.0,FR,6735178.4
Annual,Euro,3800.0,IT,2930668.0
Annual,Euro,3800.0,LU,13873.7
Annual,Euro,3800.0,PT,1039977.0
Annual,Euro,3810.0,AT,28154.0
Annual,Euro,3810.0,DE,730301.7
Annual,Euro,3810.0,EL,187892.0
Annual,Euro,3810.0,ES,117028.0
Annual,Euro,3810.0,IT,978248.0
Annual,Euro,3810.0,LU,13873.7
Annual,Euro,3820.0,AT,172943.0
Annual,Euro,3820.0,EL,45535.0
Annual,Euro,3820.0,ES,1057816.0
Annual,Euro,3820.0,FR,6735178.4
Annual,Euro,3820.0,IT,1952420.0
Annual,Euro,3820.0,PT,1039977.0
Annual,Euro,3830.0,ES,558667.0
Annual,Euro,3830.0,FR,1231244.7
Annual,Euro,3830.0,IT,774764.0
Annual,Euro,3830.0,PT,388438.0
Annual,Euro,3900.0,ES,499149.0
Annual,Euro,3900.0,FR,5503933.7
Annual,Euro,3900.0,IT,1177657.0
Annual,Euro,3900.0,PT,651540.0
Annual,Euro,3992.0,AT,63018.0
Annual,Euro,3992.0,BE,49551.0
Annual,Euro,3992.0,DE,588473.7
Annual,Euro,3992.0,DK,155688.0
Annual,Euro,3992.0,EL,1198107.0
Annual,Euro,3992.0,ES,1116199.0
Annual,Euro,3992.0,FI,20722.0
Annual,Euro,3992.0,FR,1381146.4
Annual,Euro,3992.0,IE,46169.0
Annual,Euro,3992.0,IT,3716209.0
Annual,Euro,3992.0,LU,1559.5
Annual,Euro,3992.0,NL,731111.0
Annual,Euro,3992.0,PT,16723.0
Annual,Euro,3992.0,SE,104356.0
Annual,Euro,3992.0,UK,838909.0
Annual,Euro,3996.0,BE,43181.0
Annual,Euro,3996.0,DE,139576.8
Annual,Euro,3996.0,DK,79158.0
Annual,Euro,3996.0,EL,371584.0
Annual,Euro,3996.0,ES,744147.0
Annual,Euro,3996.0,FR,403343.6
Annual,Euro,3996.0,IT,2962310.0
Annual,Euro,3996.0,NL,701333.0
Annual,Euro,3996.0,PT,480.0
Annual,Euro,4000.0,AT,2033001.0
Annual,Euro,4000.0,BE,3653957.0
Annual,Euro,4000.0,DE,16133273.0
Annual,Euro,4000.0,DK,3373984.0
Annual,Euro,4000.0,EL,3175347.0
Annual,Euro,4000.0,ES,12376794.0
Annual,Euro,4000.0,FI,1458115.0
Annual,Euro,4000.0,FR,20443242.0
Annual,Euro,4000.0,IE,4153945.0
Annual,Euro,4000.0,IT,15102072.0
Annual,Euro,4000.0,LU,145703.8
Annual,Euro,4000.0,NL,8350667.0
Annual,Euro,4000.0,PT,2544596.0
Annual,Euro,4000.0,SE,1735299.0
Annual,Euro,4000.0,UK,12155631.0
Annual,Euro,4050.0,AT,1295807.0
Annual,Euro,4050.0,BE,2649236.0
Annual,Euro,4050.0,DE,8173795.6
Annual,Euro,4050.0,DK,2173604.0
Annual,Euro,4050.0,EL,1625009.0
Annual,Euro,4050.0,ES,9480014.0
Annual,Euro,4050.0,FI,505590.0
Annual,Euro,4050.0,FR,12613234.0
Annual,Euro,4050.0,IE,2434962.0
