Time frequency,Yield curve,Maturity,Geopolitical entity (reporting)\Time,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0
Annual,Par yield curve,Maturity: 21 years,European Union - 25 countries (2004-2006),:,:,:,:,4.893,:
Annual,Par yield curve,Maturity: 22 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.312,5.759,5.518,5.317,4.805 p,4.721 p
Annual,Par yield curve,Maturity: 22 years,European Union - 15 countries (1995-2004),5.312,5.759,5.517,5.316,4.805 p,4.721 p
Annual,Par yield curve,Maturity: 22 years,European Union - 25 countries (2004-2006),:,:,:,:,4.918,:
Annual,Par yield curve,Maturity: 23 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.337,5.769,5.534,5.324,4.826 p,4.743 p
Annual,Par yield curve,Maturity: 23 years,European Union - 15 countries (1995-2004),5.336,5.769,5.534,5.324,4.826 p,4.743 p
Annual,Par yield curve,Maturity: 23 years,European Union - 25 countries (2004-2006),:,:,:,:,4.939,:
Annual,Par yield curve,Maturity: 24 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.359,5.777,5.549,5.329,4.845 p,4.763 p
Annual,Par yield curve,Maturity: 24 years,European Union - 15 countries (1995-2004),5.359,5.777,5.549,5.329,4.845 p,4.763 p
Annual,Par yield curve,Maturity: 24 years,European Union - 25 countries (2004-2006),:,:,:,:,4.958,:
Annual,Par yield curve,Maturity: 25 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.379,5.784,5.563,5.332,4.861 p,4.781 p
Annual,Par yield curve,Maturity: 25 years,European Union - 15 countries (1995-2004),5.379,5.784,5.562,5.332,4.861 p,4.781 p
Annual,Par yield curve,Maturity: 25 years,European Union - 25 countries (2004-2006),:,:,:,:,4.974,:
Annual,Par yield curve,Maturity: 26 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.397,5.79,5.574,5.334,4.875 p,4.798 p
Annual,Par yield curve,Maturity: 26 years,European Union - 15 countries (1995-2004),5.397,5.79,5.574,5.334,4.875 p,4.798 p
Annual,Par yield curve,Maturity: 26 years,European Union - 25 countries (2004-2006),:,:,:,:,4.988,:
Annual,Par yield curve,Maturity: 27 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.413,5.795,5.584,5.335,4.887 p,4.813 p
Annual,Par yield curve,Maturity: 27 years,European Union - 15 countries (1995-2004),5.413,5.795,5.584,5.335,4.887 p,4.813 p
Annual,Par yield curve,Maturity: 27 years,European Union - 25 countries (2004-2006),:,:,:,:,5.001,:
Annual,Par yield curve,Maturity: 28 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.427,5.798,5.593,5.334,4.897 p,4.826 p
Annual,Par yield curve,Maturity: 28 years,European Union - 15 countries (1995-2004),5.427,5.798,5.593,5.334,4.897 p,4.826 p
Annual,Par yield curve,Maturity: 28 years,European Union - 25 countries (2004-2006),:,:,:,:,5.011,:
Annual,Par yield curve,Maturity: 29 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.439,5.801,5.601,5.332,4.905 p,4.839 p
Annual,Par yield curve,Maturity: 29 years,European Union - 15 countries (1995-2004),5.439,5.801,5.601,5.332,4.905 p,4.839 p
Annual,Par yield curve,Maturity: 29 years,European Union - 25 countries (2004-2006),:,:,:,:,5.02,:
Annual,Par yield curve,Maturity: 3 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",3.646,5.027,4.238,3.983,2.836 p,2.838 p
Annual,Par yield curve,Maturity: 3 years,European Union - 15 countries (1995-2004),3.645,5.026,4.238,3.984,2.836 p,2.838 p
Annual,Par yield curve,Maturity: 3 years,European Union - 25 countries (2004-2006),:,:,:,:,3.006,:
Annual,Par yield curve,Maturity: 30 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.45,5.802,5.608,5.329,4.912 p,4.850 p
Annual,Par yield curve,Maturity: 30 years,European Union - 15 countries (1995-2004),5.45,5.803,5.608,5.329,4.912 p,4.850 p
Annual,Par yield curve,Maturity: 30 years,European Union - 25 countries (2004-2006),:,:,:,:,5.027,:
Annual,Par yield curve,Maturity: 4 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",3.861,5.119,4.381,4.201,3.118 p,3.117 p
Annual,Par yield curve,Maturity: 4 years,European Union - 15 countries (1995-2004),3.861,5.119,4.381,4.201,3.118 p,3.117 p
Annual,Par yield curve,Maturity: 4 years,European Union - 25 countries (2004-2006),:,:,:,:,3.306,:
Annual,Par yield curve,Maturity: 5 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.046,5.197,4.52,4.382,3.362 p,3.355 p
Annual,Par yield curve,Maturity: 5 years,European Union - 15 countries (1995-2004),4.047,5.197,4.52,4.382,3.362 p,3.355 p
Annual,Par yield curve,Maturity: 5 years,European Union - 25 countries (2004-2006),:,:,:,:,3.55,:
Annual,Par yield curve,Maturity: 6 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.209,5.264,4.651,4.535,3.574 p,3.561 p
Annual,Par yield curve,Maturity: 6 years,European Union - 15 countries (1995-2004),4.21,5.266,4.652,4.536,3.574 p,3.561 p
Annual,Par yield curve,Maturity: 6 years,European Union - 25 countries (2004-2006),:,:,:,:,3.752,:
Annual,Par yield curve,Maturity: 7 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.352,5.324,4.771,4.665,3.757 p,3.737 p
Annual,Par yield curve,Maturity: 7 years,European Union - 15 countries (1995-2004),4.353,5.327,4.771,4.665,3.757 p,3.737 p
Annual,Par yield curve,Maturity: 7 years,European Union - 25 countries (2004-2006),:,:,:,:,3.922,:
Annual,Par yield curve,Maturity: 8 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.477,5.378,4.877,4.775,3.914 p,3.887 p
Annual,Par yield curve,Maturity: 8 years,European Union - 15 countries (1995-2004),4.479,5.381,4.877,4.775,3.915 p,3.887 p
Annual,Par yield curve,Maturity: 8 years,European Union - 25 countries (2004-2006),:,:,:,:,4.066,:
Annual,Par yield curve,Maturity: 9 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.588,5.426,4.97,4.867,4.050 p,4.015 p
Annual,Par yield curve,Maturity: 9 years,European Union - 15 countries (1995-2004),4.59,5.43,4.97,4.867,4.050 p,4.015 p
Annual,Par yield curve,Maturity: 9 years,European Union - 25 countries (2004-2006),:,:,:,:,4.19,:
Annual,Spot rate yield curve,Maturity: 1 year,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",3.097,4.692,4.022,3.4,2.235 p,2.170 p
Annual,Spot rate yield curve,Maturity: 1 year,European Union - 15 countries (1995-2004),3.095,4.693,4.022,3.401,2.235 p,2.171 p
Annual,Spot rate yield curve,Maturity: 1 year,European Union - 25 countries (2004-2006),:,:,:,:,2.223,:
Annual,Spot rate yield curve,Maturity: 10 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.8,5.529,5.148,5.051,4.291 p,4.244 p
Annual,Spot rate yield curve,Maturity: 10 years,European Union - 15 countries (1995-2004),4.802,5.534,5.149,5.051,4.291 p,4.244 p
Annual,Spot rate yield curve,Maturity: 10 years,European Union - 25 countries (2004-2006),:,:,:,:,4.421,:
Annual,Spot rate yield curve,Maturity: 11 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.905,5.578,5.233,5.128,4.408 p,4.352 p
Annual,Spot rate yield curve,Maturity: 11 years,European Union - 15 countries (1995-2004),4.907,5.583,5.234,5.128,4.408 p,4.352 p
Annual,Spot rate yield curve,Maturity: 11 years,European Union - 25 countries (2004-2006),:,:,:,:,4.531,:
Annual,Spot rate yield curve,Maturity: 12 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.001,5.624,5.309,5.195,4.511 p,4.446 p
Annual,Spot rate yield curve,Maturity: 12 years,European Union - 15 countries (1995-2004),5.003,5.628,5.309,5.195,4.511 p,4.446 p
Annual,Spot rate yield curve,Maturity: 12 years,European Union - 25 countries (2004-2006),:,:,:,:,4.629,:
Annual,Spot rate yield curve,Maturity: 13 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.089,5.666,5.376,5.252,4.603 p,4.529 p
Annual,Spot rate yield curve,Maturity: 13 years,European Union - 15 countries (1995-2004),5.09,5.669,5.376,5.252,4.603 p,4.529 p
Annual,Spot rate yield curve,Maturity: 13 years,European Union - 25 countries (2004-2006),:,:,:,:,4.717,:
Annual,Spot rate yield curve,Maturity: 14 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.169,5.705,5.437,5.302,4.684 p,4.603 p
Annual,Spot rate yield curve,Maturity: 14 years,European Union - 15 countries (1995-2004),5.17,5.707,5.437,5.301,4.684 p,4.603 p
Annual,Spot rate yield curve,Maturity: 14 years,European Union - 25 countries (2004-2006),:,:,:,:,4.796,:
Annual,Spot rate yield curve,Maturity: 15 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.243,5.74,5.492,5.344,4.757 p,4.669 p
Annual,Spot rate yield curve,Maturity: 15 years,European Union - 15 countries (1995-2004),5.244,5.742,5.492,5.344,4.756 p,4.669 p
Annual,Spot rate yield curve,Maturity: 15 years,European Union - 25 countries (2004-2006),:,:,:,:,4.867,:
Annual,Spot rate yield curve,Maturity: 16 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.311,5.773,5.541,5.38,4.821 p,4.728 p
Annual,Spot rate yield curve,Maturity: 16 years,European Union - 15 countries (1995-2004),5.311,5.774,5.541,5.38,4.821 p,4.728 p
Annual,Spot rate yield curve,Maturity: 16 years,European Union - 25 countries (2004-2006),:,:,:,:,4.931,:
Annual,Spot rate yield curve,Maturity: 17 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.373,5.802,5.586,5.41,4.879 p,4.781 p
Annual,Spot rate yield curve,Maturity: 17 years,European Union - 15 countries (1995-2004),5.374,5.802,5.586,5.41,4.879 p,4.781 p
Annual,Spot rate yield curve,Maturity: 17 years,European Union - 25 countries (2004-2006),:,:,:,:,4.989,:
Annual,Spot rate yield curve,Maturity: 18 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.431,5.829,5.627,5.436,4.931 p,4.830 p
Annual,Spot rate yield curve,Maturity: 18 years,European Union - 15 countries (1995-2004),5.431,5.828,5.626,5.436,4.931 p,4.830 p
Annual,Spot rate yield curve,Maturity: 18 years,European Union - 25 countries (2004-2006),:,:,:,:,5.041,:
Annual,Spot rate yield curve,Maturity: 19 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.484,5.853,5.664,5.457,4.977 p,4.874 p
Annual,Spot rate yield curve,Maturity: 19 years,European Union - 15 countries (1995-2004),5.484,5.852,5.663,5.457,4.977 p,4.874 p
Annual,Spot rate yield curve,Maturity: 19 years,European Union - 25 countries (2004-2006),:,:,:,:,5.088,:
Annual,Spot rate yield curve,Maturity: 2 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",3.398,4.909,4.103,3.722,2.520 p,2.514 p
Annual,Spot rate yield curve,Maturity: 2 years,European Union - 15 countries (1995-2004),3.396,4.909,4.103,3.722,2.520 p,2.515 p
Annual,Spot rate yield curve,Maturity: 2 years,European Union - 25 countries (2004-2006),:,:,:,:,2.638,:
Annual,Spot rate yield curve,Maturity: 20 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.533,5.874,5.697,5.474,5.019 p,4.914 p
Annual,Spot rate yield curve,Maturity: 20 years,European Union - 15 countries (1995-2004),5.532,5.872,5.696,5.474,5.018 p,4.914 p
Annual,Spot rate yield curve,Maturity: 20 years,European Union - 25 countries (2004-2006),:,:,:,:,5.13,:
Annual,Spot rate yield curve,Maturity: 21 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.577,5.893,5.727,5.487,5.055 p,4.950 p
Annual,Spot rate yield curve,Maturity: 21 years,European Union - 15 countries (1995-2004),5.577,5.891,5.727,5.487,5.055 p,4.950 p
Annual,Spot rate yield curve,Maturity: 21 years,European Union - 25 countries (2004-2006),:,:,:,:,5.168,:
Annual,Spot rate yield curve,Maturity: 22 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.618,5.909,5.755,5.497,5.088 p,4.984 p
Annual,Spot rate yield curve,Maturity: 22 years,European Union - 15 countries (1995-2004),5.618,5.907,5.754,5.496,5.088 p,4.984 p
Annual,Spot rate yield curve,Maturity: 22 years,European Union - 25 countries (2004-2006),:,:,:,:,5.201,:
Annual,Spot rate yield curve,Maturity: 23 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.656,5.923,5.779,5.503,5.116 p,5.015 p
Annual,Spot rate yield curve,Maturity: 23 years,European Union - 15 countries (1995-2004),5.655,5.921,5.778,5.503,5.116 p,5.014 p
Annual,Spot rate yield curve,Maturity: 23 years,European Union - 25 countries (2004-2006),:,:,:,:,5.231,:
Annual,Spot rate yield curve,Maturity: 24 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.69,5.935,5.801,5.506,5.141 p,5.043 p
Annual,Spot rate yield curve,Maturity: 24 years,European Union - 15 countries (1995-2004),5.689,5.933,5.801,5.506,5.141 p,5.043 p
Annual,Spot rate yield curve,Maturity: 24 years,European Union - 25 countries (2004-2006),:,:,:,:,5.256,:
Annual,Spot rate yield curve,Maturity: 25 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.72,5.944,5.821,5.506,5.163 p,5.068 p
Annual,Spot rate yield curve,Maturity: 25 years,European Union - 15 countries (1995-2004),5.719,5.942,5.82,5.506,5.163 p,5.068 p
Annual,Spot rate yield curve,Maturity: 25 years,European Union - 25 countries (2004-2006),:,:,:,:,5.279,:
Annual,Spot rate yield curve,Maturity: 26 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.748,5.952,5.838,5.503,5.181 p,5.092 p
Annual,Spot rate yield curve,Maturity: 26 years,European Union - 15 countries (1995-2004),5.747,5.95,5.838,5.503,5.181 p,5.092 p
Annual,Spot rate yield curve,Maturity: 26 years,European Union - 25 countries (2004-2006),:,:,:,:,5.298,:
Annual,Spot rate yield curve,Maturity: 27 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.773,5.957,5.853,5.498,5.196 p,5.114 p
Annual,Spot rate yield curve,Maturity: 27 years,European Union - 15 countries (1995-2004),5.772,5.956,5.853,5.498,5.196 p,5.114 p
Annual,Spot rate yield curve,Maturity: 27 years,European Union - 25 countries (2004-2006),:,:,:,:,5.314,:
Annual,Spot rate yield curve,Maturity: 28 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.794,5.96,5.866,5.49,5.209 p,5.134 p
Annual,Spot rate yield curve,Maturity: 28 years,European Union - 15 countries (1995-2004),5.794,5.959,5.866,5.491,5.209 p,5.134 p
Annual,Spot rate yield curve,Maturity: 28 years,European Union - 25 countries (2004-2006),:,:,:,:,5.327,:
Annual,Spot rate yield curve,Maturity: 29 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.814,5.962,5.877,5.48,5.218 p,5.152 p
Annual,Spot rate yield curve,Maturity: 29 years,European Union - 15 countries (1995-2004),5.813,5.961,5.877,5.48,5.218 p,5.152 p
Annual,Spot rate yield curve,Maturity: 29 years,European Union - 25 countries (2004-2006),:,:,:,:,5.337,:
Annual,Spot rate yield curve,Maturity: 3 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",3.66,5.036,4.244,3.998,2.848 p,2.850 p
Annual,Spot rate yield curve,Maturity: 3 years,European Union - 15 countries (1995-2004),3.659,5.036,4.245,3.999,2.848 p,2.851 p
Annual,Spot rate yield curve,Maturity: 3 years,European Union - 25 countries (2004-2006),:,:,:,:,3.022,:
Annual,Spot rate yield curve,Maturity: 30 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.83,5.961,5.886,5.468,5.225 p,5.168 p
Annual,Spot rate yield curve,Maturity: 30 years,European Union - 15 countries (1995-2004),5.83,5.961,5.887,5.468,5.225 p,5.168 p
Annual,Spot rate yield curve,Maturity: 30 years,European Union - 25 countries (2004-2006),:,:,:,:,5.344,:
Annual,Spot rate yield curve,Maturity: 4 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",3.885,5.134,4.395,4.227,3.141 p,3.141 p
Annual,Spot rate yield curve,Maturity: 4 years,European Union - 15 countries (1995-2004),3.885,5.134,4.396,4.227,3.141 p,3.141 p
Annual,Spot rate yield curve,Maturity: 4 years,European Union - 25 countries (2004-2006),:,:,:,:,3.334,:
Annual,Spot rate yield curve,Maturity: 5 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.083,5.217,4.545,4.42,3.399 p,3.393 p
Annual,Spot rate yield curve,Maturity: 5 years,European Union - 15 countries (1995-2004),4.083,5.218,4.545,4.421,3.399 p,3.393 p
Annual,Spot rate yield curve,Maturity: 5 years,European Union - 25 countries (2004-2006),:,:,:,:,3.593,:
Annual,Spot rate yield curve,Maturity: 6 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.259,5.291,4.689,4.587,3.628 p,3.614 p
Annual,Spot rate yield curve,Maturity: 6 years,European Union - 15 countries (1995-2004),4.26,5.293,4.69,4.587,3.628 p,3.614 p
Annual,Spot rate yield curve,Maturity: 6 years,European Union - 25 countries (2004-2006),:,:,:,:,3.81,:
Annual,Spot rate yield curve,Maturity: 7 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.416,5.359,4.823,4.731,3.828 p,3.807 p
Annual,Spot rate yield curve,Maturity: 7 years,European Union - 15 countries (1995-2004),4.418,5.362,4.824,4.731,3.828 p,3.807 p
