Time frequency,Working time,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,From 30 to 49 hours,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.4
Annual,From 30 to 49 hours,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.9
Annual,From 30 to 49 hours,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.7
Annual,From 30 to 49 hours,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.7
Annual,From 30 to 49 hours,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.7
Annual,From 30 to 49 hours,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.7
Annual,50 hours or over,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.5
Annual,50 hours or over,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.3
Annual,50 hours or over,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.1
Annual,50 hours or over,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,4.8
Annual,50 hours or over,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,4.0
Annual,50 hours or over,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.7
Annual,50 hours or over,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.7
Annual,50 hours or over,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.2
Annual,50 hours or over,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.0
Annual,Less than 1 hour,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,5.4
Annual,Less than 1 hour,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,5.5
Annual,Less than 1 hour,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,5.6
Annual,Less than 1 hour,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.7
Annual,Less than 1 hour,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.9
Annual,Less than 1 hour,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,4.4
Annual,Less than 1 hour,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,4.0
Annual,Less than 1 hour,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,4.7
Annual,Less than 1 hour,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,5.0
Annual,Not applicable,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,80.2
Annual,Not applicable,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,79.1
Annual,Not applicable,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,78.6
Annual,Not applicable,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,79.1
Annual,Not applicable,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,77.9
Annual,Not applicable,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,77.3
Annual,Not applicable,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,79.6
Annual,Not applicable,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,78.5
Annual,Not applicable,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,77.9
