Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Percentage,Weser-Ems,3.8,9.5,8.7
Annual,Percentage,Nordrhein-Westfalen,3.9,8.9,10.2
Annual,Percentage,Düsseldorf,3.5,9.3,10.9
Annual,Percentage,Köln,3.8,8.5,9.9
Annual,Percentage,Münster,4.0,7.4,8.4
Annual,Percentage,Detmold,5.0,7.2,9.6
Annual,Percentage,Arnsberg,3.9,10.8,10.9
Annual,Percentage,Rheinland-Pfalz,3.8,5.6,8.8
Annual,Percentage,Koblenz,4.1,6.3,10.7
Annual,Percentage,Trier,2.6,6.4,3.5
Annual,Percentage,Rheinhessen-Pfalz,3.9,4.9,8.8
Annual,Percentage,Saarland,3.0,8.7,14.4
Annual,Percentage,Saarland,3.0,8.7,14.4
Annual,Percentage,Sachsen,1.4,4.3,6.3
Annual,Percentage,Dresden,1.2,4.4,6.2
Annual,Percentage,Chemnitz,1.4,3.7,5.5
Annual,Percentage,Leipzig,1.7,4.9,7.8
Annual,Percentage,Sachsen-Anhalt,2.9,4.8,6.4
Annual,Percentage,Sachsen-Anhalt,2.9,4.8,6.4
Annual,Percentage,Schleswig-Holstein,1.9,4.7,6.7
Annual,Percentage,Schleswig-Holstein,1.9,4.7,6.7
Annual,Percentage,Thüringen,4.3,7.7,11.2
Annual,Percentage,Thüringen,4.3,7.7,11.2
Annual,Percentage,Denmark,2.8,5.1,6.9
Annual,Percentage,Hovedstaden,2.3,6.1,7.9
Annual,Percentage,Sjælland,3.3,4.3,7.5
Annual,Percentage,Syddanmark,2.6,5.2,5.4
Annual,Percentage,Midtjylland,3.2,3.9,6.2
Annual,Percentage,Nordjylland,2.9,5.9,7.9
Annual,Percentage,Estonia,2.0,3.4,4.1
Annual,Percentage,Greece,17.5,18.7,19.2
Annual,Percentage,Attiki,14.6,19.3,20.9
Annual,Percentage,Attiki,14.6,19.3,20.9
Annual,Percentage,"Nisia Aigaiou, Kriti",17.7,18.2,15.9
Annual,Percentage,Voreio Aigaio,13.2,19.5,16.4
Annual,Percentage,Notio Aigaio,20.4,26.6,18.3
Annual,Percentage,Kriti,18.0,13.1,14.5
Annual,Percentage,Voreia Elláda,16.8,16.8,17.2
Annual,Percentage,"Anatoliki Makedonia, Thraki",13.8,15.6,12.6
Annual,Percentage,Kentriki Makedonia,16.7,17.1,19.9
Annual,Percentage,Dytiki Makedonia,19.7,24.4,17.7
Annual,Percentage,Ipeiros,19.8,10.4,9.5
Annual,Percentage,Kentriki Elláda,22.4,20.3,20.2
Annual,Percentage,Thessalia,14.4,11.2,12.6
Annual,Percentage,Ionia Nisia,12.1,26.6,17.2
Annual,Percentage,Dytiki Elláda,40.6,26.3,30.3
Annual,Percentage,Sterea Elláda,16.7,21.7,17.1
Annual,Percentage,Peloponnisos,19.3,21.8,21.5
Annual,Percentage,Spain,14.3,17.1,20.7
Annual,Percentage,Noroeste,12.5,17.0,19.9
Annual,Percentage,Galicia,13.1,19.4,21.6
Annual,Percentage,Principado de Asturias,11.6,13.1,16.9
Annual,Percentage,Cantabria,11.5,13.1,17.8
Annual,Percentage,Noreste,7.4,8.9,12.6
Annual,Percentage,País Vasco,7.2,9.3,11.5
Annual,Percentage,Comunidad Foral de Navarra,5.5,9.7,12.3
Annual,Percentage,La Rioja,9.0,8.8,14.7
Annual,Percentage,Aragón,8.5,7.7,13.9
Annual,Percentage,Comunidad de Madrid,11.2,14.7,19.4
Annual,Percentage,Comunidad de Madrid,11.2,14.7,19.4
Annual,Percentage,Centro (ES),12.3,16.1,19.1
Annual,Percentage,Castilla y León,8.7,9.8,14.4
Annual,Percentage,Castilla-La Mancha,13.6,19.8,21.4
Annual,Percentage,Extremadura,17.6,23.1,25.1
Annual,Percentage,Este,15.6,18.5,20.9
Annual,Percentage,Cataluña,15.9,19.2,20.1
Annual,Percentage,Comunitat Valenciana,15.5,18.4,22.8
Annual,Percentage,Illes Balears,14.3,14.4,18.5
Annual,Percentage,Sur,18.7,20.9,24.6
Annual,Percentage,Andalucía,18.0,21.0,24.2
Annual,Percentage,Región de Murcia,21.4,20.1,26.3
Annual,Percentage,Ciudad de Ceuta,33.3,25.9,35.0
Annual,Percentage,Ciudad de Melilla,18.8,20.5,15.1
Annual,Percentage,Canarias,16.7,16.9,27.6
Annual,Percentage,Canarias,16.7,16.9,27.6
Annual,Percentage,Finland,1.3,1.4,2.6
Annual,Percentage,Manner-Suomi,1.3,1.4,2.6
Annual,Percentage,"Länsi-Suomi, Åland",1.2,1.4,2.5
Annual,Percentage,Helsinki-Uusimaa,1.7,1.8,3.2
Annual,Percentage,Etelä-Suomi,1.3,1.0,2.9
Annual,Percentage,Pohjois- ja Itä-Suomi,0.9,1.1,1.5
Annual,Percentage,France,6.0,10.7 b,12.1
Annual,Percentage,Ile de France,:,9.9,10.6
Annual,Percentage,Ile de France,:,9.9,10.6
Annual,Percentage,Centre — Val de Loire,:,11.0,11.1
Annual,Percentage,Centre — Val de Loire,:,11.0,11.1
Annual,Percentage,Bourgogne-Franche-Comté,:,11.0,11.7
Annual,Percentage,Bourgogne,:,11.1,12.0
Annual,Percentage,Franche-Comté,:,10.8,11.3
Annual,Percentage,Normandie,:,11.3,11.8
Annual,Percentage,Basse-Normandie,:,10.9,11.8
Annual,Percentage,Haute-Normandie,:,11.6,11.8
Annual,Percentage,Hauts-de-France,:,12.3,14.5
Annual,Percentage,Nord-Pas de Calais,:,12.5,15.1
Annual,Percentage,Picardie,:,11.9,13.3
Annual,Percentage,Grand Est,:,11.3,12.6
Annual,Percentage,Alsace,:,10.6,11.0
Annual,Percentage,Champagne-Ardenne,:,11.9,13.1
Annual,Percentage,Lorraine,:,11.6,13.5
Annual,Percentage,Pays de la Loire,:,10.1,11.4
Annual,Percentage,Pays de la Loire,:,10.1,11.4
Annual,Percentage,Bretagne,:,10.2,10.9
Annual,Percentage,Bretagne,:,10.2,10.9
Annual,Percentage,Nouvelle-Aquitaine,:,10.9,12.1
Annual,Percentage,Aquitaine,:,10.8,12.2
Annual,Percentage,Limousin,:,11.3,13.0
Annual,Percentage,Poitou-Charentes,:,10.9,11.6
Annual,Percentage,Occitanie,:,11.6,12.5
Annual,Percentage,Languedoc-Roussillon,:,12.4,13.1
Annual,Percentage,Midi-Pyrénées,:,10.9,12.0
Annual,Percentage,Auvergne-Rhône-Alpes,:,10.3,11.3
Annual,Percentage,Auvergne,:,11.2,11.9
Annual,Percentage,Rhône-Alpes,:,10.1,11.1
Annual,Percentage,Provence-Alpes-Côte d’Azur,:,11.3,12.0
Annual,Percentage,Provence-Alpes-Côte d’Azur,:,11.3,12.0
Annual,Percentage,Corse,:,12.3,12.4
Annual,Percentage,Corse,:,12.3,12.4
Annual,Percentage,Croatia,5.7,7.0,6.2
Annual,Percentage,Panonska Hrvatska,6.2,6.7,6.9
Annual,Percentage,Jadranska Hrvatska,5.7,8.1,7.1
Annual,Percentage,Grad Zagreb,2.7,4.9,3.5
Annual,Percentage,Sjeverna Hrvatska,7.8,7.6,6.5
Annual,Percentage,Hungary,5.4,4.7,7.2
Annual,Percentage,Közép-Magyarország,4.9,3.9,5.5
Annual,Percentage,Budapest,5.4,3.1,4.8
Annual,Percentage,Pest,4.2,5.0,6.4
Annual,Percentage,Dunántúl,3.1,3.0,3.8
Annual,Percentage,Közép-Dunántúl,1.5,0.9,1.8
Annual,Percentage,Nyugat-Dunántúl,1.1,2.2,2.1
Annual,Percentage,Dél-Dunántúl,7.4,6.7,8.2
Annual,Percentage,Alföld és Észak,7.6,6.6,11.1
Annual,Percentage,Észak-Magyarország,10.7,8.4,19.2
Annual,Percentage,Észak-Alföld,7.7,5.9,6.9
Annual,Percentage,Dél-Alföld,4.6,5.6,8.8
Annual,Percentage,Ireland,3.4,6.8,7.2
Annual,Percentage,Northern and Western,2.1,3.8,3.8
Annual,Percentage,Southern,4.8,8.5,8.1
Annual,Percentage,Eastern and Midland,2.9,6.8,7.8
Annual,Percentage,Italy,8.1,8.8,9.5
Annual,Percentage,Nord-Ovest,8.5,5.7,6.1
Annual,Percentage,Piemonte,21.8,12.4,12.0
Annual,Percentage,Valle d’Aosta/Vallée d’Aoste,4.6,6.3,3.1
Annual,Percentage,Liguria,4.6,6.5,4.3
Annual,Percentage,Lombardia,3.5,2.7,3.9
Annual,Percentage,Sud,13.1,13.6,17.3
Annual,Percentage,Abruzzo,7.0,6.6,15.4
Annual,Percentage,Molise,4.1,10.3,10.0
Annual,Percentage,Campania,20.4,16.2,16.9
Annual,Percentage,Puglia,11.0,14.2,19.1
Annual,Percentage,Basilicata,3.0,9.3,2.9
Annual,Percentage,Calabria,4.2,11.5,21.8
Annual,Percentage,Isole,10.0,13.0,15.8
Annual,Percentage,Sicilia,10.4,13.5,16.2
Annual,Percentage,Sardegna,8.8,11.4,14.5
Annual,Percentage,Nord-Est,2.7,4.5,3.3
Annual,Percentage,Provincia Autonoma di Bolzano/Bozen,3.1,1.3,1.3
Annual,Percentage,Provincia Autonoma di Trento,1.6,5.3,5.6
Annual,Percentage,Veneto,3.1,4.7,4.0
Annual,Percentage,Friuli-Venezia Giulia,5.0,3.8,3.6
Annual,Percentage,Emilia-Romagna,1.7,4.9,2.3
Annual,Percentage,Centro (IT),6.3,9.6,7.8
Annual,Percentage,Toscana,4.3,4.9,5.2
Annual,Percentage,Umbria,4.1,2.3,3.1
Annual,Percentage,Marche,4.3,4.8,7.5
Annual,Percentage,Lazio,8.4,14.9,10.2
Annual,Percentage,Lithuania,22.5,17.5,20.0 b
Annual,Percentage,Sostinės regionas,20.1,16.9,15.9 b
Annual,Percentage,Vidurio ir vakarų Lietuvos regionas,23.5,17.8,21.7 b
Annual,Percentage,Luxembourg,2.5,2.1 b,2.1
Annual,Percentage,Latvia,4.9,7.0,6.6
Annual,Percentage,Montenegro,18.0,13.9,:
Annual,Percentage,Malta,7.8,7.6,6.8
Annual,Percentage,Netherlands,2.4,5.3,7.1
Annual,Percentage,Noord-Nederland,2.5,7.0,6.4
Annual,Percentage,Oost-Nederland,1.6,4.3,5.7
Annual,Percentage,West-Nederland,3.1,5.6,8.4
Annual,Percentage,Zuid-Nederland,1.7,4.7,6.0
Annual,Percentage,Norway,1.4,2.1,2.1
Annual,Percentage,Innlandet,1.9,3.0,2.0
Annual,Percentage,Trøndelag,2.1,1.0,2.8
Annual,Percentage,Nord-Norge,0.9,0.9,0.0
Annual,Percentage,Oslo og Viken,1.6,3.0,2.2
Annual,Percentage,Agder og Sør-Østlandet,0.8,1.8,3.7
Annual,Percentage,Vestlandet,1.2,1.7,1.8
Annual,Percentage,Poland,3.3,4.9,4.8
Annual,Percentage,Makroregion południowy,3.6,3.5,4.6
Annual,Percentage,Małopolskie,3.6,3.7,3.4
Annual,Percentage,Śląskie,3.6,3.3,5.6
Annual,Percentage,Makroregion północno-zachodni,3.7,5.6,5.1
Annual,Percentage,Wielkopolskie,3.8,5.0,4.5
Annual,Percentage,Zachodniopomorskie,3.8,6.6,6.1
Annual,Percentage,Lubuskie,3.0,6.2,5.9
Annual,Percentage,Makroregion południowo-zachodni,3.6,5.1,6.1
Annual,Percentage,Dolnośląskie,4.0,5.5,5.5
Annual,Percentage,Opolskie,2.5,4.1,8.1
Annual,Percentage,Makroregion północny,2.8,4.5,4.6
Annual,Percentage,Kujawsko-pomorskie,1.9,2.6,4.4
Annual,Percentage,Warmińsko-mazurskie,4.3,7.8,3.0
Annual,Percentage,Pomorskie,2.9,4.3,5.7
Annual,Percentage,Makroregion centralny,4.0,8.5,6.6
Annual,Percentage,Łódzkie,2.3,7.2,6.0
Annual,Percentage,Świętokrzyskie,7.4,11.1,7.9
Annual,Percentage,Makroregion wschodni,3.2,5.1,4.3
Annual,Percentage,Lubelskie,2.1,7.1,4.8
Annual,Percentage,Podkarpackie,3.9,4.2,4.9
Annual,Percentage,Podlaskie,3.9,3.3,2.5
Annual,Percentage,Makroregion województwo mazowieckie,2.1,4.2,3.4
Annual,Percentage,Warszawski stołeczny,1.9,4.5,2.9
Annual,Percentage,Mazowiecki regionalny,2.3,3.7,4.1
Annual,Percentage,Portugal,16.4,17.5,20.8
Annual,Percentage,Norte,19.4,23.4,26.3
Annual,Percentage,Algarve,19.0,13.7,15.4
Annual,Percentage,Centro (PT) (NUTS 2021),13.5,14.0,16.1
Annual,Percentage,Área Metropolitana de Lisboa (NUTS 2021),13.7,14.3,18.9
Annual,Percentage,Alentejo (NUTS 2021),11.7,9.7,13.6
Annual,Percentage,Região Autónoma dos Açores,26.7,26.1,34.3
Annual,Percentage,Região Autónoma da Madeira,28.4,22.5,23.3
Annual,Percentage,Romania,10.1,15.2,12.5
Annual,Percentage,Macroregiunea Unu,9.5,13.4,12.6
Annual,Percentage,Nord-Vest,7.5,10.5,7.9
Annual,Percentage,Centru,11.6,16.6,17.9
Annual,Percentage,Macroregiunea Doi,9.8,13.8,11.1
Annual,Percentage,Nord-Est,7.4,9.3,8.4
Annual,Percentage,Sud-Est,13.1,19.8,14.8
Annual,Percentage,Macroregiunea Trei,10.6,15.1,12.1
Annual,Percentage,Sud-Muntenia,12.4,16.4,11.8
Annual,Percentage,Bucureşti-Ilfov,8.4,13.6,12.5
Annual,Percentage,Macroregiunea Patru,10.8,19.8,15.0
Annual,Percentage,Sud-Vest Oltenia,12.1,15.6,15.1
Annual,Percentage,Vest,9.3,24.3,14.8
Annual,Percentage,Serbia,9.4,9.5,:
Annual,Percentage,Sweden,1.7,3.3,5.8
Annual,Percentage,Östra Sverige,2.0,3.0,6.2
Annual,Percentage,Stockholm,2.2,3.5,7.6
Annual,Percentage,Östra Mellansverige,1.8,2.4,4.4
Annual,Percentage,Södra Sverige,1.6,4.0,6.4
Annual,Percentage,Småland med öarna,1.7,4.1,6.9
Annual,Percentage,Sydsverige,1.4,5.5,8.6
Annual,Percentage,Västsverige,1.7,2.9,4.7
Annual,Percentage,Norra Sverige,1.3,2.0,3.4
Annual,Percentage,Norra Mellansverige,1.6,2.6,4.7
Annual,Percentage,Mellersta Norrland,1.7,1.3,2.8
Annual,Percentage,Övre Norrland,0.6,1.3,1.5
Annual,Percentage,Slovenia,1.7,2.6,3.6
Annual,Percentage,Vzhodna Slovenija,2.2,3.3,4.8
Annual,Percentage,Zahodna Slovenija,1.2,1.9,2.3
Annual,Percentage,Slovakia,5.8,7.1,8.1
Annual,Percentage,Bratislavský kraj,2.6,3.7,1.6
Annual,Percentage,Západné Slovensko,4.3,4.8,5.7
Annual,Percentage,Stredné Slovensko,6.6,8.3,8.1
Annual,Percentage,Východné Slovensko,8.1,10.4,13.7
Annual,Percentage,Türkiye,20.5,20.4,19.5
