Time frequency,Reason,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Too expensive or too far or waiting list,Percentage,Puglia,8.1,7.7,8.4
Annual,Too expensive or too far or waiting list,Percentage,Basilicata,1.8,3.9,3.5
Annual,Too expensive or too far or waiting list,Percentage,Calabria,6.9,7.3,6.6
Annual,Too expensive or too far or waiting list,Percentage,Isole,7.9,5.7,7.7
Annual,Too expensive or too far or waiting list,Percentage,Sicilia,4.0,3.7,4.5
Annual,Too expensive or too far or waiting list,Percentage,Sardegna,15.7,9.8,13.8
Annual,Too expensive or too far or waiting list,Percentage,Nord-Est,2.2,1.1,1.7
Annual,Too expensive or too far or waiting list,Percentage,Provincia Autonoma di Bolzano/Bozen,0.1,0.1,0.3
Annual,Too expensive or too far or waiting list,Percentage,Provincia Autonoma di Trento,1.9,1.2,2.8
Annual,Too expensive or too far or waiting list,Percentage,Veneto,3.5,1.6,2.7
Annual,Too expensive or too far or waiting list,Percentage,Friuli-Venezia Giulia,2.0,1.4,2.1
Annual,Too expensive or too far or waiting list,Percentage,Emilia-Romagna,1.0,0.4,0.7
Annual,Too expensive or too far or waiting list,Percentage,Centro (IT),5.5,3.9,3.3
Annual,Too expensive or too far or waiting list,Percentage,Toscana,6.7,5.3,2.7
Annual,Too expensive or too far or waiting list,Percentage,Umbria,7.1,9.7,16.5
Annual,Too expensive or too far or waiting list,Percentage,Marche,2.4,1.5,2.6
Annual,Too expensive or too far or waiting list,Percentage,Lazio,5.1,2.6,1.7
Annual,Too expensive or too far or waiting list,Percentage,Lithuania,3.6,3.9,5.0
Annual,Too expensive or too far or waiting list,Percentage,Sostinės regionas,4.3,4.5,6.5
Annual,Too expensive or too far or waiting list,Percentage,Vidurio ir vakarų Lietuvos regionas,3.4,3.6,4.4
Annual,Too expensive or too far or waiting list,Percentage,Luxembourg,1.4,1.0 b,1.6
Annual,Too expensive or too far or waiting list,Percentage,Latvia,5.5,7.1,10.1
Annual,Too expensive or too far or waiting list,Percentage,Montenegro,3.5,5.0,:
Annual,Too expensive or too far or waiting list,Percentage,Malta,0.3,0.7,0.2
Annual,Too expensive or too far or waiting list,Percentage,Netherlands,0.7,0.8,0.9
Annual,Too expensive or too far or waiting list,Percentage,Norway,:,1.4,2.1
Annual,Too expensive or too far or waiting list,Percentage,Innlandet,:,0.5,1.7
Annual,Too expensive or too far or waiting list,Percentage,Trøndelag,:,1.7,2.8
Annual,Too expensive or too far or waiting list,Percentage,Nord-Norge,:,1.5,1.9
Annual,Too expensive or too far or waiting list,Percentage,Oslo og Viken,:,1.3,1.9
Annual,Too expensive or too far or waiting list,Percentage,Agder og Sør-Østlandet,:,1.4,2.4
Annual,Too expensive or too far or waiting list,Percentage,Vestlandet,:,1.4,2.1
Annual,Too expensive or too far or waiting list,Percentage,Poland,4.2,3.5,5.3
Annual,Too expensive or too far or waiting list,Percentage,Portugal,4.3,4.6,4.5
Annual,Too expensive or too far or waiting list,Percentage,Norte,4.1,5.4,3.8
Annual,Too expensive or too far or waiting list,Percentage,Algarve,5.9,5.2,3.8
Annual,Too expensive or too far or waiting list,Percentage,Centro (PT) (NUTS 2021),4.5,4.2,4.9
Annual,Too expensive or too far or waiting list,Percentage,Área Metropolitana de Lisboa (NUTS 2021),3.4,3.3,4.8
Annual,Too expensive or too far or waiting list,Percentage,Alentejo (NUTS 2021),5.4,4.1,4.4
Annual,Too expensive or too far or waiting list,Percentage,Região Autónoma dos Açores,6.2,7.8,9.1
Annual,Too expensive or too far or waiting list,Percentage,Região Autónoma da Madeira,8.4,6.4,6.7
Annual,Too expensive or too far or waiting list,Percentage,Romania,6.2,7.9,7.3
Annual,Too expensive or too far or waiting list,Percentage,Macroregiunea Unu,4.2,6.1,5.5
Annual,Too expensive or too far or waiting list,Percentage,Nord-Vest,6.0,7.0,6.3
Annual,Too expensive or too far or waiting list,Percentage,Centru,2.3,4.8,4.6
Annual,Too expensive or too far or waiting list,Percentage,Macroregiunea Doi,9.6,13.4,11.9
Annual,Too expensive or too far or waiting list,Percentage,Nord-Est,7.9,10.1,9.8
Annual,Too expensive or too far or waiting list,Percentage,Sud-Est,11.9,17.9,14.8
Annual,Too expensive or too far or waiting list,Percentage,Macroregiunea Trei,7.0,7.2,6.0
Annual,Too expensive or too far or waiting list,Percentage,Sud-Muntenia,9.8,8.7,7.2
Annual,Too expensive or too far or waiting list,Percentage,Bucureşti-Ilfov,3.9,5.9,4.8
