Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Decision,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Slovakia,10.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,15.0,15.0,25.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,United Kingdom,6555.0,7525.0,9000.0,12175.0,8410.0,7480.0,7650.0,12585.0,:,:,:,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Austria,0.0,0.0,140.0,355.0,330.0,385.0,780.0,725.0,780.0,460.0,290.0,245.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Belgium,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Bulgaria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Switzerland,1315.0,2405.0,6630.0,5080.0,5535.0,7300.0,7920.0,4425.0,3945.0,3035.0,4530.0,6695.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Cyprus,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Czechia,5.0,15.0,15.0,15.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Germany,1400.0,2205.0,2075.0,2070.0,24080.0,39655.0,9540.0,5855.0,5700.0,4785.0,30020.0,21460.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Denmark,120.0,80.0,90.0,1135.0,2525.0,825.0,435.0,355.0,145.0,160.0,60.0,140.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Greece,20.0,70.0,115.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Spain,10.0,5.0,0.0,0.0,0.0,0.0,0.0,35240.0,45300.0,13030.0,20925.0,41505.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,European Union - 27 countries (from 2020),20475.0,11550.0,14700.0,21640.0,49665.0,62615.0,32170.0,45060.0,55420.0,28025.0,65940.0,76235.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Finland,240.0,295.0,300.0,160.0,1045.0,380.0,240.0,165.0,165.0,130.0,165.0,120.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,France,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Croatia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Hungary,40.0,5.0,20.0,5.0,5.0,75.0,20.0,5.0,5.0,0.0,0.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Ireland,0.0,0.0,0.0,0.0,0.0,70.0,195.0,265.0,200.0,590.0,2085.0,530.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Iceland,0.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,20.0,5.0,40.0,30.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Italy,15480.0,5750.0,9315.0,15770.0,18515.0,19515.0,19970.0,1385.0,2035.0,7080.0,10865.0,10485.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Liechtenstein,0.0,0.0,0.0,0.0,15.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Latvia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Montenegro,:,:,:,:,:,:,0.0,15.0,5.0,30.0,45.0,300.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Malta,160.0,115.0,165.0,75.0,55.0,10.0,25.0,15.0,5.0,5.0,10.0,10.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Netherlands,1550.0,1465.0,775.0,390.0,365.0,645.0,375.0,560.0,820.0,1375.0,890.0,735.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Norway,325.0,280.0,175.0,165.0,810.0,780.0,75.0,100.0,80.0,40.0,30.0,90.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Poland,290.0,370.0,295.0,120.0,50.0,20.0,15.0,5.0,15.0,0.0,0.0,5.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Portugal,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Romania,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Sweden,1060.0,1125.0,1310.0,1495.0,2500.0,990.0,560.0,465.0,240.0,395.0,620.0,980.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Slovenia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,Slovakia,80.0,35.0,75.0,35.0,195.0,40.0,10.0,15.0,10.0,15.0,10.0,15.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Humanitarian status,United Kingdom,1155.0,960.0,1010.0,1650.0,1315.0,840.0,1160.0,1165.0,:,:,:,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Austria,11435.0,11690.0,2230.0,6050.0,12045.0,19960.0,19500.0,6465.0,3660.0,6655.0,22440.0,14095.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Belgium,18940.0,15110.0,12290.0,8945.0,9915.0,11460.0,9340.0,10640.0,10650.0,11865.0,13105.0,15400.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Bulgaria,470.0,355.0,430.0,580.0,1700.0,3045.0,1370.0,850.0,1375.0,1255.0,445.0,2950.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Switzerland,12345.0,10210.0,6395.0,7840.0,9395.0,1610.0,1775.0,1525.0,1090.0,895.0,1590.0,2050.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Cyprus,1230.0,635.0,310.0,480.0,675.0,1205.0,1265.0,1975.0,1695.0,9980.0,8425.0,7480.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Czechia,540.0,555.0,625.0,875.0,860.0,1045.0,1230.0,1255.0,855.0,675.0,775.0,715.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Germany,41470.0,56045.0,56715.0,108370.0,197185.0,262575.0,103175.0,83855.0,66120.0,72830.0,69075.0,82155.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Denmark,2985.0,4155.0,2580.0,2305.0,3285.0,4510.0,1315.0,1455.0,765.0,750.0,470.0,580.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Estonia,45.0,45.0,35.0,100.0,60.0,60.0,55.0,45.0,45.0,30.0,90.0,115.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Greece,11095.0,12580.0,11335.0,5610.0,8740.0,14055.0,17130.0,15350.0,27830.0,20630.0,19405.0,15305.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Spain,2070.0,1835.0,2035.0,2220.0,3395.0,7965.0,8980.0,19615.0,73740.0,50580.0,48260.0,37260.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,European Union - 27 countries (from 2020),177145.0,192735.0,183775.0,264890.0,412530.0,504580 b,348900.0,339575.0,315325.0,328330.0,327095.0,319340.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Finland,1530.0,1565.0,1070.0,1280.0,13685.0,3745.0,2035.0,3180.0,1895.0,1235.0,1365.0,1075.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,France,51165.0,51010.0,53685.0,57280.0,58730.0,78380.0,82325.0,85750.0,67200.0,103140.0,93980.0,90980.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Croatia,120.0,165.0,210.0,145.0,185.0,325.0,300.0,265.0,250.0,365.0,80.0,90.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Hungary,750.0,4180.0,4935.0,2915.0,4675.0,2880.0,590.0,650.0,345.0,20.0,5.0,10.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Ireland,840.0,695.0,660.0,665.0,1645.0,125 b,170.0,895.0,330.0,85.0,880.0,645.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Iceland,55.0,120.0,25.0,135.0,445.0,315.0,275.0,400.0,200.0,305.0,275.0,1220.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Italy,5255.0,9175.0,14600.0,41730.0,54470.0,46440.0,64540.0,75110.0,29215.0,21745.0,27385.0,24180.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Liechtenstein,50.0,35.0,10.0,25.0,35.0,15.0,30.0,20.0,15.0,10.0,10.0,5.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Lithuania,335.0,120.0,110.0,95.0,85.0,85.0,135.0,230.0,265.0,2860.0,435.0,145.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Luxembourg,1610.0,1115.0,765.0,590.0,485.0,590.0,400.0,510.0,415.0,365.0,270.0,430.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Latvia,120.0,65.0,70.0,145.0,125.0,95.0,95.0,120.0,95.0,115.0,165.0,150.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Montenegro,:,:,:,:,:,:,15.0,25.0,5.0,45.0,35.0,95.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Malta,155.0,300.0,475.0,240.0,245.0,345.0,855.0,635.0,605.0,630.0,1075.0,785.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Netherlands,8160.0,6225.0,6240.0,4015.0,8065.0,8135.0,6665.0,8095.0,4965.0,4435.0,2220.0,3425.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Norway,5425.0,6015.0,2735.0,3225.0,6540.0,1935.0,660.0,665.0,420.0,215.0,270.0,710.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Poland,1960.0,2210.0,1980.0,2870.0,2185.0,2090.0,2125.0,1730.0,1630.0,1455.0,1320.0,1880.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Portugal,130.0,170.0,115.0,180.0,270.0,455.0,415.0,570.0,325.0,200.0,195.0,125.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Romania,1390.0,515.0,845.0,840.0,490.0,820.0,700.0,730.0,1870.0,2960.0,3045.0,5220.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Sweden,12920.0,11935.0,9255.0,16210.0,29190.0,34070.0,24010.0,19425.0,18930.0,13245.0,11970.0,13900.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Slovenia,175.0,160.0,50.0,85.0,95.0,90.0,135.0,130.0,215.0,155.0,140.0,165.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,Slovakia,250.0,125.0,110.0,50.0,45.0,30.0,40.0,55.0,40.0,85.0,75.0,90.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Rejected,United Kingdom,14150.0,13895.0,15695.0,24115.0,20980.0,19270.0,18895.0,13530.0,:,:,:,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Austria,1775.0,1760.0,1380.0,2100.0,5355.0,7015.0,3620.0,1075.0,1050.0,2145.0,4815.0,8240.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Belgium,1565.0,2370.0,1585.0,1650.0,3290.0,2930.0,1815.0,975.0,975.0,885.0,430.0,415.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Bulgaria,150.0,2280.0,1840.0,890.0,585.0,895.0,420.0,265.0,715.0,1870.0,4270.0,5680.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Switzerland,505.0,870.0,2640.0,2630.0,1805.0,1070.0,1120.0,970.0,985.0,740.0,635.0,635.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Cyprus,10.0,125.0,940.0,1390.0,1090.0,1020.0,1015.0,1150.0,1530.0,1985.0,235.0,2320.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Czechia,125.0,240.0,285.0,390.0,290.0,115.0,110.0,80.0,65.0,70.0,250.0,285.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Germany,6975.0,7005.0,5175.0,1705.0,153695.0,98065.0,25030.0,19415.0,18950.0,22995.0,57530.0,71290.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Denmark,545.0,1130.0,1625.0,1255.0,330.0,260.0,55.0,575.0,70.0,260.0,55.0,20.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Estonia,5.0,0.0,0.0,55.0,65.0,45.0,5.0,5.0,5.0,0.0,2040.0,3820.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Greece,45.0,175.0,590.0,355.0,245.0,1035.0,2575.0,3835.0,7955.0,3535.0,515.0,590.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Spain,285.0,325.0,1200.0,800.0,6500.0,3515.0,2320.0,1540.0,1390.0,2025.0,7385.0,3800.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,European Union - 27 countries (from 2020),31260.0,45365.0,56190.0,54775.0,255230.0,155035.0,60740.0,52325.0,50665.0,61580.0,102165.0,130020.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Finland,775.0,785.0,475.0,460.0,1705.0,650.0,395.0,205.0,135.0,80.0,105.0,70.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,France,1575.0,1565.0,2835.0,3845.0,10040.0,13560.0,11600.0,10780.0,7180.0,12535.0,6265.0,10135.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Croatia,15.0,15.0,10.0,5.0,15.0,30.0,20.0,0.0,5.0,0.0,0.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Hungary,240.0,185.0,250.0,275.0,270.0,1110.0,280.0,30.0,45.0,15.0,20.0,10.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Ireland,35.0,20.0,270.0,180.0,40.0,50.0,180.0,120.0,120.0,70.0,70.0,210.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Iceland,0.0,5.0,10.0,20.0,40.0,20.0,20.0,205.0,285.0,200.0,840.0,195.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Italy,4495.0,5565.0,7625.0,10270.0,12090.0,6385.0,4205.0,6870.0,4970.0,7350.0,7205.0,6495.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Liechtenstein,0.0,5.0,0.0,0.0,10.0,5.0,5.0,5.0,10.0,0.0,0.0,5.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Lithuania,40.0,40.0,55.0,65.0,15.0,15.0,20.0,15.0,0.0,10.0,15.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Luxembourg,5.0,25.0,15.0,15.0,25.0,40.0,60.0,35.0,30.0,135.0,265.0,265.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Latvia,20.0,20.0,20.0,15.0,90.0,235.0,5.0,5.0,15.0,25.0,20.0,40.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Montenegro,:,:,:,:,:,:,5.0,0.0,0.0,0.0,0.0,5.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Malta,1235.0,1445.0,900.0,915.0,970.0,585.0,475.0,345.0,190.0,155.0,170.0,295.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Netherlands,3325.0,3350.0,9290.0,9400.0,10705.0,4135.0,1485.0,1830.0,2820.0,2865.0,5045.0,10460.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Norway,1185.0,995.0,1140.0,675.0,400.0,150.0,50.0,45.0,50.0,135.0,55.0,120.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Poland,140.0,120.0,165.0,165.0,150.0,340.0,190.0,130.0,220.0,1135.0,3570.0,4030.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Portugal,85.0,115.0,90.0,160.0,215.0,380.0,405.0,115.0,15.0,80.0,60.0,20.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Romania,85.0,530.0,370.0,235.0,200.0,380.0,290.0,265.0,425.0,625.0,535.0,440.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Sweden,7595.0,16145.0,19095.0,18125.0,47210.0,12210.0,4115.0,2640.0,1765.0,715.0,1080.0,990.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Slovenia,15.0,15.0,10.0,10.0,30.0,15.0,5.0,5.0,0.0,0.0,165.0,55.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,Slovakia,100.0,30.0,95.0,40.0,10.0,20.0,35.0,20.0,20.0,15.0,45.0,35.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Subsidiary protection status,United Kingdom,135.0,70.0,105.0,125.0,210.0,250.0,1295.0,1240.0,:,:,:,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Austria,15895.0,16610.0,9405.0,21095.0,42415.0,45160.0,34525.0,13890.0,10495.0,18760.0,39000.0,37290.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Belgium,24495.0,21390.0,20335.0,19420.0,24960.0,24045.0,19020.0,17170.0,16360.0,21030.0,24025.0,27855.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Bulgaria,640.0,2810.0,7435.0,6175.0,3045.0,4740.0,2110.0,1250.0,2195.0,3270.0,4815.0,8740.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Switzerland,16625.0,16595.0,21805.0,21840.0,22580.0,16225.0,17000.0,12315.0,11275.0,9910.0,11475.0,15335.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Cyprus,1335.0,800.0,1305.0,2065.0,1975.0,2450.0,2475.0,3275.0,3375.0,12270.0,8995.0,10550.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Czechia,720.0,900.0,1000.0,1335.0,1300.0,1190.0,1385.0,1390.0,960.0,935.0,1100.0,1050.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Germany,58605.0,76165.0,97275.0,249285.0,631090.0,524195.0,179115.0,154175.0,128590.0,132680.0,197540.0,217430.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Denmark,4680.0,6965.0,8055.0,12300.0,10410.0,6880.0,2625.0,3030.0,1185.0,1525.0,985.0,1570.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Estonia,55.0,55.0,55.0,180.0,190.0,155.0,75.0,90.0,70.0,75.0,2195.0,3990.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Greece,11195.0,13080.0,13305.0,9640.0,11455.0,24510.0,32340.0,32700.0,62155.0,37205.0,38645.0,40255.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Spain,2595.0,2365.0,3620.0,3240.0,10250.0,12055.0,11875.0,58035.0,124795.0,70985.0,83385.0,89895.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,European Union - 27 countries (from 2020),260310.0,291800.0,341035.0,558590.0,1075490.0,933295 b,556390.0,546440.0,528165.0,531315.0,639150.0,677625.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Finland,3090.0,3215.0,2340.0,2960.0,20755.0,7180.0,4440.0,4845.0,3045.0,2300.0,2595.0,2350.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,France,59810.0,61715.0,68500.0,77910.0,87485.0,110945.0,115045.0,113890.0,86330.0,137015.0,129655.0,132640.0
