Time frequency,Live animals,Month,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Dairy cows,December,Thousand heads (animals),Greece,132.0,130.0,135.0,111.0,106.0,97.0,95.0,86.0,90.0,91.3,80.5,89.40 p
Annual,Dairy cows,December,Thousand heads (animals),Spain,827.21,844.06,844.79,844.11,834.45,823.39,816.69,812.87,810.74 p,808.86 p,809.99,785.59
Annual,Dairy cows,December,Thousand heads (animals),European Union - 27 countries (from 2020),21406.94,21652.41,21637.82,21651.74,21633.77,21409.14,21029.46,20765.52,20522.06,20212.53 p,20073.77,19913.16
Annual,Dairy cows,December,Thousand heads (animals),Finland,279.87,282.01,282.91,282.23,275.38,270.64,263.64,258.94,255.62,248.53,243.17,236.27
Annual,Dairy cows,December,Thousand heads (animals),France,3644.0,3698.45,3661.18,3637.02,3637.02,3596.84,3554.23,3490.81 d,3405.68 d,3322.03 p,3230.86,3164.60 p
Annual,Dairy cows,December,Thousand heads (animals),Croatia,181.0,168.0,159.0,152.0,147.0,139.0,136.00 b,130.0,110.0,102.0,79.00 b,71.0
Annual,Dairy cows,December,Thousand heads (animals),Hungary,255.0,250.0,255.0,250.0,244.0,244.0,239.0,243.0,246.60 b,280.9,277.9,265.5
Annual,Dairy cows,December,Thousand heads (animals),Ireland,1060.26,1082.46,1127.72,1239.89,1295.23,1343.3,1369.1,1425.76,1456.05,1505.27,1510.31,1510.86
Annual,Dairy cows,December,Thousand heads (animals),Iceland,25.4,25.8,26.0,27.0,26.3,26.7,26.4,26.2,26.4,:,25.81,25.86
Annual,Dairy cows,December,Thousand heads (animals),Italy,2009.07,2074.54,2069.39,2056.81,2060.47,2040.11,1939.48,1875.72,1871.27,1844.37,1865.00 b,1808.0
Annual,Dairy cows,December,Thousand heads (animals),Lithuania,331.0,315.7,314.0,300.5,285.8,272.8,256.2,240.9,232.9,225.2,224.18,211.98
Annual,Dairy cows,December,Thousand heads (animals),Luxembourg,45.0,48.27,46.78,49.13,51.97,52.12,53.0,54.15,54.23,54.57,55.33,55.21
Annual,Dairy cows,December,Thousand heads (animals),Latvia,164.56,165.01,165.87,162.41,154.02,150.36,144.47,138.41,136.04,131.2,127.76,119.04
Annual,Dairy cows,December,Thousand heads (animals),Montenegro,59.0,61.0,63.0,63.0,59.60 p,60.40 p,59.50 p,57.20 p,54.17 p,49.17 p,48.12 p,45.59 p
Annual,Dairy cows,December,Thousand heads (animals),North Macedonia,123.0,129.0,127.0,124.0,125.0,123.0,129.0,111.0,108.0,98.0,100.0,69.0
Annual,Dairy cows,December,Thousand heads (animals),Malta,6.32,6.33,6.5,6.37,6.5,6.14,6.23,6.12,6.06,5.87,6.12,5.93
Annual,Dairy cows,December,Thousand heads (animals),Netherlands,1541.0,1597.0,1610.0,1717.0,1794.0,1665.0,1552.0,1590.0,1569.0,1554.0,1570.0,1552.0
Annual,Dairy cows,December,Thousand heads (animals),Poland,2346.1,2299.08,2247.8,2134.1,2129.9,2152.9,2214.1,2166.9,2125.7,2035.2,2037.28,2243.33
Annual,Dairy cows,December,Thousand heads (animals),Portugal,236.56,230.84,233.83,243.26,238.91,238.63,235.47,234.23,232.75,230.02 p,221.54,218.84
Annual,Dairy cows,December,Thousand heads (animals),Romania,1162.7,1168.9,1188.4,1190.7,1192.6,1175.4,1158.2,1138.8,1121.9,1081.9,1075.6,1056.7
Annual,Dairy cows,December,Thousand heads (animals),Serbia,455.0,429.0,437.0,430.0,426.0,429.0,423.0,423.0,417.0,408.0,374.2,336.0
Annual,Dairy cows,December,Thousand heads (animals),Sweden,345.53,346.12,344.19,336.8,326.12,323.44,313.05,301.38,304.4,299.6,297.67,289.0
Annual,Dairy cows,December,Thousand heads (animals),Slovenia,111.02,109.57,107.84,112.84,107.84,108.83,102.71,100.84,99.21,100.92,93.25,94.69
Annual,Dairy cows,December,Thousand heads (animals),Slovakia,149.79,144.88,143.08,139.26,132.61,129.86,127.87,125.85,122.05,120.07,116.91,114.9
Annual,Dairy cows,December,Thousand heads (animals),Türkiye,5385.54 e,5563.14 e,5529.97 e,5509.36 e,5406.52 e,5938.15 e,6311.5,5911.45,6017.29,6111.49,5667.25,5549.15
Annual,Dairy cows,December,Thousand heads (animals),United Kingdom,1786.0,1817.0,1883.0,1918.0,1898.0,1904.0,1879.0,1867.0,:,:,:,:
Annual,Dairy cows,December,Thousand heads (animals),Kosovo*,:,:,134.56,135.8,136.78,132.97,132.97,131.94,133.92,132.08,130.49,129.9
