Time frequency,Income and living conditions indicator,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Euro area - 18 countries (2014),12.9,13.7,13.6,14.1 e,13.8,12.2,12.7,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Euro area - 19 countries  (2015-2022),13.0,13.8,13.6,14.2 e,13.8,12.3,12.7,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,11.7 e,12.1 e,9.9 e
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Estonia,13.1 b,11.9,11.4,12.2,11.8,12.2,6.1,7.5,7.2,8.4
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Greece,20.1,17.3,20.1,17.7,17.3,13.8,14.0,14.0,12.8,17.9
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Spain,19.6,21.4,22.2,19.2,20.2,17.4,23.0,17.3,17.7,16.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",13.2 e,13.3 e,14.1 e,13.0 e,13.7 e,11.9 e,:,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,European Union - 27 countries (2007-2013),13.2,13.3,14.1,12.9 e,13.7,11.9 e,:,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,European Union - 27 countries (from 2020),13.9 e,14.3 e,14.4 e,13.9 e,14.1 e,12.0 e,11.9,11.5 e,11.9 e,10.3 e
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,European Union - 28 countries (2013-2020),13.2,13.3,14.1,13.0 e,13.7,11.9 e,:,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Finland,5.8,9.2,2.3,2.5,3.5,7.1,11.1,4.9,5.7 b,5.3
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,France,11.0,11.2,12.5,13.7,14.4,12.5,11.9,12.7,15.9,9.6
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Croatia,20.8,14.6,14.7,17.0,13.8,12.5,12.9,7.3,10.9 b,15.6
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Hungary,15.9,13.4,15.9,4.3,6.4,6.5,2.0,2.8,1.7,4.3
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Ireland,13.7,11.3,12.5,10.7,10.2,8.8,12.2 b,7.3,5.5,4.9
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Iceland,1.6,4.9,: m,3.1,1.7,1.2,:,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Italy,17.4,20.0,19.9,18.5,19.6,17.1,15.9,16.5,14.7,17.6
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Lithuania,20.5,16.7,12.3,21.5,15.2,21.4,13.4,16.1,14.4,7.6
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Luxembourg,17.8,21.3,13.6 b,33.1,22.5,17.0,0.0 b,18.4 b,14.7 b,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Latvia,11.7,12.8,14.7,13.7,7.6,8.5,6.0,7.0,9.5,2.8
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Montenegro,:,:,25.2,21.5,21.8,23.6,24.8,24.9,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,North Macedonia,23.8,12.5,14.7,21.6,28.6,22.3,21.7,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Malta,19.4,20.1,15.6,15.9,15.6,18.2,12.8,17.9,15.4,21.3
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Netherlands,11.5,10.3,11.6 b,3.9,7.6,6.7,8.7,5.5,6.2,10.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Norway,2.8,7.2,4.3,1.9,4.8,11.3,: m,4.6 b,5.0,7.6 b
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Poland,13.5,14.4,13.1,8.6,11.1,6.3,5.6,6.2,6.8,8.6
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Portugal,15.3,18.1,17.2,19.4,12.9,11.0,11.4,10.6,8.9,9.4
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Romania,29.7,31.9,36.4,28.8,33.2,21.8,22.2,21.5,22.3,21.1
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Serbia,:,:,18.1,21.7,23.4,22.3,18.0,18.9,10.8,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Sweden,3.5,4.1 b,3.2,7.2,6.5,7.4,4.5,13.3,11.9,12.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Slovenia,10.5,6.6,6.2,6.7,3.1,4.6,4.5,5.2,4.9,3.7
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Slovakia,16.2,14.6,15.0,:,:,13.9,8.9,7.3,11.0,9.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Türkiye,24.5,27.3,23.3,23.9,23.1,22.7,24.4,25.0,23.6,20.8
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,United Kingdom,9.1,7.8,12.6,7.4 b,11.4,:,:,:,:,:
