Time frequency,Economical indicator for structural business statistics,Client/Trader,Size classes in number of persons employed,Geopolitical entity (reporting)\Time,1999.0,2000.0
Annual,Turnover or gross premiums written - million euro,Public sector,From 10 to 49 persons employed,Spain,:,155.0
Annual,Turnover or gross premiums written - million euro,Public sector,From 10 to 49 persons employed,Finland,:,46.3
Annual,Turnover or gross premiums written - million euro,Public sector,From 10 to 49 persons employed,France,459.5,:
Annual,Turnover or gross premiums written - million euro,Public sector,From 10 to 49 persons employed,Luxembourg,:,27.4
Annual,Turnover or gross premiums written - million euro,Public sector,From 10 to 49 persons employed,Portugal,:,33.7
Annual,Turnover or gross premiums written - million euro,Public sector,From 10 to 49 persons employed,Sweden,452.8,:
Annual,Turnover or gross premiums written - million euro,Public sector,From 10 to 49 persons employed,United Kingdom,:,1223.0
Annual,Turnover or gross premiums written - million euro,Public sector,From 50 to 249 persons employed,Denmark,:,175.0
Annual,Turnover or gross premiums written - million euro,Public sector,From 50 to 249 persons employed,Spain,:,334.7
Annual,Turnover or gross premiums written - million euro,Public sector,From 50 to 249 persons employed,Finland,:,100.1
Annual,Turnover or gross premiums written - million euro,Public sector,From 50 to 249 persons employed,France,640.0,:
Annual,Turnover or gross premiums written - million euro,Public sector,From 50 to 249 persons employed,Luxembourg,:,44.9
Annual,Turnover or gross premiums written - million euro,Public sector,From 50 to 249 persons employed,Portugal,:,39.2
Annual,Turnover or gross premiums written - million euro,Public sector,From 50 to 249 persons employed,Sweden,193.8,:
Annual,Turnover or gross premiums written - million euro,Public sector,From 50 to 249 persons employed,United Kingdom,:,597.1
Annual,Turnover or gross premiums written - million euro,Public sector,250 persons employed or more,Denmark,:,415.6
Annual,Turnover or gross premiums written - million euro,Public sector,250 persons employed or more,Spain,:,699.4
Annual,Turnover or gross premiums written - million euro,Public sector,250 persons employed or more,Finland,:,220.0
Annual,Turnover or gross premiums written - million euro,Public sector,250 persons employed or more,France,875.7,:
Annual,Turnover or gross premiums written - million euro,Public sector,250 persons employed or more,Portugal,:,1.2
Annual,Turnover or gross premiums written - million euro,Public sector,250 persons employed or more,Sweden,588.7,:
Annual,Turnover or gross premiums written - million euro,Public sector,250 persons employed or more,United Kingdom,:,2690.7
Annual,Turnover or gross premiums written - million euro,Public sector,Fewer than 10 persons employed,Denmark,:,132.8
Annual,Turnover or gross premiums written - million euro,Public sector,Fewer than 10 persons employed,Spain,:,320.7
Annual,Turnover or gross premiums written - million euro,Public sector,Fewer than 10 persons employed,Finland,:,45.9
Annual,Turnover or gross premiums written - million euro,Public sector,Fewer than 10 persons employed,France,297.0,:
Annual,Turnover or gross premiums written - million euro,Public sector,Fewer than 10 persons employed,Luxembourg,:,40.7
Annual,Turnover or gross premiums written - million euro,Public sector,Fewer than 10 persons employed,Portugal,:,10.0
Annual,Turnover or gross premiums written - million euro,Public sector,Fewer than 10 persons employed,Sweden,217.0,:
Annual,Turnover or gross premiums written - million euro,Public sector,Fewer than 10 persons employed,United Kingdom,:,1907.9
Annual,Turnover or gross premiums written - million euro,Public sector,Total,Denmark,:,853.6
Annual,Turnover or gross premiums written - million euro,Public sector,Total,Spain,:,1509.8
Annual,Turnover or gross premiums written - million euro,Public sector,Total,Finland,:,412.3
Annual,Turnover or gross premiums written - million euro,Public sector,Total,France,2272.1,:
Annual,Turnover or gross premiums written - million euro,Public sector,Total,Luxembourg,:,113.1
Annual,Turnover or gross premiums written - million euro,Public sector,Total,Portugal,:,84.1
Annual,Turnover or gross premiums written - million euro,Public sector,Total,Sweden,1452.3,:
Annual,Turnover or gross premiums written - million euro,Public sector,Total,United Kingdom,:,6418.7
Annual,Turnover or gross premiums written - million euro,Households,From 10 to 49 persons employed,Denmark,:,15.9
Annual,Turnover or gross premiums written - million euro,Households,From 10 to 49 persons employed,Spain,:,5.1
Annual,Turnover or gross premiums written - million euro,Households,From 10 to 49 persons employed,Finland,:,1.2
Annual,Turnover or gross premiums written - million euro,Households,From 10 to 49 persons employed,France,319.4,:
Annual,Turnover or gross premiums written - million euro,Households,From 10 to 49 persons employed,Luxembourg,:,1.0
Annual,Turnover or gross premiums written - million euro,Households,From 10 to 49 persons employed,Portugal,:,5.2
Annual,Turnover or gross premiums written - million euro,Households,From 10 to 49 persons employed,Sweden,2.8,:
Annual,Turnover or gross premiums written - million euro,Households,From 10 to 49 persons employed,United Kingdom,:,334.9
Annual,Turnover or gross premiums written - million euro,Households,From 50 to 249 persons employed,Denmark,:,45.7
Annual,Turnover or gross premiums written - million euro,Households,From 50 to 249 persons employed,Spain,:,14.1
Annual,Turnover or gross premiums written - million euro,Households,From 50 to 249 persons employed,Finland,:,54.3
Annual,Turnover or gross premiums written - million euro,Households,From 50 to 249 persons employed,France,347.0,:
Annual,Turnover or gross premiums written - million euro,Households,From 50 to 249 persons employed,Portugal,:,0.5
Annual,Turnover or gross premiums written - million euro,Households,From 50 to 249 persons employed,Sweden,2.3,:
Annual,Turnover or gross premiums written - million euro,Households,From 50 to 249 persons employed,United Kingdom,:,195.3
Annual,Turnover or gross premiums written - million euro,Households,250 persons employed or more,Denmark,:,18.7
Annual,Turnover or gross premiums written - million euro,Households,250 persons employed or more,Spain,:,1.0
Annual,Turnover or gross premiums written - million euro,Households,250 persons employed or more,France,157.5,:
Annual,Turnover or gross premiums written - million euro,Households,250 persons employed or more,Sweden,1.2,:
Annual,Turnover or gross premiums written - million euro,Households,Fewer than 10 persons employed,Denmark,:,30.1
Annual,Turnover or gross premiums written - million euro,Households,Fewer than 10 persons employed,Spain,:,19.7
Annual,Turnover or gross premiums written - million euro,Households,Fewer than 10 persons employed,Finland,:,8.2
Annual,Turnover or gross premiums written - million euro,Households,Fewer than 10 persons employed,France,347.0,:
Annual,Turnover or gross premiums written - million euro,Households,Fewer than 10 persons employed,Luxembourg,:,14.5
Annual,Turnover or gross premiums written - million euro,Households,Fewer than 10 persons employed,Portugal,:,21.2
Annual,Turnover or gross premiums written - million euro,Households,Fewer than 10 persons employed,Sweden,19.2,:
Annual,Turnover or gross premiums written - million euro,Households,Fewer than 10 persons employed,United Kingdom,:,564.7
Annual,Turnover or gross premiums written - million euro,Households,Total,Denmark,:,110.4
Annual,Turnover or gross premiums written - million euro,Households,Total,Spain,:,40.0
Annual,Turnover or gross premiums written - million euro,Households,Total,Finland,:,63.7
Annual,Turnover or gross premiums written - million euro,Households,Total,France,1170.8,:
Annual,Turnover or gross premiums written - million euro,Households,Total,Luxembourg,:,15.5
Annual,Turnover or gross premiums written - million euro,Households,Total,Portugal,:,26.9
Annual,Turnover or gross premiums written - million euro,Households,Total,Sweden,25.5,:
Annual,Turnover or gross premiums written - million euro,Households,Total,United Kingdom,:,1095.0
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Denmark,:,871.0
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Spain,:,1611.7
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Finland,:,541.2
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,France,6675.1,:
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Luxembourg,:,302.3
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Portugal,:,311.9
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Sweden,3260.3,:
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,United Kingdom,:,12815.0
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,Denmark,:,1054.3
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,Spain,:,2137.1
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,Finland,:,1097.9
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,France,8078.4,:
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,Luxembourg,:,124.1
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,Portugal,:,394.3
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,Sweden,1895.0,:
Annual,Turnover or gross premiums written - million euro,Total,From 50 to 249 persons employed,United Kingdom,:,11079.0
Annual,Turnover or gross premiums written - million euro,Total,250 persons employed or more,Denmark,:,1418.1
Annual,Turnover or gross premiums written - million euro,Total,250 persons employed or more,Spain,:,5572.3
Annual,Turnover or gross premiums written - million euro,Total,250 persons employed or more,Finland,:,1269.5
Annual,Turnover or gross premiums written - million euro,Total,250 persons employed or more,France,11144.0,:
Annual,Turnover or gross premiums written - million euro,Total,250 persons employed or more,Portugal,:,220.1
Annual,Turnover or gross premiums written - million euro,Total,250 persons employed or more,Sweden,4107.0,:
Annual,Turnover or gross premiums written - million euro,Total,250 persons employed or more,United Kingdom,:,22049.0
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,Denmark,:,1553.7
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,Spain,:,1595.4
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,Finland,:,499.2
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,France,5608.1,:
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,Luxembourg,:,586.7
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,Portugal,:,351.1
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,Sweden,1290.3,:
Annual,Turnover or gross premiums written - million euro,Total,Fewer than 10 persons employed,United Kingdom,:,22697.0
Annual,Turnover or gross premiums written - million euro,Total,Total,Denmark,:,4897.1
Annual,Turnover or gross premiums written - million euro,Total,Total,Spain,:,10917.0
Annual,Turnover or gross premiums written - million euro,Total,Total,Finland,:,3407.8
Annual,Turnover or gross premiums written - million euro,Total,Total,France,31506.0,:
Annual,Turnover or gross premiums written - million euro,Total,Total,Luxembourg,:,1013.1
Annual,Turnover or gross premiums written - million euro,Total,Total,Portugal,:,1277.3
Annual,Turnover or gross premiums written - million euro,Total,Total,Sweden,10552.0,:
Annual,Turnover or gross premiums written - million euro,Total,Total,United Kingdom,:,68641.0
