Time frequency,Unit of measure,Sex,Health indicator,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Year,Total,Healthy life years in absolute value at birth,Slovenia,58.5,58.7,58.1,58.3,55.0,55.5,60.9,65.1,65.4,66.7
Annual,Year,Total,Healthy life years in absolute value at birth,Slovakia,54.4,55.1,54.9,56.7,55.6,56.1,56.2,56.7,56.8,57.3
Annual,Year,Total,Healthy life years in absolute value at birth,United Kingdom,64.6,63.8,63.5,63.1,62.7,61.2,:,:,:,:
Annual,Year,Total,Healthy life years in absolute value at 50,Austria,17.3,16.1,15.8,15.6,15.4,15.5,15.9,16.5,18.4,18.0
Annual,Year,Total,Healthy life years in absolute value at 50,Belgium,20.4,20.5,20.4,20.0,20.4,20.3,19.4 b,20.0,20.6,20.1
Annual,Year,Total,Healthy life years in absolute value at 50,Bulgaria,19.5,19.0,18.9,19.9 b,18.7,19.8,20.0,19.3,18.0,20.4 b
Annual,Year,Total,Healthy life years in absolute value at 50,Switzerland,19.5 b,18.7,18.9,19.0,19.7,19.3,19.9,20.2,20.3,19.6
Annual,Year,Total,Healthy life years in absolute value at 50,Cyprus,19.2,20.0,17.8,21.7,19.4,17.1,17.2,17.3,20.1,19.6
Annual,Year,Total,Healthy life years in absolute value at 50,Czechia,17.9,18.5,18.0,18.1,17.3,17.6,17.2,16.5,16.9,16.9
Annual,Year,Total,Healthy life years in absolute value at 50,Germany,14.8,14.4,21.4 b,21.3,21.3,21.3,21.7,20.6 b,20.4,17.2 bu
Annual,Year,Total,Healthy life years in absolute value at 50,Denmark,20.5,20.2,19.7,20.2,20.0,19.9,19.5,19.4 b,17.9,18.1
Annual,Year,Total,Healthy life years in absolute value at 50,Estonia,12.9,12.8,12.7,14.4,13.7,13.0,14.7,15.2,15.1,16.1
Annual,Year,Total,Healthy life years in absolute value at 50,Greece,17.9,17.7,18.1,18.3,18.5,18.4,19.0,18.8,18.7,20.2
Annual,Year,Total,Healthy life years in absolute value at 50,Spain,19.1,19.6,19.0,20.5,23.1,22.0,23.3,21.5,19.7,18.7
Annual,Year,Total,Healthy life years in absolute value at 50,European Union - 27 countries (from 2020),17.2,17.3,18.5 b,19.4,19.4,19.5,20.0,19.4,19.2,18.6 b
Annual,Year,Total,Healthy life years in absolute value at 50,European Union - 28 countries (2013-2020),17.6,17.6,18.7 b,19.5,19.5,19.5,:,:,:,:
Annual,Year,Total,Healthy life years in absolute value at 50,Finland,:,17.5,17.6,17.8,17.7,17.9,17.8,18.3,20.1,17.5
Annual,Year,Total,Healthy life years in absolute value at 50,France,19.9,20.2,19.7,19.6,19.7,20.3,20.6,20.4 b,21.8,20.7 bp
Annual,Year,Total,Healthy life years in absolute value at 50,Croatia,14.0 b,14.2,12.0,13.2,13.0,13.0,12.7,13.4,13.6,14.5 b
Annual,Year,Total,Healthy life years in absolute value at 50,Hungary,14.4,14.4,14.0,14.9,15.4,16.1,16.2,16.9,16.6,16.6 b
Annual,Year,Total,Healthy life years in absolute value at 50,Ireland,21.7,22.2,22.3,23.2,23.4,23.9,24.3,22.0 b,22.9,22.0
Annual,Year,Total,Healthy life years in absolute value at 50,Iceland,25.9,25.7,26.1,24.8,23.0,22.3,:,:,:,:
Annual,Year,Total,Healthy life years in absolute value at 50,Italy,17.3,17.4,17.6,21.3 b,20.2,20.4,21.8,21.4,21.8,21.4
Annual,Year,Total,Healthy life years in absolute value at 50,Lithuania,15.0,15.2,13.5,14.0,14.5,14.6,14.9,14.0,14.3,16.0
Annual,Year,Total,Healthy life years in absolute value at 50,Luxembourg,19.7,20.2,18.8,17.5 b,17.5,18.0,19.5,20.0 b,20.0 b,18.6 b
Annual,Year,Total,Healthy life years in absolute value at 50,Latvia,11.2 b,11.2,10.9,11.4,10.5,11.3,11.4,11.1,11.8,11.6
Annual,Year,Total,Healthy life years in absolute value at 50,Malta,24.6,25.7,25.7,24.5,25.6,25.7,26.6,24.2,22.7,23.5 p
Annual,Year,Total,Healthy life years in absolute value at 50,Netherlands,17.9,19.0,18.4,18.7 b,18.7,18.3,18.7,18.9,18.3,17.5
Annual,Year,Total,Healthy life years in absolute value at 50,Norway,25.4,26.4,26.3,25.9,26.5,26.1,26.3,25.6,:,24.4
Annual,Year,Total,Healthy life years in absolute value at 50,Poland,16.4,16.6,16.9,17.7,17.5,17.5,17.8,17.5,17.6,17.6 b
Annual,Year,Total,Healthy life years in absolute value at 50,Portugal,18.7,14.1 b,13.9,15.5,15.9,15.9,16.0,16.5,16.0,16.6 bp
Annual,Year,Total,Healthy life years in absolute value at 50,Romania,13.7,14.0,14.4,14.4,13.8,14.5,15.3,14.9,12.3,12.9 e
Annual,Year,Total,Healthy life years in absolute value at 50,Sweden,23.3,27.3 b,27.3,27.3,27.3,27.1,27.8,27.4,25.1,24.7
Annual,Year,Total,Healthy life years in absolute value at 50,Slovenia,15.5,16.6,16.0,16.3,14.4,15.1,17.3,20.0,20.4,21.2
Annual,Year,Total,Healthy life years in absolute value at 50,Slovakia,11.2,11.6,11.5,12.4,11.8,12.2,12.3,12.6,12.8,13.1
Annual,Year,Total,Healthy life years in absolute value at 50,United Kingdom,20.7,20.0,20.1,20.4,20.5,19.7,:,:,:,:
Annual,Year,Total,Healthy life years in absolute value at 65,Austria,8.9,8.0,7.8,7.8,7.6,7.4,7.7,8.1,9.5,9.4
Annual,Year,Total,Healthy life years in absolute value at 65,Belgium,10.8,11.0,11.1,10.9,11.1,11.1,10.6 b,10.8,11.2,10.8
Annual,Year,Total,Healthy life years in absolute value at 65,Bulgaria,9.4,9.2,9.2,9.7 b,8.8,9.8,9.9,9.3,8.4,10.1 b
Annual,Year,Total,Healthy life years in absolute value at 65,Switzerland,10.5 b,9.9,10.0,9.9,10.6,10.4,10.9,10.9,11.3,10.7
Annual,Year,Total,Healthy life years in absolute value at 65,Cyprus,9.1,9.5,7.8,10.7,9.0,7.5,7.6,7.3,9.2,8.7
Annual,Year,Total,Healthy life years in absolute value at 65,Czechia,8.7,8.9,8.3,8.6,8.0,8.3,8.1,7.5,7.6,7.4
Annual,Year,Total,Healthy life years in absolute value at 65,Germany,7.0,6.8,11.9 b,12.0,11.9,11.9,12.2,11.1 b,10.8,8.4 bu
Annual,Year,Total,Healthy life years in absolute value at 65,Denmark,12.1,11.9,11.5,11.7,11.6,11.3,11.3,11.2 b,9.9,10.2
Annual,Year,Total,Healthy life years in absolute value at 65,Estonia,5.4,5.5,5.3,6.4,5.9,5.7,6.9,7.1,7.0,7.6
Annual,Year,Total,Healthy life years in absolute value at 65,Greece,7.4,7.4,7.7,7.9,7.9,7.3,7.9,7.6,7.7,8.8
Annual,Year,Total,Healthy life years in absolute value at 65,Spain,9.3,9.7,9.2,10.4,12.4,11.4,12.4,11.6,10.5,9.7
Annual,Year,Total,Healthy life years in absolute value at 65,European Union - 27 countries (from 2020),8.3,8.4,9.3 b,9.9,9.9,9.9,10.3,9.8,9.7,9.1 b
Annual,Year,Total,Healthy life years in absolute value at 65,European Union - 28 countries (2013-2020),8.6,8.6,9.4 b,10.0,10.0,10.0,:,:,:,:
