Time frequency,Unit of measure,Live animals,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand heads (animals),Live sheep,Tunisia,7215.0,7484.0,7618.0,7301.0,7362.0,7234.1,6802.4,6802.4,6855.5,6805.7,6490.2,6486.0,6406.1 d,:,:,:,:,:
Annual,Thousand heads (animals),Milk ewes and ewe-lambs put to the ram,Algeria,10396.2 d,10696.6 d,10899.5 d,10924.6 d,11852.0 d,13086.9 d,13848.7 d,14620.9 d,15297.2 d,16191.0 d,16764.9 d,17161.3 d,17709.6 d,18075.0,18493.0,19279.8,19380.7,:
Annual,Thousand heads (animals),Milk ewes and ewe-lambs put to the ram,Israel,58.5,58.5,48.1,45.5,45.5,46.5,38.0,34.0,34.0,35.7,36.0,34.0,36.0,36.0,36.0,35.0,35.0,35.0
Annual,Thousand heads (animals),Milk ewes and ewe-lambs put to the ram,Jordan,1430.1,1499.7,1627.0,1925.9,1340.3,1613.5,1694.7,1628.0,1709.0,1958.0,1884.5,2323.1,2268.7,2331.1,2237.0,2232.9,2289.7,2209.5
Annual,Thousand heads (animals),Milk ewes and ewe-lambs put to the ram,Lebanon,182.7,202.4,218.6,227.2,204.7,:,:,:,:,:,242.7 e,236.6 e,252.3 e,:,:,:,257.6 e,:
Annual,Thousand heads (animals),Milk ewes and ewe-lambs put to the ram,Libya,:,:,3257553.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand heads (animals),Milk ewes and ewe-lambs put to the ram,Palestine*,803.2 e,793.9 e,741.2 e,688.9 e,:,410.9,:,:,502.6,:,:,:,:,:,:,:,583.4,:
Annual,Thousand heads (animals),Milk ewes and ewe-lambs put to the ram,Tunisia,4036.0,4095.0,4181.0,4097.0,4075.0,3972.9,3964.0,3852.0,3842.0,3889.2,3799.5,3763.0,3736.8 d,:,:,:,:,:
Annual,Thousand heads (animals),Live goats,Algeria,3589.9,3754.6,3837.9,3751.4,3962.1,4287.3,4411.0,4594.5,4910.7,5129.8,5014.0,4935.0,5007.9,4908.4,4986.1,4908.1,5024.8,:
Annual,Thousand heads (animals),Live goats,Egypt,3802.6,3877.3,4210.7,4473.5,4139.3,4175.0,4258.2,4306.3,4153.3,4185.8,4046.2,4260.0,3974.0,3572.0,:,:,:,:
Annual,Thousand heads (animals),Live goats,Israel,83.0,87.0,87.0,90.0,91.0,100.0,107.0,100.0,100.0,108.0,128.5,118.4,124.0,108.0,107.0,116.0,116.0,145.0
Annual,Thousand heads (animals),Live goats,Jordan,516.1,473.8,596.4,1083.3,919.8,751.7,752.2,792.0,836.5,857.3,860.2,977.8,772.7,742.2,764.5,762.8,803.9,733.2
Annual,Thousand heads (animals),Live goats,Lebanon,494.7,484.4,434.7,399.1,430.1,:,:,:,:,:,527.0 e,499.2 e,541.7 e,:,:,:,347.1 e,:
Annual,Thousand heads (animals),Live goats,Libya,:,:,1080420.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand heads (animals),Live goats,Morocco,5275.2,5339.7,5135.8,5178.3,5283.7,5685.7,5991.4,6189.8,6236.0,6147.0,6231.0,5965.0,5741.3,5731.8,5993.7,5980.8,6207.4,6045.2 p
Annual,Thousand heads (animals),Live goats,Palestine*,371.2 e,387.1 e,343.6 e,322.1 e,:,219.4,240.1,:,215.3,:,:,:,:,:,:,:,240.0,:
Annual,Thousand heads (animals),Live goats,Tunisia,1427.0,1497.0,1551.0,1496.0,1455.0,1295.9,1272.5,1272.5,1274.5,1248.2,1162.3,1200.0,1184.6 d,:,:,:,:,:
Annual,Thousand heads (animals),Chicks of chicken,Israel,197890.0,215108.0,225219.0,228488.0,230765.0,241119.0,245493.0,242984.0,231548.0,235627.0,244153.8,266103.8,282830.0,255062.5,240480.0,264622.0,243458.9,249298.0
Annual,Thousand heads (animals),Chicks of chicken,Jordan,124441.2,102799.5,127118.5,124508.4,144707.0,162333.0,175271.8,179351.4,168568.3,173929.7,158432.1,178311.7,183960.0,187171.9,190506.8,217816.4,204565.0,212809.0
Annual,Thousand heads (animals),Chicks of chicken,Palestine*,40878.2,27974.5,35996.5,25545.7 d,25346.2,57003.5,60356.3,64524.0,64330.9,47724.8 d,76303.1,86739.0 d,98448.4,89162.3,72100.4,77864.7 d,81407.1 d,:
Annual,Thousand heads (animals),Chicks of laying hen breeds (laying),Egypt,:,20024.0,:,:,27430.0,29704.0,26889.0,29773.0,29473.0,:,:,:,:,:,:,:,:,:
Annual,Thousand heads (animals),Chicks of laying hen breeds (laying),Israel,4774.0,5009.0,5664.0,4478.0,5644.0,5486.0,5985.0,5195.0,6378.0,6574.0,7114.0,7055.8,6427.0,7183.5,6301.0,6647.0,7450.9,6793.0
Annual,Thousand heads (animals),Chicks of laying hen breeds (laying),Jordan,:,:,:,:,:,4136.0,3847.0,3263.0,3598.0,3992.0,4117.0,3774.7,3824.3,5266.8,4136.9,3714.7,3977.4,4125.8
Annual,Thousand heads (animals),Chicks of laying hen breeds (laying),Morocco,12000.0,12000.0,12000.0,13000.0,13200.0,14000.0,20000.0,15000.0,15600.0,20000.0,16000.0,14000.0,14000.0,15000.0 p,16000.0 p,:,:,:
Annual,Thousand heads (animals),Chicks of laying hen breeds (laying),Palestine*,469.4 de,345.1 de,1984.4 de,393.6 de,33.7 de,714.6 de,512.8 de,432.4 de,360.9 de,:,767.1 de,:,432.0 de,531.9 de,307.5 de,397.4 d,487.7 d,:
Annual,Thousand heads (animals),Chicks of laying hen breeds (laying),Tunisia,8566.0,8269.0,8198.0,8578.0,9131.0,8931.0,8863.0,9039.0,9387.0,9652.0,:,:,:,:,:,:,:,:
Annual,Thousand heads (animals),Chicks of meat broiler breeds (fattening),Egypt,:,362837.0,447856.0,389509.0,415549.0,450522.0,487904.0,520287.0,544695.0,577821.0,597613.5,586499.5,605100.3,621946.0,605719.0,:,:,:
Annual,Thousand heads (animals),Chicks of meat broiler breeds (fattening),Israel,193116.0,210099.0,219555.0,224010.0,225121.0,235633.0,239508.0,237789.0,225170.0,229053.0,237039.8,259048.0,276403.0,247879.0,234179.0,257975.0,236008.0,242505.0
Annual,Thousand heads (animals),Chicks of meat broiler breeds (fattening),Jordan,:,:,:,:,:,:,:,:,:,:,:,:,:,:,249.6,295.7,333.0,339.5
Annual,Thousand heads (animals),Chicks of meat broiler breeds (fattening),Morocco,278000.0,267628.0,280000.0,330000.0,320000.0,350000.0,380000.0,350000.0,340000.0,380000.0,450000.0,400000.0,490000.0,450000.0 p,480000.0 p,:,:,:
Annual,Thousand heads (animals),Chicks of meat broiler breeds (fattening),Palestine*,40408.8 de,27629.4 de,34012.1 de,25152.1 de,25312.5 de,56288.9 de,59843.5 de,64091.6 de,63970.0 de,47724.8 de,75536.0 de,86739.0 de,98016.4 de,88630.4 de,71792.9 de,77467.3 d,80919.4 d,:
Annual,Thousand heads (animals),Chicks of meat broiler breeds (fattening),Tunisia,68544.0,51900.0,65992.0,68762.0,71140.0,79036.0,75490.0,89115.0,97172.0,103178.0,:,:,:,:,:,:,:,:
