Time frequency,Demographic indicator,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Crude rate of net migration plus statistical adjustment,Kosovo*,8.4 e,-9.4 e,-18.7 e,-27.8 e,-1.7 e,0.2 e,-9.2,-14.5,1.6 p,-19.1,:,:
Annual,Crude rate of total population change,Andorra,-24.2,:,:,:,19.0 e,:,18.3 e,17.8 e,:,:,25.5,42.2
Annual,Crude rate of total population change,Albania,-1.8,-1.9,-2.3,-3.5,0.3,-2.2,-2.8,-5.8,-5.7,-12.9,-11.5,:
Annual,Crude rate of total population change,Armenia,:,:,:,-4.0,-4.2,-4.5,-2.5,-1.9,1.2,:,:,4.7
Annual,Crude rate of total population change,Austria,5.2,6.6,9.0,13.4,8.3,5.6,4.1,4.8,3.5,5.2,13.9,5.9
Annual,Crude rate of total population change,Azerbaijan,13.1,12.8,12.2,11.7,10.7,8.9,8.4,8.5,5.2,3.7,-2.9,5.3
Annual,Crude rate of total population change,Bosnia and Herzegovina,-0.9,-1.2,-1.5,:,-1.8,-2.7,-2.4 p,:,:,:,-6.7 p,-7.0 p
Annual,Crude rate of total population change,Belgium,5.6 b,3.8,5.0,6.5,3.6,4.1,5.0,5.8,2.8,5.4,10.7,7.6 p
Annual,Crude rate of total population change,Bulgaria,-5.8,-11.9,-12.4,-13.0,-12.9,-13.5,-13.9,-14.3,-5.7,-7.6,-5.4,-0.3
Annual,Crude rate of total population change,Belarus,-0.1,0.5,1.3,1.8 e,0.7,-1.4,-1.8,-7.1,:,:,:,:
Annual,Crude rate of total population change,Switzerland,10.6,12.4,12.0,10.8,11.0,7.6,7.1,7.2,7.4,7.9,8.7,16.4 p
Annual,Crude rate of total population change,Cyprus,4.5,-9.1,-12.9,1.5,7.6,11.0,13.4,13.7,9.0,9.7,17.5,13.8 p
Annual,Crude rate of total population change,Czechia,1.0,-0.4,2.5,1.5,2.4,2.9,3.7,4.1,0.7,2.1 b,29.1 b,6.7
Annual,Crude rate of total population change,Germany,2.4,3.0,5.3,12.0,4.2,3.3,2.7,1.8,-0.1,1.0,13.4,-10.9 ep
Annual,Crude rate of total population change,Denmark,4.0,4.4,5.8,8.4,7.2,5.6,4.3,2.9,3.0,5.7,10.0,4.8
Annual,Crude rate of total population change,Euro area - 19 countries  (2015-2022),1.9 b,1.5 e,2.2 be,3.6 be,2.2,2.2 b,4.4,2.8 b,0.3,0.9 p,7.9 p,4.8 ep
Annual,Crude rate of total population change,Euro area – 20 countries (from 2023),1.7 b,1.3 e,2.0 be,3.5 be,2.0,1.9 b,4.2,2.7 b,0.1,0.8 p,7.7 p,4.7 ep
Annual,Crude rate of total population change,Estonia,-3.8,-3.3,-1.9,0.8 b,-0.2,2.7,4.3,3.1,0.8,1.3,25.3,6.4
Annual,Crude rate of total population change,Greece,-7.5,-7.0,-6.3,-6.9,-1.4,-2.5,-1.5,-0.6,-3.7,-20.7,-4.4 b,-1.6 ep
Annual,Crude rate of total population change,Spain,-1.9,-4.7,-1.5,-0.1,1.7,3.2,5.9,8.5,1.7,1.8,12.5,10.9 p
Annual,Crude rate of total population change,European Union - 27 countries (from 2020),1.0 b,0.7 be,1.5 be,2.4 be,1.5 e,1.4 be,3.1 e,2.0 be,-2.1 be,-0.1 bep,6.6 bep,3.7 ep
Annual,Crude rate of total population change,Finland,4.7,4.5,3.8,2.8,2.9,1.8,0.9,1.3,1.5,2.6,2.8,7.1
Annual,Crude rate of total population change,France,4.9,5.2,4.4 b,2.7,2.6,3.2,3.9,2.7,3.8,3.4 p,3.2 p,3.4 p
Annual,Crude rate of total population change,Metropolitan France,5.1,:,:,:,:,:,:,:,:,:,:,:
