Time frequency,Reason,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Romania,0.5,0.5,0.4,0.3,0.3 b,0.2,0.2 u,0.2,0.1 u,0.2,0.1 u,: u,0.1 u,: u,: u,0.4 b,0.3,0.2 u
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Serbia,:,:,:,:,1.7,1.4,1.7,2.0,2.2 b,2.5,2.0,1.8,2.1,2.1,1.9,1.0 b,0.7,0.6
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Sweden,: u,: u,0.1 u,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.1 b,0.2 u,0.2 u,0.1 bu,0.2 u,: u
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Slovenia,0.4 u,0.3 u,0.3 u,0.2 u,0.2 u,0.3 u,0.2 u,0.5 u,0.6,0.4 u,0.4 u,0.4 u,0.4 u,0.4 u,0.4 u,0.3 bu,0.3 u,0.4 u
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Slovakia,1.1,1.0,0.9,0.9,0.9,0.8 b,0.9,1.1,1.3,1.1,1.1,1.2,1.1,0.8,0.9,0.5 bu,0.4 u,0.5
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Türkiye,0.6,0.5,0.6,0.9,0.9,0.8,0.8,1.0,1.2 b,1.1,1.1,1.1,1.1,1.0,2.0,2.5 b,2.4,3.1
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,United Kingdom,:,:,2.0 b,2.1,1.9,1.8,2.0,1.8,1.9,1.9,1.8,1.5,1.4,1.4,:,:,:,:
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Austria,: u,: bu,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: bu,:,:
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Belgium,: u,: u,: u,: u,: u,:,: u,: u,: u,: u,: u,: bu,: u,: u,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Bulgaria,: u,: u,: bu,: u,: bu,: bu,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Switzerland,: u,: u,: u,: u,0.1 bu,0.0 u,0.1 u,0.1 u,0.1 u,0.1 u,0.0 u,0.1 u,0.1 u,0.1 u,0.1 u,0.1 bu,0.1 u,0.1 u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Cyprus,: u,:,:,: bu,: u,:,:,: u,: u,: u,:,:,: u,: u,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Czechia,0.0 u,0.0 u,0.0 u,0.0 u,0.0 u,: bu,: u,: u,: u,0.1 u,: u,0.0 u,: u,: u,: u,0.0 bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Germany,: bu,: u,: u,: u,: bu,: bu,0.0 b,0.1,0.1,0.1,0.1,0.1,0.1,0.1,:,: bu,0.1 u,0.1 u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Denmark,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: u,:,: bu,: u,: u,: u,: bu,: u,: bu
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Euro area – 20 countries (from 2023),: u,: u,: u,: u,: u,: u,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 b,0.1,0.1
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Estonia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Greece,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: u,: u,0.1 u,0.1 u,0.0 u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Spain,0.0 bu,0.0 u,0.0 u,0.0 u,0.0 u,0.1,0.1 u,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 bd,0.2 d,0.2 d
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,European Union - 27 countries (from 2020),: u,0.0,: u,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 b,0.1,0.1
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Finland,:,:,: bu,: u,: u,:,: u,: u,: u,: u,: u,: u,: u,: u,:,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,France,: bu,: u,: u,: u,: u,: u,: u,: bu,: bu,: u,: u,: u,: u,0.1 u,: u,0.1 bdu,0.1 du,0.1 du
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Croatia,: bu,: u,: u,: u,: u,:,: bu,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Hungary,0.1 u,0.1 u,0.1 u,0.1 u,0.1 u,0.2,0.2,0.2,0.1 u,0.2,0.2,0.1 u,0.1 bu,0.1 u,0.1 u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Ireland,: u,: bu,: u,: u,: u,: u,: bu,: u,: u,: u,0.1 u,0.2 b,0.4,0.3 u,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Iceland,:,:,: u,:,:,:,: u,:,: u,: u,: u,:,: u,:,: bu,:,:,:
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Italy,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 b,0.1,0.1,0.1 b,0.1,0.1
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Lithuania,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Luxembourg,:,:,: u,: bu,: u,: u,: u,: u,: u,: bu,: u,: u,: u,0.3 u,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Latvia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Montenegro,:,:,:,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,North Macedonia,0.1 u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,0.1 u,0.1 u,:,:,:
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Malta,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,: u,: bu,: u,:
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Netherlands,: bu,: u,: u,: u,:,:,: u,: bu,:,: u,: u,: u,: u,: u,:,0.2 b,0.2,0.1 u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Norway,: bu,: u,:,: u,: u,: u,:,:,: u,: u,: u,:,:,: u,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Poland,0.1 u,0.1 u,0.1 u,0.1 u,0.1 bu,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2 b,0.2,0.1 bu,0.1 u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Portugal,: u,: u,: u,:,: u,: bu,: u,: u,: u,: u,: u,: u,: u,: u,0.2,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Romania,: u,: u,: u,: u,: bu,: u,: u,:,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Serbia,:,:,:,:,: u,: u,: u,: u,0.1 bu,0.1 u,0.1 u,0.1 u,0.1 u,0.1 u,0.1 u,0.1 bu,0.1 u,0.1 u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Sweden,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Slovenia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Slovakia,: u,: u,: u,: u,0.1 u,0.1 bu,: u,0.1 u,0.2 u,0.1 u,0.1 u,0.2 u,0.1 u,0.2 u,: u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,Türkiye,0.0 u,0.0 u,0.0,0.0 u,0.0,0.0,0.0 u,0.0,0.0 b,0.0,0.0,0.0,0.0,0.0,0.0,0.1 b,0.1,0.1
Annual,Care of adults with disabilities or children,Males,From 20 to 64 years,Percentage of total population,United Kingdom,:,:,0.3 b,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,:,:,:,:
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Austria,0.8,0.8 b,0.8,0.8,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.6 b,0.7,0.6
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.3 b,0.3,0.3
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Belgium,0.1,0.1,0.1 u,0.1,0.1,:,0.1,0.2,0.2,0.2,0.2,0.2 b,0.2,0.2,0.2,0.2 b,0.2,0.2
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Bulgaria,0.3,0.3,0.2 bu,0.1 u,0.2 bu,0.1 bu,0.2 u,0.2 u,0.2 u,: u,0.1 u,: u,: u,: bu,: u,0.3 bu,0.2 u,0.2 u
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Switzerland,1.7,1.6,1.3,1.2,1.4 b,1.2,1.1,1.1,1.1,1.1,1.1,1.0,0.9,0.9,0.8,1.0 b,1.0,1.0
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Cyprus,0.8,0.5,0.4,0.4 b,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.4,0.5,0.3,0.3,0.6 b,0.4,0.3
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Czechia,0.6,0.6,0.5,0.5,0.4,0.5 b,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.3 b,0.2,0.2
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Germany,0.4 b,0.5,0.5,0.5,0.5 b,0.6 b,0.7 b,0.6,0.6,0.6,0.6,0.6,0.6,0.6,:,0.7 b,0.8,0.7
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Denmark,0.1 u,0.2,0.2 b,0.1,0.2,0.2,0.1 u,0.1,0.2,0.1,0.2 b,0.2 b,0.2,0.2,0.2,0.1 b,0.1,0.1 bu
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Euro area – 20 countries (from 2023),0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.7,0.6,0.6,0.7,0.6 b,0.6,0.6
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Estonia,1.1,1.3,1.0,0.9,0.9,0.9,1.0,0.8,0.8,0.9,1.0,1.0,1.0,0.8,1.0,0.4 bu,0.5,0.5
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Greece,0.4,0.4,0.4,0.4 b,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6 b,0.5,0.4
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Spain,0.7 b,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.7 bd,0.7 d,0.6 d
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,European Union - 27 countries (from 2020),0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.6 b,0.5,0.5
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Finland,:,:,0.1 bu,0.1 u,0.1,0.1 u,0.1 u,0.2,0.1 u,0.2,0.1 u,0.2,0.2,0.1 u,0.1 u,0.1 bu,0.1 u,0.1 u
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,France,0.4 b,0.2,0.2,0.2,0.2,0.2,0.2,0.4 b,0.4 b,0.6,0.5,0.6,0.6,0.6,0.5,0.4 bd,0.4 d,0.4 d
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Croatia,0.5 bu,0.4 u,0.4,0.4,0.4 u,0.5,0.6 b,0.8,0.5,0.5,0.7,0.6,0.6,0.4 u,0.3 u,0.3 bu,0.4 u,0.4 u
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Hungary,0.7,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.9,0.9,0.8,0.8 b,0.8,0.9,0.4 b,0.3,0.2
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Ireland,0.6,0.5 b,0.4,0.4,0.5,0.5,0.5 b,0.6,0.5,0.5,0.4,1.0 b,1.7,1.5,1.5,1.3 b,1.0,1.1
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Iceland,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: bu,: u,: u
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Italy,1.7,1.7,1.7,1.4,1.4,1.2,1.4,1.3,1.3,1.3,1.2,1.2,1.2 b,1.1,1.1,1.0 b,0.8,0.8
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Lithuania,: u,0.3 u,0.6 u,0.4,0.4 u,0.3 u,0.3 u,0.4,0.3,0.2 u,0.1 u,0.1 u,0.1 u,0.1 u,0.1 u,0.2 bu,0.2 u,0.2 u
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Luxembourg,0.3 u,: bu,0.3 u,1.2 b,0.9,0.9,0.7,0.7,0.7,1.0 b,0.9,1.1,0.9,0.7,0.6,0.4 b,0.3,: u
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Latvia,1.6,1.6,1.1,1.2,1.0,1.2,0.9,0.8,0.9,0.9,0.9,0.6,0.4,0.6,0.8,0.6 bu,: u,: u
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Montenegro,:,:,:,:,:,: u,: u,0.4 u,0.5,0.3 u,: u,: u,0.3 u,: u,: u,:,:,:
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,North Macedonia,0.9,0.6,0.6,0.6,0.3,0.4,0.5,0.6,0.8,0.6,0.5,0.7,0.8,0.9,0.8,:,:,:
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Malta,0.5,0.6,0.7,0.7,0.6,1.0,1.1,0.9,0.8,0.9,0.9,0.8,0.6,0.5,0.4,0.3 bu,: u,: u
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Netherlands,0.3 b,0.2,0.2,0.1,0.1,0.1,0.1,0.1 b,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.5 b,0.5,0.5
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Norway,0.3 b,0.2 u,0.2 u,0.2,0.2 u,0.2 u,0.2 u,0.2,0.2 u,0.1 u,0.1 u,: u,: u,0.2 u,0.2 u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Poland,1.3,1.4,1.4,1.4,1.4 b,1.4,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.6 b,1.5,0.7 b,0.5,0.5
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Portugal,0.1,0.1,0.1,0.1,: u,0.4 b,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.3 b,0.3,0.3
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Romania,0.2,0.2,0.2,0.1,0.1 b,0.1,0.1 u,0.1,0.1 u,0.1,0.1 u,0.1 u,0.1 u,: u,: u,0.2 b,0.1,0.1 u
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Serbia,:,:,:,:,0.9,0.7,0.9,1.0,1.1 b,1.3,1.0,0.9,1.1,1.1,1.0,0.5 b,0.4,0.4
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Sweden,0.0 u,0.0 u,0.1 u,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 b,0.1 u,0.1 u,0.1 bu,0.1 u,: u
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Slovenia,0.2 u,0.2 u,0.1 u,0.1 u,0.1 u,0.2 u,0.1 u,0.3 u,0.3,0.2 u,0.2 u,0.2 u,0.2 u,0.2 u,0.2 u,0.2 bu,0.2 u,0.2 u
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Slovakia,0.6,0.5,0.5,0.5,0.5,0.5 b,0.5,0.6,0.7,0.6,0.6,0.7,0.6,0.5,0.5,0.3 bu,0.2 u,0.3
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,Türkiye,0.3,0.3,0.3,0.5,0.5,0.4,0.4,0.5,0.6 b,0.6,0.6,0.6,0.6,0.5,1.0,1.3 b,1.2,1.6
Annual,Care of adults with disabilities or children,Total,From 20 to 64 years,Percentage of total population,United Kingdom,:,:,1.1 b,1.2,1.1,1.0,1.2,1.1,1.1,1.1,1.1,0.9,0.8,0.8,:,:,:,:
