Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Number,Pre-primary education,Moldova,99231.0,102391.0,103811.0,106995.0,109714.0,112398.0,115738.0,119748.0,125408.0,129569.0,130937.0,133204.0,133061.0,132459.0,133194.0,132903.0,123674.0,123476.0
Annual,Number,Pre-primary education,Ukraine,:,849534.0,882832.0,930915.0,970507.0,994992.0,1043776.0,1125082.0,1198572.0,1241730.0,1093943 d,1097579 d,1106167 d,1116970 d,1093991 d,1050344 d,998044 d,953797 d
Annual,Number,Pre-primary to tertiary education,Armenia,653107 e,652604 e,627775 e,619726 e,596570 e,579892 e,583662 e,567864 e,561236 e,555664 e,558316 e,553546 e,560534 e,567332 e,574417 e,567939 e,590626 e,597574 e
Annual,Number,Pre-primary to tertiary education,Azerbaijan,2088663 e,2053436 e,2003834 e,1951207 e,1912154 e,1855358 e,1822044 e,1794895 e,1793506 e,1807526 e,1849254 e,1878846 e,1976680 e,2025837 e,2079435 e,2144449 e,2186347 e,2206370 e
Annual,Number,Pre-primary to tertiary education,Belarus,2217501 d,2168921 d,2121409 d,2088036 b,2039340.0,2000009.0,1985460.0,1959037.0,1919617.0,1879501.0,1855476.0,1845090.0,1840226.0,1829780.0,1833771.0,1847503.0,:,:
Annual,Number,Pre-primary to tertiary education,Moldova,807761.0,798779.0,778524.0,747908.0,717181.0,691663.0,673128.0,656810.0,645382.0,628909.0,613168.0,601437.0,596041.0,586297.0,578471.0,573306.0,568876.0,573283.0
Annual,Number,Pre-primary to tertiary education,Ukraine,:,9425094.0,9235108.0,9022683.0,8761095.0,8485857.0,8274749.0,8152030.0,7997962.0,7934560.0,6899436 d,6830339 d,6859527 d,6877293 d,6948174 d,6918588 d,6816021 d,6823339 d
Annual,Number,Primary education,Armenia,121502 e,127546 e,121841 e,114528 e,117140 e,136716 e,138470 e,140638 e,142517 e,144549 e,148481 e,152134 e,153415 e,154409 e,154905 e,155673 e,155801 e,156224 e
Annual,Number,Primary education,Azerbaijan,567293 e,537653 e,512317 e,496697 e,490242 e,481551 e,482773 e,491479 e,510419 e,530259 e,564423 e,593082 e,606972 e,635153 e,645392 e,651258 e,645551 e,638828 e
Annual,Number,Primary education,Belarus,379577 d,367736 d,361493 d,362304 b,362110.0,357796.0,353801.0,351780.0,355634.0,368783.0,387051.0,410487.0,423001.0,427752.0,432888.0,434763.0,:,:
Annual,Number,Primary education,Georgia,326597.0,322249.0,311027.0,301906.0,289137.0,285539.0,287245.0,287282.0,285329.0,288541.0,291447.0,301094.0,305602.0,316544.0,325728.0,336572.0,346957.0,345353.0
Annual,Number,Primary education,Moldova,184159.0,171024.0,160528.0,151736.0,145369.0,141197.0,138436.0,138095.0,138282.0,138420.0,138536.0,137845.0,139335.0,140141.0,139612.0,139179.0,137332.0,137942.0
Annual,Number,Primary education,Ukraine,:,1753689.0,1647847.0,1573458.0,1531943.0,1540282.0,1563396.0,1584382.0,1638497.0,1685030.0,1536578 d,1599250 d,1644263 d,1676550 d,1724664 d,1724705 d,1722098 d,1695406 d
Annual,Number,Lower secondary education,Armenia,253390 e,234880 e,222050 e,212914 e,193364 e,163011 e,154076 e,145482 e,141158 e,143642 e,160716 e,162549 e,165734 e,167913 e,174014 e,180817 e,185971 e,188291 e
Annual,Number,Lower secondary education,Azerbaijan,814309 e,801143 e,773221 e,745303 e,708773 e,666277 e,638172 e,608051 e,589587 e,576653 e,574374 e,582267 e,600926 e,623467 e,654631 e,691493 e,727820 e,757520 e
Annual,Number,Lower secondary education,Belarus,706188 d,663011 d,612604 d,622797 b,609439.0,468270.0,455604.0,452160.0,449918.0,447641.0,444599.0,441877.0,441480.0,451073.0,467719.0,490763.0,:,:
Annual,Number,Lower secondary education,Georgia,200488.0,185750.0,173655.0,169148.0,166586.0,161254.0,151508.0,145973.0,141416.0,139467.0,137126.0,140777.0,147186.0,147729.0,142262.0,138080.0,140326.0,154911.0
Annual,Number,Lower secondary education,Moldova,280707.0,267737.0,254437.0,239650.0,223130.0,207720.0,193271.0,181935.0,171912.0,166785.0,162305.0,160603.0,159730.0,160232.0,159427.0,158637.0,159979.0,160857.0
Annual,Number,Lower secondary education,Ukraine,:,2611426.0,2493102.0,2367061.0,2227918.0,2289065.0,2101546.0,1989192.0,1927273.0,1909270.0,1714321 d,1708172 d,1743530 d,1796094 d,1845424 d,1914425 d,1984601 d,2031830 d
Annual,Number,Upper secondary education,Armenia,109381 e,114045 e,99894 e,100729 e,94072 e,88881 e,115262 de,101785 de,96330 de,90061 de,70829 de,65502 de,67942 de,79382 de,81578 de,85696 de,86417 de,86519 de
Annual,Number,Upper secondary education,Azerbaijan,409954 e,403758 e,408117 e,406054 e,407773 e,396397 e,384328 e,374077 e,369805 e,372641 e,365630 e,353984 e,339376 e,321759 e,316523 e,312165 e,310906 e,299618 e
Annual,Number,Upper secondary education,Belarus,222300 d,215932 d,210649 d,257434 b,213460.0,294346.0,266904.0,240887.0,212657.0,200900.0,199554.0,202467.0,202854.0,198284.0,191580.0,188814.0,:,:
Annual,Number,Upper secondary education,Georgia,107639.0,127989.0,129984.0,172245.0,168803.0,148601.0,129733.0,126160.0,126271.0,125986.0,125341.0,122858.0,122393.0,120101.0,124893.0,134443.0,137241.0,133038.0
Annual,Number,Upper secondary education,Moldova,112144.0,112276.0,111177.0,105524.0,103472.0,99893.0,96123.0,92405.0,88238.0,78984.0,70955.0,66357.0,67535.0,66049.0,64721.0,64539.0,67182.0,68745.0
Annual,Number,Upper secondary education,Ukraine,:,1284837.0,1215634.0,1131463.0,1060639.0,843907.0,824165.0,909924.0,876091.0,804376.0,655977 d,617692 d,591448 d,580754 d,599124 d,625026 d,631821 d,633977 d
Annual,Number,Post-secondary non-tertiary education,Azerbaijan,34121 e,34134 e,34049 e,33642 e,36883 e,37367 e,38194 e,37952 e,38863 e,37992 e,37627 e,38123 e,37188 e,37197 e,37602 e,36992 e,38068 e,37260 e
Annual,Number,Post-secondary non-tertiary education,Belarus,113953 d,108788 d,108991 d,29660 b,29619.0,29250.0,27482.0,23621.0,20340.0,17666.0,16435.0,15695.0,14851.0,13971.0,13791.0,12022.0,:,:
Annual,Number,Post-secondary non-tertiary education,Georgia,34695.0,36252.0,17035 bd,2446 d,:,:,498 de,5808 d,10790 de,10810 d,11728 d,9943 d,9774 d,11955 d,10928 d,3424 d,6775 d,7605 d
Annual,Number,Post-secondary non-tertiary education,Moldova,3482.0,3528.0,2004.0,2015.0,1810.0,1861.0,2184.0,1778.0,1384.0,1217.0,1040.0,773.0,413.0,139.0,82.0,70.0,48.0,73.0
Annual,Number,Post-secondary non-tertiary education,Ukraine,:,185266.0,176445.0,172073.0,171395.0,182607.0,175587.0,152461.0,151934.0,148126.0,122427 d,117922 d,106831 d,92289 d,83414 d,76998 d,77539 d,77526 d
Annual,Number,Short-cycle tertiary education,Armenia,24402 e,23878 e,22888 e,22994 e,20482 e,18252 e,13452 de,16963 de,18014 de,17085 de,15546 de,14127 de,11194 de,10625 de,11398 de,12287 de,13384 de,14943 de
Annual,Number,Short-cycle tertiary education,Azerbaijan,38752 e,41935 e,42487 e,38402 e,35644 e,34659 e,34865 e,35978 e,35553 e,37257 e,38816 e,39563 e,35456 e,30209 e,34068 e,37549 e,41549 e,44135 e
Annual,Number,Short-cycle tertiary education,Belarus,158384 d,154143 d,152539 d,122804 b,124915.0,129376.0,132108.0,131198.0,121726.0,109251.0,100277.0,92113.0,88201.0,84380.0,83453.0,81202.0,:,:
Annual,Number,Short-cycle tertiary education,Georgia,:,:,3119.0,9073.0,6403.0,:,2500 b,1544.0,2065.0,2328.0,3745.0,4723.0,4802.0,2716.0,3011.0,3843.0,4564.0,3439.0
Annual,Number,Short-cycle tertiary education,Moldova,11774.0,13996.0,16844.0,17387.0,17199.0,17042.0,17962.0,17297.0,16176.0,15092.0,15468.0,15469.0,15528.0,15661.0,14688.0,14312.0,14703.0,15115.0
Annual,Number,Short-cycle tertiary education,Ukraine,:,669311.0,657707.0,632686.0,604600.0,545654.0,566194.0,567372.0,571228.0,567013.0,452292 d,427471 d,408732 d,398721 d,383710 d,355994 d,357635 d,370642 d
Annual,Number,Bachelor's or equivalent level,Armenia,97765 e,105830 e,112244 e,114399 e,114629 e,111003 e,95308 e,90145 e,85922 e,79623 e,84591 e,81648 e,78747 e,69622 e,64547 e,68987 e,68874 e,71732 e
Annual,Number,Bachelor's or equivalent level,Azerbaijan,116124 e,127480 e,129597 e,132806 e,135275 e,136250 e,136470 e,138154 e,140029 e,143906 e,149164 e,152554 e,155660 e,158761 e,166293 e,177774 e,186459 e,197021 e
Annual,Number,Bachelor's or equivalent level,Belarus,362902 d,383045 d,396910 d,413658 b,420697.0,430366.0,442890.0,445576.0,428448.0,395268.0,362907.0,336373.0,313240.0,284348.0,268102.0,260909.0,:,:
Annual,Number,Bachelor's or equivalent level,Georgia,:,:,100473.0,74900.0,84809.0,:,81417 b,97438.0,104809.0,109424.0,106130.0,109128.0,108722.0,111058.0,111867.0,117883.0,116055.0,110037.0
Annual,Number,Bachelor's or equivalent level,Moldova,114552 d,122394 d,123634 d,118205 d,104431 d,93831 d,89962 d,84674.0,82235.0,77502.0,71071.0,63693.0,57576.0,50282.0,46779.0,43096.0,44827.0,45670.0
Annual,Number,Bachelor's or equivalent level,Ukraine,:,1508478.0,1589285.0,1671193.0,1648878.0,1550551.0,1471756.0,1313307.0,1153791.0,1072359.0,947210 d,909176 d,852597 d,823067 d,800886 d,786342 d,728158 d,717230 d
Annual,Number,Master's or equivalent level,Armenia,3541 e,4146 e,4344 e,7045 e,9081 e,10344 e,11547 e,12105 e,14932 e,14476 e,11911 e,10910 e,11793 e,10855 e,10395 e,10603 e,9729 e,7781 e
Annual,Number,Master's or equivalent level,Azerbaijan,11124 e,10319 e,8068 e,7326 e,7628 e,8670 e,8845 e,9620 e,9996 e,11742 e,13237 e,12612 e,12357 e,13557 e,15292 e,15393 e,17921 e,21529 e
Annual,Number,Master's or equivalent level,Belarus,1693 d,1967 d,2435 d,3330 b,4043.0,4349.0,4805.0,4955.0,6088.0,7552.0,8855.0,10227.0,11782.0,14947.0,14705.0,11908.0,:,:
Annual,Number,Master's or equivalent level,Georgia,:,:,8511.0,9664.0,11498.0,:,11193 b,10551.0,10836.0,12471.0,23069.0,26410.0,30284.0,33940.0,33925.0,35568.0,39223.0,47816.0
Annual,Number,Master's or equivalent level,Moldova,:,3738 d,4363 d,4734 d,10434 d,16061.0,17851.0,19282.0,20223.0,19783.0,20923.0,21456.0,20859.0,19367.0,17895.0,18314.0,18801.0,19131.0
Annual,Number,Master's or equivalent level,Ukraine,:,531372.0,539590.0,509919.0,510395.0,503221.0,491504.0,473858.0,445122.0,472697.0,346657 d,322116 d,377572 d,365768 d,392210 d,357376 d,289396 d,315223 d
Annual,Number,Doctoral or equivalent level,Armenia,1562 e,1568 e,1474 e,1392 e,1449 e,1289 e,1099 e,1155 e,1277 e,1269 e,1217 e,1255 e,1130 e,1015 e,966 e,938 e,838 e,754 e
Annual,Number,Doctoral or equivalent level,Azerbaijan,1386 e,1559 e,1785 e,1764 e,1729 e,1148 e,877 e,1082 e,2012 e,2496 e,2935 e,2875 e,2723 e,2723 e,2626 e,2850.0,3187 e,3321 e
Annual,Number,Doctoral or equivalent level,Belarus,5529 d,5173 d,5009 d,4642 b,4405.0,4681.0,5043.0,6229.0,5906.0,5507.0,5182.0,5284.0,5522.0,5652.0,5929.0,5948.0,:,:
Annual,Number,Doctoral or equivalent level,Georgia,:,:,786.0,1588.0,2986.0,:,4266 b,3040.0,3213.0,3410.0,3765.0,4076.0,3977.0,3512.0,3976.0,4010.0,3879.0,3638.0
Annual,Number,Doctoral or equivalent level,Moldova,1712.0,1695.0,1726.0,1662.0,1622.0,1660.0,1601.0,1596.0,1524.0,1557.0,1933.0,2037.0,2004.0,1967.0,2073.0,2256.0,2330.0,2274.0
Annual,Number,Doctoral or equivalent level,Ukraine,:,31181.0,32666.0,33915.0,34820.0,35578.0,36825.0,36452.0,35454.0,33959.0,30031 d,30961 d,28387 d,27080 d,24751 d,27378 d,26729 d,27708 d
Annual,Number,All ISCED 2011 levels,Armenia,660217 e,659908 e,635226 e,627719 e,604094 e,587812 e,592756 e,577738 e,569061 e,563434 e,565664 e,560411 e,566367 e,572895 e,579892 e,571134 e,593566 e,601333 e
Annual,Number,All ISCED 2011 levels,Azerbaijan,2103144 e,2067998 e,2019099 e,1965896 e,1927564 e,1870273 e,1837416 e,1809910 e,1807354 e,1820645 e,1862255 e,1892299 e,1991573 e,2041595 e,2097354 e,2162559 e,2204862 e,2225349 e
Annual,Number,All ISCED 2011 levels,Belarus,2260624 d,2215020 d,2167826 d,2136028 b,2094878.0,2057489.0,2044796.0,2024820.0,1983832.0,1945923.0,1924355.0,1914437.0,1910556.0,1899240.0,1906162.0,1915925.0,:,:
Annual,Number,All ISCED 2011 levels,Moldova,820797 d,812054 d,793292 d,763308 d,733414 d,707407 d,689526 d,674159 d,662622 d,644844 d,629964.0,618169.0,613157.0,603054.0,594790.0,590105.0,579360.0,586920.0
Annual,Number,All ISCED 2011 levels,Ukraine,:,9607261.0,9433158.0,9229256.0,8985134.0,8704755.0,8503718.0,8381342.0,8227780.0,8163647.0,7100384 d,7023967 d,7053489 d,7064110 d,7132420 d,7098642 d,6968522 d,6980900 d
