Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Type of household,n_item,geo\TIME_PERIOD,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2023.0
Annual,Percentage,Total,Total,0.0,ES,74.9,81.5,85.1,79.0,80.1,82.6,81.4,86.0,81.1,82.2,73.2,72.4
Annual,Percentage,Total,Total,0.0,EU27_2007,77.9,78.5,79.5,79.2,79.4,80.2,80.1,83.7 e,82.2 e,83.1 e,:,:
Annual,Percentage,Total,Total,0.0,EU27_2020,77.9 e,78.7 e,79.7 e,79.0 e,79.3 e,80.0 e,80.1 e,82.4 e,82.1 e,83.1 e,81.8 u,81.8
Annual,Percentage,Total,Total,0.0,EU28,77.9,78.5,79.5,79.2,79.4,80.2,80.2,83.7 e,82.3 e,83.1 e,:,:
Annual,Percentage,Total,Total,0.0,FI,90.7,90.3,89.2,90.8,91.2,91.4,90.9,91.8,91.3,92.5,91.9,90.9
Annual,Percentage,Total,Total,0.0,FR,81.2,83.3,82.0,81.7,81.7,82.2,80.5,83.7,82.5,83.3,76.6 b,72.5
Annual,Percentage,Total,Total,0.0,HR,76.4,81.1,82.1 b,83.0,84.1,85.1,85.0,85.1,86.1,87.0,87.5,92.1
Annual,Percentage,Total,Total,0.0,HU,69.9,73.5,71.2,69.9,69.2,71.8,69.7,72.4,74.3,74.9,76.5,81.2
Annual,Percentage,Total,Total,0.0,IE,84.6,80.1,80.7,79.4,82.2,82.9,83.6,83.2,84.7,83.8 b,80.5 bu,100.0
Annual,Percentage,Total,Total,0.0,IS,82.1,82.1,79.7,79.7,82.3,78.8,80.0,78.3,78.7,79.4,:,:
Annual,Percentage,Total,Total,0.0,IT,76.9,72.3,75.1,73.8,72.1,73.1,77.0,82.3,84.9,84.2,78.3,80.6
Annual,Percentage,Total,Total,0.0,LT,68.7,68.4,70.3,69.7,71.7,74.2,71.8,74.2,75.7,76.6,79.8,83.1
Annual,Percentage,Total,Total,0.0,LU,79.9,82.2,78.3,80.3,81.1,80.6,73.9 b,77.3,77.1,80.6,81.1 b,79.3
Annual,Percentage,Total,Total,0.0,LV,61.7,61.5,59.5,61.7,62.2,65.7,68.1,68.6,69.1,71.9,75.7,75.4
Annual,Percentage,Total,Total,0.0,ME,:,:,:,55.4,67.4,62.2,69.5,73.8,73.6,72.5,74.6,:
Annual,Percentage,Total,Total,0.0,MK,64.8,74.5,75.7,79.1,78.7,83.2,80.5,82.9,82.6,82.9,84.4,:
Annual,Percentage,Total,Total,0.0,MT,83.0,82.7,83.5,82.7,83.5,84.5,85.3,86.1,84.2,84.9,85.9,84.7
Annual,Percentage,Total,Total,0.0,NL,82.3,82.6,81.0,82.0,81.0,81.1,81.3 b,84.3,82.3,83.5,82.9,82.8
Annual,Percentage,Total,Total,0.0,NO,89.0,89.3,88.3,90.2,92.2,90.8,91.8,91.6,90.5,91.1,91.2,91.1
Annual,Percentage,Total,Total,0.0,PL,78.8,82.1,83.3,84.2,85.7,84.1,84.4,84.1,84.8,86.0,:,91.5
Annual,Percentage,Total,Total,0.0,PT,74.2,74.6,71.9,63.5,61.9,67.4,64.8,66.9,67.2,70.9,70.9,66.9
Annual,Percentage,Total,Total,0.0,RO,50.3,52.7,56.5,56.4,59.2,61.2,61.3,64.7,67.1,70.9,71.7,79.1
Annual,Percentage,Total,Total,0.0,RS,:,:,:,74.0,69.3,71.6,74.4,75.3,80.6,79.0,86.2,:
Annual,Percentage,Total,Total,0.0,SE,86.1,85.7,87.1,86.7,86.9,87.1,86.6,87.7,86.8,87.8,87.4,91.0
Annual,Percentage,Total,Total,0.0,SI,62.7,59.4,63.8,69.7,68.1,70.7,73.9,75.7,74.8,77.5,77.3,79.1
Annual,Percentage,Total,Total,0.0,SK,91.5,90.3,89.0,90.9,91.4,91.6,92.0,91.4,92.9,92.4,93.3,92.5
Annual,Percentage,Total,Total,0.0,TR,:,46.6,44.5,47.9,50.1,51.5,52.6,54.6,55.3,54.9,57.3,58.9
Annual,Percentage,Total,Total,0.0,UK,77.2,77.2,78.6 b,80.5,79.8,81.6,80.3,92.3 bu,83.2 u,:,:,:
Annual,Percentage,Total,Total,1.0,AL,:,:,:,:,:,:,:,21.9,25.3,25.0,18.3,:
Annual,Percentage,Total,Total,1.0,AT,16.1,15.5,13.7,13.8,12.8,13.0,12.1,13.7,12.3,11.7,11.3,13.2
Annual,Percentage,Total,Total,1.0,BE,20.3,22.6,20.0,20.3,19.7,20.2,21.9,20.6,20.7,20.2 b,19.3,17.3
Annual,Percentage,Total,Total,1.0,BG,15.7,15.8,15.1,13.6,14.4 b,13.4,12.9 b,12.3,11.9,11.5,11.9,9.2
Annual,Percentage,Total,Total,1.0,CH,11.6,14.6,16.7,13.9,15.1 b,15.7,15.8,15.6,13.7,14.2,15.5,16.3
Annual,Percentage,Total,Total,1.0,CY,27.6,27.2,28.4,29.1,23.9,25.4,25.1,27.1,28.2,30.2,37.9,29.8
Annual,Percentage,Total,Total,1.0,CZ,12.0,12.0,10.4,9.6,9.2,9.3,9.1,8.4,8.1,6.9,7.3,9.4
Annual,Percentage,Total,Total,1.0,DE,14.7,15.1,14.9,14.0,13.6,13.8,13.8,13.4,14.1,13.1,: u,9.8 u
Annual,Percentage,Total,Total,1.0,DK,10.2,18.8 b,19.4,17.9,16.6,17.1,17.0,16.4,18.1,16.5,18.4,15.2
Annual,Percentage,Total,Total,1.0,EA19,17.2,17.0,16.2,17.0,16.9,16.4,16.2,14.1,14.8,14.1,15.0 u,:
Annual,Percentage,Total,Total,1.0,EA20,:,:,:,:,:,:,:,:,:,:,:,16.0
Annual,Percentage,Total,Total,1.0,EE,16.5,16.9,17.8,16.2,14.8,13.3,13.4,12.9,13.9,13.7,11.7,11.2
Annual,Percentage,Total,Total,1.0,EL,17.4,16.5,16.1,14.8,12.8,13.7,14.0,12.7,13.0,12.6,12.5,15.9
Annual,Percentage,Total,Total,1.0,ES,22.8,16.6,13.3,18.7,17.4,15.5,16.4,12.2,16.6,14.7,22.7,24.0
Annual,Percentage,Total,Total,1.0,EU27_2007,16.7,16.4,15.5,16.0,15.9,15.4,15.5,12.6 e,14.0 e,13.4 e,:,:
Annual,Percentage,Total,Total,1.0,EU27_2020,16.3 e,15.9 e,15.2 e,15.8 e,15.6 e,15.3 e,15.2 e,13.5 e,14.0 e,13.2 e,14.0 u,14.5
Annual,Percentage,Total,Total,1.0,EU28,16.7,16.3,15.5,15.9,15.9,15.3,15.4,12.6 e,14.0 e,13.3 e,:,:
Annual,Percentage,Total,Total,1.0,FI,8.2,8.4,9.3,8.0,7.8,7.5,8.4,7.6,7.8,6.6,7.4,8.5
Annual,Percentage,Total,Total,1.0,FR,15.6,13.8,14.7,15.0,14.6,14.8,16.0,13.6,14.6,13.8,18.4 b,21.8
Annual,Percentage,Total,Total,1.0,HR,19.2,14.6,13.5 b,13.1,12.0,11.4,11.4,11.5,10.5,10.3,10.0,6.9
Annual,Percentage,Total,Total,1.0,HU,21.6,17.6,19.9,20.3,20.6,19.0,20.4,19.0,16.8,17.4,17.1,15.9
Annual,Percentage,Total,Total,1.0,IE,13.0,14.6,16.4,17.5,15.1,15.1,13.7,14.8,12.7,13.5 b,17.2 bu,0.0
Annual,Percentage,Total,Total,1.0,IS,17.3,17.3,19.8,19.5,16.9,20.6,19.3,21.2,20.8,20.0,:,:
Annual,Percentage,Total,Total,1.0,IT,18.6,22.8,20.4,20.7,22.7,21.8,18.6,14.6,12.8,13.6,16.5,14.1
Annual,Percentage,Total,Total,1.0,LT,13.9,13.6,13.2,14.8,13.3,12.3,13.7,13.3,12.6,12.4,11.8,10.5
Annual,Percentage,Total,Total,1.0,LU,17.7,15.9,18.9,16.3,16.8,17.2,22.6 b,19.5,19.5,16.9,16.6 b,18.9
Annual,Percentage,Total,Total,1.0,LV,17.4,18.3,20.1,19.3,19.7,17.5,15.9,17.1,17.7,16.1,14.0,16.5
Annual,Percentage,Total,Total,1.0,ME,:,:,:,37.3,27.2,32.4,25.5,22.0,20.8,23.1,22.5,:
Annual,Percentage,Total,Total,1.0,MK,20.4,14.4,13.9,11.6,12.1,10.2,12.4,10.8,10.8,11.3,10.3,:
Annual,Percentage,Total,Total,1.0,MT,14.0,15.8,15.0,15.5,14.4,13.5,13.0,12.5,13.3,12.6,12.5,14.0
Annual,Percentage,Total,Total,1.0,NL,16.4,16.4,17.8,16.9,17.6,17.2,17.5 b,14.4,16.4,15.1,15.8,15.6
Annual,Percentage,Total,Total,1.0,NO,10.3,9.6,11.0,9.0,7.1,8.4,7.4,7.6,8.7,8.2,8.3,8.3
Annual,Percentage,Total,Total,1.0,PL,13.8,11.6,11.0,10.9,9.8,11.4,11.6,11.8,11.7,10.8,:,7.0
Annual,Percentage,Total,Total,1.0,PT,20.5,21.4,23.3,31.0,32.3,27.4,29.6,27.7,27.6,24.8,25.2,28.6
Annual,Percentage,Total,Total,1.0,RO,9.5,9.2,7.3,8.2,8.0,7.5,8.0,7.4,6.6,5.8,6.2,5.9
Annual,Percentage,Total,Total,1.0,RS,:,:,:,16.7,21.7,20.1,17.9,16.1,13.3,14.3,8.8,:
Annual,Percentage,Total,Total,1.0,SE,12.7,13.2,11.7,12.1,12.3,11.9,12.4,11.0,11.7,11.3,11.5,8.3
Annual,Percentage,Total,Total,1.0,SI,31.2,34.0,31.6,26.5,27.9,25.6,23.1,21.7,22.3,20.0,20.2,18.7
Annual,Percentage,Total,Total,1.0,SK,7.4,7.4,8.6,6.8,6.1,6.5,6.0,6.1,5.1,5.0,4.8,5.5
Annual,Percentage,Total,Total,1.0,TR,:,31.7,35.3,32.5,32.0,32.1,32.3,31.4,31.4,32.6,31.0,31.0
Annual,Percentage,Total,Total,1.0,UK,19.5,19.1,17.7 b,17.0,17.7,15.7,16.8,6.7 bu,14.1 u,:,:,:
Annual,Percentage,Total,Total,2.0,AL,:,:,:,:,:,:,:,6.9,6.3,4.8,4.2,:
Annual,Percentage,Total,Total,2.0,AT,3.3,2.8,2.4,2.3,1.9,2.5,2.8,2.4,2.1,1.6,2.1,2.4
Annual,Percentage,Total,Total,2.0,BE,3.8,3.8,3.7,1.9,3.3,3.9,3.2,2.5,2.5,2.1 b,1.8,1.9
Annual,Percentage,Total,Total,2.0,BG,10.8,11.1,10.4,9.5,9.7 b,8.6,8.8 b,7.6,6.5,5.9,5.5,3.9
Annual,Percentage,Total,Total,2.0,CH,1.2,1.2,1.9,2.3,1.7 b,1.7,2.2,1.8,1.4,1.2,1.6,1.6
Annual,Percentage,Total,Total,2.0,CY,4.3,4.2,3.2,3.7,2.9,3.5,3.5,3.1,2.9,2.1,1.9,3.3
Annual,Percentage,Total,Total,2.0,CZ,1.9,1.8,1.7,2.2,2.1,2.0,1.6,1.6,1.5,1.8,1.4,1.0
Annual,Percentage,Total,Total,2.0,DE,2.4,1.7,1.7,1.8,1.6,1.6,1.7,1.6,1.9,1.6,: u,1.6 u
Annual,Percentage,Total,Total,2.0,DK,1.3,2.6 b,1.8,2.0,2.3,2.0,2.1,2.3,2.2,1.8,2.3,1.1
Annual,Percentage,Total,Total,2.0,EA19,3.1,2.9,2.8,3.0,3.1,2.9,2.8,2.3,2.3,2.3,3.1 u,:
Annual,Percentage,Total,Total,2.0,EA20,:,:,:,:,:,:,:,:,:,:,:,3.3
Annual,Percentage,Total,Total,2.0,EE,6.7,6.3,6.2,6.2,6.2,5.2,4.5,4.4,4.0,3.9,3.2,1.2
Annual,Percentage,Total,Total,2.0,EL,3.8,2.9,2.9,3.0,3.8,3.6,3.3,3.0,2.8,2.7,2.9,1.9
Annual,Percentage,Total,Total,2.0,ES,2.3,1.9,1.5,2.2,2.5,1.9,2.2,1.8,2.2,3.1,4.0,3.6
Annual,Percentage,Total,Total,2.0,EU27_2007,4.3,4.0,3.9,3.9,3.9,3.7,3.6,3.0 e,3.1 e,3.0 e,:,:
Annual,Percentage,Total,Total,2.0,EU27_2020,4.4 e,4.1 e,4.0 e,4.1 e,4.1 e,3.8 e,3.7 e,3.2 e,3.2 e,3.0 e,3.5 u,3.3
Annual,Percentage,Total,Total,2.0,EU28,4.3,4.0,3.9,3.9,3.9,3.7,3.6,3.0 e,3.1 e,3.0 e,:,:
Annual,Percentage,Total,Total,2.0,FI,1.0,1.1,1.3,1.1,0.9,1.0,0.7,0.5,0.9,0.9,0.6,0.6
Annual,Percentage,Total,Total,2.0,FR,2.9,2.8,3.1,3.1,3.6,3.0,3.3,2.5,2.8,2.8,4.8 b,5.5
Annual,Percentage,Total,Total,2.0,HR,4.3,3.4,3.2 b,2.6,2.9,2.5,2.6,2.5,2.6,2.2,2.1,1.0
Annual,Percentage,Total,Total,2.0,HU,4.7,5.5,5.4,6.2,6.5,6.1,6.5,5.5,6.0,5.4,5.3,2.9
Annual,Percentage,Total,Total,2.0,IE,2.2,5.0,2.8,2.8,2.7,2.0,2.7,2.0,2.5,2.6 b,2.3 bu,0.0
Annual,Percentage,Total,Total,2.0,IS,0.6,0.6,0.4,0.8,0.8,0.6,0.7,0.5,0.5,0.6,:,:
Annual,Percentage,Total,Total,2.0,IT,4.3,4.8,4.3,5.3,5.1,5.0,4.3,3.0,2.1,2.1,5.0,5.0
Annual,Percentage,Total,Total,2.0,LT,9.8,10.0,9.5,8.9,9.3,7.3,7.6,6.7,6.9,6.7,5.5,4.4
Annual,Percentage,Total,Total,2.0,LU,2.4,1.9,2.8,3.4,2.0,2.2,3.2 b,3.1,3.4,2.5,2.2 b,1.8
Annual,Percentage,Total,Total,2.0,LV,12.0,10.6,10.9,9.7,9.3,8.6,8.3,7.4,6.5,7.1,6.1,4.7
Annual,Percentage,Total,Total,2.0,ME,:,:,:,5.6,3.6,4.1,3.5,2.8,5.0,3.9,2.3,:
Annual,Percentage,Total,Total,2.0,MK,9.6,6.9,6.8,6.1,5.4,4.9,5.6,4.7,5.2,4.3,3.9,:
Annual,Percentage,Total,Total,2.0,MT,2.8,1.4,1.4,1.8,2.0,2.0,1.7,1.5,2.5,2.5,1.6,1.3
Annual,Percentage,Total,Total,2.0,NL,1.3,1.0,1.2,1.1,1.3,1.6,1.3 b,1.2,1.3,1.4,1.2,1.6
Annual,Percentage,Total,Total,2.0,NO,0.8,1.1,0.7,0.9,0.7,0.8,0.8,0.8,0.8,0.7,0.6,0.6
Annual,Percentage,Total,Total,2.0,PL,4.9,4.1,4.0,3.3,2.8,2.7,2.5,2.5,2.3,2.0,:,1.3
Annual,Percentage,Total,Total,2.0,PT,3.9,3.1,4.2,4.8,5.2,4.6,4.9,4.8,4.8,3.9,3.6,4.3
Annual,Percentage,Total,Total,2.0,RO,26.6,24.8,24.3,23.3,22.3,21.8,20.9,19.6,18.6,16.1,14.6,10.3
Annual,Percentage,Total,Total,2.0,RS,:,:,:,6.5,6.6,6.1,5.3,6.1,4.2,4.6,3.8,:
Annual,Percentage,Total,Total,2.0,SE,1.2,1.1,1.1,1.1,0.8,1.0,1.0,1.3,1.4,0.9,1.1,0.7
Annual,Percentage,Total,Total,2.0,SI,5.7,6.2,4.3,3.3,3.5,3.5,2.7,2.4,2.7,2.4,2.4,2.2
Annual,Percentage,Total,Total,2.0,SK,0.8,1.6,2.0,2.1,1.8,1.2,1.2,1.8,1.3,1.6,1.4,2.0
Annual,Percentage,Total,Total,2.0,TR,:,17.7,16.4,15.7,14.6,13.7,13.0,12.1,11.7,11.1,10.4,9.2
Annual,Percentage,Total,Total,2.0,UK,3.2,3.5,3.6 b,2.5,2.5,2.5,2.8,1.1 bu,2.7 u,:,:,:
Annual,Percentage,Total,Total,3.0,AL,:,:,:,:,:,:,:,2.4,2.8,1.8,1.7,:
Annual,Percentage,Total,Total,3.0,AT,0.2,0.2,0.1,0.2,0.1,0.2,0.3,0.1,0.1,0.1,0.3,0.1
Annual,Percentage,Total,Total,3.0,BE,0.1,0.3,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.0 n,0.0 n,0.0 n
Annual,Percentage,Total,Total,3.0,BG,3.7,3.6,3.4,3.2,3.1 b,2.9,3.1 b,3.1,3.4,3.1,2.7,1.9
Annual,Percentage,Total,Total,3.0,CH,0.0,0.0 n,0.0 n,0.0,0.1 b,0.0 n,0.0,0.0,0.0,0.0,0.0 n,0.0
Annual,Percentage,Total,Total,3.0,CY,0.5,0.4,0.4,0.3,0.4,0.4,0.2,0.3,0.3,0.2,0.3,0.0
Annual,Percentage,Total,Total,3.0,CZ,0.2,0.2,0.3,0.2,0.1,0.0 n,0.0 n,0.0 n,0.1,0.1,0.0 n,0.0
Annual,Percentage,Total,Total,3.0,DE,0.1,0.0 n,0.0 n,0.0 n,0.0,0.0,0.0 n,0.0 n,0.0,0.0,: u,0 u
Annual,Percentage,Total,Total,3.0,DK,0.0,0.2 b,0.3,0.3,0.2,0.4,0.3,0.1,0.2,0.1,0.2,0.0
Annual,Percentage,Total,Total,3.0,EA19,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1 u,:
Annual,Percentage,Total,Total,3.0,EA20,:,:,:,:,:,:,:,:,:,:,:,0.1
Annual,Percentage,Total,Total,3.0,EE,4.1,3.7,3.1,3.0,2.1,2.0,2.3,2.1,1.7,1.6,1.0,0.0
Annual,Percentage,Total,Total,3.0,EL,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1
Annual,Percentage,Total,Total,3.0,ES,0.0,0.0,0.0 n,0.0 n,0.0 n,0.0 n,0.1,0.0 n,0.0 n,0.0 n,0.1,0.0
Annual,Percentage,Total,Total,3.0,EU27_2007,0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.5 e,0.5 e,0.4 e,:,:
Annual,Percentage,Total,Total,3.0,EU27_2020,1.0 e,0.9 e,0.9 e,0.8 e,0.7 e,0.6 e,0.6 e,0.6 e,0.6 e,0.5 e,0.5 u,0.3
Annual,Percentage,Total,Total,3.0,EU28,0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.5 e,0.5 e,0.4 e,:,:
Annual,Percentage,Total,Total,3.0,FI,0.1,0.1,0.1,0.1,0.1,0.0 n,0.0 n,0.0 n,0.0 n,0.1,0.1,0.0
Annual,Percentage,Total,Total,3.0,FR,0.2,0.2,0.2,0.1,0.1,0.0 n,0.1,0.1,0.1,0.1,0.1 b,0.2
Annual,Percentage,Total,Total,3.0,HR,0.1,0.5,0.8 b,0.9,0.7,0.7,0.7,0.5,0.5,0.3,0.3,0.0
Annual,Percentage,Total,Total,3.0,HU,2.4,2.3,2.4,2.3,2.7,1.8,2.0,1.9,1.8,1.3,0.7,0.0
Annual,Percentage,Total,Total,3.0,IE,0.2,0.2,0.1,0.3,0.0 n,0.0 n,0.0 n,0.0,0.0 n,0.0 n,0 u,0.0
Annual,Percentage,Total,Total,3.0,IS,0.0 n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Percentage,Total,Total,3.0,IT,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.0 n,0.1,0.1,0.2
Annual,Percentage,Total,Total,3.0,LT,5.1,5.7,5.1,5.3,4.7,5.5,6.0,4.8,3.8,3.1,2.3,1.4
Annual,Percentage,Total,Total,3.0,LU,0.0 n,0.0 n,0.0 n,0.0 n,0.0,0.0 n,0.1 b,0.1,0.0 n,0.0,0.0 b,0.0
Annual,Percentage,Total,Total,3.0,LV,5.6,7.0,7.1,6.7,6.4,5.4,5.4,4.5,5.1,3.8,3.3,2.8
Annual,Percentage,Total,Total,3.0,ME,:,:,:,1.2,1.3,1.2,1.3,1.1,0.3,0.4,0.5,:
Annual,Percentage,Total,Total,3.0,MK,3.8,2.9,2.9,2.4,2.0,1.1,1.1,1.1,1.0,0.6,0.7,:
Annual,Percentage,Total,Total,3.0,MT,0.1,0.1,0.1,0.1,0.1,0.0 n,0.0 n,0.0,0.1,0.1,0.0 n,0.0 n
Annual,Percentage,Total,Total,3.0,NL,0.0,0.0,0.0,0.0 n,0.0,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0
Annual,Percentage,Total,Total,3.0,NO,0.0 n,0.0 n,0.0 n,0.0,0.0,0.0,0.0 n,0.0 n,0.0,0.0 n,0.0,0.0
Annual,Percentage,Total,Total,3.0,PL,1.6,1.5,1.3,1.2,1.1,1.3,1.1,1.2,0.9,0.9,:,0.2
Annual,Percentage,Total,Total,3.0,PT,1.0,0.7,0.5,0.4,0.4,0.5,0.6,0.5,0.3,0.3,0.1,0.1
Annual,Percentage,Total,Total,3.0,RO,10.8,10.7,9.4,9.4,8.4,7.0,7.1,6.3,6.4,5.8,5.8,3.4
Annual,Percentage,Total,Total,3.0,RS,:,:,:,1.7,1.6,1.6,1.4,1.3,0.9,0.9,0.7,:
Annual,Percentage,Total,Total,3.0,SE,0.0,0.0 n,0.0 n,0.0,0.0 n,0.0 n,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Total,3.0,SI,0.3,0.3,0.2,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.0 n
Annual,Percentage,Total,Total,3.0,SK,0.2,0.5,0.4,0.2,0.3,0.2,0.4,0.3,0.3,0.5,0.3,0.0
Annual,Percentage,Total,Total,3.0,TR,:,3.1,3.0,3.0,2.6,2.1,1.8,1.3,1.2,1.2,1.1,0.6
Annual,Percentage,Total,Total,3.0,UK,0.0 n,0.2,0.2 b,0.0 n,0.0 n,0.1,0.0 n,0 u,0 u,:,:,:
Annual,Percentage,Total,Total,4.0,AL,:,:,:,:,:,:,:,0.7,1.0,0.7,0.5,:
Annual,Percentage,Total,Total,4.0,AT,0.0 n,0.1,0.1,0.0 n,0.0,0.1,0.0,0.0,0.0 n,0.0 n,0.0,0.0
Annual,Percentage,Total,Total,4.0,BE,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0,0.0,0.0 b,0.0,0.0
Annual,Percentage,Total,Total,4.0,BG,3.7,3.3,2.6,2.9,2.6 b,2.6,2.1 b,2.3,2.1,1.4,1.3,0.8
Annual,Percentage,Total,Total,4.0,CH,0.0,0.0,0.0,0.0,0.0 b,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Total,4.0,CY,0.1,0.2,0.1,0.1,0.1,0.1,0.0 n,0.1,0.0 n,0.1,0.0 n,0.0
Annual,Percentage,Total,Total,4.0,CZ,0.1,0.1,0.1,0.2,0.1,0.0 n,0.0 n,0.0 n,0.1,0.0 n,0.0 n,0.0
Annual,Percentage,Total,Total,4.0,DE,0.0 n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,: u,0 u
Annual,Percentage,Total,Total,4.0,DK,0.0,0.0,0.0,0.0,0.0 n,0.0 n,0.0 n,0.0 n,0.0,0.0,0.0 n,0.0
Annual,Percentage,Total,Total,4.0,EA19,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0 n,0.0 n,0.0 u,:
Annual,Percentage,Total,Total,4.0,EA20,:,:,:,:,:,:,:,:,:,:,:,0.0 n
Annual,Percentage,Total,Total,4.0,EE,0.9,0.9,0.9,0.5,0.9,0.7,0.6,0.7,0.7,0.5,0.4,0.0
Annual,Percentage,Total,Total,4.0,EL,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.0 n,0.0 n,0.0 n,0.0 n
Annual,Percentage,Total,Total,4.0,ES,0.0,0.0,0.0 n,0.0 n,0.0 n,0.0,0.1,0.0 n,0.0 n,0.0 n,0.0 n,0.0
Annual,Percentage,Total,Total,4.0,EU27_2007,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2 e,0.2 e,0.1 e,:,:
Annual,Percentage,Total,Total,4.0,EU27_2020,0.4 e,0.3 e,0.3 e,0.3 e,0.3 e,0.3 e,0.3 e,0.2 e,0.2 e,0.2 e,0.1 u,0.1
Annual,Percentage,Total,Total,4.0,EU28,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2 e,0.2 e,0.1 e,:,:
Annual,Percentage,Total,Total,4.0,FI,0.0 n,0.0 n,0.0,0.0,0.0 n,0.0 n,0.0 n,0.0 n,0.0,0.0,0.0 n,0.0
Annual,Percentage,Total,Total,4.0,FR,0.0 n,0.0 n,0.0 n,0.0 n,0.1,0.1,0.1,0.1,0.0 n,0.0 n,0.0 n,0.0 n
Annual,Percentage,Total,Total,4.0,HR,0.1,0.3,0.4 b,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.0
Annual,Percentage,Total,Total,4.0,HU,1.4,1.1,1.2,1.3,1.1,1.2,1.4,1.3,1.1,1.0,0.4,0.0
Annual,Percentage,Total,Total,4.0,IE,0.0 n,0.1,0.0 n,0.0,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 b,0 u,0.0
Annual,Percentage,Total,Total,4.0,IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Percentage,Total,Total,4.0,IT,0.0 n,0.0 n,0.0 n,0.0 n,0.1,0.0 n,0.0,0.1,0.0 n,0.0 n,0.0 n,0.1
Annual,Percentage,Total,Total,4.0,LT,2.6,2.2,1.9,1.4,0.8,0.6,0.9,1.1,1.0,1.2,0.6,0.5
Annual,Percentage,Total,Total,4.0,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0 n,0.0,0.0,0.0 n,0.0 b,0.0
Annual,Percentage,Total,Total,4.0,LV,3.3,2.5,2.5,2.5,2.5,2.7,2.2,2.4,1.7,1.1,0.8,0.7
Annual,Percentage,Total,Total,4.0,ME,:,:,:,0.4,0.5,0.1,0.2,0.3,0.4,0.1,0.2,:
