Time frequency,Information society indicator,Unit of measure,Individual type,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Internet use: never,Percentage of individuals,All individuals,Italy,34.4,31.51,27.9,24.7,22.32,18.62,16.83,14.23,11.25,9.88,8.86,6.53
Annual,Internet use: never,Percentage of individuals,All individuals,Lithuania,28.74,25.02,24.57,21.75,19.29,16.54,15.11,13.53,10.71,9.75,9.66,8.97
Annual,Internet use: never,Percentage of individuals,All individuals,Luxembourg,4.66,4.05,2.18,1.86,2.17,2.94 b,2.88,1.18,1.17,1.37,0.41,1.08
Annual,Internet use: never,Percentage of individuals,All individuals,Latvia,22.09,20.64,18.18,17.41 b,15.83,13.29,11.59,8.43,6.22,6.69,6.09,5.07
Annual,Internet use: never,Percentage of individuals,All individuals,Montenegro,:,:,:,:,23.74,22.86,20.44,18.63,13.72,7.71,7.71,7.51
Annual,Internet use: never,Percentage of individuals,All individuals,North Macedonia,32.64,28.73,25.88,23.24,20.89,18.06,16.69,14.1,11.44,:,:,6.48
Annual,Internet use: never,Percentage of individuals,All individuals,Malta,27.67,24.11,21.07,20.58,17.85,16.59,12.88,12.39,11.59,7.43,6.99,5.7
Annual,Internet use: never,Percentage of individuals,All individuals,Netherlands,4.88,4.95,4.44,4.65,2.96,3.67,2.43,3.71,3.49,3.22,0.58,0.35
Annual,Internet use: never,Percentage of individuals,All individuals,Norway,3.14,2.69,1.46,1.66,1.11,1.17,0.82,0.67,0.26,0.08,0.08,0.3
Annual,Internet use: never,Percentage of individuals,All individuals,Poland,31.97,28.11,27.08,22.27,19.62,18.32,15.48,13.16,11.14,9.42,9.78,8.52
Annual,Internet use: never,Percentage of individuals,All individuals,Portugal,33.09,30.46,27.86,25.79,22.34,22.78,21.97,18.22,15.61,13.62,12.39,9.77
Annual,Internet use: never,Percentage of individuals,All individuals,Romania,42.37,38.60 b,31.8,30.29,26.54,21.22,17.66,14.05,11.36,10.35,7.45,5.32
Annual,Internet use: never,Percentage of individuals,All individuals,Serbia,:,:,30.59,:,25.77,24.24,19.36,17.43,10.43,10.62,8.9,7.35
Annual,Internet use: never,Percentage of individuals,All individuals,Sweden,3.73,5.5,4.52,2.53 b,2.25,4.31,1.81,1.19,1.37,1.13,0.91,0.69
Annual,Internet use: never,Percentage of individuals,All individuals,Slovenia,22.59,24.06,22.13,21.9,17.62,16.02,13.0,11.12,7.82,8.62,7.96,7.01
Annual,Internet use: never,Percentage of individuals,All individuals,Slovakia,15.25,14.6,16.26,15.07,14.04,13.35,11.71,6.74,7.75,7.48,8.64,6.15
Annual,Internet use: never,Percentage of individuals,All individuals,Türkiye,51.1,46.22,44.08,38.84,33.15,27.11,24.66,21.02,17.37,14.99,12.88,11.2
Annual,Internet use: never,Percentage of individuals,All individuals,United Kingdom,7.99,5.53,6.15,3.85,3.9,4.31,3.17,1.53,:,:,:,:
Annual,Internet use: never,Percentage of individuals,All individuals,Kosovo*,:,:,:,:,13.05,10.78,8.06,2.38,:,:,:,:
