Time frequency,Unit of measure,Country of cabotage\Time,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand tonne-kilometre (TKM),Armenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:
Annual,Thousand tonne-kilometre (TKM),Austria,142356.0,217240.0,305757.0,225223.0,225421.0,244712.0,255208.0,283956.0,381981.0,422219.0,295519.0,329711.0,543589.0,718164.0,760936.0,773695.0,784551.0,923427.0,955823.0,1048242.0,1018409.0,1139919.0,1101856.0,1237137.0,1121195.0
Annual,Thousand tonne-kilometre (TKM),Azerbaijan,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,:,:,:,:,:,:,:
Annual,Thousand tonne-kilometre (TKM),Bosnia and Herzegovina,: u,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,: u,: u,:,: u,: u,: u
Annual,Thousand tonne-kilometre (TKM),Belgium,419133.0,466696.0,612749.0,437319.0,536892.0,574219.0,587884.0,704106.0,661529.0,873815.0,996161.0,1214001.0,1141332.0,1096566.0,1369283.0,1244020.0,1457128.0,1740396.0,1872522.0,1602222.0,1690750.0,1637384.0,1701657.0,1638964.0,1695847.0
Annual,Thousand tonne-kilometre (TKM),Bulgaria,1742.0,: u,2890.0,: u,4231.0,11443.0,: u,14981.0,16264.0,: u,3336.0,: u,12556.0,5252.0,18766.0,9404.0,22905.0,11968.0,8181.0,8922.0,11704.0,15693.0,20601.0,25199.0,67220.0
Annual,Thousand tonne-kilometre (TKM),Belarus,: u,: u,: u,:,: u,10060.0,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,22151.0,30089.0,: u
Annual,Thousand tonne-kilometre (TKM),Congo,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,291.0,:,:,:,:,:,:,:,:,:
Annual,Thousand tonne-kilometre (TKM),Switzerland,43615.0,50040.0,79452.0,66572.0,56307.0,50963.0,66631.0,106629.0,73674.0,70116.0,70906.0,121309.0,61826.0,111427.0,79859.0,106127.0,77841.0,106555.0,89324.0,80791.0,140663.0,100987.0,134479.0,124991.0,98711.0
Annual,Thousand tonne-kilometre (TKM),Costa Rica,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,: u,:
Annual,Thousand tonne-kilometre (TKM),Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,3297.0,:,: u
Annual,Thousand tonne-kilometre (TKM),Czechia,18086.0,13638.0,14501.0,12592.0,30057.0,26831.0,33646.0,67628.0,87287.0,74784.0,70712.0,171174.0,83973.0,85098.0,63450.0,96117.0,309969.0,192910.0,181573.0,199290.0,286509.0,275425.0,186481.0,317479.0,244378.0
Annual,Thousand tonne-kilometre (TKM),Germany,2536950.0,2571337.0,2705080.0,3085134.0,3021611.0,3790101.0,3674724.0,3478895.0,3599839.0,4048534.0,4571687.0,6045536.0,6716775.0,8338459.0,9976239.0,12157908.0,12448599.0,16184778.0,20377828.0,19147461.0,22944065.0,25644596.0,27181509.0,24901231.0,25950487.0
Annual,Thousand tonne-kilometre (TKM),Denmark,40723.0,51714.0,101219.0,109175.0,129803.0,183995.0,213764.0,203258.0,268471.0,371284.0,305604.0,412960.0,323459.0,348678.0,356958.0,331022.0,354721.0,324780.0,427568.0,415678.0,340513.0,466566.0,369918.0,369257.0,402570.0
Annual,Thousand tonne-kilometre (TKM),Algeria,:,:,:,:,:,:,:,:,:,2748.0,:,:,:,:,:,:,: u,:,:,:,:,:,:,: u,:
Annual,Thousand tonne-kilometre (TKM),Estonia,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,6488.0,3483.0,2763.0,13545.0,: u,: u,12695.0,24238.0,15062.0,43434.0,31901.0,61345.0,33620.0,71362.0,25088.0
Annual,Thousand tonne-kilometre (TKM),Western Sahara,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonne-kilometre (TKM),Greece,7314.0,64373.0,78855.0,102110.0,46723.0,59542.0,72410.0,144532.0,148951.0,167623.0,163813.0,211901.0,195845.0,72428.0,131722.0,221298.0,58521.0,161646.0,161861.0,97972.0,100602.0,117775.0,186044.0,138397.0,103528.0
Annual,Thousand tonne-kilometre (TKM),Spain,536766.0,410606.0,605010.0,647782.0,709045.0,928323.0,1156488.0,1402586.0,1408149.0,1185208.0,855020.0,664893.0,703207.0,639412.0,975957.0,1149151.0,1268613.0,1310560.0,1735652.0,1592805.0,2094091.0,1784843.0,1987658.0,1665344.0,1494844.0
Annual,Thousand tonne-kilometre (TKM),Finland,143.0,2318.0,32156.0,2573.0,26044.0,13940.0,22469.0,25777.0,47554.0,34376.0,67304.0,86461.0,44257.0,68487.0,54567.0,85941.0,105602.0,64604.0,93013.0,97186.0,111955.0,93929.0,59725.0,126613.0,79621.0
Annual,Thousand tonne-kilometre (TKM),France,1488113.0,2074001.0,2659486.0,3307398.0,3597499.0,4578897.0,4642348.0,4520480.0,4788760.0,5339441.0,6162336.0,6357057.0,6130085.0,6313708.0,7451247.0,7700463.0,8382922.0,9754619.0,11369034.0,10972790.0,12294233.0,12295549.0,12937704.0,11518601.0,11134815.0
Annual,Thousand tonne-kilometre (TKM),Georgia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,: u,:,:,:,: u,: u
Annual,Thousand tonne-kilometre (TKM),Gibraltar,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,:,: u,: u,:,3205.0,: u,:,:
Annual,Thousand tonne-kilometre (TKM),Croatia,: u,270.0,8124.0,7007.0,4101.0,: u,4651.0,2070.0,: u,3904.0,: u,1771.0,: u,: u,: u,: u,1311.0,6985.0,9656.0,16590.0,13806.0,20595.0,26018.0,16184.0,32823.0
Annual,Thousand tonne-kilometre (TKM),Hungary,8106.0,22785.0,23002.0,21801.0,23438.0,28817.0,27767.0,36660.0,6940.0,20151.0,42256.0,21229.0,71513.0,49799.0,47171.0,60978.0,56496.0,64659.0,60564.0,79345.0,117953.0,74399.0,84789.0,80119.0,106567.0
Annual,Thousand tonne-kilometre (TKM),Ireland,4716.0,24560.0,10398.0,13913.0,7890.0,123283.0,152200.0,180620.0,196393.0,170333.0,105345.0,178501.0,164518.0,146539.0,233972.0,152327.0,205600.0,169471.0,221389.0,191001.0,214069.0,74381.0,14811.0,10948.0,11690.0
Annual,Thousand tonne-kilometre (TKM),Iraq,:,:,:,:,:,:,:,:,:,:,:,:,:,234.0,111.0,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonne-kilometre (TKM),Italy,933279.0,714649.0,914098.0,808835.0,966707.0,1017185.0,878959.0,1037168.0,1055353.0,1062154.0,1270572.0,1464252.0,1468110.0,1301070.0,1797777.0,1769167.0,1917022.0,1915007.0,2296242.0,1767293.0,2279105.0,2322209.0,3017747.0,2792555.0,2657822.0
Annual,Thousand tonne-kilometre (TKM),Kyrgyzstan,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,:,:,:,:,:,:
Annual,Thousand tonne-kilometre (TKM),Kazakhstan,:,:,:,:,:,: u,: u,: u,:,:,:,:,:,:,: u,: u,: u,: u,:,:,: u,:,: u,: u,: u
Annual,Thousand tonne-kilometre (TKM),Liechtenstein,: u,: u,:,: u,: u,: u,:,:,:,33.0,193.0,176.0,: u,1634.0,159.0,2109.0,: u,37.0,229.0,500.0,203.0,: u,: u,: u,: u
Annual,Thousand tonne-kilometre (TKM),Lithuania,: u,: u,:,: u,: u,5082.0,: u,3860.0,: u,5415.0,13990.0,8519.0,6844.0,6868.0,74387.0,28295.0,21386.0,28910.0,53007.0,133475.0,93833.0,38374.0,145156.0,98991.0,46328.0
Annual,Thousand tonne-kilometre (TKM),Luxembourg,11258.0,9322.0,16253.0,24020.0,7463.0,11131.0,27184.0,17988.0,7432.0,6560.0,11220.0,15353.0,19536.0,6876.0,11616.0,9735.0,18134.0,21423.0,30471.0,14187.0,18814.0,26113.0,26336.0,21789.0,10707.0
Annual,Thousand tonne-kilometre (TKM),Latvia,: u,: u,: u,: u,10337.0,: u,: u,2219.0,1071.0,8707.0,1510.0,19977.0,8017.0,4598.0,4676.0,17340.0,13539.0,19348.0,7824.0,36653.0,23562.0,9810.0,23471.0,22956.0,37838.0
Annual,Thousand tonne-kilometre (TKM),Morocco,: u,627.0,: u,:,5563.0,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,: u,: u,: u,: u,:,:,:,:
Annual,Thousand tonne-kilometre (TKM),Monaco,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonne-kilometre (TKM),Moldova,: u,:,:,:,:,: u,: u,:,:,:,: u,:,: u,: u,26845.0,11570.0,749.0,:,: u,: u,: u,: u,: u,9620.0,: u
Annual,Thousand tonne-kilometre (TKM),North Macedonia,: u,: u,: u,:,: u,:,:,16350.0,:,21330.0,:,:,: u,:,: u,66.0,:,:,: u,: u,:,: u,:,:,:
Annual,Thousand tonne-kilometre (TKM),Malta,:,:,:,:,:,:,:,:,:,: u,:,:,:,:,:,:,:,:,:,:,: u,:,:,:,:
Annual,Thousand tonne-kilometre (TKM),Netherlands,170598.0,224749.0,274323.0,297570.0,216706.0,256578.0,278084.0,387427.0,381705.0,449552.0,418996.0,553580.0,495747.0,501058.0,566876.0,767465.0,727244.0,1054912.0,894578.0,803487.0,1096235.0,1162593.0,954943.0,1028116.0,926795.0
Annual,Thousand tonne-kilometre (TKM),Norway,12341.0,50453.0,50841.0,82698.0,131916.0,196793.0,70937.0,152067.0,153142.0,202932.0,137349.0,160269.0,201329.0,273436.0,553624.0,440541.0,416799.0,419317.0,599117.0,623409.0,643288.0,547032.0,813460.0,424226.0,535025.0
Annual,Thousand tonne-kilometre (TKM),Poland,31420.0,32978.0,28709.0,34881.0,26841.0,41959.0,35504.0,22354.0,17076.0,42903.0,42426.0,180690.0,69564.0,103837.0,68024.0,88950.0,98549.0,174625.0,122484.0,129574.0,143660.0,147584.0,130406.0,175741.0,208125.0
Annual,Thousand tonne-kilometre (TKM),Portugal,30180.0,42082.0,30251.0,35847.0,40465.0,68593.0,56123.0,23387.0,42697.0,5335.0,55361.0,55734.0,30295.0,76112.0,45427.0,38885.0,47572.0,71918.0,53349.0,115472.0,118820.0,102517.0,127880.0,113332.0,86939.0
Annual,Thousand tonne-kilometre (TKM),Romania,19795.0,21808.0,24929.0,18918.0,65860.0,22193.0,53254.0,43697.0,34864.0,14846.0,121944.0,30962.0,31218.0,124149.0,48870.0,56782.0,73685.0,63945.0,107991.0,64405.0,79309.0,33028.0,81794.0,63531.0,68772.0
Annual,Thousand tonne-kilometre (TKM),Serbia,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,2655.0,6940.0,1635.0,2816.0,4698.0,2710.0,5175.0,2163.0,43071.0,16439.0,17134.0,11240.0
Annual,Thousand tonne-kilometre (TKM),Serbia and Montenegro,: u,: u,8259.0,1607.0,: u,3366.0,: u,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonne-kilometre (TKM),Russia,6069.0,1122.0,1679.0,22120.0,19623.0,99500.0,97015.0,156545.0,172719.0,101028.0,88067.0,100512.0,274612.0,341206.0,198455.0,198053.0,240365.0,171088.0,95695.0,268084.0,291781.0,185814.0,456760.0,134524.0,77897.0
Annual,Thousand tonne-kilometre (TKM),Sweden,257483.0,213373.0,228748.0,213777.0,255098.0,355866.0,522300.0,546594.0,799683.0,933388.0,708964.0,1047974.0,1022431.0,795198.0,1236448.0,1336753.0,1397460.0,1731883.0,1643702.0,1578185.0,1822216.0,1734623.0,1762615.0,1590906.0,1404592.0
Annual,Thousand tonne-kilometre (TKM),Slovenia,831.0,2733.0,5866.0,5603.0,1033.0,1677.0,9234.0,: u,2128.0,5554.0,4316.0,: u,11619.0,8617.0,8150.0,10622.0,9652.0,10467.0,42610.0,32979.0,30064.0,18328.0,26188.0,16364.0,38462.0
Annual,Thousand tonne-kilometre (TKM),Slovakia,322.0,317.0,17113.0,1233.0,3354.0,7045.0,39175.0,21784.0,49193.0,52350.0,17238.0,40111.0,68471.0,98237.0,84310.0,104772.0,119825.0,110773.0,96256.0,99426.0,136159.0,63487.0,57748.0,83209.0,71106.0
Annual,Thousand tonne-kilometre (TKM),San Marino,: u,:,:,: u,:,:,: u,: u,: u,:,:,:,:,:,:,:,: u,:,:,:,:,:,:,:,: u
Annual,Thousand tonne-kilometre (TKM),Syria,:,:,:,:,:,:,:,:,:,1332.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonne-kilometre (TKM),Tunisia,: u,:,: u,:,:,: u,:,:,:,:,:,:,:,: u,:,:,:,: u,:,:,:,:,:,:,:
Annual,Thousand tonne-kilometre (TKM),Türkiye,11815.0,6842.0,6033.0,5442.0,13595.0,6307.0,25115.0,25161.0,13681.0,: u,: u,: u,: u,24062.0,45714.0,62207.0,61565.0,119213.0,109891.0,57096.0,64917.0,69368.0,39130.0,119602.0,41245.0
Annual,Thousand tonne-kilometre (TKM),Ukraine,: u,83.0,: u,: u,927.0,28443.0,30744.0,23599.0,: u,26915.0,43424.0,49729.0,48550.0,: u,77296.0,23438.0,49563.0,17168.0,: u,11785.0,66270.0,72198.0,37792.0,22676.0,14372.0
Annual,Thousand tonne-kilometre (TKM),United Kingdom,711528.0,1325219.0,1292036.0,1478392.0,1631803.0,1855219.0,1875059.0,1759958.0,1539298.0,1711855.0,1231357.0,1275627.0,1042660.0,1052406.0,1052554.0,1399909.0,1461487.0,1824406.0,1585846.0,1194457.0,1517847.0,1372985.0,1375431.0,1243805.0,1062453.0
Annual,Thousand tonne-kilometre (TKM),Unknown,4254.0,57012.0,: u,7386.0,: u,: u,: u,: u,: u,3717.0,:,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,1004.0
Annual,Thousand tonne-kilometre (TKM),Uzbekistan,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,:,:,:,:,:,: u,:,:,:,:
