Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Percentage,From 15 to 64 years,Males,Czechia,28.2,46.7,52.5
Annual,Percentage,From 15 to 64 years,Males,Germany,25.1,39.0,42.2
Annual,Percentage,From 15 to 64 years,Males,Denmark,32.4,44.9,36.6
Annual,Percentage,From 15 to 64 years,Males,Estonia,23.5,31.9,43.0
Annual,Percentage,From 15 to 64 years,Males,Greece,15.5,13.6,8.2
Annual,Percentage,From 15 to 64 years,Males,Spain,17.6,34.0,32.2
Annual,Percentage,From 15 to 64 years,Males,European Union - 27 countries (from 2020),24.0,33.2,37.0
Annual,Percentage,From 15 to 64 years,Males,European Union - 28 countries (2013-2020),25.7,34.7,38.2
Annual,Percentage,From 15 to 64 years,Males,Finland,47.9,48.0,52.7
Annual,Percentage,From 15 to 64 years,Males,France,23.3,26.7,42.8
Annual,Percentage,From 15 to 64 years,Males,Croatia,22.9,22.7,26.1
Annual,Percentage,From 15 to 64 years,Males,Hungary,14.5,25.7,21.6
Annual,Percentage,From 15 to 64 years,Males,Ireland,38.2,44.2,52.3
Annual,Percentage,From 15 to 64 years,Males,Italy,18.6,27.6,31.3
Annual,Percentage,From 15 to 64 years,Males,Lithuania,18.6,20.8,27.7
Annual,Percentage,From 15 to 64 years,Males,Luxembourg,37.9,32.8,50.1
Annual,Percentage,From 15 to 64 years,Males,Latvia,16.9,22.2,30.5
Annual,Percentage,From 15 to 64 years,Males,Malta,35.7,30.4,35.2
Annual,Percentage,From 15 to 64 years,Males,Netherlands,33.3,49.8,47.8
Annual,Percentage,From 15 to 64 years,Males,Poland,27.5,34.0,31.3
Annual,Percentage,From 15 to 64 years,Males,Portugal,17.9,33.5,26.2
Annual,Percentage,From 15 to 64 years,Males,Romania,11.1,18.9,18.7
Annual,Percentage,From 15 to 64 years,Males,Sweden,48.8,50.0,47.2
Annual,Percentage,From 15 to 64 years,Males,Slovenia,37.1,48.8,42.8
Annual,Percentage,From 15 to 64 years,Males,Slovakia,34.9,37.0,53.9
Annual,Percentage,From 15 to 64 years,Males,United Kingdom,37.0,44.7,45.4
Annual,Percentage,From 15 to 64 years,Total,Austria,37.5,41.5,43.8
Annual,Percentage,From 15 to 64 years,Total,Belgium,41.0,36.7,47.7
Annual,Percentage,From 15 to 64 years,Total,Bulgaria,7.7,9.5,15.9
Annual,Percentage,From 15 to 64 years,Total,Cyprus,19.9,27.9,22.9
Annual,Percentage,From 15 to 64 years,Total,Czechia,26.8,46.5,52.9
Annual,Percentage,From 15 to 64 years,Total,Germany,25.3,37.1,41.7
Annual,Percentage,From 15 to 64 years,Total,Denmark,36.5,44.4,38.0
Annual,Percentage,From 15 to 64 years,Total,Estonia,29.8,37.2,49.2
Annual,Percentage,From 15 to 64 years,Total,Greece,13.4,14.0,8.8
Annual,Percentage,From 15 to 64 years,Total,Spain,19.2,31.1,32.0
Annual,Percentage,From 15 to 64 years,Total,European Union - 27 countries (from 2020),24.4,32.3,37.0
Annual,Percentage,From 15 to 64 years,Total,European Union - 28 countries (2013-2020),26.4,34.0,39.0
Annual,Percentage,From 15 to 64 years,Total,Finland,52.7,51.6,55.2
Annual,Percentage,From 15 to 64 years,Total,France,24.5,25.2,40.8
Annual,Percentage,From 15 to 64 years,Total,Croatia,22.6,21.3,26.1
Annual,Percentage,From 15 to 64 years,Total,Hungary,15.8,26.9,25.5
Annual,Percentage,From 15 to 64 years,Total,Ireland,37.9,42.3,50.9
Annual,Percentage,From 15 to 64 years,Total,Italy,17.8,26.5,30.4
Annual,Percentage,From 15 to 64 years,Total,Lithuania,23.0,24.2,33.8
Annual,Percentage,From 15 to 64 years,Total,Luxembourg,36.7,35.1,49.2
Annual,Percentage,From 15 to 64 years,Total,Latvia,21.9,29.8,34.1
Annual,Percentage,From 15 to 64 years,Total,Malta,35.3,31.8,38.4
Annual,Percentage,From 15 to 64 years,Total,Netherlands,31.7,49.1,50.5
Annual,Percentage,From 15 to 64 years,Total,Poland,26.5,33.4,35.5
Annual,Percentage,From 15 to 64 years,Total,Portugal,15.3,29.8,26.0
Annual,Percentage,From 15 to 64 years,Total,Romania,11.4,19.2,19.2
Annual,Percentage,From 15 to 64 years,Total,Sweden,51.6,49.1,45.4
Annual,Percentage,From 15 to 64 years,Total,Slovenia,38.4,48.2,43.2
Annual,Percentage,From 15 to 64 years,Total,Slovakia,34.1,36.4,47.2
Annual,Percentage,From 15 to 64 years,Total,United Kingdom,39.1,45.7,50.6
Annual,Percentage,From 25 to 64 years,Females,Austria,40.6,42.0,43.0
Annual,Percentage,From 25 to 64 years,Females,Belgium,44.3,41.2,53.0
Annual,Percentage,From 25 to 64 years,Females,Bulgaria,8.5,10.4,16.6
Annual,Percentage,From 25 to 64 years,Females,Cyprus,27.3,27.1,28.9
Annual,Percentage,From 25 to 64 years,Females,Czechia,26.2,47.2,55.3
Annual,Percentage,From 25 to 64 years,Females,Germany,26.8,34.8,41.2
Annual,Percentage,From 25 to 64 years,Females,Denmark,46.3,49.3,41.3
Annual,Percentage,From 25 to 64 years,Females,Estonia,38.6,43.6,58.4
Annual,Percentage,From 25 to 64 years,Females,Greece,10.1,15.8,9.5
Annual,Percentage,From 25 to 64 years,Females,Spain,24.7,27.8,33.4
Annual,Percentage,From 25 to 64 years,Females,European Union - 27 countries (from 2020),26.6,32.0,38.2
Annual,Percentage,From 25 to 64 years,Females,European Union - 28 countries (2013-2020),28.8,34.1,40.7
Annual,Percentage,From 25 to 64 years,Females,Finland,60.9,57.7,60.7
Annual,Percentage,From 25 to 64 years,Females,France,27.1,25.4,40.9
Annual,Percentage,From 25 to 64 years,Females,Croatia,23.3,20.0,26.3
Annual,Percentage,From 25 to 64 years,Females,Hungary,17.5,28.9,30.8
Annual,Percentage,From 25 to 64 years,Females,Ireland,40.6,44.4,49.2
Annual,Percentage,From 25 to 64 years,Females,Italy,18.6,25.1,29.8
Annual,Percentage,From 25 to 64 years,Females,Lithuania,28.9,28.8,40.1
Annual,Percentage,From 25 to 64 years,Females,Luxembourg,34.6,37.8,48.0
Annual,Percentage,From 25 to 64 years,Females,Latvia,26.1,36.2,40.0
Annual,Percentage,From 25 to 64 years,Females,Malta,34.2,32.9,45.5
Annual,Percentage,From 25 to 64 years,Females,Netherlands,32.6,53.9,56.9
