Time frequency,Working time,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Age class,International Standard Classification of Occupations for European Union purposes (ISCO-88 (COM)),Modalities of the variable for the ad-hoc module,Sex,Geopolitical entity (reporting)\Time,2004.0,2010.0
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Slovenia,28.90 u,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Slovakia,20.7,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,United Kingdom,36.3,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Austria,37.0,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Belgium,31.7,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Bulgaria,10.6,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Czechia,21.0,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Germany,52.3,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Greece,15.1,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Spain,15.3,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Finland,50.2,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Hungary,17.3,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Ireland,20.2,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Italy,32.9,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Lithuania,: u,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Luxembourg,37.5,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Latvia,: u,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Malta,: u,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Netherlands,31.3,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Poland,17.4,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Portugal,19.9,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Romania,10.8,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Sweden,61.2,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Slovenia,28.60 u,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,Slovakia,19.4,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Total,United Kingdom,33.5,:
