Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,"Current prices, million euro",Palestine*,7025.2 di,6891.5 di,6552.9 di,6559.7 di,7511.5 di,8359.7 di,8725.9 di,10030.3 di,10159.2 di,10140.1 di,12593.4 di,13742.0 di,13655.7 di,13222.9 di,14139.3 di,12289.8 di,12701.2 di,14848.1 di,21139.3 di
Annual,"Current prices, million euro",Tunisia,25977.0 dip,27437.5 dip,28536.8 di,30602.8 di,31208.3 di,33363.4 di,33176.4 di,35141.0 di,34949.1 di,35975.7 di,41485.4 di,40363.3 di,37660.4 di,36348.3 di,37562.3 di,37302.9 di,39684.4 dip,:,:
Annual,"Current prices, million units of national currency",Algeria,7561984.4 d,8501635.8 d,9352886.4 d,11043703.5 d,9968025.3 d,11991563.9 d,14588970.0 d,16209598.0 d,16647919.0 d,17228597.8 d,16712675.4 d,17514634.9,18876175.6,20393524.4,20500201.8,18476922.8,22079279.1,:,:
Annual,"Current prices, million units of national currency",Egypt,538500.0 d,617700.0 d,744800.0 d,895500.0 d,1042200.0 d,1206600.0 d,1371100.0 d,1674700.0 d,1860400.0 d,2130000.0 d,2443900.0 d,2709400.0 d,3470000.0 d,:,:,:,:,:,:
Annual,"Current prices, million units of national currency",Israel,660155.9,707237.4,756172.1,791341.7,835431.2,893288.6,956813.6,1013796.6,1074690.1,1123796.5,1176638.1,1232669.5,1285863.5,1347000.7,1424572.4,1417343.9,1581860.4,1763805.8,:
Annual,"Current prices, million units of national currency",Jordan,8925.4 de,10675.4 de,12131.4 de,16080.1 e,17421.9 e,19265.0 e,20962.1 e,22460.5 e,24462.7 e,26161.8 e,27396.8 e,28323.7 e,29542.0,30793.3,31597.1,31027.3,32870.2,:,:
Annual,"Current prices, million units of national currency",Lebanon,32407234.8,33199235.1,37427237.7,43896766.0,53364871.3,57954189.9,60190142.4,66355325.3,70671755.4,72503534.7,75268476.8,77104568.0,79939228.6,82764040.1,80195660.5,95699601.7,:,:,:
Annual,"Current prices, million units of national currency",Libya,:,78938.1,85901.5,106096.0,76225.6,95491.6,58966.5,116755.2,95823.4,73000.7,67289.1,69396.2,93605.4,104673.9,96835.5,:,:,:,:
Annual,"Current prices, million units of national currency",Morocco,:,:,:,:,:,:,:,:,:,1001454.0,1078119.0,1094249.0,1148895.0,1195237.0,1239836.0,1152477.0,1274727.0,1330158.0,:
Annual,"Current prices, million units of national currency",Palestine*,8740.1 d,8653.0 d,8980.8 d,9648.0 d,10477.1 d,11082.4 d,12146.4 d,12886.9 d,13492.4 d,13471.1 d,13972.4 d,15211.0 d,15426.9 d,15616.2 d,15829.0 d,14037.4 d,15021.7 d,15635.0,22857.9 df
Annual,"Current prices, million units of national currency",Tunisia,41871.0 dp,45756.2 dp,49857.5 d,55267.8 d,58677.2 d,63054.8 d,64492.2 d,70354.4 d,75144.1 d,80790.0 d,89802.2 d,95286.9,102011.5,112985.5,122969.3 d,119633.4,130466.1 p,:,:
