Time frequency,Frequency,Category of persons,Degree of urbanisation,Household composition,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2022.0
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Portugal,7.8,10.4
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Romania,13.3,11.3
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Serbia,14.8,16.0
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Sweden,15.2,21.3
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Slovenia,17.7,18.1
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Slovakia,10.0,9.0
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,United Kingdom,13.3 u,:
Annual,Once a month,Friends,Total,Total,Total,Percentage,Austria,14.5,15.6
Annual,Once a month,Friends,Total,Total,Total,Percentage,Belgium,9.8,11.9
Annual,Once a month,Friends,Total,Total,Total,Percentage,Bulgaria,16.2,8.1
Annual,Once a month,Friends,Total,Total,Total,Percentage,Switzerland,13.0,16.5
Annual,Once a month,Friends,Total,Total,Total,Percentage,Cyprus,4.8,3.6
Annual,Once a month,Friends,Total,Total,Total,Percentage,Czechia,18.2,17.8
Annual,Once a month,Friends,Total,Total,Total,Percentage,Germany,13.5,: u
Annual,Once a month,Friends,Total,Total,Total,Percentage,Denmark,17.5,20.0
Annual,Once a month,Friends,Total,Total,Total,Percentage,Estonia,18.6,20.0
Annual,Once a month,Friends,Total,Total,Total,Percentage,Greece,4.7,5.1
Annual,Once a month,Friends,Total,Total,Total,Percentage,Spain,7.9,12.4
Annual,Once a month,Friends,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),12.5,:
Annual,Once a month,Friends,Total,Total,Total,Percentage,Finland,10.3,14.1
Annual,Once a month,Friends,Total,Total,Total,Percentage,France,10.2,16.5
Annual,Once a month,Friends,Total,Total,Total,Percentage,Croatia,6.5,6.8
Annual,Once a month,Friends,Total,Total,Total,Percentage,Hungary,15.5,16.8
Annual,Once a month,Friends,Total,Total,Total,Percentage,Ireland,15.3 u,18.8
Annual,Once a month,Friends,Total,Total,Total,Percentage,Iceland,18.7,:
Annual,Once a month,Friends,Total,Total,Total,Percentage,Italy,9.5,9.1
Annual,Once a month,Friends,Total,Total,Total,Percentage,Lithuania,20.2,18.9
Annual,Once a month,Friends,Total,Total,Total,Percentage,Luxembourg,12.4,13.4
Annual,Once a month,Friends,Total,Total,Total,Percentage,Latvia,18.5,17.8
Annual,Once a month,Friends,Total,Total,Total,Percentage,Malta,13.0,13.6
Annual,Once a month,Friends,Total,Total,Total,Percentage,Netherlands,10.1,12.9
Annual,Once a month,Friends,Total,Total,Total,Percentage,Norway,10.5,11.6
Annual,Once a month,Friends,Total,Total,Total,Percentage,Poland,24.2 u,19.1
Annual,Once a month,Friends,Total,Total,Total,Percentage,Portugal,8.2,11.8
Annual,Once a month,Friends,Total,Total,Total,Percentage,Romania,16.2,13.5
Annual,Once a month,Friends,Total,Total,Total,Percentage,Serbia,11.7,7.7
Annual,Once a month,Friends,Total,Total,Total,Percentage,Sweden,9.8,19.1
Annual,Once a month,Friends,Total,Total,Total,Percentage,Slovenia,14.0,16.3
Annual,Once a month,Friends,Total,Total,Total,Percentage,Slovakia,11.6,12.5
Annual,Once a month,Friends,Total,Total,Total,Percentage,United Kingdom,15.4 u,:
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Austria,7.4,6.8
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Belgium,18.4,11.3
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Bulgaria,21.9,42.8
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Switzerland,9.2,6.8
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Cyprus,45.4,46.5
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Czechia,14.2,12.7
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Germany,14.1,: u
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Denmark,3.1,2.5
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Estonia,4.2,3.3
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Greece,35.7,25.0
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Spain,22.1,12.1
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),16.7,:
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Finland,10.0,6.6
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,France,13.7,10.0
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Croatia,29.7,26.9
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Hungary,16.4,14.3
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Ireland,19.1 u,9.7
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Iceland,6.6,:
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Italy,22.0,16.8
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Lithuania,3.1,3.0
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Luxembourg,14.6,5.9
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Latvia,4.2,3.1
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Malta,34.4,18.8
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Netherlands,5.8,5.1
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Norway,11.7,5.2
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Poland,6.3 u,7.4
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Portugal,32.6,24.9
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Romania,25.3,22.9
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Serbia,25.0,13.1
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Sweden,5.5,3.5
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Slovenia,10.6,10.2
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Slovakia,36.3,29.1
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,United Kingdom,15.4 u,:
Annual,Every day,Friends,Total,Total,Total,Percentage,Austria,7.3,6.4
Annual,Every day,Friends,Total,Total,Total,Percentage,Belgium,15.9,9.1
Annual,Every day,Friends,Total,Total,Total,Percentage,Bulgaria,24.3,30.9
Annual,Every day,Friends,Total,Total,Total,Percentage,Switzerland,9.3,5.6
Annual,Every day,Friends,Total,Total,Total,Percentage,Cyprus,36.9,26.4
Annual,Every day,Friends,Total,Total,Total,Percentage,Czechia,10.7,8.6
Annual,Every day,Friends,Total,Total,Total,Percentage,Germany,11.4,: u
Annual,Every day,Friends,Total,Total,Total,Percentage,Denmark,7.8,5.6
Annual,Every day,Friends,Total,Total,Total,Percentage,Estonia,8.8,26.1
Annual,Every day,Friends,Total,Total,Total,Percentage,Greece,40.0,30.2
Annual,Every day,Friends,Total,Total,Total,Percentage,Spain,25.3,13.8
Annual,Every day,Friends,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),15.2,:
Annual,Every day,Friends,Total,Total,Total,Percentage,Finland,16.0,8.6
Annual,Every day,Friends,Total,Total,Total,Percentage,France,12.9,11.9
Annual,Every day,Friends,Total,Total,Total,Percentage,Croatia,38.8,30.4
Annual,Every day,Friends,Total,Total,Total,Percentage,Hungary,18.6,11.1
Annual,Every day,Friends,Total,Total,Total,Percentage,Ireland,13.4 u,9.7
Annual,Every day,Friends,Total,Total,Total,Percentage,Iceland,5.4,:
Annual,Every day,Friends,Total,Total,Total,Percentage,Italy,16.1,14.3
Annual,Every day,Friends,Total,Total,Total,Percentage,Lithuania,7.9,6.1
Annual,Every day,Friends,Total,Total,Total,Percentage,Luxembourg,16.9,7.1
Annual,Every day,Friends,Total,Total,Total,Percentage,Latvia,6.3,3.9
Annual,Every day,Friends,Total,Total,Total,Percentage,Malta,17.3,8.6
Annual,Every day,Friends,Total,Total,Total,Percentage,Netherlands,7.3,5.5
Annual,Every day,Friends,Total,Total,Total,Percentage,Norway,13.8,11.4
Annual,Every day,Friends,Total,Total,Total,Percentage,Poland,5.0 u,4.8
Annual,Every day,Friends,Total,Total,Total,Percentage,Portugal,36.7,27.7
Annual,Every day,Friends,Total,Total,Total,Percentage,Romania,10.9,8.4
Annual,Every day,Friends,Total,Total,Total,Percentage,Serbia,28.5,30.0
Annual,Every day,Friends,Total,Total,Total,Percentage,Sweden,13.6,6.7
Annual,Every day,Friends,Total,Total,Total,Percentage,Slovenia,15.1,11.9
Annual,Every day,Friends,Total,Total,Total,Percentage,Slovakia,24.7,17.5
Annual,Every day,Friends,Total,Total,Total,Percentage,United Kingdom,9.8 u,:
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Austria,13.5,12.5
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Belgium,8.2,9.2
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Bulgaria,11.6,5.6
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Switzerland,17.4,17.6
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Cyprus,8.0,8.1
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Czechia,6.1,5.5
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Germany,16.5,: u
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Denmark,14.3,14.7
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Estonia,19.5,26.3
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Greece,5.1,7.3
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Spain,10.4,14.2
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),12.7,:
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Finland,8.2,12.3
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,France,17.3,18.1
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Croatia,10.5,8.6
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Hungary,9.3,6.4
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Ireland,12.1 u,16.4
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Iceland,10.0,:
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Italy,7.6,6.5
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Lithuania,21.8,19.6
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Luxembourg,18.1,24.5
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Latvia,22.6,27.3
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Malta,6.3,10.1
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Netherlands,9.4,11.1
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Norway,10.4,14.0
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Poland,18.7 u,5.9
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Portugal,6.9,6.9
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Romania,10.3,8.7
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Serbia,15.1,9.8
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Sweden,13.5,18.3
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Slovenia,12.2,10.6
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Slovakia,4.8,4.8
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,United Kingdom,12.9 u,:
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Austria,5.2,5.8
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Belgium,5.5,6.1
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Bulgaria,3.8,3.1
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Switzerland,5.3,5.9
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Cyprus,1.8,0.9
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Czechia,4.6,5.6
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Germany,6.8,: u
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Denmark,9.7,11.2
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Estonia,8.7,15.8
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Greece,2.2,3.2
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Spain,5.1,10.3
Annual,At least once a year,Friends,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),7.6,:
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Finland,5.3,9.0
Annual,At least once a year,Friends,Total,Total,Total,Percentage,France,10.5,10.5
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Croatia,3.8,3.3
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Hungary,7.6,9.0
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Ireland,6.4 u,9.0
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Iceland,8.2,:
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Italy,4.5,3.9
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Lithuania,17.6,18.7
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Luxembourg,5.8,8.9
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Latvia,10.2,9.7
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Malta,6.9,11.0
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Netherlands,7.1,10.3
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Norway,2.6,4.5
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Poland,17.2 u,13.1
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Portugal,5.4,5.8
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Romania,11.3,10.0
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Serbia,7.2,2.6
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Sweden,4.4,8.2
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Slovenia,5.9,7.2
Annual,At least once a year,Friends,Total,Total,Total,Percentage,Slovakia,6.2,6.4
Annual,At least once a year,Friends,Total,Total,Total,Percentage,United Kingdom,6.8 u,:
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Austria,3.5,4.6
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Belgium,4.1,3.6
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Bulgaria,2.7,0.9
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Switzerland,1.8,2.4
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Cyprus,3.5,3.1
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Czechia,2.2,1.9
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Germany,3.3,: u
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Denmark,1.9,2.3
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Estonia,5.1,6.4
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Greece,1.0,1.5
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Spain,3.4,4.7
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),3.0,:
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Finland,1.9,3.9
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,France,2.3,4.5
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Croatia,1.6,0.9
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Hungary,2.0,1.2
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Ireland,5.1 u,4.4
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Iceland,1.1,:
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Italy,4.7,3.3
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Lithuania,0.9,1.5
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Luxembourg,3.2,3.7
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Latvia,4.2,5.0
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Malta,2.6,3.7
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Netherlands,2.7,3.1
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Norway,1.8,4.7
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Poland,1.1 u,0.6
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Portugal,3.3,2.4
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Romania,2.9,0.6
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Serbia,1.3,1.4
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Sweden,4.9,3.9
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Slovenia,1.9,1.4
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Slovakia,0.5,0.9
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,United Kingdom,3.2 u,:
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Austria,3.7,4.5
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Belgium,4.9,3.6
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Bulgaria,4.9,1.2
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Switzerland,1.8,1.7
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Cyprus,1.9,1.5
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Czechia,5.1,2.6
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Germany,4.1,: u
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Denmark,2.2,1.8
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Estonia,9.7,14.8
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Greece,2.0,1.5
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Spain,4.8,7.1
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),4.9,:
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Finland,1.8,6.5
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,France,4.5,6.9
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Croatia,2.0,1.3
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Hungary,7.3,5.1
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Ireland,4.9 u,3.2
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Iceland,2.1,:
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Italy,7.6,6.3
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Lithuania,4.1,6.0
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Luxembourg,4.1,2.4
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Latvia,15.1,21.5
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Malta,21.0,13.1
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Netherlands,4.3,4.8
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Norway,1.8,2.8
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Poland,4.0 u,2.7
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Portugal,5.6,5.2
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Romania,5.2,2.4
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Serbia,1.8,1.2
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Sweden,4.0,3.1
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Slovenia,3.7,2.5
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Slovakia,1.9,3.3
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,United Kingdom,5.2 u,:
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Austria,22.0,22.9
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Belgium,14.4,18.0
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Bulgaria,22.1,17.2
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Switzerland,18.9,19.3
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Cyprus,6.5,8.0
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Czechia,28.1,28.2
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Germany,21.7,: u
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Denmark,32.2,33.0
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Estonia,22.3,21.4
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Greece,15.3,24.7
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Spain,15.1,18.8
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),20.6,:
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Finland,21.8,24.7
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,France,21.5,19.3
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Croatia,17.5,21.9
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Hungary,21.4,26.6
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Ireland,13.6 u,19.0
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Iceland,27.7,:
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Italy,16.3,16.5
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Lithuania,28.3,32.5
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Luxembourg,16.5,16.9
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Latvia,23.5,20.6
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Malta,10.1,14.7
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Netherlands,24.7,26.5
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Norway,20.1,22.7
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Poland,29.8 u,38.3
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Portugal,10.9,13.1
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Romania,21.1,27.0
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Serbia,19.9,28.5
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Sweden,22.6,24.5
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Slovenia,22.7,25.6
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Slovakia,18.1,20.4
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,United Kingdom,14.4 u,:
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Austria,24.5,24.1
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Belgium,17.3,21.4
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Bulgaria,23.1,20.5
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Switzerland,19.4,23.8
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Cyprus,12.7,16.3
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Czechia,29.4,31.4
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Germany,28.3,: u
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Denmark,28.4,29.4
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Estonia,22.1,23.3
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Greece,11.1,20.7
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Spain,13.9,19.5
Annual,Several times a month,Friends,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),23.0,:
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Finland,20.1,24.7
Annual,Several times a month,Friends,Total,Total,Total,Percentage,France,25.7,21.4
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Croatia,15.9,17.5
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Hungary,19.7,27.3
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Ireland,18.7 u,20.4
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Iceland,34.0,:
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Italy,20.2,19.4
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Lithuania,25.8,27.2
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Luxembourg,20.4,23.1
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Latvia,23.6,21.3
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Malta,13.8,19.2
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Netherlands,24.4,27.9
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Norway,19.5,20.0
