Annual,Kilometre,Electrified railway tracks,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11455.0,11830.0,12538.0,12605.0,12631.0,13582.0,13906.0,14048.0,14777.0,14730.0,15434.0,16223.0,15993.0,16050.0,16204.304,16527.748,16827.452,16840.294,17218.058
Annual,Kilometre,Electrified railway tracks,Finland,2812.0,2828.0,2851.0,2913.0,3235.0,3371.0,3382.0,3396.0,3578.0,3623.0,3769.0,3830.0,3832.0,3838.0,4095.0,4093.0,4596.0,4596.0,4629.0,4631.0,4672.0,4775.0,4785.0,4842.0,4954.0,4988 b,4041.0,4063.0,4114.0,4117.0,4135.0,4145.0,4235.0,4236.0
Annual,Kilometre,Electrified railway tracks,France,:,:,:,28515.100 i,29054.100 i,29828.100 i,29908.100 i,29980.100 i,30003.100 i,30080.100 i,30060.100 i,30530.100 i,30567.100 i,30531 i,30616 i,30972 i,30972 i,31669 i,:,31247.0,31871.0,33718.0,:,:,:,:,:,35026.728,34380.07,35081.703,34750.0,34826 i,34952.0,34932.0
Annual,Kilometre,Electrified railway tracks,Georgia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2170.0,:,:,:,:,2463.0,2457.9,2457.9,2466.0,2465.2,2363.5,2363.5,2363.5,2363.5
Annual,Kilometre,Electrified railway tracks,Croatia,:,:,1208.0,983.0,1227.0,1228.0,1993.0,1611.0,1611.0,1611.0,1616.0,1616.0,1622.0,1622.0,1622.0,1622.0,1624.0,1624.0,1655.0,1655.0,1656.0,1656.0,1650.0,1656.0,1650.0,1654.0,1639.0,1639.0,1640.0,1638.0,1635.0,1649.0,1640.0,1656.0
Annual,Kilometre,Electrified railway tracks,Hungary,4996.0,4631.0,5482.0,5482.0,5544.0,5574.0,5707.0,4910.0,5579.0,5606.0,5803.0,5803.0,5873.0,5873.0,5890.0,5890.0,3956.0,3956.0,3956.0,3956.0,4026.0,4106.8,4106.8,4106.8,4033.0,4099.0,5421.0,5506.0,5509.0,5560.0,5560.0,5762.0,5762.0,4672.0
Annual,Kilometre,Electrified railway tracks,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,107.5,107.5,107.5,107.5,107.5,107.500 i
Annual,Kilometre,Electrified railway tracks,Italy,:,:,:,:,:,16116.0,16317.0,16420.0,16582.0,16820.0,16853.0,17050.0,17112.0,17219.0,17361.0,18103.0,18286.0,18501.0,18953.0,19304.0,19341.0,19362.0,19390.0,19432 i,19418 i,19427 i,19593 i,19641.0,19663.0,19660.0,19720.0,19816.0,19839.0,19863.0
Annual,Kilometre,Electrified railway tracks,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Annual,Kilometre,Electrified railway tracks,Lithuania,:,:,240.3,280.8,208.7,208.7,281.0,280.8,281.0,281.0,242.5,242.5,242.5,242.5,242.5,242.5,242.5,242.5,242.5,242.5,242.5,242.3,242.3,242.3,242.3,242.3,242.3,302.9,302.9,317.5,317.5,317.5,440.7,317.5
Annual,Kilometre,Electrified railway tracks,Luxembourg,:,:,:,:,:,528.0,526.0,526.0,526.0,526.0,574.0,574.0,573.0,574.0,575.0,576.0,576.0,576.0,576.0,583.0,583.0,583.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,596.0,596.0,596.0,596.0,596.0
Annual,Kilometre,Electrified railway tracks,Latvia,522.0,:,271.0,271.0,271.0,271.0,271.0,271.0,270.0,258.0,258.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,648.0,648.0,648.0,648.0,499.0,494.0,502.0,502.0,502.0,502.0,502.0,502.0,502.3,502.3,502.3,498.3
Annual,Kilometre,Electrified railway tracks,Moldova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0,:,:,:,:,0.0,0.0,0.0,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Kilometre,Electrified railway tracks,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,301.270 i,301.270 i,301.270 i,301 i,301 i,303.0,303.0,303.0,303.0,:,:,:,303.0
Annual,Kilometre,Electrified railway tracks,North Macedonia,233.0,:,231.0,231.0,233.0,233.0,233.0,316.0,316.0,316.0,316.0,316.0,316.0,:,316.0,316.0,316.0,320.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0
Annual,Kilometre,Electrified railway tracks,Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4227.0,4311.0,4300.0,4319.0,4318.0,4181.0,4181.0,4183.0,4223.0,4227.0,4223.0
Annual,Kilometre,Electrified railway tracks,Norway,2426.0,2426.0,2426.0,2422.0,2422.0,2422.0,2551.0,2587.0,2587.0,:,2733.0,2745.0,2745.0,2755.0,2755.0,2765.0,2759.0,2792.0,2779.0,2746.0,2765.0,2757.0,2743.0,2746.0,2716.0,2716.0,2728.0,2728.0,2770.0,2773.0,:,:,:,3128.0
Annual,Kilometre,Electrified railway tracks,Poland,26542.0,27167.0,27110.0,26896.0,26896 i,26897.0,26877.0,26831.0,26697.0,26006.0,25682.0,25776.0,25940.0,24541 i,25210.0,25515.0,25370.0,25428.0,25333.0,25273.0,25233.0,25155.0,25088.0,25000.0,25020.0,24908.0,24930.0,24899.0,24906.0,25153.0,25145.0,25267.0,25243.0,25337.0
Annual,Kilometre,Electrified railway tracks,Portugal,:,:,870.0,872.0,872.0,930.0,1045.0,:,1304.0,901.0,904.0,905.0,1047.0,:,:,:,:,2106.2,2145.7,2145.5,2176.4,2318.5,2328.0,2328.0,2328.4,2337.2,2337.2,2337.2,2337.2,2393.69,2393.69,2489.211,2489.211,2489.211
Annual,Kilometre,Electrified railway tracks,Romania,8039.0,8632.0,8633.0,8594.0,8594.0,8680.0,8702.0,8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,8600.0,8656.0,8531.0,8513.0,8509.0,8484.0,8510.0,8570.0,8513.0,8511.0,8549.0,8533.0,8525.0,8525.0,8523.0,8522.0,8519.0,8528.0,8530.0,8500.0,8501.0
Annual,Kilometre,Electrified railway tracks,Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1254.0,1254.0,1254.0,1254.0,1279.0,2289.0,2269.0,2269.0,2266.0,2399.0,2399.0,2398.0,2398.0,2384.0,2356.0,2356.0,2415.0,2415.0
Annual,Kilometre,Electrified railway tracks,Sweden,11025.0,11394.0,11380.0,8529.0,8558.0,8824.0,8909.0,8928.0,8953.0,8986.0,:,:,10714.0,10672.0,10796.0,10942.0,11064.0,11254.0,11314.0,11467.0,11513.0,11740.0,11952.0,12035.0,12139.0,12144.0,12089.0,12121.0,12146.0,12143.0,12166.0,12152.0,12155.0,12339.0
Annual,Kilometre,Electrified railway tracks,Slovenia,:,:,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1095.0,1294.0,1279.0,1286.0,1283.1,1282.9,1282.9,1281.6,1277.74,1281.59,1281.6,1281.6,1281.07,1288.0,1289.0,1289.0,1289.0,1289.0,1289.0,1465.0,1465.0,1465.0,1579.0,1579.0,1455.0,1455.0
Annual,Kilometre,Electrified railway tracks,Slovakia,1330.0,1373.0,1373.0,1415.0,1430.0,1472.0,1516.0,1516.0,1535.0,1535.0,1536.0,1536.0,1556.0,1558.0,1556.0,1556.0,1557.0,1578.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Kilometre,Electrified railway tracks,Türkiye,721.0,877 i,1033.0,1033.0,1093.0,1093.0,1824.0,1945 i,2065.0,2133.0,2122.0,2122.0,2122.0,2082.0,2274.0,2274.0,2274.0,2274.0,2282.0,2670.0,3161.0,3159.0,3216.0,3304.0,3748.0,3854.0,4350.0,4660.0,5467.0,5753.0,5828 i,5986 i,:,7131.0
Annual,Kilometre,Electrified railway tracks,Ukraine,8113.1,8319.0,8364.9,8344.2,8508.1,8546.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Kilometre,Electrified railway tracks,United Kingdom,:,:,12385.0,12498.0,12357.0,12553.0,12553.0,12553.0,12553.0,12553.0,12162.0,12000 p,12000 p,12000 p,12000.0,12319.0,12453.0,12541.0,12534.0,12560.0,12821.0,12821 i,13028.0,13105.0,13252.0,13281.0,13264.0,14347.0,14292.0,14474.0,14532.0,14539.0,14578.0,14760.0
Annual,Kilometre,Electrified railway tracks,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Kilometre,Non-electrified railway tracks,Albania,:,:,:,720.0,720.0,720.0,:,:,667.0,667.0,667.0,543.0,597.3,:,:,:,:,:,:,:,:,:,:,346.0,346.0,379.0,334.0,334.0,334.0,234.85,204.15,224.0,204.15,252.95
Annual,Kilometre,Non-electrified railway tracks,Austria,:,:,:,:,:,:,:,:,:,:,:,:,3694 i,3712 i,2399 i,2724 i,2561 i,:,:,2575 i,1814 i,1824 i,1722 i,1667 i,1704 i,1580 i,1601 i,1675 i,2029 i,2015 i,1989 i,:,:,:
Annual,Kilometre,Non-electrified railway tracks,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,253 i,253 i,253 i,253 i,246 i,246 i,415 i,408 i,408 i,408 i,285 i,284 i,284 i,353.0,353.0,353.0,385.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0
Annual,Kilometre,Non-electrified railway tracks,Belgium,:,:,:,1436.0,1423.0,1368.0,1240.0,1235.0,1385.0,1354.0,1108.0,1107.0,1076.0,1049.0,808.0,771.0,605.0,507.0,682.0,775.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Kilometre,Non-electrified railway tracks,Bulgaria,2850.0,2853.0,2798.0,2797.0,2794.0,2780.0,2694.0,3608.0,2628.0,2628.0,2651.0,2473.9,2463.3,2445.2,2343.8,2115.0,2048.0,2087.0,2057.0,2041.0,2036.0,1848.0,1846.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Kilometre,Non-electrified railway tracks,Czechia,:,:,:,10526.0,11028.0,10337.0,10226.0,9981.0,9981.0,10265.0,10412.0,10194.0,9980.0,9817.0,9463.0,9730.0,9255.0,9208.0,9071.0,8974.0,8851.0,8761.0,8733.0,8681.0,8663.0,8631.0,8600.0,8564.0,8580.0,8486.0,8443.0,8364.0,8351.0,8202.0
Annual,Kilometre,Non-electrified railway tracks,Germany,:,44600.0,43809.0,40898.0,:,38571.0,38571.0,34817.0,32344.0,29809.0,30669.13,26943.0,25833.0,32171 b,31089.0,27434.0,27434.0,27434.0,27434.0,27434.0,29663 i,28968 i,28805 i,29001.915 i,28237.883 i,27958.691 i,27788.134 i,28052.418 i,28005.513 i,28096.877 i,27362.66,26753.085 i,26752.684 i,28435.0
Annual,Kilometre,Non-electrified railway tracks,Denmark,:,:,4338.0,4338.0,4338.0,:,:,2564.0,2564.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Kilometre,Non-electrified railway tracks,Estonia,:,:,1657.4,1657.4,1649.8,1601.8,1584.7,1546.6,1564.0,1564.0,1372.0,1390.0,1299.8,1358.5,1456.0,1667.0,2602.0,2068.0,2011.0,2036.0,2035.0,2032.0,2032.0,2014.0,2014.0,2012.0,2009.0,2012.0,2008.0,2006.0,2005.0,1918.0,1918.0,1902.0
Annual,Kilometre,Non-electrified railway tracks,Greece,2729 i,2729 i,2729 i,2719 i,2745 i,2768 i,2778 i,2725 i,2538 i,2538.0,2657.0,2651.0,2657.0,2739.0,2797.0,3010.0,2865.0,2741.0,2613.0,2621.0,2413.0,2279.0,2279.0,2317.0,1881.0,1883.0,1831.0,1807.0,1619.0,1554.0,1684.0,1684.0,1323.0,1155.0
Annual,Kilometre,Non-electrified railway tracks,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5296.0,5307.0,5347.0,5354.0,5341.0,5385.0,5260.0,5238.0,6085.0,6032.0,5687.0,5857.0,5860.0,5831.0,5783.709,5746.048,5699.019,5885.502,5395.879
Annual,Kilometre,Non-electrified railway tracks,Finland,6032.0,5848.0,5895.0,6078.0,5680.0,5606.0,5558.0,5334.0,5147.0,5057.0,4936.0,4904.0,4904.0,4869.0,4501.0,4494.0,4234.0,4220.0,4219.0,4216.0,4189.0,4111.0,4098.0,3681.0,3531.0,3495 b,2660.0,2645.0,2598.0,2595.0,2573.0,2562.0,2493.0,2495.0
Annual,Kilometre,Non-electrified railway tracks,France,:,:,:,24042 i,23382 i,22238 i,21987 i,19493 i,19397 i,19290 i,19121 i,18899 i,18784 i,18783 i,18680 i,18372 i,18372 i,18208 i,:,20203.0,21815.0,18727.0,:,:,:,:,:,15081.643,14799.34,14739.808,14595.0,14362 i,13992.0,13974.0
Annual,Kilometre,Non-electrified railway tracks,Georgia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,174.0,:,:,:,:,42.1,41.9,41.9,42.0,41.9,37.8,37.8,37.8,37.8
Annual,Kilometre,Non-electrified railway tracks,Croatia,:,:,2889.0,1716.0,2811.0,2839.0,2074.0,2453.0,2452.0,2452.0,2444.0,2441.0,2412.0,2438.0,2482.0,2482.0,2474.0,2472.0,2449.0,2448.0,2446.0,2445.0,2455.0,2434.0,2364.0,2314.0,2311.0,2303.0,2300.0,2307.0,2315.0,2295.0,2288.0,2267.0
Annual,Kilometre,Non-electrified railway tracks,Hungary,8234.0,8578.0,7676.0,7754.0,7636.0,7500.0,7265.0,7986.0,7170.0,7144.0,6936.0,6954.0,6864.0,6862.0,6844.0,6845.0,5557.0,5267.0,5252.0,5252.0,5152.0,5339.1,5309.4,5416.4,5326.0,5259.0,6003.0,6018.0,5827.0,5785.0,5833.0,5824.0,5841.0,4094.0
Annual,Kilometre,Non-electrified railway tracks,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2318.5,2318.5,2318.5,2318.5,2318.5,2318.500 i
Annual,Kilometre,Non-electrified railway tracks,Italy,:,:,:,:,:,5912.0,5742.0,5716.0,5633.0,5475.0,5458.0,5215.0,5138.0,5043.0,4916.0,4895.0,4907.0,4885.0,4882.0,4875.0,4875.0,4878.0,4887.0,4860 i,4860 i,4859 i,4842 i,4842.0,4840.0,4840.0,4794.0,4748.0,4722.0,4627.0
Annual,Kilometre,Non-electrified railway tracks,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Kilometre,Non-electrified railway tracks,Lithuania,:,:,2425.2,2384.7,2456.7,2456.7,2318.3,2318.4,2318.0,2225.0,2259.1,2014.0,1990.4,1962.8,1957.2,1944.9,1944.9,1937.8,1937.1,1939.8,1941.6,1941.7,1946.4,1946.4,1946.2,2093.2,2093.4,2032.8,2032.2,2028.4,2028.5,2028.5,3022.0,2093.7
Annual,Kilometre,Non-electrified railway tracks,Luxembourg,:,:,:,:,:,92.0,92.0,92.0,92.0,92.0,43.0,43.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,31.0,31.0,31.0,31.0,31.0,31.0,36.0,36.0,32.0,32.0,32.0,32.0,36.0,32.0,32.0
Annual,Kilometre,Non-electrified railway tracks,Latvia,3458.0,:,:,2142.0,2433.0,2433.0,2433.0,2433.0,2434.0,2446.0,2364.0,2336.0,2326.0,2326.0,2326.0,2326.0,2326.0,2326.0,1917.0,1558.0,1554.0,1554.0,1662.0,1667.0,1712.0,1715.0,1715.0,1715.0,1715.0,1715.0,1713.8,1710.8,1710.7,1718.2
Annual,Kilometre,Non-electrified railway tracks,Moldova,:,:,1328.3,1318.3,1318.3,1326.3,1326.3,1322.3,1219.6,1140.3,1139.3,1121.2,1120.5,:,1075.0,:,:,:,:,2034.0,2039.6,2029.8,2024.6,2020.0,2015.1,2006.9,2006.0,2006.3,2001.3,1997.8,1997.1,1996.7,1997.1,1991.6
Annual,Kilometre,Non-electrified railway tracks,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,24.700 i,24.700 i,24.700 i,25 i,25 i,25.0,25.0,25.0,25.0,:,:,:,25.0
Annual,Kilometre,Non-electrified railway tracks,North Macedonia,689.0,:,691.0,691.0,692.0,466.0,466.0,609.0,609.0,609.0,609.0,609.0,609.0,:,609.0,609.0,609.0,605.0,599.0,599.0,599.0,598.0,597.0,596.0,596.0,596.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,581.0
Annual,Kilometre,Non-electrified railway tracks,Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,875.0,853.0,857.0,912.0,912.0,999.0,999.0,1003.0,962.0,960.0,964.0
Annual,Kilometre,Non-electrified railway tracks,Norway,1618.0,1601.0,1601.0,1601.0,1601.0,1601.0,1601.0,1565.0,1565.0,:,1680.0,1680.0,1579.0,1579.0,1579.0,1569.0,1579.0,1582.0,1562.0,1405.0,1434.0,1434.0,1393.0,1397.0,1436.0,1436.0,1436.0,1480.0,1407.0,1407.0,:,:,:,1532.0
Annual,Kilometre,Non-electrified railway tracks,Poland,23242.0,22274.0,21200.0,21300.0,19108 i,19481.0,19051.0,19015.0,18479.0,17424.0,16278.0,14228.0,14763.0,13358 i,13571.0,13405.0,13433.0,13424.0,12748.0,12859.0,12607.0,12898.0,12554.0,11939.0,12435.0,12664.0,12456.0,12296.0,12114.0,12097.0,12124.0,12207.0,12543.0,12480.0
Annual,Kilometre,Non-electrified railway tracks,Portugal,:,:,2613.0,2641.0,2648.0,2590.0,2496.0,:,1955.0,2677.0,2675.0,1908.4,1754.0,:,:,:,:,1418.3,1382.0,1382.0,1355.4,1164.2,911.2,914.3,915.6,906.9,906.9,906.9,906.9,830.5,830.5,735.9,735.9,735.9
Annual,Kilometre,Non-electrified railway tracks,Romania,14140.0,13670.0,13712.0,13644.6,13644.6,13676.0,13663.0,13650.0,13669.0,13669.0,13663.0,13609.0,13598.0,12758.0,12704.0,12697.0,12164.0,12159.0,12164.0,12010.0,11912.0,11616.0,11566.0,11735.0,11708.0,11630.0,11632.0,11621.0,11582.0,11560.0,11543.0,11535.0,11129.0,11124.0
Annual,Kilometre,Non-electrified railway tracks,Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2555.0,2555.0,2555.0,2555.0,2530.0,3252.0,3272.0,3272.0,3211.0,2993.0,2993.0,2976.0,2976.0,2947.0,2571.0,2573.0,2580.0,2580.0
Annual,Kilometre,Non-electrified railway tracks,Sweden,5520.0,5390.0,3680.0,2560.0,2479.0,2465.0,2436.0,2438.0,2495.0,2512.0,:,:,4758.0,4693.0,4585.0,4418.0,4254.0,4043.0,4037.0,4020.0,3984.0,3861.0,3681.0,3433.0,3231.0,3280.0,3370.0,3447.0,3425.0,3399.0,3391.0,3391.0,3390.0,3404.0
Annual,Kilometre,Non-electrified railway tracks,Slovenia,:,:,1101.0,1103.0,1103.0,1102.0,1102.0,1102.0,1098.0,868.0,883.0,906.3,911.6,909.8,909.8,911.2,914.98,910.52,911.0,905.5,906.05,889.0,888.0,889.0,889.0,889.0,889.0,713.0,713.0,713.0,599.0,599.0,714.0,714.0
Annual,Kilometre,Non-electrified railway tracks,Slovakia,2330.0,2288.0,2288.0,2246.0,2231.0,2193.0,2157.0,2157.0,2130.0,2130.0,2126.0,2126.0,2101.0,2099.0,2104.0,2102.0,2101.0,2051.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Kilometre,Non-electrified railway tracks,Türkiye,9668.0,9524 i,9380.0,9380.0,9293.0,9373.0,8684.0,8563 i,8443.0,8800.0,8426.0,8433.0,8437.0,8487.0,8295.0,8295.0,8295.0,8295.0,8289.0,8287.0,8327.0,8377.0,8320.0,8313.0,8305.0,8245.0,7749.0,7515.0,6942.0,6719.0,6975 i,7036 i,:,6349.0
Annual,Kilometre,Non-electrified railway tracks,Ukraine,14685.9,14476.0,14573.2,14410.3,14220.7,14210.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Kilometre,Non-electrified railway tracks,United Kingdom,:,:,21119.0,21016.0,20703.0,21749.0,21749.0,21749.0,21769.0,22295.0,21952.0,22480 p,22497 p,22427 p,21000.0,19163.0,18652.0,18522.0,18548.0,18559.0,18503.0,18931 i,18736.0,18676.0,18558.0,18602.0,18646.0,17380.0,17488.0,17433.0,17408.0,17359.0,17314.0,17187.0
Annual,Kilometre,Non-electrified railway tracks,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,440.0,440.0,440.0,440.0,440.0,440.0,:
Annual,Kilometre,Total,Albania,:,:,:,720.0,720.0,720.0,:,:,667.0,667.0,667.0,543.0,597.3,:,:,:,:,:,:,:,:,:,:,346.0,346.0,379.0,334.0,334.0,334.0,234.85,204.15,224.0,204.15,252.95
Annual,Kilometre,Total,Austria,:,:,:,:,:,:,:,:,:,:,:,:,10935 i,10932 i,9818 i,9837 i,9824 i,:,:,10187 i,9732 i,9739 i,9758 i,9708 i,9752 i,9646 i,9688 i,9782 i,9785 i,9788 i,9762 i,:,:,:
Annual,Kilometre,Total,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,1056 i,1056 i,1056 i,1056 i,1017 i,1017 i,1186 i,1179 i,1179 i,1179 i,1190 i,1190 i,1190 i,1444.0,1444.0,1444.0,1410.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1484.0
Annual,Kilometre,Total,Belgium,:,:,:,6042.0,6029.0,5992.0,6029.0,6090.0,6125.0,6145.0,6095.0,6130.0,6228.0,6210.0,6291.0,6215.0,6067.0,5961.0,6283.0,6436.0,6442.0,6246.0,6338.0,6256.0,6250.0,6284.0,6284.0,6266.0,6301.0,6307.0,6298.0,6301.0,6308.0,6325.0
Annual,Kilometre,Total,Bulgaria,6604.0,6607.0,6560.0,6556.0,6508.0,6507.0,6490.0,7453.0,6470.0,6467.0,6518.0,6402.4,6383.5,6358.1,6238.0,6025.0,5990.0,5967.0,5923.0,5888.0,5831.0,5661.0,5658.0,6517 i,6481 i,6474 i,6475 i,6475 i,6460 i,6456 i,6454 i,6455 i,6446 i,6446.0
Annual,Kilometre,Total,Czechia,:,:,:,17249.0,17575.0,16884.0,16877.0,16714.0,16714.0,17025.0,16494.0,16447.0,16506.0,16290.0,15925.0,16156.0,15844.0,15810.0,15716.0,15677.0,15666.0,15656.0,15636.0,15607.0,15578.0,15570.0,15539.0,15519.0,15488.0,15418.0,15360.0,15261.0,15272.0,15169.0
Annual,Kilometre,Total,Germany,:,86742.0,85998.0,83460.0,:,82065.0,82065.0,78934.0,78098.0,75109.0,74977.8,72668.4,70875.0,74846 b,74440.0,70557.0,70557.0,70557.0,70557.0,70557.0,72981 i,70649 i,70507 i,70425.160 i,70368.128 i,69886.127 i,69901.647 i,70401.059 i,70532.964 i,70741.056 i,70182.411,70108.335,70108.335,71246.0
Annual,Kilometre,Total,Denmark,:,:,5068.0,5078.0,5078.0,:,:,3148.0,3181.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Kilometre,Total,Estonia,:,:,1921.8,1921.8,1914.2,1866.2,1849.1,1811.0,1696.0,1696.0,1504.0,1523.0,1562.8,1621.5,1587.0,1798.0,2733.0,2200.0,2141.0,2166.0,2167.0,2164.0,2164.0,2146.0,2146.0,2144.0,2141.0,2141.0,2140.0,2144.0,2143.0,2143.0,2151.0,2135.0
