Time frequency,Unit of measure,Duration,International Standard Classification of Education (ISCED 2011),Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Malta,16.0,10.9
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Netherlands,:,17.8
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Norway,19.6,22.5
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Poland,14.5,16.9
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Portugal,16.5,13.8
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Romania,11.5,10.3
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Serbia,:,14.1
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Sweden,22.7,23.6
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Slovenia,20.3,20.3 u
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Slovakia,23.5,21.0
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Türkiye,3.4,4.1
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,United Kingdom,18.1,:
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Austria,57.4,54.9
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Belgium,:,42.0
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Bulgaria,27.9,30.5
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Cyprus,30.4,24.1
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Czechia,51.4,39.8
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Germany,58.7,67.0
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Denmark,65.3,65.9
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Estonia,34.3,35.9
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Greece,37.0,45.7
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Spain,47.2,47.6
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,European Union - 27 countries (from 2020),43.3,48.3
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Finland,66.2,:
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,France,34.3,41.0
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Croatia,35.5,37.9
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Hungary,46.6,45.2
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Ireland,:,50.6
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Iceland,:,64.8
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Italy,34.3,37.0
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Lithuania,42.1,41.3
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Luxembourg,54.5,54.7
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Latvia,41.8,37.7
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Malta,39.7,21.6
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Netherlands,:,74.2
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Norway,67.0,73.2
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Poland,29.6,34.6
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Portugal,34.1,30.2
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Romania,21.3,20.5
