Time frequency,Unit of measure,Rail network segment (2010),Train category\Time,2010.0
Annual,Number,Târgu Jiu  - Gura Motrului,Passenger trains,3484.0
Annual,Number,Vic?Ani  - Dorne?Ti,Goods trains,1320.0
Annual,Number,Vic?Ani  - Dorne?Ti,Passenger trains,756.0
Annual,Number,Videle - Giurgiu,Goods trains,1904.0
Annual,Number,Videle - Giurgiu,Passenger trains,2093.0
Annual,Number,Vâlcelele - Pite?Ti,Goods trains,0.0
Annual,Number,Vâlcelele - Pite?Ti,Passenger trains,0.0
Annual,Number,Vintu De Jos  - Podu Olt (Talmaciu),Goods trains,351.0
Annual,Number,Vintu De Jos  - Podu Olt (Talmaciu),Passenger trains,5052.0
Annual,Number,Mara?E?Ti - Adjud,Goods trains,3885.0
Annual,Number,Mara?E?Ti - Adjud,Passenger trains,9254.0
Annual,Number,Coslariu - Apahida,Goods trains,2706.0
Annual,Number,Coslariu - Apahida,Passenger trains,7626.0
Annual,Number,Simeria - Arad,Goods trains,3936.0
Annual,Number,Simeria - Arad,Passenger trains,8298.0
Annual,Number,Timisoara - Arad,Goods trains,1891.0
Annual,Number,Timisoara - Arad,Passenger trains,7776.0
Annual,Number,Adjud - Bacau,Goods trains,2029.0
Annual,Number,Adjud - Bacau,Passenger trains,7279.0
Annual,Number,Deda - Beclean Pe Somes,Goods trains,705.0
Annual,Number,Deda - Beclean Pe Somes,Passenger trains,4857.0
Annual,Number,Ilva Mica - Beclean Pe Somes,Goods trains,675.0
Annual,Number,Ilva Mica - Beclean Pe Somes,Passenger trains,4415.0
Annual,Number,Curtici - Border ( Curtici Ro/Hu),Goods trains,2972.0
Annual,Number,Curtici - Border ( Curtici Ro/Hu),Passenger trains,4524.0
Annual,Number,Episcopia Bihor - Border Ro/Hu,Goods trains,1158.0
Annual,Number,Episcopia Bihor - Border Ro/Hu,Passenger trains,2190.0
Annual,Number,Halmeu - Border Ro/Ua,Goods trains,1192.0
Annual,Number,Halmeu - Border Ro/Ua,Passenger trains,1.0
Annual,Number,Vic?Ani - Border Ro/Ua,Goods trains,1361.0
Annual,Number,Vic?Ani - Border Ro/Ua,Passenger trains,755.0
Annual,Number,Bucuresti - Brazi,Goods trains,7010.0
Annual,Number,Bucuresti - Brazi,Passenger trains,16520.0
Annual,Number,Predeal - Brasov,Goods trains,4450.0
Annual,Number,Predeal - Brasov,Passenger trains,7355.0
Annual,Number,Fetesti - Bucuresti,Goods trains,4468.0
Annual,Number,Fetesti - Bucuresti,Passenger trains,5328.0
Annual,Number,Giurgiu - Bucuresti,Goods trains,0.0
Annual,Number,Giurgiu - Bucuresti,Passenger trains,728.0
Annual,Number,Videle - Bucuresti,Goods trains,6609.0
