Time frequency,Unit of measure,Information society indicator,Individual type,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Montenegro,:,:,:,:,58.38,60.38,62.15,67.37,71.39,77.32,77.55,78.84
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,North Macedonia,55.16,54.32,58.85,59.55,62.42,64.86,68.3,69.77,73.54,:,:,76.66
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Malta,50.93,53.12,60.08,64.04,70.37,69.61,70.66,72.49,75.57,75.74,75.75,76.65
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Netherlands,55.04,58.6,59.33,61.83,66.56,65.75,66.91,71.23,73.3,74.09,76.62,80.06
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Norway,67.58,70.67,73.22,76.16,82.58,81.8,86.31,87.83,88.28,89.65,89.96,90.95
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Poland,35.29,36.8,41.4,44.2,48.02,49.87,53.04,54.78,56.78,60.61,62.29,60.97
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Portugal,43.68,46.76,48.06,52.17,56.13,59.18,60.4,62.74,65.46,66.72,68.03,70.47
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Romania,33.42,36.25 b,43.64,44.29,52.2,60.77,60.18,64.85,68.55,69.01,75.24,74.89
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Serbia,:,:,49.32,:,47.68,51.57,54.82,57.47,60.31,68.38,70.24,71.39
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Sweden,56.72,65.18,62.48,70.15 b,70.75,70.36,72.22,72.9,71.51,71.08,73.43,73.13
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Slovenia,38.28,41.82,37.37,38.31,45.16,48.81,52.09,67.07,63.61,63.04,63.46,64.56
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Slovakia,48.6,50.37,53.64,56.99,58.74,59.84,59.24,64.49,64.58,57.68,56.99,57.3
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Türkiye,31.58,38.19,41.47,48.06,54.14,59.76,60.18,62.31,60.08,70.85,74.58,76.42
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,United Kingdom,58.12,59.82,65.66,68.75,71.22,69.75,73.13,75.71,:,:,:,:
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Kosovo*,:,:,:,:,56.5,63.27,67.9,82.97,:,:,:,:
