Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Rural areas,Switzerland,9.9 b,8.8,8.8 b,9.4,8.4,8.7,8.4,10.3,9.1,9.7,11.1,9.6
Annual,Percentage,Rural areas,Cyprus,1.2 b,2.2,2.3,3.0,2.1,1.4,0.6,1.9,1.4,1.3,0.5,0.7
Annual,Percentage,Rural areas,Czechia,6.5 b,8.0,7.6,5.9,5.2,5.4,4.4,3.2,3.6,2.9,4.0,6.0
Annual,Percentage,Rural areas,Germany,13.9 b,13.3,12.7,12.0,12.2,11.0,10.4,12.4,6.8 b,8.6,10.5,11.3
Annual,Percentage,Rural areas,Denmark,12.3 b,13.6,10.9,10.9,9.4,9.9,10.7,11.5,9.7 b,10.5,9.0,10.4
Annual,Percentage,Rural areas,Euro area - 19 countries  (2015-2022),8.6 e,8.9 e,9.1 e,8.4 e,7.8 e,7.1 e,6.4 e,6.9 e,5.7,5.9 e,:,:
Annual,Percentage,Rural areas,Euro area – 20 countries (from 2023),:,:,9.1,8.4,7.8,7.0,6.4,6.9,5.7,7.0,6.2,6.5
Annual,Percentage,Rural areas,Estonia,5.8 b,5.4,6.2 b,5.2,3.5,3.6,2.7,3.3,3.5,3.2,4.0,6.7
Annual,Percentage,Rural areas,Greece,30.1 b,34.4,41.2,39.6,34.6,31.9,31.7,28.3,25.0,22.0,24.2,24.7
Annual,Percentage,Rural areas,Spain,8.0 b,7.9,8.7,8.6,6.8,6.9,6.0,4.6,5.1,5.3,4.7,5.6
Annual,Percentage,Rural areas,European Union - 27 countries (2007-2013),9.4 e,9.7 e,9.9 e,9.1 e,8.6 e,7.9 e,7.5 e,7.5 e,:,:,:,:
Annual,Percentage,Rural areas,European Union - 27 countries (from 2020),9.6 e,10.0 e,9.9 e,9.1 e,8.5 e,7.7 e,7.1 e,7.0 e,5.8,7.0,6.6,7.0
Annual,Percentage,Rural areas,European Union - 28 countries (2013-2020),9.4 e,9.7 e,9.8 e,9.1 e,8.6 e,7.9 e,7.5 e,7.5 e,:,:,:,:
Annual,Percentage,Rural areas,Finland,4.1 b,3.9,3.6,2.9,3.1,2.8,2.7,2.5,2.5,2.6,3.6,3.5
Annual,Percentage,Rural areas,France,3.0 b,3.5,2.9,3.4,3.0,2.5,2.4,2.8,3.4 b,:,3.4 b,3.8
Annual,Percentage,Rural areas,Croatia,8.1 b,7.7,7.8,8.6,7.4,6.1,6.0,6.1,5.1,5.5,4.5,4.8
Annual,Percentage,Rural areas,Hungary,13.6 b,15.5,11.4,7.6,8.9,9.5,9.6,2.4,2.2,2.2,7.4,8.6
Annual,Percentage,Rural areas,Ireland,5.2 b,3.9,4.5,3.3,3.1,2.7,2.2,2.9 b,1.9 b,1.5,2.3,4.7
Annual,Percentage,Rural areas,Iceland,6.0 b,7.9,5.5,4.8,4.6,5.1,5.3,11.6,:,:,:,:
Annual,Percentage,Rural areas,Italy,5.8,6.4,7.8,6.0 b,7.0,5.6,5.0,6.9,6.8,6.4,4.7,3.0
Annual,Percentage,Rural areas,Lithuania,6.8 b,6.7,5.5,8.3,7.8,8.3,6.7,5.3,3.3,3.9,4.3,5.9
Annual,Percentage,Rural areas,Luxembourg,4.5 b,4.3,5.7,4.2,5.5 b,6.4,7.6,8.6,5.6 b,4.3 b,9.7 b,9.0
Annual,Percentage,Rural areas,Latvia,8.4 b,9.8,8.3,7.5,5.6,6.5,6.2,6.1,4.6,5.2,5.2,5.5
Annual,Percentage,Rural areas,North Macedonia,:,:,:,:,10.9,11.9,11.0,11.2,9.3,:,:,:
Annual,Percentage,Rural areas,Malta,: u,: u,0.0 u,0.0 u,0.0 u,: u,: u,: u,: u,2.3,0.2,17.6 b
Annual,Percentage,Rural areas,Netherlands,11.4 b,10.8,13.0,9.7,5.9 b,5.1,4.6,5.6,5.0,5.3,6.1,5.4
Annual,Percentage,Rural areas,Norway,8.6 b,7.5,:,6.8,7.4,6.4,8.6,7.5,5.8,7.9 b,9.0,8.1
Annual,Percentage,Rural areas,Poland,9.2 b,9.4,8.5,7.9,6.2,5.0,4.8,4.7,4.4 b,5.3,5.2,5.7
Annual,Percentage,Rural areas,Portugal,6.1 b,5.7,7.1,7.3,5.9,5.0,5.1,4.6,3.2,4.5,4.1,3.6
Annual,Percentage,Rural areas,Romania,19.0 b,17.8,18.6,18.6,16.4,15.0,13.2,11.3,8.1,10.8,9.8,11.0
Annual,Percentage,Rural areas,Serbia,:,29.3,35.4,37.6,31.9,35.8,35.1,23.5,19.0,16.1,12.3,:
Annual,Percentage,Rural areas,Sweden,8.1 b,8.4,8.1,7.0,6.1,7.4,6.2,6.8,7.6,7.5,8.3,8.2
Annual,Percentage,Rural areas,Slovenia,3.9 b,4.6,5.1,4.9,4.3,4.2,3.7,3.1,3.6,3.4,2.8,2.5
Annual,Percentage,Rural areas,Slovakia,9.1 b,9.1,8.8,7.8,8.0,8.2,2.7,4.0,2.5,5.9,2.8,5.5
Annual,Percentage,Rural areas,United Kingdom,5.5 b,5.3,9.3,9.5,10.5,10.7 b,14.9,:,:,:,:,:
