Time frequency,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,From 15 to 34 years,Luxembourg,43.1 e,41.4 be,38.2 e,33.5 be,32.3 e,41.3 be,29.4 e,27.6 be,27.9 e,22.5 e,29.7 e,32.2 be,29.6,36.7 e,40.4 e,38.4 e,39.2,38.6 b,37.5 e,34.9 e
Annual,Percentage,From 15 to 34 years,Latvia,43.1 e,43.0 be,44.0 e,49.6 e,49.0 e,51.4 e,52.5 e,58.8 be,55.1 e,55.8 e,53.8 e,50.2 e,49.9 e,51.5 e,48.8 e,48.4 e,54.1 e,50.4 be,52.9 e,48.2 e
Annual,Percentage,From 15 to 34 years,Montenegro,:,:,:,:,:,:,:,43.6 bu,53.0 e,39.3 u,43.3 e,34.5 u,42.5 e,44.6 e,43.6 e,56.5 e,38.7 e,:,:,:
Annual,Percentage,From 15 to 34 years,North Macedonia,:,:,:,:,:,:,:,49.7 be,57.2,56.4,51.9 e,50.0 e,56.2 e,51.7 e,60.0 e,58.7,54.8 e,:,:,:
Annual,Percentage,From 15 to 34 years,Malta,62.2 be,60.6 be,64.4 e,62.6 e,61.8 e,60.6 e,62.7 e,71.9 be,65.0 e,60.0 e,54.8 e,55.9 e,62.3 e,60.4 e,55.2,51.6 e,55.8 e,58.2 be,54.1 e,51.1 e
Annual,Percentage,From 15 to 34 years,Netherlands,39.9 e,39.2 b,38.3 b,37.8 e,38.7,36.1,34.8 e,34.1 be,34.1,34.4 b,33.9,32.7,33.7,34.3,34.8,34.6,36.3,37.1 be,37.3,37.5
Annual,Percentage,From 15 to 34 years,Norway,:,:,:,:,:,:,:,30.6 be,29.7 e,31.6,31.3 e,31.6 e,31.6 e,32.1 e,34.1,36.0 e,36.1 e,33.6 be,38.8 e,39.6 e
Annual,Percentage,From 15 to 34 years,Poland,46.6 be,50.9 be,54.1 e,54.9 e,53.7 e,55.3 e,51.0 be,55.6 be,53.4,51.9,51.0 e,49.2 e,53.5 e,51.0,46.1,46.7 b,44.7,42.9 b,41.7,43.1
Annual,Percentage,From 15 to 34 years,Portugal,55.0 e,55.3 be,53.6 e,53.3 e,54.9 e,54.4 e,51.3 e,46.8 be,44.7 e,42.1 e,41.7 e,39.6 e,37.5 e,38.2 e,41.9 e,41.4 e,38.6 e,37.5 be,41.4,42.5 e
Annual,Percentage,From 15 to 34 years,Romania,:,42.7 be,40.8 e,45.0 e,45.3 e,45.4 e,42.0 be,50.4 be,48.6 e,51.5 e,51.8,51.6 e,48.5 e,47.3 e,47.7 e,47.7 e,46.7 e,47.4 be,48.9 e,41.4 e
Annual,Percentage,From 15 to 34 years,Serbia,:,:,:,:,:,:,:,:,:,32.5 e,35.9 be,41.0 e,39.8 e,39.9 e,43.4 e,48.0 e,50.7 e,43.9 b,43.3 e,46.6 be
Annual,Percentage,From 15 to 34 years,Sweden,35.7 e,34.3 be,33.9 e,34.5 e,33.3 e,32.1 e,31.4 e,32.1 b,32.2,31.7,30.7,30.1,30.1 e,31.5 e,31.7 b,31.9,31.8 e,33.2 b,34.4 e,33.1 e
Annual,Percentage,From 15 to 34 years,Slovenia,51.1 e,43.0 be,44.8 e,45.9 e,48.2 e,50.6 e,48.3 e,42.6 b,40.3,45.9,40.9 e,41.3 e,35.4 e,35.5,37.0 e,36.6 e,40.3 e,34.7 be,33.5,34.9
Annual,Percentage,From 15 to 34 years,Slovakia,51.9 e,53.6 be,57.0 e,55.9 e,55.0 e,52.3 e,49.7 e,55.7 be,53.8,52.9,50.4 e,49.9,46.6 e,44.8 e,48.0 e,43.6,39.5 e,38.9 be,39.8 e,33.1 e
Annual,Percentage,From 15 to 34 years,Türkiye,:,:,:,:,:,:,:,63.5 be,67.4 be,67.2 e,67.5 be,66.4 e,64.8 e,63.3 e,61.3 e,57.8 e,57.3 e,58.8 b,61.1,57.8
Annual,Percentage,From 15 to 34 years,United Kingdom,:,:,:,:,:,:,:,36.1 be,36.5 e,35.9 e,36.9 e,34.8 e,35.0 e,35.3 e,35.9 e,35.6 e,:,:,:,:
Annual,Percentage,From 35 to 74 years,Austria,51.6 be,50.8 be,52.0 e,52.7 be,51.5 e,53.3 e,53.9 e,56.6 b,56.6,57.5,57.4,59.1,59.4,59.0,61.5,59.1,59.7,59.8 b,64.2,60.0
Annual,Percentage,From 35 to 74 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,49.2 be,44.9 e,40.7 e
Annual,Percentage,From 35 to 74 years,Belgium,53.4 e,55.8 be,57.3 e,59.6 e,57.3 e,59.2 e,61.5 e,63.2 be,63.5,65.5,64.2,66.6,64.9,65.9 b,64.9,64.0,65.1,66.7 b,68.1,66.4
Annual,Percentage,From 35 to 74 years,Bulgaria,64.4 e,60.0 be,59.7 e,59.8 e,59.5 be,58.9 e,54.2 be,51.5 be,51.6 e,51.0 e,53.4 e,55.0 e,53.3 e,50.6 e,51.3 e,52.9,58.5,58.4 b,62.4 be,61.7
Annual,Percentage,From 35 to 74 years,Switzerland,:,:,:,:,:,:,:,62.7 b,62.4,62.3,60.5,62.9,62.5,63.5,62.9,61.3,60.8,61.4 b,62.9,62.5
Annual,Percentage,From 35 to 74 years,Cyprus,50.9 e,48.4 be,47.4 e,46.0 e,51.1 e,54.3 be,57.1 e,58.3 be,51.7 e,55.2 e,57.9 e,54.5 e,56.0 e,55.1,59.7,59.8,60.8,55.0 b,52.5,54.0 e
Annual,Percentage,From 35 to 74 years,Czechia,51.9 e,53.1 be,50.8 e,54.0 e,52.1 e,53.2 e,52.7 be,54.2 b,54.6,56.8,61.5,61.1,58.7,60.3,63.3,63.1,65.2,66.9 b,66.3,63.9
Annual,Percentage,From 35 to 74 years,Germany,62.8 e,64.0 be,64.8 be,64.0 e,63.4 e,63.2 e,62.6 be,63.5 be,63.8 b,63.6,64.1,63.8,64.1,64.1,63.6,63.3,61.3 b,62.6 b,61.4,61.5
Annual,Percentage,From 35 to 74 years,Denmark,70.8 e,64.7 be,67.5 e,68.0 e,67.4 be,67.0 e,70.8 e,72.9 be,73.5 e,71.8 e,73.0 e,72.4 e,71.3 be,70.2 be,67.8 e,67.1 e,68.3 e,64.4 b,62.6,63.0 b
Annual,Percentage,From 35 to 74 years,Estonia,71.6 e,60.4 be,51.0 e,49.9 e,56.1 e,58.0 e,52.3 e,46.9 b,51.3,46.0,46.6,49.7 e,52.8 e,48.9,45.9,49.2,53.4 e,52.6 b,46.6,56.2 e
Annual,Percentage,From 35 to 74 years,Greece,51.5 be,52.5 be,53.4 e,52.6 e,54.1 e,52.9 be,53.8 e,60.6 be,63.3 e,62.8 e,60.9 e,63.3 e,65.0 e,67.2 e,68.4 e,70.6 e,69.2 e,69.7 b,65.8,66.5
Annual,Percentage,From 35 to 74 years,Spain,47.3 e,46.9 be,45.5 be,46.3 e,48.1 e,51.6 e,54.1 e,54.7 be,58.7 e,61.5 e,62.0 e,65.5 e,67.8 e,67.8 e,67.0 e,67.5 e,67.9 e,67.5 bd,65.1 d,63.3 d
Annual,Percentage,From 35 to 74 years,European Union - 27 countries (from 2020),56.7 e,56.4 be,56.4 e,56.9 e,57.2 e,57.9 e,59.1 e,60.1 be,61.8 e,62.4 e,63.0 e,63.7 e,64.2 e,64.1 e,64.3 e,63.5 e,63.6 e,63.7 be,63.2 e,62.7 e
Annual,Percentage,From 35 to 74 years,Finland,54.4 e,55.2 be,56.5 e,55.4 be,56.3 be,60.0 e,61.7 e,61.5 b,63.8,65.4,68.9,70.2,71.0,69.4,69.0,67.1,71.0,67.6 b,66.9,67.1
Annual,Percentage,From 35 to 74 years,France,56.5 e,53.8 be,53.9 be,56.8 e,57.0 e,57.2 e,57.3 e,60.9 be,64.2 e,62.6 b,62.8 b,61.2,63.8,63.2,63.5,60.4,63.7,63.1 bd,63.8 de,61.1 d
Annual,Percentage,From 35 to 74 years,Croatia,59.8 u,62.7 bu,64.3 bu,50.9 e,43.2 e,42.7 e,50.4 e,59.2 be,55.0 e,53.2 e,49.5 e,55.9 e,59.4 e,55.8 e,52.4 e,58.3 e,48.8 e,50.8 be,56.0 e,54.7 be
Annual,Percentage,From 35 to 74 years,Hungary,53.8 e,52.9 be,49.5 e,51.0 e,51.2 e,55.9 e,58.2 e,51.1 b,54.3,55.6,59.2,65.1,63.9,64.5,68.3,63.4,62.0 e,65.5 be,64.5 e,65.5 e
Annual,Percentage,From 35 to 74 years,Ireland,45.9 e,46.6 be,47.2 e,47.2 be,49.9 e,52.8 e,55.3 e,62.4 be,63.4 e,65.3 e,63.7 e,65.2 e,64.9 e,65.8 be,65.0 e,64.5 e,64.6 e,63.2 be,63.9 e,63.0 e
Annual,Percentage,From 35 to 74 years,Iceland,:,:,:,:,:,:,:,65.0 be,68.7 e,68.0 e,65.4 e,63.2 e,59.6 e,59.5 e,66.3 e,69.8 e,65.6 be,63.5 be,57.9 e,61.3 e
Annual,Percentage,From 35 to 74 years,Italy,56.7 be,57.6 be,59.6 e,62.4 e,64.0 e,64.8 e,65.8 e,66.7 be,70.1 e,72.7 e,73.6 e,74.3 e,75.6 e,76.1 e,76.4 be,74.9 e,73.3 e,72.8 be,71.8 e,70.7 e
Annual,Percentage,From 35 to 74 years,Lithuania,52.0 u,54.5 bu,56.0 u,57.1 u,54.9 u,53.1,46.9,49.7 be,56.6 e,54.7 e,46.2 e,44.7 e,49.6,46.1,45.4,47.9 e,51.4,43.9 b,46.0,48.6 e
Annual,Percentage,From 35 to 74 years,Luxembourg,56.9 e,58.6 be,61.8 e,66.5 be,67.7 e,58.7 b,70.6,72.4 b,72.1,77.5,70.3,67.8 b,70.4 e,63.3,59.6 e,61.6 e,60.8 e,61.4 b,62.5,65.1
Annual,Percentage,From 35 to 74 years,Latvia,56.9 e,57.0 be,56.0 e,50.4 e,51.0 e,48.6 e,47.5 e,41.2 be,44.9 e,44.2 e,46.2 e,49.8 e,50.1 e,48.5 e,51.2 e,51.6 e,45.9 e,49.6 b,47.1,51.8
Annual,Percentage,From 35 to 74 years,Montenegro,:,:,:,:,:,:,:,56.4 be,47.0 u,60.7 e,56.7 e,65.5 e,57.5 e,55.4 e,56.4 e,43.5 e,61.3 e,:,:,:
Annual,Percentage,From 35 to 74 years,North Macedonia,:,:,:,:,:,:,:,50.3 be,42.8 e,43.6 e,48.1 e,50.0 e,43.8 e,48.3 e,40.0 e,41.3 e,45.2 e,:,:,:
Annual,Percentage,From 35 to 74 years,Malta,37.8 bu,39.4 be,35.6 e,37.4 e,38.2 e,39.4 e,37.3,28.1 be,35.0 e,40.0 e,45.2,44.1,37.7 e,39.6,44.8,48.4,44.2 e,41.8 be,45.9,48.9 e
Annual,Percentage,From 35 to 74 years,Netherlands,60.1,60.8 b,61.7 b,62.2,61.3,63.9,65.2,65.9 be,65.9,65.6 b,66.1,67.3,66.3,65.7,65.2,65.4,63.7,62.9 b,62.7,62.5
Annual,Percentage,From 35 to 74 years,Norway,:,:,:,:,:,:,:,69.4 b,70.3,68.4,68.7 e,68.4 e,68.4 e,67.9 e,65.9 e,64.0 e,63.9 e,66.4 be,61.2,60.4
Annual,Percentage,From 35 to 74 years,Poland,53.4 be,49.1 be,45.9 e,45.1 e,46.3 e,44.7 e,49.0 be,44.4 b,46.6,48.1,49.0,50.8 e,46.5 e,49.0,53.9,53.3 b,55.3 e,57.1 be,58.3,56.9 e
Annual,Percentage,From 35 to 74 years,Portugal,45.0 e,44.7 be,46.4 e,46.7 e,45.1 e,45.6 e,48.7 e,53.2 be,55.3 e,57.9 e,58.3 e,60.4 e,62.5 e,61.8 e,58.1 e,58.6 e,61.4 e,62.5 b,58.6,57.5
Annual,Percentage,From 35 to 74 years,Romania,:,57.3 be,59.2 e,55.0 e,54.7 e,54.6 e,58.0 be,49.6 be,51.4 e,48.5 e,48.2 e,48.4,51.5,52.7,52.3,52.3 e,53.3,52.6 b,51.1 e,58.6 e
Annual,Percentage,From 35 to 74 years,Serbia,:,:,:,:,:,:,:,:,:,67.5 e,64.1 b,59.0 e,60.2 e,60.1,56.6,52.0 e,49.3 e,56.1 b,56.7,53.4 b
Annual,Percentage,From 35 to 74 years,Sweden,64.3 e,65.7 be,66.1 e,65.5 e,66.7 e,67.9 e,68.6 e,67.9 b,67.8,68.3,69.3,69.9,69.9,68.5,68.3 b,68.1 e,68.2 e,66.8 b,65.6,66.9 e
Annual,Percentage,From 35 to 74 years,Slovenia,48.9 e,57.0 be,55.2 e,54.1 e,51.8 e,49.4 e,51.7 e,57.4 b,59.7 e,54.1 e,59.1,58.7 e,64.6,64.5 e,63.0 e,63.4 e,59.7 e,65.3 b,66.5,65.1 e
Annual,Percentage,From 35 to 74 years,Slovakia,48.1 e,46.4 be,43.0 e,44.1 e,45.0 e,47.7 e,50.3 e,44.3 b,46.2,47.1 e,49.6 e,50.1,53.4,55.2,52.0 e,56.4,60.5,61.1 b,60.2,66.9
Annual,Percentage,From 35 to 74 years,Türkiye,:,:,:,:,:,:,:,36.5 be,32.6 be,32.8 e,32.5 be,33.6 e,35.2 e,36.7 e,38.7 e,42.2 e,42.7 e,41.2 b,38.9 e,42.2
Annual,Percentage,From 35 to 74 years,United Kingdom,:,:,:,:,:,:,:,63.9 be,63.5 e,64.1 e,63.1 e,65.2 e,65.0 e,64.7 e,64.1 e,64.4 e,:,:,:,:
Annual,Thousand persons,From 15 to 34 years,Austria,51.7 be,57.0 be,60.2 e,60.5 be,64.6 e,64.7 e,64.8 e,62.9 b,63.8,64.9,63.8 e,68.4 e,72.4,77.1 e,73.7,75.4,78.1,77.3 b,79.0,95.1 e
Annual,Thousand persons,From 15 to 34 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.0 be,10.8 e,14.5 e
Annual,Thousand persons,From 15 to 34 years,Belgium,67.8 e,66.0 be,67.5 e,73.0 e,75.2 e,75.1 e,77.3 e,66.8 be,71.1,65.4,68.9,62.9,68.0,77.9 b,85.9,85.9,84.0,90.5 b,88.6,91.6
Annual,Thousand persons,From 15 to 34 years,Bulgaria,22.7 e,26.4 be,29.6 e,31.7 e,32.8 be,32.0 e,34.6 be,32.4 be,35.1 e,36.9 e,34.8 e,39.8 e,42.9 e,47.9 e,50.6 e,47.8 e,42.9,44.9 b,41.9 b,48.4
Annual,Thousand persons,From 15 to 34 years,Switzerland,:,:,:,:,:,:,:,68.6 be,76.6,78.2,84.3,80.0 e,85.1,81.4,86.6 e,99.2 e,99.6,98.7 b,99.0,102.4
Annual,Thousand persons,From 15 to 34 years,Cyprus,3.6 e,4.1 be,4.3 e,5.4 e,4.8 e,4.2 be,4.2 e,4.1 be,4.8 e,4.5 e,4.2 e,4.4 e,4.4 e,4.9,5.2 e,4.6 e,5.0,7.5 b,9.8 e,11.4 e
Annual,Thousand persons,From 15 to 34 years,Czechia,77.2 e,83.0 be,92.9 e,96.6 e,109.2 e,105.6 e,106.8 be,78.0 b,74.6 e,78.7,71.2 e,68.9 e,77.9 e,75.3 e,77.6 e,78.9,76.5,79.7 b,78.4,78.6
Annual,Thousand persons,From 15 to 34 years,Germany,443.7 e,474.5 be,470.4 be,490.2 e,516.6 e,523.4 e,549.6 be,439.1 be,490.6 b,508.9,509.3,530.1,553.9,559.3,590.2,618.3,749.4 b,753.7 b,816.7,810.7
Annual,Thousand persons,From 15 to 34 years,Denmark,34.6 e,39.8 be,41.0 e,40.9 e,43.7 be,41.9 e,37.1 e,30.8 be,32.8 e,35.6 e,32.8 e,33.5 e,38.4 be,41.3 be,45.0 e,48.5 e,48.0 e,57.8 be,63.9,65.4 b
Annual,Thousand persons,From 15 to 34 years,Estonia,5.7 u,6.3 be,9.5 e,11.1 e,10.7 e,9.6 e,11.1 e,11.2 be,11.4 e,14.2 e,13.3 e,13.4,15.6 e,17.6 e,19.3,19.4,18.8 e,19.1 be,23.9 e,20.5 e
Annual,Thousand persons,From 15 to 34 years,Greece,59.9 be,59.0 be,58.6 e,61.5 e,59.0 e,60.6 be,59.7 e,28.9 be,25.4 e,26.2 e,23.6 e,21.2 e,23.3 e,25.0 e,26.9 e,23.5 e,24.8 e,28.3 b,35.3,33.8 e
Annual,Thousand persons,From 15 to 34 years,Spain,272.1 e,296.0 be,327.1 be,345.0 e,335.1 e,298.3 e,291.8 e,262.0 be,231.0 e,214.4 e,213.1 e,195.7 e,197.8 e,211.4 e,230.0 e,237.9 e,238.0 e,261.9 bd,306.8 d,343.0 d
Annual,Thousand persons,From 15 to 34 years,European Union - 27 countries (from 2020),2451.7 e,2653.3 be,2791.1 e,2840.5 e,2896.7 e,2849.1 e,2782.4 e,2265.6 be,2269.8 e,2314.9 e,2346.5 e,2381.9 e,2478.1 e,2577.4 e,2703.3 e,2884.3 e,3081.7 e,3249.9 be,3462.4 e,3658.4 e
Annual,Thousand persons,From 15 to 34 years,Finland,56.3 e,58.4 be,58.8 e,61.8 be,60.2 be,54.4 e,53.8 e,54.5 be,54.7,54.0,47.7 e,46.4,46.5,50.8,52.5,57.4,55.4,60.9 be,65.4,66.0
Annual,Thousand persons,From 15 to 34 years,France,426.7 e,470.6 be,487.5 be,439.1 e,443.7 e,449.9 e,449.9 e,274.2 be,247.1 e,287.1 b,317.7 b,351.6,350.2,374.6,387.5,447.8,443.0 e,457.7 bd,441.3 d,525.1 d
Annual,Thousand persons,From 15 to 34 years,Croatia,10.7 u,10.9 bu,11.2 bu,17.7 e,23.7 e,23.4 e,18.3 e,16.1 be,17.7 e,18.1 e,22.2 e,19.2 e,21.5 e,24.1 e,27.9 e,23.3 e,32.2 e,30.1 be,28.5 e,31.8 be
Annual,Thousand persons,From 15 to 34 years,Hungary,78.7 e,76.4 be,85.1 e,82.3 e,82.8 e,69.6 e,67.3 e,49.8 b,56.5 e,60.8 e,58.8 e,53.3,57.0,55.9,52.5 e,56.1 e,64.9 e,62.8 be,68.9 e,68.3 e
Annual,Thousand persons,From 15 to 34 years,Ireland,37.7 e,37.1 be,37.3 e,41.6 be,39.5 e,36.7 e,35.2 e,33.6 be,33.0 e,32.0 e,34.5 e,33.1 e,36.8 e,37.2 be,37.5 e,40.1 e,46.0 e,56.3 be,58.7 e,61.8 e
Annual,Thousand persons,From 15 to 34 years,Iceland,:,:,:,:,:,:,:,2.1 be,1.8 e,2.2 e,2.5 e,3.0 e,3.5 e,3.7 e,2.9 e,2.6 e,3.1 be,2.8 be,3.7 e,3.8 e
Annual,Thousand persons,From 15 to 34 years,Italy,282.7 be,283.8 be,283.8 e,266.0 e,260.6 e,259.6 e,244.4 e,225.9 be,211.6 e,195.9 e,191.8 e,188.1 e,185.2 e,185.4 e,192.5 be,205.2 e,218.5 e,230.7 be,253.8 e,284.6 e
Annual,Thousand persons,From 15 to 34 years,Lithuania,12.3 u,10.4 bu,9.0 u,10.6 u,12.3 u,11.3,12.1,11.9 be,10.9 e,11.1 e,13.0 e,15.5 e,17.3 e,19.9 e,20.5 e,21.9 e,21.7 e,29.5 be,33.3 e,36.3 e
Annual,Thousand persons,From 15 to 34 years,Luxembourg,3.2 e,3.3 be,2.5 e,2.5 be,3.1 e,4.2 be,3.0 e,2.7 be,3.3 e,2.6 e,3.8 e,4.1 be,4.0,5.2 e,6.8 e,6.8 e,7.3,7.9 b,9.1 e,9.0 e
Annual,Thousand persons,From 15 to 34 years,Latvia,11.7 e,12.6 be,12.1 e,13.9 e,14.3 e,12.7 e,12.5 e,12.7 be,10.7 e,12.1 e,12.2 e,12.4 e,12.1 e,13.1 e,11.3 e,13.6 e,17.5 e,16.5 be,20.9 e,18.9 e
Annual,Thousand persons,From 15 to 34 years,Montenegro,:,:,:,:,:,:,:,1.5 bu,2.0 e,1.8 u,2.2 e,1.8 u,2.0 e,2.4 e,2.0 e,2.6 e,2.2 e,:,:,:
Annual,Thousand persons,From 15 to 34 years,North Macedonia,:,:,:,:,:,:,:,4.3 be,4.9,5.0,5.6 e,6.3 e,7.3 e,6.2 e,7.4 e,8.9,10.1 e,:,:,:
Annual,Thousand persons,From 15 to 34 years,Malta,4.9 be,4.4 be,4.0 e,5.7 e,5.4 e,4.6 e,4.8 e,4.1 be,3.9 e,3.7 e,3.7 e,4.2 e,5.2 e,5.7 e,6.3,6.1 e,6.4 e,7.4 be,7.8 e,7.2 e
Annual,Thousand persons,From 15 to 34 years,Netherlands,130.8 e,121.7 b,115.7 b,113.8 e,121.4,114.1,113.5 e,128.8 be,128.7,133.4 b,133.9,135.4,143.8,148.9,163.2,174.5,191.5,230.5 be,255.5,252.7
Annual,Thousand persons,From 15 to 34 years,Norway,:,:,:,:,:,:,:,33.8 be,33.8 e,37.3,37.2 e,37.4 e,35.6 e,39.2 e,41.9,45.6 e,49.3 e,50.1 be,57.0 e,61.1 e
Annual,Thousand persons,From 15 to 34 years,Poland,159.4 be,187.5 be,222.9 e,246.6 e,254.0 e,276.2 e,240.0 be,197.3 be,210.0,209.3,211.0 e,208.7 e,231.8 e,230.7,224.2,255.4 b,265.8,269.0 b,268.8,321.1
Annual,Thousand persons,From 15 to 34 years,Portugal,63.3 e,67.6 be,71.0 e,73.9 e,72.2 e,76.0 e,72.7 e,42.5 be,42.7 e,44.0 e,57.1 e,52.0 e,51.4 e,51.1 e,61.8 e,71.1 e,71.2 e,80.0 be,86.9,93.5 e
Annual,Thousand persons,From 15 to 34 years,Romania,:,52.8 be,75.4 e,89.0 e,90.1 e,86.9 e,67.8 be,63.0 be,67.8 e,70.9 e,72.7,83.2 e,81.4 e,87.8 e,90.9 e,94.4 e,95.1 e,96.4 be,105.2 e,81.6 e
Annual,Thousand persons,From 15 to 34 years,Serbia,:,:,:,:,:,:,:,:,:,14.0 e,18.0 be,23.3 e,24.7 e,25.6 e,29.6 e,35.8 e,40.2 e,41.2 b,42.6 e,56.8 be
