Time frequency,Type of household,Unit of measure,Geopolitical entity (reporting)\Time,1997.0,1998.0,1999.0,2000.0,2001.0
Annual,Single person with dependent children,Percentage,European Union - 15 countries (1995-2004),3.0,3.0,3.0,3.0,3.0
Annual,Single person with dependent children,Percentage,Finland,4.0,3.0,3.0,3.0,2.0
Annual,Single person with dependent children,Percentage,France,4.0,3.0,3.0,3.0,3.0
Annual,Single person with dependent children,Percentage,Ireland,3.0,3.0,4.0,4.0,3.0
Annual,Single person with dependent children,Percentage,Italy,2.0,2.0,1.0,1.0,1.0
Annual,Single person with dependent children,Percentage,Luxembourg,3.0,2.0,2.0,2.0,1.0
Annual,Single person with dependent children,Percentage,Netherlands,3.0,2.0,3.0,3.0,3.0
Annual,Single person with dependent children,Percentage,Portugal,2.0,2.0,2.0,2.0,2.0
Annual,Single person with dependent children,Percentage,Sweden,6.0,6.0,7.0,6.0,7.0
Annual,Single person with dependent children,Percentage,United Kingdom,5.0,5.0,5.0,5.0,5.0
Annual,Two adults,Percentage,Austria,25.0,25.0,24.0,23.0,22.0
Annual,Two adults,Percentage,Belgium,28.0,28.0,28.0,29.0,30.0
Annual,Two adults,Percentage,Germany,26.0,25.0,25.0,24.0,24.0
Annual,Two adults,Percentage,Denmark,34.0,37.0,39.0,38.0,38.0
Annual,Two adults,Percentage,Euro area - 12 countries (2001-2006),26.0,26.0,25.0,25.0,25.0
Annual,Two adults,Percentage,Greece,28.0,26.0,26.0,26.0,26.0
Annual,Two adults,Percentage,Spain,23.0,23.0,24.0,24.0,24.0
Annual,Two adults,Percentage,European Union - 15 countries (1995-2004),27.0,27.0,27.0,26.0,26.0
Annual,Two adults,Percentage,Finland,27.0,26.0,26.0,26.0,25.0
Annual,Two adults,Percentage,France,29.0,29.0,28.0,29.0,29.0
Annual,Two adults,Percentage,Ireland,18.0,18.0,17.0,17.0,16.0
Annual,Two adults,Percentage,Italy,23.0,23.0,22.0,22.0,22.0
Annual,Two adults,Percentage,Luxembourg,27.0,28.0,29.0,28.0,30.0
Annual,Two adults,Percentage,Netherlands,34.0,32.0,33.0,32.0,32.0
Annual,Two adults,Percentage,Portugal,22.0,21.0,22.0,22.0,22.0
Annual,Two adults,Percentage,Sweden,27.0,27.0,27.0,28.0,28.0
Annual,Two adults,Percentage,United Kingdom,32.0,31.0,31.0,30.0,32.0
Annual,Two adults with one dependent child,Percentage,Austria,9.0,8.0,8.0,8.0,8.0
Annual,Two adults with one dependent child,Percentage,Belgium,10.0,9.0,9.0,9.0,8.0
Annual,Two adults with one dependent child,Percentage,Germany,8.0,8.0,8.0,7.0,7.0
Annual,Two adults with one dependent child,Percentage,Denmark,9.0,9.0,8.0,10.0,9.0
Annual,Two adults with one dependent child,Percentage,Euro area - 12 countries (2001-2006),9.0,9.0,9.0,9.0,8.0
Annual,Two adults with one dependent child,Percentage,Greece,9.0,9.0,9.0,9.0,9.0
Annual,Two adults with one dependent child,Percentage,Spain,8.0,8.0,8.0,7.0,7.0
Annual,Two adults with one dependent child,Percentage,European Union - 15 countries (1995-2004),9.0,9.0,9.0,8.0,8.0
Annual,Two adults with one dependent child,Percentage,Finland,9.0,8.0,8.0,8.0,8.0
Annual,Two adults with one dependent child,Percentage,France,11.0,11.0,11.0,11.0,10.0
Annual,Two adults with one dependent child,Percentage,Ireland,7.0,8.0,7.0,6.0,6.0
Annual,Two adults with one dependent child,Percentage,Italy,11.0,10.0,10.0,10.0,10.0
Annual,Two adults with one dependent child,Percentage,Luxembourg,10.0,8.0,7.0,8.0,9.0
Annual,Two adults with one dependent child,Percentage,Netherlands,7.0,6.0,6.0,6.0,6.0
Annual,Two adults with one dependent child,Percentage,Portugal,13.0,12.0,12.0,12.0,12.0
Annual,Two adults with one dependent child,Percentage,Sweden,9.0,8.0,8.0,8.0,8.0
Annual,Two adults with one dependent child,Percentage,United Kingdom,7.0,7.0,7.0,7.0,7.0
Annual,Two adults with two dependent children,Percentage,Austria,10.0,10.0,10.0,10.0,10.0
Annual,Two adults with two dependent children,Percentage,Belgium,12.0,13.0,13.0,13.0,13.0
Annual,Two adults with two dependent children,Percentage,Germany,9.0,9.0,8.0,8.0,8.0
Annual,Two adults with two dependent children,Percentage,Denmark,10.0,10.0,10.0,10.0,11.0
Annual,Two adults with two dependent children,Percentage,Euro area - 12 countries (2001-2006),11.0,11.0,11.0,11.0,11.0
Annual,Two adults with two dependent children,Percentage,Greece,15.0,16.0,16.0,16.0,15.0
Annual,Two adults with two dependent children,Percentage,Spain,15.0,14.0,13.0,13.0,12.0
Annual,Two adults with two dependent children,Percentage,European Union - 15 countries (1995-2004),11.0,11.0,11.0,11.0,10.0
Annual,Two adults with two dependent children,Percentage,Finland,10.0,10.0,10.0,10.0,9.0
Annual,Two adults with two dependent children,Percentage,France,13.0,13.0,14.0,14.0,14.0
Annual,Two adults with two dependent children,Percentage,Ireland,11.0,11.0,10.0,11.0,11.0
Annual,Two adults with two dependent children,Percentage,Italy,11.0,11.0,12.0,11.0,11.0
Annual,Two adults with two dependent children,Percentage,Luxembourg,12.0,10.0,9.0,9.0,9.0
Annual,Two adults with two dependent children,Percentage,Netherlands,11.0,11.0,11.0,11.0,11.0
Annual,Two adults with two dependent children,Percentage,Portugal,14.0,14.0,14.0,13.0,12.0
Annual,Two adults with two dependent children,Percentage,Sweden,10.0,10.0,11.0,11.0,11.0
Annual,Two adults with two dependent children,Percentage,United Kingdom,9.0,9.0,9.0,9.0,9.0
Annual,Two adults with three or more dependent children,Percentage,Austria,3.0,3.0,3.0,3.0,3.0
Annual,Two adults with three or more dependent children,Percentage,Belgium,5.0,6.0,6.0,6.0,6.0
Annual,Two adults with three or more dependent children,Percentage,Germany,3.0,3.0,3.0,3.0,3.0
Annual,Two adults with three or more dependent children,Percentage,Denmark,3.0,4.0,4.0,5.0,4.0
Annual,Two adults with three or more dependent children,Percentage,Euro area - 12 countries (2001-2006),4.0,4.0,4.0,4.0,4.0
Annual,Two adults with three or more dependent children,Percentage,Greece,3.0,3.0,3.0,3.0,2.0
Annual,Two adults with three or more dependent children,Percentage,Spain,5.0,5.0,5.0,4.0,4.0
Annual,Two adults with three or more dependent children,Percentage,European Union - 15 countries (1995-2004),4.0,4.0,4.0,4.0,4.0
Annual,Two adults with three or more dependent children,Percentage,Finland,5.0,5.0,5.0,5.0,5.0
Annual,Two adults with three or more dependent children,Percentage,France,6.0,5.0,5.0,5.0,5.0
Annual,Two adults with three or more dependent children,Percentage,Ireland,12.0,11.0,11.0,11.0,10.0
Annual,Two adults with three or more dependent children,Percentage,Italy,4.0,4.0,4.0,4.0,4.0
Annual,Two adults with three or more dependent children,Percentage,Luxembourg,6.0,4.0,4.0,4.0,4.0
Annual,Two adults with three or more dependent children,Percentage,Netherlands,5.0,5.0,4.0,4.0,4.0
Annual,Two adults with three or more dependent children,Percentage,Portugal,3.0,4.0,4.0,5.0,4.0
Annual,Two adults with three or more dependent children,Percentage,Sweden,5.0,5.0,5.0,5.0,5.0
Annual,Two adults with three or more dependent children,Percentage,United Kingdom,4.0,4.0,4.0,4.0,4.0
Annual,Three or more adults,Percentage,Austria,11.0,10.0,11.0,12.0,12.0
Annual,Three or more adults,Percentage,Belgium,9.0,9.0,10.0,10.0,9.0
Annual,Three or more adults,Percentage,Germany,9.0,10.0,11.0,11.0,12.0
Annual,Three or more adults,Percentage,Denmark,6.0,6.0,5.0,5.0,6.0
Annual,Three or more adults,Percentage,Euro area - 12 countries (2001-2006),11.0,12.0,12.0,13.0,13.0
Annual,Three or more adults,Percentage,Greece,15.0,16.0,17.0,18.0,17.0
Annual,Three or more adults,Percentage,Spain,17.0,16.0,16.0,17.0,18.0
Annual,Three or more adults,Percentage,European Union - 15 countries (1995-2004),10.0,11.0,11.0,12.0,12.0
Annual,Three or more adults,Percentage,Finland,4.0,4.0,5.0,6.0,6.0
Annual,Three or more adults,Percentage,France,7.0,8.0,8.0,8.0,9.0
Annual,Three or more adults,Percentage,Ireland,12.0,13.0,13.0,14.0,13.0
Annual,Three or more adults,Percentage,Italy,16.0,17.0,19.0,19.0,20.0
Annual,Three or more adults,Percentage,Luxembourg,8.0,14.0,13.0,14.0,13.0
Annual,Three or more adults,Percentage,Netherlands,5.0,6.0,5.0,6.0,6.0
Annual,Three or more adults,Percentage,Portugal,17.0,18.0,18.0,19.0,19.0
Annual,Three or more adults,Percentage,Sweden,0.0,0.0,0.0,0.0,0.0
Annual,Three or more adults,Percentage,United Kingdom,9.0,9.0,8.0,9.0,8.0
Annual,Three or more adults with dependent children,Percentage,Austria,10.0,10.0,10.0,10.0,10.0
Annual,Three or more adults with dependent children,Percentage,Belgium,5.0,4.0,5.0,6.0,5.0
Annual,Three or more adults with dependent children,Percentage,Germany,6.0,6.0,6.0,6.0,6.0
Annual,Three or more adults with dependent children,Percentage,Denmark,5.0,4.0,4.0,4.0,4.0
Annual,Three or more adults with dependent children,Percentage,Euro area - 12 countries (2001-2006),8.0,8.0,8.0,8.0,8.0
Annual,Three or more adults with dependent children,Percentage,Greece,9.0,9.0,9.0,9.0,8.0
Annual,Three or more adults with dependent children,Percentage,Spain,17.0,17.0,17.0,17.0,16.0
Annual,Three or more adults with dependent children,Percentage,European Union - 15 countries (1995-2004),7.0,7.0,7.0,7.0,7.0
Annual,Three or more adults with dependent children,Percentage,Finland,3.0,3.0,3.0,3.0,3.0
Annual,Three or more adults with dependent children,Percentage,France,5.0,4.0,5.0,5.0,5.0
Annual,Three or more adults with dependent children,Percentage,Ireland,13.0,14.0,13.0,14.0,17.0
Annual,Three or more adults with dependent children,Percentage,Italy,10.0,11.0,10.0,10.0,10.0
Annual,Three or more adults with dependent children,Percentage,Luxembourg,5.0,7.0,6.0,5.0,6.0
Annual,Three or more adults with dependent children,Percentage,Netherlands,3.0,3.0,3.0,3.0,3.0
Annual,Three or more adults with dependent children,Percentage,Portugal,15.0,15.0,15.0,15.0,17.0
Annual,Three or more adults with dependent children,Percentage,Sweden,0.0,0.0,0.0,0.0,0.0
Annual,Three or more adults with dependent children,Percentage,United Kingdom,4.0,4.0,4.0,4.0,5.0
Annual,Total,Percentage,Austria,100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,Belgium,100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,Germany,100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,Denmark,100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,Euro area - 12 countries (2001-2006),100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,Greece,100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,Spain,100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,European Union - 15 countries (1995-2004),100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,Finland,100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,France,100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,Ireland,100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,Italy,100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,Luxembourg,100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,Netherlands,100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,Portugal,100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,Sweden,100.0,100.0,100.0,100.0,100.0
Annual,Total,Percentage,United Kingdom,100.0,100.0,100.0,100.0,100.0
