Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Portugal,0.0,0.0,25.0,5.0,50.0,20.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Romania,0.0,0.0,5.0,0.0,0.0,10.0,5.0,15.0,20.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Sweden,170.0,210.0,350.0,555.0,565.0,545.0,665.0,525.0,50.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Slovenia,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,United Kingdom,130.0,290.0,425.0,445.0,440.0,:,:,:,:,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Austria,320.0,65.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Belgium,100.0,175.0,525.0,340.0,85.0,75.0,345.0,25.0,85.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Bulgaria,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Switzerland,240.0,245.0,305.0,525.0,530.0,260.0,435.0,265.0,160.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Czechia,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
