Time frequency,Indicator,Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Total,Percentage change q/q-4 (NSA),Spain,6.3,8.5,8.1,7.6,5.5,3.5,3.7,4.5,4.3,6.4,7.9,8.3
Quarterly,Total,Percentage change q/q-4 (NSA),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",10.3,10.5,9.9,7.4,3.6,0.8,-1.0,-1.2,0.2,1.5,3.0,3.8
Quarterly,Total,Percentage change q/q-4 (NSA),European Union - 27 countries (from 2020),10.3,10.5,9.9,7.4,3.6,0.8,-1.0,-1.2,0.2,1.5,3.0,3.8
Quarterly,Total,Percentage change q/q-4 (NSA),Finland,3.9,3.4,2.4,1.3,-2.3,-5.1,-5.6,-7.2,-4.8,-4.3,-5.0,-2.8
Quarterly,Total,Percentage change q/q-4 (NSA),France,6.9,7.0,7.1,6.5,4.7,2.9,0.7,-1.6,-3.6,-4.8,-4.6,-3.5 p
Quarterly,Total,Percentage change q/q-4 (NSA),Croatia,9.1,13.5,13.6,14.8,17.3,14.0,13.7,10.9,9.5,9.1,10.0,12.3
Quarterly,Total,Percentage change q/q-4 (NSA),Hungary,22.8,23.2,24.9,24.1,17.5,11.3,6.4,3.7,7.3,12.0 p,13.0 p,13.4 p
Quarterly,Total,Percentage change q/q-4 (NSA),Ireland,13.8,15.0,14.3,11.9,8.6,5.1,2.7,1.4,3.1,6.3,8.4,9.9 p
Quarterly,Total,Percentage change q/q-4 (NSA),Iceland,15.7,17.9,20.7,24.1,21.0,15.8,10.1,2.7,3.8,5.7,6.1,11.2
Quarterly,Total,Percentage change q/q-4 (NSA),Italy,4.0,4.5,5.2,2.9,2.7,1.0,0.6,1.7,1.8,1.6,2.9,3.9 p
Quarterly,Total,Percentage change q/q-4 (NSA),Lithuania,19.8,19.1,22.1,19.3,16.0,13.1,9.4,8.7,8.3,9.9,10.4,8.9
Quarterly,Total,Percentage change q/q-4 (NSA),Luxembourg,12.1,10.3,11.7,11.0,5.5,-1.7,-5.9,-13.9,-14.5,-11.2,-8.4,-1.7 p
Quarterly,Total,Percentage change q/q-4 (NSA),Latvia,16.1,17.4,16.3,13.6,8.6,5.9,5.4,3.0,0.8,3.6,0.7,5.4 p
Quarterly,Total,Percentage change q/q-4 (NSA),Malta,4.5,6.8,7.6,6.3,5.9,7.3,5.3,5.7,6.7 p,6.7 p,6.9 p,6.9 p
Quarterly,Total,Percentage change q/q-4 (NSA),Netherlands,18.6,19.0,17.5,12.0,5.7,0.1,-4.1,-3.7,0.1,3.7,7.7,10.3 p
Quarterly,Total,Percentage change q/q-4 (NSA),Norway,7.7,7.8,6.7,6.1,3.0,1.7,1.9,-0.5,2.1,1.8,3.0,4.8
Quarterly,Total,Percentage change q/q-4 (NSA),Poland,12.1,13.6,12.4,12.1,9.3,5.8,7.0,9.3,13.0,18.0,17.7,14.4
Quarterly,Total,Percentage change q/q-4 (NSA),Portugal,11.6,12.9,13.2,13.1,11.3,8.7,8.7,7.6,7.8,7.0,7.8,9.8
Quarterly,Total,Percentage change q/q-4 (NSA),Romania,7.5,6.4,8.5,7.0,6.8,4.6,0.1,4.8,3.7,5.5,6.8,3.9
Quarterly,Total,Percentage change q/q-4 (NSA),Sweden,10.9,10.3,7.1,1.1,-3.7,-6.9,-6.8,-4.2,-2.9,-1.6,-0.8,0.3
Quarterly,Total,Percentage change q/q-4 (NSA),Slovenia,15.8,17.0,15.6,15.2,11.6,9.0,7.5,5.6,6.9,6.3,6.7,7.9
Quarterly,Total,Percentage change q/q-4 (NSA),Slovakia,10.7,14.2,16.6,14.6,9.7,7.5,-2.2,-4.1,-1.4,-3.0,4.0,6.2
Quarterly,Total,Percentage change q/q-4 (NSA),Türkiye,49.2 d,92.2 d,161.7 d,180.5 d,170.5 d,142.7 d,91.0 d,93.8 d,87.3 d,63.3 d,49.7 d,33.3 d
