Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,Lower secondary education,Italy,82.3,83.5,84.3 d,85.8 d,85.8 d,86.6 d,87.0 d,85.9 d,85.5 d,85.8 d
Annual,Percentage,Lower secondary education,Liechtenstein,0.0,25.0,44.0,42.9,0.0,33.3,25.0,25.0,18.2,68.4
Annual,Percentage,Lower secondary education,Lithuania,79.8,79.7,79.6,85.6,80.1,80.8,80.8,80.9,81.7,82.8
Annual,Percentage,Lower secondary education,Luxembourg,:,:,: d,: d,:,: d,: d,: d,: d,: d
Annual,Percentage,Lower secondary education,Montenegro,:,:,:,38.3 d,:,:,:,:,:,:
Annual,Percentage,Lower secondary education,North Macedonia,43.1 d,43.0,42.3 d,43.0 d,42.0,44.2 d,46.5 d,47.2 d,45.1 d,50.0 d
Annual,Percentage,Lower secondary education,Malta,51.7,58.2,55.6,57.4,63.6,59.2,62.5,62.4,60.1,61.3
Annual,Percentage,Lower secondary education,Netherlands,26.8,28.5,28.9,30.5,32.4,33.6,33.6,36.7,38.8,40.4
Annual,Percentage,Lower secondary education,Norway,60.3,60.9 d,61.5,63.9,64.3,64.2,65.1,65.2,66.4,66.9
Annual,Percentage,Lower secondary education,Poland,69.6,68.6,68.7,69.2,68.4,65.8 b,66.9,73.9,74.3,74.0
Annual,Percentage,Lower secondary education,Romania,62.9 d,64.5 d,65.6,62.6,63.5,65.8,66.5,70.9,70.7,68.5
Annual,Percentage,Lower secondary education,Sweden,66.2,68.0,68.6,68.8,68.9,68.8,69.5,70.3,71.5,72.2
Annual,Percentage,Lower secondary education,Slovenia,73.5,74.1,73.4,74.0,73.8,: m,: m,: m,: m,: d
Annual,Percentage,Lower secondary education,Slovakia,88.5,70.3,86.9,87.0,87.1,87.1,85.9,77.4,74.5,71.5
Annual,Percentage,Lower secondary education,United Kingdom,50.3,51.6,43.5,49.4,49.7,50.4,50.8,:,:,:
Annual,Percentage,Upper secondary education,Austria,32.1,35.4,35.6,37.5,38.1,37.9,38.4,37.8,38.3,40.8
Annual,Percentage,Upper secondary education,Belgium,38.5 d,39.7 d,40.9 d,42.0 d,43.4 d,45.3 d,43.4,43.7,44.9,47.5
Annual,Percentage,Upper secondary education,Bulgaria,72.7,73.2,74.0,75.9,: m,77.4 b,78.0,78.2,77.6,77.9
Annual,Percentage,Upper secondary education,Switzerland,26.7,25.7,27.2,27.9,27.8 d,29.4 d,31.1 d,31.6 d,32.6 d,34.7 d
Annual,Percentage,Upper secondary education,Czechia,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Percentage,Upper secondary education,Germany,: m,: m,:,:,:,:,:,:,:,:
Annual,Percentage,Upper secondary education,Denmark,:,68.7,68.6,68.3,68.8,68.4,68.8,68.5,68.7,67.3
Annual,Percentage,Upper secondary education,Estonia,:,:,:,:,67.4 d,69.8 d,:,:,:,:
Annual,Percentage,Upper secondary education,Greece,32.4,31.7,32.3,32.0,32.1,34.6,36.1,36.5,37.6,39.2
Annual,Percentage,Upper secondary education,Finland,44.3,39.0,45.5,47.0,46.6,46.9,49.4,52.0,50.3,51.2
Annual,Percentage,Upper secondary education,France,38.7,39.4,41.0,41.8,42.5,43.3,43.7,44.5,44.8 d,46.1 d
Annual,Percentage,Upper secondary education,Hungary,52.7,54.7,54.3,55.3,56.3,57.7,57.8,57.3,59.7,57.3
Annual,Percentage,Upper secondary education,Ireland,:,44.3 d,44.3 d,44.9 d,49.1 d,49.7 d,49.7 d,49.9 d,47.6 d,50.1 d
Annual,Percentage,Upper secondary education,Italy,46.9,49.6,52.9,56.0,55.4,57.8,56.5,57.4,58.9,60.1
Annual,Percentage,Upper secondary education,Liechtenstein,:,:,0.0,0.0,0.0,0.0,33.3,33.3,66.7,66.7
Annual,Percentage,Upper secondary education,Lithuania,74.0,74.6,74.3,74.9,74.2,74.5,75.0,75.0,76.0,76.2
Annual,Percentage,Upper secondary education,Luxembourg,35.3 d,35.2 d,29.5 d,: d,31.1,34.0 d,34.5 d,38.3 d,39.3 d,39.1 d
Annual,Percentage,Upper secondary education,Montenegro,:,:,:,26.6,:,:,:,:,:,:
Annual,Percentage,Upper secondary education,North Macedonia,33.1,32.5,35.2,36.0,37.2,37.9,41.6,43.5,46.8,48.2
Annual,Percentage,Upper secondary education,Malta,51.7,45.4,49.6,45.5,48.9,49.0,49.8,51.3,52.3,51.8
Annual,Percentage,Upper secondary education,Netherlands,30.7,33.4,34.3,36.1,37.0,40.1,40.1,45.1,47.5,48.6
Annual,Percentage,Upper secondary education,Norway,49.1,49.8 d,50.7,52.8,53.7,54.8,56.2,54.9,55.7,55.8
Annual,Percentage,Upper secondary education,Poland,58.3,58.3,58.6,59.3,59.5,60.9,61.2,62.4,62.9,63.7
Annual,Percentage,Upper secondary education,Romania,59.0,59.9,59.7,60.0,60.9,62.4,64.1,65.1,65.6,67.5
Annual,Percentage,Upper secondary education,Sweden,47.4,51.8,53.4,53.8,55.4,56.4,58.0,58.2,59.2,60.5
Annual,Percentage,Upper secondary education,Slovenia,56.1,56.8,58.7,58.4,57.6,61.3,56.4,56.1,59.3,58.2
Annual,Percentage,Upper secondary education,Slovakia,59.0,59.2,61.4,62.6,62.9,64.3,63.9,65.8,65.3,67.9
Annual,Percentage,Upper secondary education,United Kingdom,55.1,44.4,61.1,54.9,54.5,55.3,54.5,:,:,:
